symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
AAPL,2017-01-31,2017-02-01,2017-03-16,31.76,35.17,0.0026238455079764,0.1073677581863978,0.1073677581863978,0.0833333333333333,10.736775818639789
MTD,2017-02-02,2017-02-03,2017-03-20,447.9,481.07,0.0001862340594697,0.0740567090868498,0.0740567090868498,0.0834142352364959,7.40567090868498
ZTS,2017-02-16,2017-02-17,2017-04-03,53.01,53.17,0.001585990977598,0.0030182984342577,0.0030182984342577,0.0840733817224704,0.3018298434257715
ULTA,2017-03-09,2017-03-10,2017-04-24,271.0,278.21,0.0003122522642073,0.0266051660516604,0.0266051660516606,0.0846203636001845,2.6605166051660634
ADBE,2017-03-16,2017-03-17,2017-05-01,128.45,135.11,0.0006630277902014,0.0518489684702221,0.0518489684702221,0.0851659196513782,5.184896847022213
CCI,2017-04-24,2017-04-25,2017-06-07,96.73,103.21,0.0008792288136261,0.0669905923705158,0.0669905923705158,0.0850478031420546,6.699059237051586
BA,2017-04-26,2017-04-27,2017-06-09,182.59,190.03,0.0004648605503547,0.0407470288624787,0.0407470288624787,0.0848788878892708,4.074702886247872
KLAC,2017-04-27,2017-04-28,2017-06-12,100.28,101.14,0.0008473672900854,0.0085759872357398,0.00857598723574,0.0849739918497731,0.8575987235740046
RMD,2017-04-27,2017-04-28,2017-06-12,67.2,73.04,0.0012644939263359,0.086904761904762,0.0869047619047618,0.0849739918497731,8.690476190476183
XYL,2017-05-02,2017-05-03,2017-06-15,50.34,53.96,0.0016937303666352,0.0719110051648788,0.0719110051648788,0.0852623866564197,7.1911005164878805
CLX,2017-05-03,2017-05-04,2017-06-16,131.56,139.5,0.0006466913899715,0.0603526907874734,0.0603526907874734,0.0850787192646614,6.035269078747341
ANET,2017-05-04,2017-05-05,2017-06-19,8.68,9.79,0.0098482656005401,0.1278801843317971,0.1278801843317971,0.0854829454126882,12.788018433179715
TDY,2017-05-04,2017-05-05,2017-06-19,136.53,132.61,0.0006261110775118,-0.0287116384677359,-0.0287116384677359,0.0854829454126882,-2.8711638467735945
