slippage_bps,commission_bps,cap_per_quarter,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,calmar,n_trades,win_rate_pct,profit_factor,avg_exposure_pct
0,0,10,192.29,13.25,1.99,3.54,-5.92,2.24,173,79.19,6.17,20.4
0,0,12,197.27,13.47,2.0,3.63,-5.73,2.35,179,78.77,5.93,21.05
0,0,15,187.5,13.03,1.92,3.41,-5.73,2.27,181,77.9,5.31,21.25
0,2,10,190.54,13.17,1.98,3.51,-5.93,2.22,173,79.19,6.12,20.4
0,2,12,195.44,13.39,1.99,3.61,-5.76,2.33,179,78.77,5.88,21.05
0,2,15,185.71,12.95,1.91,3.39,-5.76,2.25,181,77.9,5.26,21.25
10,0,10,183.66,12.86,1.94,3.43,-5.97,2.15,173,78.61,5.9,20.39
10,0,12,188.24,13.07,1.95,3.52,-5.85,2.23,179,78.21,5.67,21.04
10,0,15,178.66,12.63,1.86,3.3,-5.85,2.16,181,77.35,5.08,21.24
10,2,10,181.96,12.78,1.93,3.41,-5.99,2.14,173,78.61,5.84,20.39
10,2,12,186.47,12.99,1.93,3.5,-5.88,2.21,179,78.21,5.62,21.03
10,2,15,176.93,12.54,1.85,3.28,-5.88,2.13,181,77.35,5.04,21.24
25,0,10,171.18,12.27,1.86,3.27,-6.05,2.03,173,77.46,5.5,20.37
25,0,12,175.21,12.46,1.86,3.36,-6.04,2.06,179,77.09,5.3,21.02
25,0,15,165.92,12.02,1.78,3.14,-6.04,1.99,181,76.24,4.76,21.22
25,2,10,169.56,12.19,1.85,3.25,-6.07,2.01,173,77.46,5.45,20.37
25,2,12,173.52,12.38,1.85,3.33,-6.07,2.04,179,77.09,5.25,21.01
25,2,15,164.27,11.94,1.77,3.12,-6.07,1.97,181,76.24,4.71,21.22
