,nav
2017-02-01,1.0011282535684298
2017-02-02,1.0009708228379512
2017-02-03,1.004088838267436
2017-02-06,1.005466353888348
2017-02-07,1.0057936751006047
2017-02-08,1.0057883796660279
2017-02-09,1.006780636043193
2017-02-10,1.0065913798358506
2017-02-13,1.0070636322409856
2017-02-14,1.0081175578723816
2017-02-15,1.0087899887275207
2017-02-16,1.0088805806696448
2017-02-17,1.0093051847699692
2017-02-21,1.0118597245988323
2017-02-22,1.0119609122424533
2017-02-23,1.011726234661227
2017-02-24,1.0128358905037196
2017-02-27,1.0128935359387765
2017-02-28,1.012283321172324
2017-03-01,1.0164236068567745
2017-03-02,1.0146456184232937
2017-03-03,1.0153168970219322
2017-03-06,1.0140942208775954
2017-03-07,1.0145017750298317
2017-03-08,1.0141632585216396
2017-03-09,1.0154443632022145
2017-03-10,1.0205254486900932
2017-03-13,1.0208098078385546
2017-03-14,1.0192189958994184
2017-03-15,1.0230723230778116
2017-03-16,1.021991035816539
2017-03-17,1.0214428186954723
2017-03-20,1.0203132568118192
2017-03-21,1.0166962928514687
2017-03-22,1.018831679684676
2017-03-23,1.0185212640387942
2017-03-24,1.0192476748554453
2017-03-27,1.0193686284101198
2017-03-28,1.020811025082196
2017-03-29,1.0210398666736902
2017-03-30,1.021154145374788
2017-03-31,1.021252890093955
2017-04-03,1.0195784496462632
2017-04-04,1.0197331761103186
2017-04-05,1.0196587021229249
2017-04-06,1.0208646443429035
2017-04-07,1.0207674202466823
2017-04-10,1.0213802458114634
2017-04-11,1.0212597451113736
2017-04-12,1.0199856552726838
2017-04-13,1.0194233786112892
2017-04-17,1.0201996283435402
2017-04-18,1.0199834851393996
2017-04-19,1.0191936688350773
2017-04-20,1.0197613580304479
2017-04-21,1.0200680950529075
2017-04-24,1.0205736377046561
2017-04-25,1.0188085514972567
2017-04-26,1.0185466546712496
2017-04-27,1.0196879021972776
2017-04-28,1.0195591151703274
2017-05-01,1.0213933123703378
2017-05-02,1.0231486398770366
2017-05-03,1.020944631175937
2017-05-04,1.0257953449522594
2017-05-05,1.0331284145116397
2017-05-08,1.0294118227974982
2017-05-09,1.0283759870468403
2017-05-10,1.025883521258873
2017-05-11,1.0239453803979333
2017-05-12,1.0228057384928277
2017-05-15,1.0300564298371158
2017-05-16,1.0273659426361612
2017-05-17,1.0184465766788158
2017-05-18,1.0189047058303768
2017-05-19,1.026964358485399
2017-05-22,1.0316370737707357
2017-05-23,1.0334821827624843
2017-05-24,1.0375468662528604
2017-05-25,1.0455828198847457
2017-05-26,1.0438273198002477
2017-05-30,1.0442226466331082
2017-05-31,1.0458799902577072
2017-06-01,1.0533755058466183
2017-06-02,1.0651217815378917
2017-06-05,1.0665396111260448
2017-06-06,1.0651348624640513
2017-06-07,1.0713215082401046
2017-06-08,1.0745810535590943
2017-06-09,1.0655202963757457
2017-06-12,1.063096765067534
2017-06-13,1.0660096761329805
2017-06-14,1.0652840060310493
2017-06-15,1.0674103366219332
2017-06-16,1.0665268573541815
2017-06-19,1.0723396501551736
2017-06-20,1.0712734420911947
2017-06-21,1.0706661007891467
2017-06-22,1.0702175453121259
2017-06-23,1.0704825933070388
2017-06-26,1.0705232827695417
2017-06-27,1.0682195443670788
2017-06-28,1.0689107010713195
2017-06-29,1.0657964917456058
2017-06-30,1.0678688288810383
2017-07-03,1.0676499461380304
2017-07-05,1.0687380161278108
2017-07-06,1.0680284853882083
2017-07-07,1.070542692139409
2017-07-10,1.0710979770660545
2017-07-11,1.0712367982977158
2017-07-12,1.0725478877078511
2017-07-13,1.07197717819991
2017-07-14,1.0734887871668894
2017-07-17,1.074105770418718
2017-07-18,1.074105770418718
2017-07-19,1.0753915580510829
2017-07-20,1.077268378116911
2017-07-21,1.0804017923386082
2017-07-24,1.0805575442060498
2017-07-25,1.080323640313144
2017-07-26,1.0815603980320807
2017-07-27,1.080566768873149
2017-07-28,1.085180173768816
2017-07-31,1.0853971044507422
2017-08-01,1.0877847736106694
2017-08-02,1.0876928491606346
2017-08-03,1.0871928491409588
2017-08-04,1.0906907187123773
2017-08-07,1.091357168291309
2017-08-08,1.0905386725406228
2017-08-09,1.090366865500171
2017-08-10,1.0819224428122476
2017-08-11,1.0864313278768203
2017-08-14,1.1003709147823266
2017-08-15,1.1033589165034103
2017-08-16,1.1077478186510574
2017-08-17,1.0975503713712593
2017-08-18,1.0968847799736865
2017-08-21,1.0925669692226936
2017-08-22,1.1051811442448152
2017-08-23,1.103723937846326
2017-08-24,1.1069232368621018
2017-08-25,1.1121591379504165
2017-08-28,1.115219402978478
2017-08-29,1.1182874150250133
2017-08-30,1.1213087136758029
2017-08-31,1.1217248041809618
2017-09-01,1.1236340599422914
2017-09-05,1.121614793362761
2017-09-06,1.1224266988524092
2017-09-07,1.1207408728106913
2017-09-08,1.123245130053472
2017-09-11,1.127324932781336
2017-09-12,1.1289364107525997
2017-09-13,1.1287559128483402
2017-09-14,1.1312687694240393
2017-09-15,1.1309867386695767
2017-09-18,1.1298770208286286
2017-09-19,1.1294332004876586
2017-09-20,1.1275635324581923
2017-09-21,1.1275849286242734
2017-09-22,1.129479491844695
2017-09-25,1.1261831355484733
2017-09-26,1.1283229920989362
2017-09-27,1.135494638100704
2017-09-28,1.139344842130217
2017-09-29,1.145371237502092
2017-10-02,1.1462364124373348
2017-10-03,1.1453050009561325
2017-10-04,1.1439613253766934
2017-10-05,1.144602625085062
2017-10-06,1.1439002492139916
2017-10-09,1.1448927368578956
2017-10-10,1.1469693263897562
2017-10-11,1.1460226458678786
2017-10-12,1.1426787259599558
2017-10-13,1.1406479435501216
2017-10-16,1.1391668466046032
2017-10-17,1.1391668466046032
2017-10-18,1.1391668466046032
2017-10-19,1.1391668466046032
2017-10-20,1.1391668466046032
2017-10-23,1.1391668466046032
2017-10-24,1.136795260349986
2017-10-25,1.1369966214470761
2017-10-26,1.1340241922136143
2017-10-27,1.1389851963732092
2017-10-30,1.1396389592093334
2017-10-31,1.1413981602413816
2017-11-01,1.1443332709012157
2017-11-02,1.145710004306491
2017-11-03,1.165323408246405
2017-11-06,1.1745940515896827
2017-11-07,1.178645198911031
2017-11-08,1.1740404364630306
2017-11-09,1.168416498703789
2017-11-10,1.1633502182138968
2017-11-13,1.164537187670065
2017-11-14,1.1644421662497662
