symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
AAPL,2017-01-31,2017-02-01,2017-03-16,31.76,35.17,0.00262384550797649,0.10736775818639788,0.10736775818639788,0.08333333333333333,10.736775818639789
MTD,2017-02-02,2017-02-03,2017-03-20,447.9,481.07,0.00018623405946973864,0.0740567090868498,0.0740567090868498,0.08341423523649594,7.40567090868498
ZTS,2017-02-16,2017-02-17,2017-04-03,53.01,53.17,0.001585990977598008,0.0030182984342577157,0.0030182984342577157,0.0840733817224704,0.30182984342577157
ULTA,2017-03-09,2017-03-10,2017-04-24,271.0,278.21,0.00031225226420732307,0.02660516605166041,0.026605166051660634,0.08462036360018454,2.6605166051660634
ADBE,2017-03-16,2017-03-17,2017-05-01,128.45,135.11,0.0006630277902014656,0.051848968470222134,0.051848968470222134,0.08516591965137825,5.184896847022213
CCI,2017-04-24,2017-04-25,2017-06-07,96.73,103.21,0.0008792288136261209,0.06699059237051586,0.06699059237051586,0.08504780314205468,6.699059237051586
BA,2017-04-26,2017-04-27,2017-06-09,182.59,190.03,0.0004648605503547335,0.04074702886247872,0.04074702886247872,0.0848788878892708,4.074702886247872
KLAC,2017-04-27,2017-04-28,2017-06-12,100.28,101.14,0.0008473672900854919,0.008575987235739824,0.008575987235740046,0.08497399184977313,0.8575987235740046
RMD,2017-04-27,2017-04-28,2017-06-12,67.2,73.04,0.0012644939263359095,0.08690476190476204,0.08690476190476182,0.08497399184977313,8.690476190476183
XYL,2017-05-02,2017-05-03,2017-06-15,50.34,53.96,0.0016937303666352745,0.0719110051648788,0.0719110051648788,0.08526238665641972,7.1911005164878805
CLX,2017-05-03,2017-05-04,2017-06-16,131.56,139.5,0.0006466913899715826,0.060352690787473406,0.060352690787473406,0.08507871926466141,6.035269078747341
ANET,2017-05-04,2017-05-05,2017-06-19,8.68,9.79,0.009848265600540126,0.12788018433179715,0.12788018433179715,0.08548294541268829,12.788018433179715
TDY,2017-05-04,2017-05-05,2017-06-19,136.53,132.61,0.0006261110775118164,-0.028711638467735945,-0.028711638467735945,0.08548294541268829,-2.8711638467735945
