,gross_exposure
2017-01-25,0.01015136211369235
2017-01-26,0.009941288399116783
2017-01-27,0.009905307930933227
2017-01-30,0.01997356555369147
2017-01-31,0.01981950406104372
2017-02-01,0.01984252060617672
2017-02-02,0.030143862255819383
2017-02-03,0.03038345465791525
2017-02-06,0.0404414097422969
2017-02-07,0.04076195630872545
2017-02-08,0.04090651747340633
2017-02-09,0.04100663337148747
2017-02-10,0.041005558519948804
2017-02-13,0.0412539701109423
2017-02-14,0.041411153835436615
2017-02-15,0.0416912271162702
2017-02-16,0.041934614941778844
2017-02-17,0.04228036210432712
2017-02-21,0.042700727221336665
2017-02-22,0.04277417910937007
2017-02-23,0.042575049446659984
2017-02-24,0.04271956067182779
2017-02-27,0.04274350225755826
2017-02-28,0.04276813807674721
2017-03-01,0.04328144227780495
2017-03-02,0.043091910673052396
2017-03-03,0.04306968851074388
2017-03-06,0.04299449599766936
2017-03-07,0.042998041321130914
2017-03-08,0.04286803851692686
2017-03-09,0.03266777786943421
2017-03-10,0.03293938630168419
2017-03-13,0.03292016231869736
2017-03-14,0.021983375897785314
2017-03-15,0.022177291396644608
2017-03-16,0.022141678191265144
2017-03-17,0.011037147558590558
2017-03-20,0.021078924953353464
2017-03-21,0.009949833385505341
2017-03-22,0.010039614568989387
2017-03-23,0.010091585706768868
2017-03-24,0.010156935604144917
2017-03-27,0.010200235000078795
2017-03-28,0.010234871789452342
2017-03-29,0.010304925157697587
2017-03-30,0.01030728633442473
2017-03-31,0.010348211607661782
2017-04-03,0.01030571221785846
2017-04-04,0.010341128629502781
2017-04-05,0.01032932344059881
2017-04-06,0.010349785589039833
2017-04-07,0.010355294484435907
2017-04-10,0.01035057257785137
2017-04-11,0.010334045549956728
2017-04-12,0.01028918369159198
2017-04-13,0.01026320917772939
2017-04-17,0.01033719359782759
2017-04-18,0.010323027224690884
2017-04-19,0.010355294484435907
2017-04-20,0.010449723154599222
2017-04-21,0.01045759139704302
2017-04-24,0.010565373720331754
2017-04-25,0.010612570264613581
2017-04-26,0.010557507191841052
2017-04-27,0.01060391790190111
2017-04-28,0.010632234162531954
2017-05-01,0.010739978446587573
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.01022181352538265
2017-05-08,0.020200741174684015
2017-05-09,0.020393326493039824
2017-05-10,0.02056550711487559
2017-05-11,0.03065537482713887
2017-05-12,0.030780141108209178
2017-05-15,0.0310837115145677
2017-05-16,0.031303924241538536
2017-05-17,0.030993314393835354
2017-05-18,0.03105664973391325
2017-05-19,0.03131096011889216
2017-05-22,0.041592419107294616
2017-05-23,0.04182276861793864
2017-05-24,0.042177709824588565
2017-05-25,0.04237675703490322
2017-05-26,0.0423485892269783
2017-05-30,0.052418562736300515
2017-05-31,0.05263567559602163
2017-06-01,0.053237767008557896
2017-06-02,0.05356175177976824
