ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
ACGL,1d,2025-12-09T00:00:00,91.03,92.41,91.03,91.92,1703611.0,normal,2025-12-10T10:27:01.340730Z,2025-12-09
ACGL,1d,2025-12-08T00:00:00,91.22,91.49,90.5,90.94,2009642.0,normal,2025-12-10T10:27:01.340730Z,2025-12-08
ACGL,1d,2025-12-05T00:00:00,92.17,92.17,91.2,91.72,1432400.0,normal,2025-12-10T10:27:01.340730Z,2025-12-05
ACGL,1d,2025-12-04T00:00:00,92.68,93.33,91.85,92.39,1647680.0,normal,2025-12-10T10:27:01.340730Z,2025-12-04
ACGL,1d,2025-12-03T00:00:00,92.87,93.79,92.06,92.72,2503900.0,normal,2025-12-10T10:27:01.340730Z,2025-12-03
ACGL,1d,2025-12-02T00:00:00,92.96,93.43,91.93,92.69,2262724.0,normal,2025-12-10T10:27:01.340730Z,2025-12-02
ACGL,1d,2025-12-01T00:00:00,94.0,94.54,92.69,93.16,1662726.0,normal,2025-12-10T10:27:01.340730Z,2025-12-01
ACGL,1d,2025-11-28T00:00:00,94.46,94.94,93.9,93.92,897600.0,normal,2025-12-10T10:27:01.340730Z,2025-11-28
ACGL,1d,2025-11-26T00:00:00,93.65,94.47,93.37,94.4,1587829.0,normal,2025-12-10T10:27:01.340730Z,2025-11-26
ACGL,1d,2025-11-25T00:00:00,93.01,93.96,92.78,93.61,1851200.0,normal,2025-12-10T10:27:01.340730Z,2025-11-25
ACGL,1d,2025-11-24T00:00:00,92.46,92.56,91.23,91.94,3317130.0,normal,2025-12-10T10:27:01.340730Z,2025-11-24
ACGL,1d,2025-11-21T00:00:00,92.08,93.57,91.59,92.46,1611300.0,normal,2025-12-10T10:27:01.340730Z,2025-11-21
ACGL,1d,2025-11-20T00:00:00,91.53,92.27,91.27,91.88,1661275.0,normal,2025-12-10T10:27:01.340730Z,2025-11-20
ACGL,1d,2025-11-19T00:00:00,91.71,92.05,90.86,91.17,1499200.0,normal,2025-12-10T10:27:01.340730Z,2025-11-19
ACGL,1d,2025-11-18T00:00:00,91.62,92.76,91.22,91.79,1467350.0,normal,2025-12-10T10:27:01.340730Z,2025-11-18
ACGL,1d,2025-11-17T00:00:00,92.85,93.13,91.67,91.81,1318500.0,normal,2025-12-10T10:27:01.340730Z,2025-11-17
ACGL,1d,2025-11-14T00:00:00,93.1,93.57,91.56,92.52,1554935.0,normal,2025-12-10T10:27:01.340730Z,2025-11-14
ACGL,1d,2025-11-13T00:00:00,92.0,93.58,91.85,92.76,2329844.0,normal,2025-12-10T10:27:01.340730Z,2025-11-13
ACGL,1d,2025-11-12T00:00:00,90.66,91.94,90.48,91.78,1911000.0,normal,2025-12-10T10:27:01.340730Z,2025-11-12
ACGL,1d,2025-11-11T00:00:00,90.0,91.13,89.91,90.66,2564000.0,normal,2025-12-10T10:27:01.340730Z,2025-11-11
ACGL,1d,2025-11-10T00:00:00,88.78,89.99,88.64,89.79,2620461.0,normal,2025-12-10T10:27:01.340730Z,2025-11-10
ACGL,1d,2025-11-07T00:00:00,87.96,89.64,87.79,89.57,2431600.0,normal,2025-12-10T10:27:01.340730Z,2025-11-07
ACGL,1d,2025-11-06T00:00:00,87.52,88.96,87.41,87.76,2573729.0,normal,2025-12-10T10:27:01.340730Z,2025-11-06
ACGL,1d,2025-11-05T00:00:00,87.69,88.6,87.49,87.55,2396001.0,normal,2025-12-10T10:27:01.340730Z,2025-11-05
ACGL,1d,2025-11-04T00:00:00,85.99,87.63,85.99,87.47,2748962.0,normal,2025-12-10T10:27:01.340730Z,2025-11-04
ACGL,1d,2025-11-03T00:00:00,86.31,86.31,84.7,86.0,2815900.0,normal,2025-12-10T10:27:01.340730Z,2025-11-03
ACGL,1d,2025-10-31T00:00:00,85.83,87.0,85.68,86.31,2265914.0,normal,2025-12-10T10:27:01.340730Z,2025-10-31
ACGL,1d,2025-10-30T00:00:00,86.09,87.12,85.0,86.64,3465769.0,normal,2025-12-10T10:27:01.340730Z,2025-10-30
ACGL,1d,2025-10-29T00:00:00,84.59,86.14,84.0,85.85,2765371.0,normal,2025-12-10T10:27:01.340730Z,2025-10-29
ACGL,1d,2025-10-28T00:00:00,87.04,87.04,82.45,84.72,3721659.0,normal,2025-12-10T10:27:01.340730Z,2025-10-28
ACGL,1d,2025-10-27T00:00:00,87.0,87.62,85.79,85.94,2303600.0,normal,2025-12-10T10:27:01.340730Z,2025-10-27
ACGL,1d,2025-10-24T00:00:00,87.46,87.64,86.81,87.15,1390432.0,normal,2025-12-10T10:27:01.340730Z,2025-10-24
ACGL,1d,2025-10-23T00:00:00,88.18,88.29,86.98,87.46,1221007.0,normal,2025-12-10T10:27:01.340730Z,2025-10-23
ACGL,1d,2025-10-22T00:00:00,88.06,88.4,86.95,87.88,1691300.0,normal,2025-12-10T10:27:01.340730Z,2025-10-22
ACGL,1d,2025-10-21T00:00:00,86.84,88.06,86.35,87.7,1653200.0,normal,2025-12-10T10:27:01.340730Z,2025-10-21
ACGL,1d,2025-10-20T00:00:00,87.11,87.25,86.0,86.97,1892211.0,normal,2025-12-10T10:27:01.340730Z,2025-10-20
ACGL,1d,2025-10-17T00:00:00,86.51,87.43,86.31,86.51,6463200.0,normal,2025-12-10T10:27:01.340730Z,2025-10-17
ACGL,1d,2025-10-16T00:00:00,88.34,88.5,85.93,86.23,3507314.0,normal,2025-12-10T10:27:01.340730Z,2025-10-16
ACGL,1d,2025-10-15T00:00:00,91.55,92.0,88.77,89.57,2137500.0,normal,2025-12-10T10:27:01.340730Z,2025-10-15
ACGL,1d,2025-10-14T00:00:00,92.25,92.81,90.82,92.23,1813800.0,normal,2025-12-10T10:27:01.340730Z,2025-10-14
ACGL,1d,2025-10-13T00:00:00,90.87,92.86,90.86,92.25,1779100.0,normal,2025-12-10T10:27:01.340730Z,2025-10-13
ACGL,1d,2025-10-10T00:00:00,92.71,93.0,91.81,92.47,1795400.0,normal,2025-12-10T10:27:01.340730Z,2025-10-10
ACGL,1d,2025-10-09T00:00:00,93.11,93.62,91.86,92.23,1441561.0,normal,2025-12-10T10:27:01.340730Z,2025-10-09
ACGL,1d,2025-10-08T00:00:00,94.67,94.81,92.83,93.1,1651609.0,normal,2025-12-10T10:27:01.340730Z,2025-10-08
ACGL,1d,2025-10-07T00:00:00,91.65,94.11,91.65,94.1,2144070.0,normal,2025-12-10T10:27:01.340730Z,2025-10-07
ACGL,1d,2025-10-06T00:00:00,91.03,92.06,90.86,91.35,1474645.0,normal,2025-12-10T10:27:01.340730Z,2025-10-06
ACGL,1d,2025-10-03T00:00:00,88.85,91.53,88.83,90.79,1801400.0,normal,2025-12-10T10:27:01.340730Z,2025-10-03
ACGL,1d,2025-10-02T00:00:00,89.64,90.42,88.77,89.08,1460406.0,normal,2025-12-10T10:27:01.340730Z,2025-10-02
ACGL,1d,2025-10-01T00:00:00,90.24,91.06,89.79,90.31,1446948.0,normal,2025-12-10T10:27:01.340730Z,2025-10-01
ACGL,1d,2025-09-30T00:00:00,89.82,90.94,89.51,90.73,1724800.0,normal,2025-12-10T10:27:01.340730Z,2025-09-30
ACGL,1d,2025-09-29T00:00:00,90.87,90.87,89.26,89.83,1242600.0,normal,2025-12-10T10:27:01.340730Z,2025-09-29
ACGL,1d,2025-09-26T00:00:00,90.0,91.05,89.7,90.88,1444442.0,normal,2025-12-10T10:27:01.340730Z,2025-09-26
ACGL,1d,2025-09-25T00:00:00,91.0,91.58,88.77,89.57,2230435.0,normal,2025-12-10T10:27:01.340730Z,2025-09-25
ACGL,1d,2025-09-24T00:00:00,88.47,90.86,88.21,90.76,2825909.0,normal,2025-12-10T10:27:01.340730Z,2025-09-24
ACGL,1d,2025-09-23T00:00:00,88.03,88.65,87.58,88.46,2210359.0,normal,2025-12-10T10:27:01.340730Z,2025-09-23
ACGL,1d,2025-09-22T00:00:00,88.34,88.78,87.77,88.03,3034900.0,normal,2025-12-10T10:27:01.340730Z,2025-09-22
ACGL,1d,2025-09-19T00:00:00,88.85,89.01,88.27,88.4,4190225.0,normal,2025-12-10T10:27:01.340730Z,2025-09-19
ACGL,1d,2025-09-18T00:00:00,87.04,88.76,87.01,88.19,2249815.0,normal,2025-12-10T10:27:01.340730Z,2025-09-18
ACGL,1d,2025-09-17T00:00:00,87.31,88.03,87.11,87.35,2533500.0,normal,2025-12-10T10:27:01.340730Z,2025-09-17
ACGL,1d,2025-09-16T00:00:00,88.96,89.23,87.2,87.38,2710500.0,normal,2025-12-10T10:27:01.340730Z,2025-09-16
ACGL,1d,2025-09-15T00:00:00,91.99,92.21,89.7,89.86,1767050.0,normal,2025-12-10T10:27:01.340730Z,2025-09-15
ACGL,1d,2025-09-12T00:00:00,92.2,92.93,91.97,92.26,1256500.0,normal,2025-12-10T10:27:01.340730Z,2025-09-12
ACGL,1d,2025-09-11T00:00:00,90.7,92.37,90.68,92.29,1562548.0,normal,2025-12-10T10:27:01.340730Z,2025-09-11
ACGL,1d,2025-09-10T00:00:00,89.04,90.65,88.7,90.6,2067900.0,normal,2025-12-10T10:27:01.340730Z,2025-09-10
ACGL,1d,2025-09-09T00:00:00,90.9,91.04,89.49,89.61,2643557.0,normal,2025-12-10T10:27:01.340730Z,2025-09-09
ACGL,1d,2025-09-08T00:00:00,93.5,93.5,90.13,90.9,2393042.0,normal,2025-12-10T10:27:01.340730Z,2025-09-08
ACGL,1d,2025-09-05T00:00:00,92.13,92.49,91.09,91.29,1403701.0,normal,2025-12-10T10:27:01.340730Z,2025-09-05
ACGL,1d,2025-09-04T00:00:00,93.58,93.8,92.1,92.22,1591310.0,normal,2025-12-10T10:27:01.340730Z,2025-09-04
ACGL,1d,2025-09-03T00:00:00,91.11,93.08,91.0,92.9,2234900.0,normal,2025-12-10T10:27:01.340730Z,2025-09-03
ACGL,1d,2025-09-02T00:00:00,91.74,92.31,91.08,91.32,2121606.0,normal,2025-12-10T10:27:01.340730Z,2025-09-02
ACGL,1d,2025-08-29T00:00:00,91.32,91.97,91.09,91.53,1563000.0,normal,2025-12-10T10:27:01.340730Z,2025-08-29
ACGL,1d,2025-08-28T00:00:00,91.71,91.71,90.6,91.2,1346618.0,normal,2025-12-10T10:27:01.340730Z,2025-08-28
ACGL,1d,2025-08-27T00:00:00,91.0,92.0,90.96,91.71,1098368.0,normal,2025-12-10T10:27:01.340730Z,2025-08-27
ACGL,1d,2025-08-26T00:00:00,91.48,91.63,90.55,90.9,3230271.0,normal,2025-12-10T10:27:01.340730Z,2025-08-26
ACGL,1d,2025-08-25T00:00:00,93.03,93.3,91.83,91.88,1004268.0,normal,2025-12-10T10:27:01.340730Z,2025-08-25
ACGL,1d,2025-08-22T00:00:00,94.09,94.51,93.25,93.41,1820244.0,normal,2025-12-10T10:27:01.340730Z,2025-08-22
ACGL,1d,2025-08-21T00:00:00,92.65,94.27,92.65,93.54,1584215.0,normal,2025-12-10T10:27:01.340730Z,2025-08-21
ACGL,1d,2025-08-20T00:00:00,92.03,93.37,91.56,92.84,1190228.0,normal,2025-12-10T10:27:01.340730Z,2025-08-20
