ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
ADI,1d,2025-12-09T00:00:00,277.58,279.79,275.25,276.24,2584991.0,normal,2025-12-10T10:41:40.452676Z,2025-12-09
ADI,1d,2025-12-08T00:00:00,281.78,282.54,276.96,279.13,3191028.0,normal,2025-12-10T10:41:40.452676Z,2025-12-08
ADI,1d,2025-12-05T00:00:00,280.12,283.24,279.14,281.29,3834290.0,normal,2025-12-10T10:41:40.452676Z,2025-12-05
ADI,1d,2025-12-04T00:00:00,277.36,279.55,275.54,277.26,3254204.0,normal,2025-12-10T10:41:40.452676Z,2025-12-04
ADI,1d,2025-12-03T00:00:00,274.49,278.78,271.58,278.24,4203100.0,normal,2025-12-10T10:41:40.452676Z,2025-12-03
ADI,1d,2025-12-02T00:00:00,268.19,274.13,266.04,272.97,5266424.0,normal,2025-12-10T10:41:40.452676Z,2025-12-02
ADI,1d,2025-12-01T00:00:00,262.95,268.47,262.0,266.51,7333500.0,normal,2025-12-10T10:41:40.452676Z,2025-12-01
ADI,1d,2025-11-28T00:00:00,259.36,265.75,258.04,265.34,2589700.0,normal,2025-12-10T10:41:40.452676Z,2025-11-28
ADI,1d,2025-11-26T00:00:00,255.22,260.74,252.92,257.92,5253418.0,normal,2025-12-10T10:41:40.452676Z,2025-11-26
ADI,1d,2025-11-25T00:00:00,230.6,252.48,229.29,252.02,7515103.0,normal,2025-12-10T10:41:40.452676Z,2025-11-25
ADI,1d,2025-11-24T00:00:00,233.65,240.76,233.25,239.4,8219900.0,normal,2025-12-10T10:41:40.452676Z,2025-11-24
ADI,1d,2025-11-21T00:00:00,225.63,234.53,225.0,232.32,4467337.0,normal,2025-12-10T10:41:40.452676Z,2025-11-21
ADI,1d,2025-11-20T00:00:00,234.29,235.28,224.25,225.2,4316600.0,normal,2025-12-10T10:41:40.452676Z,2025-11-20
ADI,1d,2025-11-19T00:00:00,229.54,234.4,229.33,232.2,2790492.0,normal,2025-12-10T10:41:40.452676Z,2025-11-19
ADI,1d,2025-11-18T00:00:00,229.85,232.35,227.72,230.13,3953400.0,normal,2025-12-10T10:41:40.452676Z,2025-11-18
ADI,1d,2025-11-17T00:00:00,233.03,234.22,227.78,229.94,3885305.0,normal,2025-12-10T10:41:40.452676Z,2025-11-17
ADI,1d,2025-11-14T00:00:00,234.19,237.05,230.43,234.89,3319687.0,normal,2025-12-10T10:41:40.452676Z,2025-11-14
ADI,1d,2025-11-13T00:00:00,239.64,241.32,235.44,237.53,4897499.0,normal,2025-12-10T10:41:40.452676Z,2025-11-13
ADI,1d,2025-11-12T00:00:00,236.92,242.0,235.84,241.44,4677722.0,normal,2025-12-10T10:41:40.452676Z,2025-11-12
ADI,1d,2025-11-11T00:00:00,231.51,235.0,231.44,233.41,3159992.0,normal,2025-12-10T10:41:40.452676Z,2025-11-11
ADI,1d,2025-11-10T00:00:00,231.86,233.23,228.33,232.0,3264201.0,normal,2025-12-10T10:41:40.452676Z,2025-11-10
ADI,1d,2025-11-07T00:00:00,229.4,230.81,223.47,228.48,4583664.0,normal,2025-12-10T10:41:40.452676Z,2025-11-07
ADI,1d,2025-11-06T00:00:00,235.19,237.04,231.2,232.88,3126800.0,normal,2025-12-10T10:41:40.452676Z,2025-11-06
ADI,1d,2025-11-05T00:00:00,230.09,238.48,230.09,236.0,2971902.0,normal,2025-12-10T10:41:40.452676Z,2025-11-05
ADI,1d,2025-11-04T00:00:00,233.01,233.78,228.76,229.38,3956608.0,normal,2025-12-10T10:41:40.452676Z,2025-11-04
ADI,1d,2025-11-03T00:00:00,234.95,237.0,232.61,233.61,2266928.0,normal,2025-12-10T10:41:40.452676Z,2025-11-03
ADI,1d,2025-10-31T00:00:00,232.9,235.63,231.54,234.13,2698153.0,normal,2025-12-10T10:41:40.452676Z,2025-10-31
ADI,1d,2025-10-30T00:00:00,235.04,236.63,232.82,232.9,2940400.0,normal,2025-12-10T10:41:40.452676Z,2025-10-30
ADI,1d,2025-10-29T00:00:00,239.76,241.91,234.52,235.04,3438519.0,normal,2025-12-10T10:41:40.452676Z,2025-10-29
ADI,1d,2025-10-28T00:00:00,241.51,243.68,238.84,239.35,2421000.0,normal,2025-12-10T10:41:40.452676Z,2025-10-28
ADI,1d,2025-10-27T00:00:00,239.7,244.11,238.35,243.01,3506236.0,normal,2025-12-10T10:41:40.452676Z,2025-10-27
ADI,1d,2025-10-24T00:00:00,245.45,245.51,236.63,238.01,3489000.0,normal,2025-12-10T10:41:40.452676Z,2025-10-24
ADI,1d,2025-10-23T00:00:00,237.3,244.95,237.26,243.29,2774906.0,normal,2025-12-10T10:41:40.452676Z,2025-10-23
ADI,1d,2025-10-22T00:00:00,240.54,241.64,236.91,240.36,5270800.0,normal,2025-12-10T10:41:40.452676Z,2025-10-22
ADI,1d,2025-10-21T00:00:00,247.84,248.83,245.61,246.37,2361679.0,normal,2025-12-10T10:41:40.452676Z,2025-10-21
ADI,1d,2025-10-20T00:00:00,242.87,246.84,242.87,246.22,2760134.0,normal,2025-12-10T10:41:40.452676Z,2025-10-20
ADI,1d,2025-10-17T00:00:00,241.77,243.54,238.59,242.87,2401260.0,normal,2025-12-10T10:41:40.452676Z,2025-10-17
ADI,1d,2025-10-16T00:00:00,240.33,244.23,238.52,241.61,2898707.0,normal,2025-12-10T10:41:40.452676Z,2025-10-16
ADI,1d,2025-10-15T00:00:00,238.19,238.8,234.96,238.15,2773700.0,normal,2025-12-10T10:41:40.452676Z,2025-10-15
ADI,1d,2025-10-14T00:00:00,231.15,238.78,229.13,235.4,3431567.0,normal,2025-12-10T10:41:40.452676Z,2025-10-14
ADI,1d,2025-10-13T00:00:00,228.32,235.82,226.96,234.67,4609900.0,normal,2025-12-10T10:41:40.452676Z,2025-10-13
ADI,1d,2025-10-10T00:00:00,237.74,239.04,224.71,225.32,4425112.0,normal,2025-12-10T10:41:40.452676Z,2025-10-10
ADI,1d,2025-10-09T00:00:00,236.84,238.39,235.1,237.88,3069200.0,normal,2025-12-10T10:41:40.452676Z,2025-10-09
ADI,1d,2025-10-08T00:00:00,233.8,239.36,233.8,237.93,4017900.0,normal,2025-12-10T10:41:40.452676Z,2025-10-08
ADI,1d,2025-10-07T00:00:00,243.39,243.39,233.03,233.75,3397800.0,normal,2025-12-10T10:41:40.452676Z,2025-10-07
ADI,1d,2025-10-06T00:00:00,245.01,245.01,238.92,242.5,4021200.0,normal,2025-12-10T10:41:40.452676Z,2025-10-06
ADI,1d,2025-10-03T00:00:00,242.05,246.2,241.59,241.99,2118611.0,normal,2025-12-10T10:41:40.452676Z,2025-10-03
ADI,1d,2025-10-02T00:00:00,242.13,243.97,240.44,241.67,2774100.0,normal,2025-12-10T10:41:40.452676Z,2025-10-02
ADI,1d,2025-10-01T00:00:00,243.71,245.59,236.22,239.28,4916320.0,normal,2025-12-10T10:41:40.452676Z,2025-10-01
ADI,1d,2025-09-30T00:00:00,245.81,247.2,243.07,245.7,2508031.0,normal,2025-12-10T10:41:40.452676Z,2025-09-30
ADI,1d,2025-09-29T00:00:00,249.33,249.5,243.85,244.79,3296300.0,normal,2025-12-10T10:41:40.452676Z,2025-09-29
ADI,1d,2025-09-26T00:00:00,248.71,249.41,245.76,247.56,2648551.0,normal,2025-12-10T10:41:40.452676Z,2025-09-26
ADI,1d,2025-09-25T00:00:00,247.57,248.33,243.52,247.53,2410945.0,normal,2025-12-10T10:41:40.452676Z,2025-09-25
ADI,1d,2025-09-24T00:00:00,247.05,249.82,246.7,248.61,2479163.0,normal,2025-12-10T10:41:40.452676Z,2025-09-24
ADI,1d,2025-09-23T00:00:00,248.37,250.36,246.33,246.78,2085832.0,normal,2025-12-10T10:41:40.452676Z,2025-09-23
ADI,1d,2025-09-22T00:00:00,245.61,249.04,245.58,247.34,2167314.0,normal,2025-12-10T10:41:40.452676Z,2025-09-22
ADI,1d,2025-09-19T00:00:00,249.95,249.95,243.58,245.33,5182620.0,normal,2025-12-10T10:41:40.452676Z,2025-09-19
ADI,1d,2025-09-18T00:00:00,251.09,252.0,248.28,249.05,3129905.0,normal,2025-12-10T10:41:40.452676Z,2025-09-18
ADI,1d,2025-09-17T00:00:00,244.11,250.2,244.11,246.32,2617600.0,normal,2025-12-10T10:41:40.452676Z,2025-09-17
ADI,1d,2025-09-16T00:00:00,242.95,247.32,242.22,244.1,2913857.0,normal,2025-12-10T10:41:40.452676Z,2025-09-16
ADI,1d,2025-09-15T00:00:00,239.42,246.97,238.78,244.91,2333155.0,normal,2025-12-10T10:41:40.452676Z,2025-09-15
ADI,1d,2025-09-12T00:00:00,247.62,248.23,244.98,245.21,2110000.0,normal,2025-12-10T10:41:40.452676Z,2025-09-12
ADI,1d,2025-09-11T00:00:00,247.76,250.0,246.49,248.24,2244714.0,normal,2025-12-10T10:41:40.452676Z,2025-09-11
