ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
ADM,1d,2025-12-15T00:00:00,59.69,60.37,59.05,60.2,2646011.0,normal,2026-01-01T03:41:27.126012Z,2025-12-15
ADM,1d,2025-12-12T00:00:00,60.16,60.59,59.12,60.01,2996600.0,normal,2026-01-01T03:41:27.126012Z,2025-12-12
ADM,1d,2025-12-11T00:00:00,58.42,59.96,58.42,59.92,2427449.0,normal,2026-01-01T03:41:27.126012Z,2025-12-11
ADM,1d,2025-12-10T00:00:00,58.28,58.99,57.17,58.21,1843679.0,normal,2026-01-01T03:41:27.126012Z,2025-12-10
ADM,1d,2025-12-09T00:00:00,57.86,59.11,57.8,58.07,2543500.0,normal,2026-01-01T03:41:27.126012Z,2025-12-09
ADM,1d,2025-12-08T00:00:00,58.9,58.97,57.86,57.94,2428449.0,normal,2026-01-01T03:41:27.126012Z,2025-12-08
ADM,1d,2025-12-05T00:00:00,59.12,59.59,58.97,59.01,1925500.0,normal,2026-01-01T03:41:27.126012Z,2025-12-05
ADM,1d,2025-12-04T00:00:00,59.98,60.07,57.95,59.36,2924768.0,normal,2026-01-01T03:41:27.126012Z,2025-12-04
ADM,1d,2025-12-03T00:00:00,60.68,61.17,59.66,59.8,2239402.0,normal,2026-01-01T03:41:27.126012Z,2025-12-03
ADM,1d,2025-12-02T00:00:00,60.47,60.66,59.97,60.31,1800934.0,normal,2026-01-01T03:41:27.126012Z,2025-12-02
ADM,1d,2025-12-01T00:00:00,60.87,61.37,60.43,60.52,2450000.0,normal,2026-01-01T03:41:27.126012Z,2025-12-01
ADM,1d,2025-11-28T00:00:00,60.43,61.08,60.41,60.74,1139827.0,normal,2026-01-01T03:41:27.126012Z,2025-11-28
ADM,1d,2025-11-26T00:00:00,59.55,61.05,59.55,60.55,2159217.0,normal,2026-01-01T03:41:27.126012Z,2025-11-26
ADM,1d,2025-11-25T00:00:00,58.95,59.81,58.74,59.7,2315700.0,normal,2026-01-01T03:41:27.126012Z,2025-11-25
ADM,1d,2025-11-24T00:00:00,58.41,58.94,57.94,58.65,5782000.0,normal,2026-01-01T03:41:27.126012Z,2025-11-24
ADM,1d,2025-11-21T00:00:00,57.97,59.29,57.74,58.63,3103733.0,normal,2026-01-01T03:41:27.126012Z,2025-11-21
ADM,1d,2025-11-20T00:00:00,58.24,58.99,57.85,57.87,2997430.0,normal,2026-01-01T03:41:27.126012Z,2025-11-20
ADM,1d,2025-11-19T00:00:00,60.3,60.57,56.8,58.23,5265287.0,normal,2026-01-01T03:41:27.126012Z,2025-11-19
ADM,1d,2025-11-18T00:00:00,58.98,61.13,58.25,61.03,3312330.0,normal,2026-01-01T03:41:27.126012Z,2025-11-18
ADM,1d,2025-11-17T00:00:00,58.62,59.7,58.43,58.74,2404601.0,normal,2026-01-01T03:41:27.126012Z,2025-11-17
ADM,1d,2025-11-14T00:00:00,58.75,59.78,58.06,58.61,3103301.0,normal,2026-01-01T03:41:27.126012Z,2025-11-14
ADM,1d,2025-11-13T00:00:00,57.89,59.72,57.85,58.83,3691625.0,normal,2026-01-01T03:41:27.126012Z,2025-11-13
ADM,1d,2025-11-12T00:00:00,57.17,58.16,57.02,57.75,3130700.0,normal,2026-01-01T03:41:27.126012Z,2025-11-12
ADM,1d,2025-11-11T00:00:00,56.37,57.69,56.02,57.63,3394208.0,normal,2026-01-01T03:41:27.126012Z,2025-11-11
ADM,1d,2025-11-10T00:00:00,57.06,57.06,55.58,56.0,4063239.0,normal,2026-01-01T03:41:27.126012Z,2025-11-10
ADM,1d,2025-11-07T00:00:00,56.99,56.99,56.22,56.98,3740096.0,normal,2026-01-01T03:41:27.126012Z,2025-11-07
ADM,1d,2025-11-06T00:00:00,56.13,57.39,56.13,56.72,4019004.0,normal,2026-01-01T03:41:27.126012Z,2025-11-06
ADM,1d,2025-11-05T00:00:00,58.67,58.79,56.12,56.29,5743975.0,normal,2026-01-01T03:41:27.126012Z,2025-11-05
ADM,1d,2025-11-04T00:00:00,56.15,61.9,55.6,60.12,8265575.0,normal,2026-01-01T03:41:27.126012Z,2025-11-04
ADM,1d,2025-11-03T00:00:00,60.1,61.03,59.55,60.09,3877373.0,normal,2026-01-01T03:41:27.126012Z,2025-11-03
ADM,1d,2025-10-31T00:00:00,60.36,60.84,59.6,60.53,4037566.0,normal,2026-01-01T03:41:27.126012Z,2025-10-31
ADM,1d,2025-10-30T00:00:00,61.0,61.36,60.62,60.69,2521048.0,normal,2026-01-01T03:41:27.126012Z,2025-10-30
ADM,1d,2025-10-29T00:00:00,60.97,61.33,60.39,60.52,3183200.0,normal,2026-01-01T03:41:27.126012Z,2025-10-29
ADM,1d,2025-10-28T00:00:00,61.52,62.18,61.08,61.37,2104474.0,normal,2026-01-01T03:41:27.126012Z,2025-10-28
ADM,1d,2025-10-27T00:00:00,64.76,65.0,61.51,61.94,3409645.0,normal,2026-01-01T03:41:27.126012Z,2025-10-27
ADM,1d,2025-10-24T00:00:00,62.5,63.88,62.5,63.33,1916900.0,normal,2026-01-01T03:41:27.126012Z,2025-10-24
ADM,1d,2025-10-23T00:00:00,62.5,63.0,61.9,62.51,2047840.0,normal,2026-01-01T03:41:27.126012Z,2025-10-23
ADM,1d,2025-10-22T00:00:00,61.74,62.81,61.18,61.91,2193309.0,normal,2026-01-01T03:41:27.126012Z,2025-10-22
ADM,1d,2025-10-21T00:00:00,63.1,63.33,61.07,61.72,2822682.0,normal,2026-01-01T03:41:27.126012Z,2025-10-21
ADM,1d,2025-10-20T00:00:00,63.72,63.99,62.92,63.19,2124523.0,normal,2026-01-01T03:41:27.126012Z,2025-10-20
ADM,1d,2025-10-17T00:00:00,62.35,63.36,61.86,63.33,3048602.0,normal,2026-01-01T03:41:27.126012Z,2025-10-17
ADM,1d,2025-10-16T00:00:00,63.54,64.18,62.8,62.9,3638042.0,normal,2026-01-01T03:41:27.126012Z,2025-10-16
ADM,1d,2025-10-15T00:00:00,63.04,64.57,62.22,63.38,5344100.0,normal,2026-01-01T03:41:27.126012Z,2025-10-15
ADM,1d,2025-10-14T00:00:00,60.75,62.39,58.42,61.85,6127629.0,normal,2026-01-01T03:41:27.126012Z,2025-10-14
ADM,1d,2025-10-13T00:00:00,61.04,62.44,60.66,61.64,3609580.0,normal,2026-01-01T03:41:27.126012Z,2025-10-13
ADM,1d,2025-10-10T00:00:00,61.26,62.04,60.8,60.84,4527795.0,normal,2026-01-01T03:41:27.126012Z,2025-10-10
ADM,1d,2025-10-09T00:00:00,62.28,63.11,61.05,61.31,3706643.0,normal,2026-01-01T03:41:27.126012Z,2025-10-09
ADM,1d,2025-10-08T00:00:00,62.97,63.56,60.81,62.22,4711421.0,normal,2026-01-01T03:41:27.126012Z,2025-10-08
ADM,1d,2025-10-07T00:00:00,62.33,63.42,62.07,62.89,3486788.0,normal,2026-01-01T03:41:27.126012Z,2025-10-07
ADM,1d,2025-10-06T00:00:00,61.05,63.19,60.61,62.45,4057813.0,normal,2026-01-01T03:41:27.126012Z,2025-10-06
ADM,1d,2025-10-03T00:00:00,58.91,61.25,58.83,61.04,4260900.0,normal,2026-01-01T03:41:27.126012Z,2025-10-03
ADM,1d,2025-10-02T00:00:00,59.07,59.51,58.89,59.11,2725200.0,normal,2026-01-01T03:41:27.126012Z,2025-10-02
ADM,1d,2025-10-01T00:00:00,60.07,60.32,58.17,59.25,3650700.0,normal,2026-01-01T03:41:27.126012Z,2025-10-01
ADM,1d,2025-09-30T00:00:00,60.2,60.58,59.69,59.74,3233627.0,normal,2026-01-01T03:41:27.126012Z,2025-09-30
ADM,1d,2025-09-29T00:00:00,60.64,60.68,59.35,60.31,4268219.0,normal,2026-01-01T03:41:27.126012Z,2025-09-29
ADM,1d,2025-09-26T00:00:00,61.31,61.54,59.36,60.6,5878800.0,normal,2026-01-01T03:41:27.126012Z,2025-09-26
ADM,1d,2025-09-25T00:00:00,61.99,62.28,61.02,61.07,2939431.0,normal,2026-01-01T03:41:27.126012Z,2025-09-25
ADM,1d,2025-09-24T00:00:00,61.03,62.05,60.91,61.48,2537663.0,normal,2026-01-01T03:41:27.126012Z,2025-09-24
ADM,1d,2025-09-23T00:00:00,59.91,61.6,59.91,60.7,3624651.0,normal,2026-01-01T03:41:27.126012Z,2025-09-23
ADM,1d,2025-09-22T00:00:00,61.23,61.33,58.46,59.86,4342500.0,normal,2026-01-01T03:41:27.126012Z,2025-09-22
ADM,1d,2025-09-19T00:00:00,60.9,61.88,60.74,61.65,11658542.0,normal,2026-01-01T03:41:27.126012Z,2025-09-19
ADM,1d,2025-09-18T00:00:00,61.27,61.27,60.63,60.83,2837701.0,normal,2026-01-01T03:41:27.126012Z,2025-09-18
ADM,1d,2025-09-17T00:00:00,62.15,62.63,61.06,61.09,3084157.0,normal,2026-01-01T03:41:27.126012Z,2025-09-17
ADM,1d,2025-09-16T00:00:00,60.77,62.92,59.92,62.35,4665596.0,normal,2026-01-01T03:41:27.126012Z,2025-09-16
ADM,1d,2025-09-15T00:00:00,61.4,61.6,60.51,60.53,3085800.0,normal,2026-01-01T03:41:27.126012Z,2025-09-15
ADM,1d,2025-09-12T00:00:00,61.3,61.77,61.16,61.57,2289908.0,normal,2026-01-01T03:41:27.126012Z,2025-09-12
ADM,1d,2025-09-11T00:00:00,61.37,61.68,60.79,61.42,2909339.0,normal,2026-01-01T03:41:27.126012Z,2025-09-11
ADM,1d,2025-09-10T00:00:00,62.02,62.24,59.57,61.41,3606207.0,normal,2026-01-01T03:41:27.126012Z,2025-09-10
ADM,1d,2025-09-09T00:00:00,62.35,62.72,62.06,62.19,2317133.0,normal,2026-01-01T03:41:27.126012Z,2025-09-09
ADM,1d,2025-09-08T00:00:00,62.84,63.25,61.39,62.3,4161692.0,normal,2026-01-01T03:41:27.126012Z,2025-09-08
ADM,1d,2025-09-05T00:00:00,61.94,63.03,61.65,62.94,2656447.0,normal,2026-01-01T03:41:27.126012Z,2025-09-05
ADM,1d,2025-09-04T00:00:00,61.88,62.19,61.34,61.94,2691225.0,normal,2026-01-01T03:41:27.126012Z,2025-09-04
ADM,1d,2025-09-03T00:00:00,61.76,61.78,61.12,61.72,3028672.0,normal,2026-01-01T03:41:27.126012Z,2025-09-03
ADM,1d,2025-09-02T00:00:00,62.55,62.81,61.62,62.05,3837980.0,normal,2026-01-01T03:41:27.126012Z,2025-09-02
ADM,1d,2025-08-29T00:00:00,62.55,63.06,62.21,62.64,2760640.0,normal,2026-01-01T03:41:27.126012Z,2025-08-29
ADM,1d,2025-08-28T00:00:00,62.82,62.91,61.96,62.66,3507083.0,normal,2026-01-01T03:41:27.126012Z,2025-08-28
ADM,1d,2025-08-27T00:00:00,62.6,63.18,62.17,62.71,2896175.0,normal,2026-01-01T03:41:27.126012Z,2025-08-27
ADM,1d,2025-08-26T00:00:00,63.94,63.94,62.63,62.82,4715379.0,normal,2026-01-01T03:41:27.126012Z,2025-08-26
ADM,1d,2025-08-25T00:00:00,62.93,64.38,62.67,64.21,3365300.0,normal,2026-01-01T03:41:27.126012Z,2025-08-25
ADM,1d,2025-08-22T00:00:00,61.35,63.4,60.97,62.92,5237475.0,normal,2026-01-01T03:41:27.126012Z,2025-08-22
ADM,1d,2025-08-21T00:00:00,60.71,61.72,60.26,61.12,4190456.0,normal,2026-01-01T03:41:27.126012Z,2025-08-21
ADM,1d,2025-08-20T00:00:00,59.78,60.75,59.65,60.73,4485500.0,normal,2026-01-01T03:41:27.126012Z,2025-08-20
ADM,1d,2025-08-19T00:00:00,59.7,60.02,58.96,59.96,3475509.0,normal,2026-01-01T03:41:27.126012Z,2025-08-19
ADM,1d,2025-08-18T00:00:00,59.59,59.82,59.27,59.67,3654544.0,normal,2026-01-01T03:41:27.126012Z,2025-08-18
ADM,1d,2025-08-15T00:00:00,59.5,59.78,58.97,59.75,2935937.0,normal,2026-01-01T03:41:27.126012Z,2025-08-15
ADM,1d,2025-08-14T00:00:00,60.0,60.07,58.82,59.32,3571600.0,normal,2026-01-01T03:41:27.126012Z,2025-08-14
ADM,1d,2025-08-13T00:00:00,58.5,59.83,57.49,59.82,4223985.0,normal,2026-01-01T03:41:27.126012Z,2025-08-13
ADM,1d,2025-08-12T00:00:00,58.47,59.68,58.15,58.56,3844803.0,normal,2026-01-01T03:41:27.126012Z,2025-08-12
ADM,1d,2025-08-11T00:00:00,58.4,58.88,57.83,58.28,3063300.0,normal,2026-01-01T03:41:27.126012Z,2025-08-11
ADM,1d,2025-08-08T00:00:00,58.41,58.71,57.68,57.84,2694402.0,normal,2026-01-01T03:41:27.126012Z,2025-08-08
ADM,1d,2025-08-07T00:00:00,57.41,58.04,56.56,57.86,3943621.0,normal,2026-01-01T03:41:27.126012Z,2025-08-07
