ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
ADP,1d,2025-12-09T00:00:00,259.09,260.99,257.99,258.23,1717110.0,normal,2025-12-10T10:46:18.328634Z,2025-12-09
ADP,1d,2025-12-08T00:00:00,260.86,261.12,257.58,258.69,2584354.0,normal,2025-12-10T10:46:18.328634Z,2025-12-08
ADP,1d,2025-12-05T00:00:00,259.4,262.76,259.34,261.63,2756636.0,normal,2025-12-10T10:46:18.328634Z,2025-12-05
ADP,1d,2025-12-04T00:00:00,261.46,262.3,258.35,259.4,2594225.0,normal,2025-12-10T10:46:18.328634Z,2025-12-04
ADP,1d,2025-12-03T00:00:00,256.5,260.54,256.5,260.22,2367407.0,normal,2025-12-10T10:46:18.328634Z,2025-12-03
ADP,1d,2025-12-02T00:00:00,256.65,258.11,254.46,257.18,3423094.0,normal,2025-12-10T10:46:18.328634Z,2025-12-02
ADP,1d,2025-12-01T00:00:00,254.0,257.9,253.2,255.84,2861057.0,normal,2025-12-10T10:46:18.328634Z,2025-12-01
ADP,1d,2025-11-28T00:00:00,255.29,256.36,253.7,255.3,975344.0,normal,2025-12-10T10:46:18.328634Z,2025-11-28
ADP,1d,2025-11-26T00:00:00,256.98,257.4,254.06,254.33,1711800.0,normal,2025-12-10T10:46:18.328634Z,2025-11-26
ADP,1d,2025-11-25T00:00:00,251.0,260.0,250.66,256.31,2670364.0,normal,2025-12-10T10:46:18.328634Z,2025-11-25
ADP,1d,2025-11-24T00:00:00,252.62,252.79,248.33,250.1,3502596.0,normal,2025-12-10T10:46:18.328634Z,2025-11-24
ADP,1d,2025-11-21T00:00:00,249.78,254.46,249.06,253.12,2003291.0,normal,2025-12-10T10:46:18.328634Z,2025-11-21
ADP,1d,2025-11-20T00:00:00,251.81,251.93,247.77,249.06,2034422.0,normal,2025-12-10T10:46:18.328634Z,2025-11-20
ADP,1d,2025-11-19T00:00:00,250.26,251.35,247.18,250.41,2170500.0,normal,2025-12-10T10:46:18.328634Z,2025-11-19
ADP,1d,2025-11-18T00:00:00,251.02,251.46,247.21,249.69,2031686.0,normal,2025-12-10T10:46:18.328634Z,2025-11-18
ADP,1d,2025-11-17T00:00:00,252.81,253.56,250.35,250.9,1761384.0,normal,2025-12-10T10:46:18.328634Z,2025-11-17
ADP,1d,2025-11-14T00:00:00,254.61,255.72,251.22,253.09,1720198.0,normal,2025-12-10T10:46:18.328634Z,2025-11-14
ADP,1d,2025-11-13T00:00:00,252.85,255.04,250.65,254.61,1980838.0,normal,2025-12-10T10:46:18.328634Z,2025-11-13
ADP,1d,2025-11-12T00:00:00,255.21,256.33,253.49,254.55,1772100.0,normal,2025-12-10T10:46:18.328634Z,2025-11-12
ADP,1d,2025-11-11T00:00:00,254.61,256.1,253.27,255.2,1413516.0,normal,2025-12-10T10:46:18.328634Z,2025-11-11
ADP,1d,2025-11-10T00:00:00,253.3,255.77,251.18,254.06,1735725.0,normal,2025-12-10T10:46:18.328634Z,2025-11-10
ADP,1d,2025-11-07T00:00:00,253.76,255.38,251.62,254.16,2442100.0,normal,2025-12-10T10:46:18.328634Z,2025-11-07
ADP,1d,2025-11-06T00:00:00,257.6,258.66,249.68,252.36,3338460.0,normal,2025-12-10T10:46:18.328634Z,2025-11-06
