ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
ALL,1d,2025-12-10T00:00:00,201.41,202.5945,199.97,201.165,955429.0,normal,2025-12-11T07:46:50.837866Z,2025-12-10
ALL,1d,2025-12-09T00:00:00,201.0,203.28,200.62,201.05,1023500.0,normal,2025-12-11T07:46:50.837866Z,2025-12-09
ALL,1d,2025-12-08T00:00:00,203.89,203.89,199.26,200.87,2049900.0,normal,2025-12-11T07:46:50.837866Z,2025-12-08
ALL,1d,2025-12-05T00:00:00,206.47,206.47,201.82,202.27,1575633.0,normal,2025-12-11T07:46:50.837866Z,2025-12-05
ALL,1d,2025-12-04T00:00:00,208.99,210.42,206.27,206.37,1470092.0,normal,2025-12-11T07:46:50.837866Z,2025-12-04
ALL,1d,2025-12-03T00:00:00,209.25,211.13,206.97,208.62,1825900.0,normal,2025-12-11T07:46:50.837866Z,2025-12-03
ALL,1d,2025-12-02T00:00:00,210.03,210.39,208.52,208.91,2089952.0,normal,2025-12-11T07:46:50.837866Z,2025-12-02
ALL,1d,2025-12-01T00:00:00,212.65,213.58,209.87,210.0,1696909.0,normal,2025-12-11T07:46:50.837866Z,2025-12-01
ALL,1d,2025-11-28T00:00:00,214.0,215.37,212.75,212.98,623300.0,normal,2025-12-11T07:46:50.837866Z,2025-11-28
ALL,1d,2025-11-26T00:00:00,212.6,215.03,212.55,213.87,1373671.0,normal,2025-12-11T07:46:50.837866Z,2025-11-26
ALL,1d,2025-11-25T00:00:00,212.86,214.51,212.46,212.65,1732873.0,normal,2025-12-11T07:46:50.837866Z,2025-11-25
ALL,1d,2025-11-24T00:00:00,215.05,215.2,212.32,212.37,2505141.0,normal,2025-12-11T07:46:50.837866Z,2025-11-24
ALL,1d,2025-11-21T00:00:00,213.34,215.89,212.01,214.32,1633421.0,normal,2025-12-11T07:46:50.837866Z,2025-11-21
ALL,1d,2025-11-20T00:00:00,211.81,213.05,210.36,211.74,1772314.0,normal,2025-12-11T07:46:50.837866Z,2025-11-20
ALL,1d,2025-11-19T00:00:00,210.5,212.57,208.34,209.93,1749900.0,normal,2025-12-11T07:46:50.837866Z,2025-11-19
ALL,1d,2025-11-18T00:00:00,209.95,212.11,209.21,209.96,1507800.0,normal,2025-12-11T07:46:50.837866Z,2025-11-18
ALL,1d,2025-11-17T00:00:00,215.2,215.44,208.29,209.21,1738839.0,normal,2025-12-11T07:46:50.837866Z,2025-11-17
ALL,1d,2025-11-14T00:00:00,212.21,215.07,211.32,214.3,2489700.0,normal,2025-12-11T07:46:50.837866Z,2025-11-14
