ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
ARE,1d,2025-12-09T00:00:00,44.9,45.91,44.84,45.29,3142813.0,normal,2025-12-10T10:31:25.736167Z,2025-12-09
ARE,1d,2025-12-08T00:00:00,45.9,45.92,44.1,44.97,5998037.0,normal,2025-12-10T10:31:25.736167Z,2025-12-08
ARE,1d,2025-12-05T00:00:00,46.1,47.49,45.47,45.48,5032900.0,normal,2025-12-10T10:31:25.736167Z,2025-12-05
ARE,1d,2025-12-04T00:00:00,48.01,48.02,46.1,46.59,4963400.0,normal,2025-12-10T10:31:25.736167Z,2025-12-04
ARE,1d,2025-12-03T00:00:00,52.13,52.57,47.57,48.42,7331311.0,normal,2025-12-10T10:31:25.736167Z,2025-12-03
ARE,1d,2025-12-02T00:00:00,53.31,54.17,52.96,53.83,2103528.0,normal,2025-12-10T10:31:25.736167Z,2025-12-02
ARE,1d,2025-12-01T00:00:00,52.86,53.6,52.39,53.1,2822587.0,normal,2025-12-10T10:31:25.736167Z,2025-12-01
ARE,1d,2025-11-28T00:00:00,53.53,54.45,53.4,53.67,1046532.0,normal,2025-12-10T10:31:25.736167Z,2025-11-28
ARE,1d,2025-11-26T00:00:00,52.29,54.17,52.27,53.57,2264298.0,normal,2025-12-10T10:31:25.736167Z,2025-11-26
ARE,1d,2025-11-25T00:00:00,51.6,52.88,51.55,52.65,1924308.0,normal,2025-12-10T10:31:25.736167Z,2025-11-25
ARE,1d,2025-11-24T00:00:00,51.0,51.58,50.6,51.22,2913800.0,normal,2025-12-10T10:31:25.736167Z,2025-11-24
ARE,1d,2025-11-21T00:00:00,49.06,51.75,48.99,50.89,2792703.0,normal,2025-12-10T10:31:25.736167Z,2025-11-21
ARE,1d,2025-11-20T00:00:00,49.82,50.46,48.66,48.86,2482678.0,normal,2025-12-10T10:31:25.736167Z,2025-11-20
ARE,1d,2025-11-19T00:00:00,50.8,51.0,49.3,49.51,2687865.0,normal,2025-12-10T10:31:25.736167Z,2025-11-19
ARE,1d,2025-11-18T00:00:00,50.6,51.12,50.22,50.8,3171789.0,normal,2025-12-10T10:31:25.736167Z,2025-11-18
ARE,1d,2025-11-17T00:00:00,52.34,52.54,50.51,50.84,2921200.0,normal,2025-12-10T10:31:25.736167Z,2025-11-17
ARE,1d,2025-11-14T00:00:00,52.0,52.73,51.63,52.29,1753300.0,normal,2025-12-10T10:31:25.736167Z,2025-11-14
ARE,1d,2025-11-13T00:00:00,53.22,53.67,52.16,52.24,2308960.0,normal,2025-12-10T10:31:25.736167Z,2025-11-13
ARE,1d,2025-11-12T00:00:00,54.4,54.91,53.7,53.78,2429421.0,normal,2025-12-10T10:31:25.736167Z,2025-11-12
ARE,1d,2025-11-11T00:00:00,54.72,55.11,53.77,54.85,2059824.0,normal,2025-12-10T10:31:25.736167Z,2025-11-11
ARE,1d,2025-11-10T00:00:00,55.87,56.35,54.22,54.26,2683083.0,normal,2025-12-10T10:31:25.736167Z,2025-11-10
ARE,1d,2025-11-07T00:00:00,53.18,55.65,52.95,55.61,2936855.0,normal,2025-12-10T10:31:25.736167Z,2025-11-07
ARE,1d,2025-11-06T00:00:00,54.43,54.97,52.94,53.17,2332425.0,normal,2025-12-10T10:31:25.736167Z,2025-11-06
ARE,1d,2025-11-05T00:00:00,54.29,54.85,53.08,54.47,3494200.0,normal,2025-12-10T10:31:25.736167Z,2025-11-05
ARE,1d,2025-11-04T00:00:00,55.04,55.71,53.94,53.99,3128796.0,normal,2025-12-10T10:31:25.736167Z,2025-11-04
ARE,1d,2025-11-03T00:00:00,56.84,58.1,55.37,55.69,3765509.0,normal,2025-12-10T10:31:25.736167Z,2025-11-03
ARE,1d,2025-10-31T00:00:00,56.0,58.7,55.3,58.22,4149914.0,normal,2025-12-10T10:31:25.736167Z,2025-10-31
ARE,1d,2025-10-30T00:00:00,55.34,58.06,55.02,56.37,7501200.0,normal,2025-12-10T10:31:25.736167Z,2025-10-30
ARE,1d,2025-10-29T00:00:00,62.2,63.61,57.62,58.76,7089100.0,normal,2025-12-10T10:31:25.736167Z,2025-10-29
ARE,1d,2025-10-28T00:00:00,69.78,69.78,62.56,62.94,12272900.0,normal,2025-12-10T10:31:25.736167Z,2025-10-28
ARE,1d,2025-10-27T00:00:00,77.93,78.0,76.92,77.87,1404034.0,normal,2025-12-10T10:31:25.736167Z,2025-10-27
ARE,1d,2025-10-24T00:00:00,77.69,78.51,77.27,77.41,1314800.0,normal,2025-12-10T10:31:25.736167Z,2025-10-24
ARE,1d,2025-10-23T00:00:00,77.73,78.29,76.88,76.91,1191800.0,normal,2025-12-10T10:31:25.736167Z,2025-10-23
ARE,1d,2025-10-22T00:00:00,77.09,78.29,76.69,77.77,1195808.0,normal,2025-12-10T10:31:25.736167Z,2025-10-22
