ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
AVY,1d,2025-12-10T00:00:00,173.44,178.0,172.0,177.16,338071.0,normal,2025-12-11T07:43:44.462060Z,2025-12-10
AVY,1d,2025-12-09T00:00:00,174.59,175.27,172.52,172.94,530026.0,normal,2025-12-11T07:43:44.462060Z,2025-12-09
AVY,1d,2025-12-08T00:00:00,178.18,179.65,174.02,175.31,902900.0,normal,2025-12-11T07:43:44.462060Z,2025-12-08
AVY,1d,2025-12-05T00:00:00,174.91,179.64,174.38,179.33,1194827.0,normal,2025-12-11T07:43:44.462060Z,2025-12-05
AVY,1d,2025-12-04T00:00:00,176.29,179.08,174.35,174.96,1063500.0,normal,2025-12-11T07:43:44.462060Z,2025-12-04
AVY,1d,2025-12-03T00:00:00,171.56,175.8,171.03,175.59,831300.0,normal,2025-12-11T07:43:44.462060Z,2025-12-03
AVY,1d,2025-12-02T00:00:00,173.89,173.89,171.6,172.22,746797.0,normal,2025-12-11T07:43:44.462060Z,2025-12-02
AVY,1d,2025-12-01T00:00:00,171.69,173.85,170.21,172.53,654804.0,normal,2025-12-11T07:43:44.462060Z,2025-12-01
AVY,1d,2025-11-28T00:00:00,172.04,173.49,172.04,172.37,246510.0,normal,2025-12-11T07:43:44.462060Z,2025-11-28
AVY,1d,2025-11-26T00:00:00,169.86,172.98,169.86,172.22,635900.0,normal,2025-12-11T07:43:44.462060Z,2025-11-26
AVY,1d,2025-11-25T00:00:00,169.35,171.37,168.75,170.49,614819.0,normal,2025-12-11T07:43:44.462060Z,2025-11-25
AVY,1d,2025-11-24T00:00:00,169.83,171.6,167.14,167.59,1213700.0,normal,2025-12-11T07:43:44.462060Z,2025-11-24
AVY,1d,2025-11-21T00:00:00,167.12,173.17,166.92,170.46,1325113.0,normal,2025-12-11T07:43:44.462060Z,2025-11-21
AVY,1d,2025-11-20T00:00:00,168.71,170.25,165.89,166.01,763600.0,normal,2025-12-11T07:43:44.462060Z,2025-11-20
AVY,1d,2025-11-19T00:00:00,168.56,168.96,165.97,168.44,685647.0,normal,2025-12-11T07:43:44.462060Z,2025-11-19
AVY,1d,2025-11-18T00:00:00,170.68,171.14,168.7,168.73,617948.0,normal,2025-12-11T07:43:44.462060Z,2025-11-18
