ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
BF-B,1d,2025-12-09T00:00:00,30.07,30.45,29.49,29.65,5613700.0,normal,2025-12-10T10:45:59.700247Z,2025-12-09
BF-B,1d,2025-12-08T00:00:00,30.11,30.33,29.82,30.15,4452200.0,normal,2025-12-10T10:45:59.700247Z,2025-12-08
BF-B,1d,2025-12-05T00:00:00,29.42,30.65,29.05,30.4,6343700.0,normal,2025-12-10T10:45:59.700247Z,2025-12-05
BF-B,1d,2025-12-04T00:00:00,30.5,31.92,28.81,29.7,12755400.0,normal,2025-12-10T10:45:59.700247Z,2025-12-04
BF-B,1d,2025-12-03T00:00:00,30.12,30.62,30.07,30.09,7932519.0,normal,2025-12-10T10:45:59.700247Z,2025-12-03
BF-B,1d,2025-12-02T00:00:00,29.65,29.99,29.31,29.89,5837840.0,normal,2025-12-10T10:45:59.700247Z,2025-12-02
BF-B,1d,2025-12-01T00:00:00,28.91,30.39,28.9,29.72,7710453.0,normal,2025-12-10T10:45:59.700247Z,2025-12-01
BF-B,1d,2025-11-28T00:00:00,28.94,29.36,28.86,28.98,2321200.0,normal,2025-12-10T10:45:59.700247Z,2025-11-28
BF-B,1d,2025-11-26T00:00:00,28.69,29.09,28.64,28.64,3232900.0,normal,2025-12-10T10:45:59.700247Z,2025-11-26
BF-B,1d,2025-11-25T00:00:00,28.79,28.95,28.46,28.8,3821800.0,normal,2025-12-10T10:45:59.700247Z,2025-11-25
BF-B,1d,2025-11-24T00:00:00,28.49,28.87,28.3,28.55,4552400.0,normal,2025-12-10T10:45:59.700247Z,2025-11-24
BF-B,1d,2025-11-21T00:00:00,27.89,28.99,27.89,28.45,5212000.0,normal,2025-12-10T10:45:59.700247Z,2025-11-21
BF-B,1d,2025-11-20T00:00:00,27.39,28.14,27.37,27.9,3588022.0,normal,2025-12-10T10:45:59.700247Z,2025-11-20
BF-B,1d,2025-11-19T00:00:00,27.49,27.79,27.02,27.25,3468407.0,normal,2025-12-10T10:45:59.700247Z,2025-11-19
BF-B,1d,2025-11-18T00:00:00,27.63,28.05,27.17,27.69,3795554.0,normal,2025-12-10T10:45:59.700247Z,2025-11-18
BF-B,1d,2025-11-17T00:00:00,27.87,28.24,27.74,27.78,2969722.0,normal,2025-12-10T10:45:59.700247Z,2025-11-17
BF-B,1d,2025-11-14T00:00:00,27.87,28.28,27.65,27.87,3993700.0,normal,2025-12-10T10:45:59.700247Z,2025-11-14
BF-B,1d,2025-11-13T00:00:00,27.51,28.25,27.45,28.05,4462974.0,normal,2025-12-10T10:45:59.700247Z,2025-11-13
BF-B,1d,2025-11-12T00:00:00,27.69,27.87,27.29,27.35,3023700.0,normal,2025-12-10T10:45:59.700247Z,2025-11-12
BF-B,1d,2025-11-11T00:00:00,27.56,28.22,27.5,27.82,3622923.0,normal,2025-12-10T10:45:59.700247Z,2025-11-11
BF-B,1d,2025-11-10T00:00:00,27.04,27.41,26.63,27.32,4094404.0,normal,2025-12-10T10:45:59.700247Z,2025-11-10
BF-B,1d,2025-11-07T00:00:00,26.6,27.26,26.48,26.6,4775170.0,normal,2025-12-10T10:45:59.700247Z,2025-11-07
BF-B,1d,2025-11-06T00:00:00,26.78,27.32,26.5,26.53,4787435.0,normal,2025-12-10T10:45:59.700247Z,2025-11-06
BF-B,1d,2025-11-05T00:00:00,27.33,27.57,27.06,27.07,4426221.0,normal,2025-12-10T10:45:59.700247Z,2025-11-05
BF-B,1d,2025-11-04T00:00:00,27.63,27.92,27.05,27.36,3534034.0,normal,2025-12-10T10:45:59.700247Z,2025-11-04
BF-B,1d,2025-11-03T00:00:00,27.18,28.06,27.14,27.53,5138600.0,normal,2025-12-10T10:45:59.700247Z,2025-11-03
BF-B,1d,2025-10-31T00:00:00,26.41,27.39,26.3,27.23,4741771.0,normal,2025-12-10T10:45:59.700247Z,2025-10-31
BF-B,1d,2025-10-30T00:00:00,26.65,27.25,26.51,26.67,3551637.0,normal,2025-12-10T10:45:59.700247Z,2025-10-30
BF-B,1d,2025-10-29T00:00:00,28.07,28.19,26.75,26.79,2862363.0,normal,2025-12-10T10:45:59.700247Z,2025-10-29
BF-B,1d,2025-10-28T00:00:00,28.32,28.69,28.08,28.22,3271300.0,normal,2025-12-10T10:45:59.700247Z,2025-10-28
BF-B,1d,2025-10-27T00:00:00,27.96,28.68,27.96,28.5,3312235.0,normal,2025-12-10T10:45:59.700247Z,2025-10-27
BF-B,1d,2025-10-24T00:00:00,28.22,28.27,27.87,27.95,2400700.0,normal,2025-12-10T10:45:59.700247Z,2025-10-24
BF-B,1d,2025-10-23T00:00:00,28.15,28.24,27.87,28.11,2514509.0,normal,2025-12-10T10:45:59.700247Z,2025-10-23
BF-B,1d,2025-10-22T00:00:00,28.7,28.76,28.07,28.09,2955500.0,normal,2025-12-10T10:45:59.700247Z,2025-10-22
BF-B,1d,2025-10-21T00:00:00,29.1,29.15,28.47,28.7,3146655.0,normal,2025-12-10T10:45:59.700247Z,2025-10-21
BF-B,1d,2025-10-20T00:00:00,28.95,29.33,28.74,28.93,2853200.0,normal,2025-12-10T10:45:59.700247Z,2025-10-20
BF-B,1d,2025-10-17T00:00:00,28.48,28.87,28.19,28.71,4496800.0,normal,2025-12-10T10:45:59.700247Z,2025-10-17
BF-B,1d,2025-10-16T00:00:00,27.41,28.53,27.27,28.28,4037296.0,normal,2025-12-10T10:45:59.700247Z,2025-10-16
BF-B,1d,2025-10-15T00:00:00,27.66,27.66,26.5,27.16,3866765.0,normal,2025-12-10T10:45:59.700247Z,2025-10-15
BF-B,1d,2025-10-14T00:00:00,26.61,27.57,26.61,27.53,4548900.0,normal,2025-12-10T10:45:59.700247Z,2025-10-14
BF-B,1d,2025-10-13T00:00:00,26.83,27.54,26.72,26.93,3792300.0,normal,2025-12-10T10:45:59.700247Z,2025-10-13
BF-B,1d,2025-10-10T00:00:00,27.84,27.84,26.69,26.7,2622201.0,normal,2025-12-10T10:45:59.700247Z,2025-10-10
BF-B,1d,2025-10-09T00:00:00,27.88,27.89,27.32,27.38,3315028.0,normal,2025-12-10T10:45:59.700247Z,2025-10-09
BF-B,1d,2025-10-08T00:00:00,27.85,27.89,27.5,27.81,2683539.0,normal,2025-12-10T10:45:59.700247Z,2025-10-08
BF-B,1d,2025-10-07T00:00:00,27.86,27.9,27.5,27.85,2922860.0,normal,2025-12-10T10:45:59.700247Z,2025-10-07
BF-B,1d,2025-10-06T00:00:00,27.78,27.9,27.34,27.54,1940749.0,normal,2025-12-10T10:45:59.700247Z,2025-10-06
BF-B,1d,2025-10-03T00:00:00,27.74,28.16,27.73,27.97,2563411.0,normal,2025-12-10T10:45:59.700247Z,2025-10-03
BF-B,1d,2025-10-02T00:00:00,27.76,28.96,27.56,27.68,4778706.0,normal,2025-12-10T10:45:59.700247Z,2025-10-02
BF-B,1d,2025-10-01T00:00:00,27.05,27.72,26.96,27.55,3863700.0,normal,2025-12-10T10:45:59.700247Z,2025-10-01
BF-B,1d,2025-09-30T00:00:00,27.18,27.25,26.78,27.08,3514146.0,normal,2025-12-10T10:45:59.700247Z,2025-09-30
BF-B,1d,2025-09-29T00:00:00,27.28,27.28,26.87,27.07,2778423.0,normal,2025-12-10T10:45:59.700247Z,2025-09-29
