ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
BMY,1d,2025-12-10T00:00:00,50.845,51.61,50.33,51.21,7651347.0,normal,2025-12-11T07:37:26.901335Z,2025-12-10
BMY,1d,2025-12-09T00:00:00,51.79,52.01,50.42,50.65,12715403.0,normal,2025-12-11T07:37:26.901335Z,2025-12-09
BMY,1d,2025-12-08T00:00:00,52.2,52.41,51.66,51.67,15278700.0,normal,2025-12-11T07:37:26.901335Z,2025-12-08
BMY,1d,2025-12-05T00:00:00,51.99,52.51,51.69,52.15,15667700.0,normal,2025-12-11T07:37:26.901335Z,2025-12-05
BMY,1d,2025-12-04T00:00:00,50.8,52.08,50.23,51.95,20473113.0,normal,2025-12-11T07:37:26.901335Z,2025-12-04
BMY,1d,2025-12-03T00:00:00,49.94,51.34,49.43,50.96,27120129.0,normal,2025-12-11T07:37:26.901335Z,2025-12-03
BMY,1d,2025-12-02T00:00:00,48.95,49.18,48.22,48.25,14475700.0,normal,2025-12-11T07:37:26.901335Z,2025-12-02
BMY,1d,2025-12-01T00:00:00,49.23,49.86,48.76,49.18,11772900.0,normal,2025-12-11T07:37:26.901335Z,2025-12-01
BMY,1d,2025-11-28T00:00:00,49.23,49.37,49.01,49.2,6187103.0,normal,2025-12-11T07:37:26.901335Z,2025-11-28
BMY,1d,2025-11-26T00:00:00,49.02,49.5,48.8,49.25,11373500.0,normal,2025-12-11T07:37:26.901335Z,2025-11-26
BMY,1d,2025-11-25T00:00:00,48.21,49.4,48.1,49.05,15000000.0,normal,2025-12-11T07:37:26.901335Z,2025-11-25
BMY,1d,2025-11-24T00:00:00,48.19,48.63,47.58,47.76,27383800.0,normal,2025-12-11T07:37:26.901335Z,2025-11-24
BMY,1d,2025-11-21T00:00:00,46.17,46.99,45.52,46.25,14183520.0,normal,2025-12-11T07:37:26.901335Z,2025-11-21
BMY,1d,2025-11-20T00:00:00,45.9,46.2,45.27,45.94,12137612.0,normal,2025-12-11T07:37:26.901335Z,2025-11-20
BMY,1d,2025-11-19T00:00:00,47.0,47.0,45.74,45.79,14825040.0,normal,2025-12-11T07:37:26.901335Z,2025-11-19
BMY,1d,2025-11-18T00:00:00,46.81,47.64,46.76,47.06,14588800.0,normal,2025-12-11T07:37:26.901335Z,2025-11-18
BMY,1d,2025-11-17T00:00:00,46.52,47.73,46.52,46.81,12851600.0,normal,2025-12-11T07:37:26.901335Z,2025-11-17
BMY,1d,2025-11-14T00:00:00,48.27,48.37,46.12,46.65,19779300.0,normal,2025-12-11T07:37:26.901335Z,2025-11-14
BMY,1d,2025-11-13T00:00:00,49.02,49.99,48.48,48.63,14502621.0,normal,2025-12-11T07:37:26.901335Z,2025-11-13
BMY,1d,2025-11-12T00:00:00,49.0,49.73,48.72,49.08,12717200.0,normal,2025-12-11T07:37:26.901335Z,2025-11-12
BMY,1d,2025-11-11T00:00:00,47.48,48.74,47.45,48.72,14446012.0,normal,2025-12-11T07:37:26.901335Z,2025-11-11
BMY,1d,2025-11-10T00:00:00,46.67,47.4,46.67,47.26,10739300.0,normal,2025-12-11T07:37:26.901335Z,2025-11-10
BMY,1d,2025-11-07T00:00:00,46.72,46.99,46.32,46.69,9007501.0,normal,2025-12-11T07:37:26.901335Z,2025-11-07
BMY,1d,2025-11-06T00:00:00,46.41,47.0,45.96,46.63,11591200.0,normal,2025-12-11T07:37:26.901335Z,2025-11-06
BMY,1d,2025-11-05T00:00:00,45.55,46.63,45.43,46.47,11730700.0,normal,2025-12-11T07:37:26.901335Z,2025-11-05
