ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
BR,1d,2025-12-15T00:00:00,230.16,231.12,226.9,229.23,637446.0,normal,2026-01-01T03:46:45.653228Z,2025-12-15
BR,1d,2025-12-12T00:00:00,231.5,232.89,229.54,230.05,590905.0,normal,2026-01-01T03:46:45.653228Z,2025-12-12
BR,1d,2025-12-11T00:00:00,228.33,232.34,227.77,231.5,590123.0,normal,2026-01-01T03:46:45.653228Z,2025-12-11
BR,1d,2025-12-10T00:00:00,225.72,227.39,224.46,226.91,406894.0,normal,2026-01-01T03:46:45.653228Z,2025-12-10
BR,1d,2025-12-09T00:00:00,227.75,228.29,224.85,225.32,647200.0,normal,2026-01-01T03:46:45.653228Z,2025-12-09
BR,1d,2025-12-08T00:00:00,231.25,231.25,226.18,227.54,654021.0,normal,2026-01-01T03:46:45.653228Z,2025-12-08
BR,1d,2025-12-05T00:00:00,230.45,233.1,229.46,232.02,748649.0,normal,2026-01-01T03:46:45.653228Z,2025-12-05
BR,1d,2025-12-04T00:00:00,230.86,232.5,229.19,230.88,584625.0,normal,2026-01-01T03:46:45.653228Z,2025-12-04
BR,1d,2025-12-03T00:00:00,227.26,230.58,227.26,230.46,741100.0,normal,2026-01-01T03:46:45.653228Z,2025-12-03
BR,1d,2025-12-02T00:00:00,227.19,229.58,224.98,227.61,749139.0,normal,2026-01-01T03:46:45.653228Z,2025-12-02
BR,1d,2025-12-01T00:00:00,227.06,229.0,226.32,226.55,669217.0,normal,2026-01-01T03:46:45.653228Z,2025-12-01
BR,1d,2025-11-28T00:00:00,228.69,229.25,226.22,228.09,222732.0,normal,2026-01-01T03:46:45.653228Z,2025-11-28
BR,1d,2025-11-26T00:00:00,227.15,229.58,227.15,227.59,566100.0,normal,2026-01-01T03:46:45.653228Z,2025-11-26
BR,1d,2025-11-25T00:00:00,227.37,229.5,227.37,228.22,432630.0,normal,2026-01-01T03:46:45.653228Z,2025-11-25
BR,1d,2025-11-24T00:00:00,228.4,230.22,226.22,226.23,1140400.0,normal,2026-01-01T03:46:45.653228Z,2025-11-24
