ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
BXP,1d,2025-12-10T00:00:00,69.05,70.75,69.0,70.33,819160.0,normal,2025-12-11T07:43:02.849045Z,2025-12-10
BXP,1d,2025-12-09T00:00:00,68.52,69.86,68.04,68.98,909700.0,normal,2025-12-11T07:43:02.849045Z,2025-12-09
BXP,1d,2025-12-08T00:00:00,69.08,69.08,68.05,68.53,1279700.0,normal,2025-12-11T07:43:02.849045Z,2025-12-08
BXP,1d,2025-12-05T00:00:00,70.55,70.81,68.7,69.28,1915933.0,normal,2025-12-11T07:43:02.849045Z,2025-12-05
BXP,1d,2025-12-04T00:00:00,71.56,71.65,70.25,70.56,1082100.0,normal,2025-12-11T07:43:02.849045Z,2025-12-04
BXP,1d,2025-12-03T00:00:00,71.88,72.5,70.73,71.15,1081700.0,normal,2025-12-11T07:43:02.849045Z,2025-12-03
BXP,1d,2025-12-02T00:00:00,72.02,72.4,71.33,71.75,889350.0,normal,2025-12-11T07:43:02.849045Z,2025-12-02
BXP,1d,2025-12-01T00:00:00,71.7,72.72,71.22,71.97,1465738.0,normal,2025-12-11T07:43:02.849045Z,2025-12-01
BXP,1d,2025-11-28T00:00:00,72.5,72.82,72.25,72.36,414049.0,normal,2025-12-11T07:43:02.849045Z,2025-11-28
BXP,1d,2025-11-26T00:00:00,72.34,73.12,72.08,72.71,1231315.0,normal,2025-12-11T07:43:02.849045Z,2025-11-26
BXP,1d,2025-11-25T00:00:00,70.77,73.17,70.77,72.43,1447007.0,normal,2025-12-11T07:43:02.849045Z,2025-11-25
BXP,1d,2025-11-24T00:00:00,70.22,71.05,69.72,70.66,1500417.0,normal,2025-12-11T07:43:02.849045Z,2025-11-24
BXP,1d,2025-11-21T00:00:00,68.86,70.45,68.81,70.04,1252895.0,normal,2025-12-11T07:43:02.849045Z,2025-11-21
BXP,1d,2025-11-20T00:00:00,69.98,70.9,68.63,68.66,1135400.0,normal,2025-12-11T07:43:02.849045Z,2025-11-20
BXP,1d,2025-11-19T00:00:00,69.29,69.68,68.56,69.38,976738.0,normal,2025-12-11T07:43:02.849045Z,2025-11-19
BXP,1d,2025-11-18T00:00:00,69.23,69.48,68.46,69.13,1117259.0,normal,2025-12-11T07:43:02.849045Z,2025-11-18
BXP,1d,2025-11-17T00:00:00,70.54,70.76,68.71,69.11,1064340.0,normal,2025-12-11T07:43:02.849045Z,2025-11-17
BXP,1d,2025-11-14T00:00:00,70.52,71.11,70.04,70.64,1059435.0,normal,2025-12-11T07:43:02.849045Z,2025-11-14
BXP,1d,2025-11-13T00:00:00,71.48,72.15,70.65,70.8,1392700.0,normal,2025-12-11T07:43:02.849045Z,2025-11-13
BXP,1d,2025-11-12T00:00:00,72.14,73.03,71.65,71.65,1535600.0,normal,2025-12-11T07:43:02.849045Z,2025-11-12
BXP,1d,2025-11-11T00:00:00,72.01,72.86,71.6,72.42,1875728.0,normal,2025-12-11T07:43:02.849045Z,2025-11-11
BXP,1d,2025-11-10T00:00:00,72.36,72.38,71.01,71.61,1307300.0,normal,2025-12-11T07:43:02.849045Z,2025-11-10
BXP,1d,2025-11-07T00:00:00,70.19,72.54,70.1,72.36,1903500.0,normal,2025-12-11T07:43:02.849045Z,2025-11-07
