ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
CARR,1d,2025-12-15T00:00:00,53.34,53.34,52.22,52.58,7322412.0,normal,2026-01-01T03:53:53.005176Z,2025-12-15
CARR,1d,2025-12-12T00:00:00,54.86,54.87,52.79,52.94,6481000.0,normal,2026-01-01T03:53:53.005176Z,2025-12-12
CARR,1d,2025-12-11T00:00:00,53.74,54.59,53.17,54.15,6584009.0,normal,2026-01-01T03:53:53.005176Z,2025-12-11
CARR,1d,2025-12-10T00:00:00,52.95,54.07,52.34,53.4,16529100.0,normal,2026-01-01T03:53:53.005176Z,2025-12-10
CARR,1d,2025-12-09T00:00:00,52.81,53.43,52.02,52.84,12466946.0,normal,2026-01-01T03:53:53.005176Z,2025-12-09
CARR,1d,2025-12-08T00:00:00,54.24,54.36,52.99,53.03,13159200.0,normal,2026-01-01T03:53:53.005176Z,2025-12-08
CARR,1d,2025-12-05T00:00:00,54.52,54.8,54.0,54.29,9063920.0,normal,2026-01-01T03:53:53.005176Z,2025-12-05
CARR,1d,2025-12-04T00:00:00,53.98,55.14,53.62,54.5,12206379.0,normal,2026-01-01T03:53:53.005176Z,2025-12-04
CARR,1d,2025-12-03T00:00:00,53.59,54.65,53.2,54.62,9752653.0,normal,2026-01-01T03:53:53.005176Z,2025-12-03
CARR,1d,2025-12-02T00:00:00,54.66,54.73,53.44,53.82,3768903.0,normal,2026-01-01T03:53:53.005176Z,2025-12-02
CARR,1d,2025-12-01T00:00:00,54.06,54.86,53.91,54.25,6689200.0,normal,2026-01-01T03:53:53.005176Z,2025-12-01
CARR,1d,2025-11-28T00:00:00,54.6,54.91,54.11,54.88,2897200.0,normal,2026-01-01T03:53:53.005176Z,2025-11-28
CARR,1d,2025-11-26T00:00:00,54.03,54.86,53.71,54.36,6536848.0,normal,2026-01-01T03:53:53.005176Z,2025-11-26
CARR,1d,2025-11-25T00:00:00,52.26,54.19,52.14,53.95,11511751.0,normal,2026-01-01T03:53:53.005176Z,2025-11-25
CARR,1d,2025-11-24T00:00:00,52.4,53.08,51.64,51.75,9383900.0,normal,2026-01-01T03:53:53.005176Z,2025-11-24
CARR,1d,2025-11-21T00:00:00,50.88,52.72,50.57,52.41,12733125.0,normal,2026-01-01T03:53:53.005176Z,2025-11-21
CARR,1d,2025-11-20T00:00:00,51.5,51.99,50.3,50.36,6401252.0,normal,2026-01-01T03:53:53.005176Z,2025-11-20
CARR,1d,2025-11-19T00:00:00,52.42,52.42,51.03,51.25,6655634.0,normal,2026-01-01T03:53:53.005176Z,2025-11-19
CARR,1d,2025-11-18T00:00:00,52.71,53.25,51.95,52.01,6507167.0,normal,2026-01-01T03:53:53.005176Z,2025-11-18
CARR,1d,2025-11-17T00:00:00,54.14,54.2,52.95,53.13,5766695.0,normal,2026-01-01T03:53:53.005176Z,2025-11-17
CARR,1d,2025-11-14T00:00:00,54.57,54.89,53.96,54.1,6035104.0,normal,2026-01-01T03:53:53.005176Z,2025-11-14
CARR,1d,2025-11-13T00:00:00,55.95,57.11,55.04,55.16,5357157.0,normal,2026-01-01T03:53:53.005176Z,2025-11-13
CARR,1d,2025-11-12T00:00:00,57.16,57.75,54.99,55.99,7253842.0,normal,2026-01-01T03:53:53.005176Z,2025-11-12
CARR,1d,2025-11-11T00:00:00,57.57,57.6,56.64,56.97,3955469.0,normal,2026-01-01T03:53:53.005176Z,2025-11-11
CARR,1d,2025-11-10T00:00:00,57.71,57.8,56.14,57.33,4054700.0,normal,2026-01-01T03:53:53.005176Z,2025-11-10
CARR,1d,2025-11-07T00:00:00,55.97,57.52,55.59,57.51,5669450.0,normal,2026-01-01T03:53:53.005176Z,2025-11-07
CARR,1d,2025-11-06T00:00:00,56.71,57.72,56.43,56.57,5344615.0,normal,2026-01-01T03:53:53.005176Z,2025-11-06
CARR,1d,2025-11-05T00:00:00,57.16,57.74,56.62,56.85,6333247.0,normal,2026-01-01T03:53:53.005176Z,2025-11-05
CARR,1d,2025-11-04T00:00:00,57.36,57.91,56.84,57.55,5135533.0,normal,2026-01-01T03:53:53.005176Z,2025-11-04
CARR,1d,2025-11-03T00:00:00,58.94,59.43,57.56,57.86,4744581.0,normal,2026-01-01T03:53:53.005176Z,2025-11-03
CARR,1d,2025-10-31T00:00:00,58.65,59.82,57.93,59.49,5294812.0,normal,2026-01-01T03:53:53.005176Z,2025-10-31
CARR,1d,2025-10-30T00:00:00,60.07,61.0,58.35,58.85,10231821.0,normal,2026-01-01T03:53:53.005176Z,2025-10-30
CARR,1d,2025-10-29T00:00:00,57.8,62.33,57.5,60.75,13232949.0,normal,2026-01-01T03:53:53.005176Z,2025-10-29
CARR,1d,2025-10-28T00:00:00,60.0,60.56,58.45,58.74,9614642.0,normal,2026-01-01T03:53:53.005176Z,2025-10-28
CARR,1d,2025-10-27T00:00:00,58.44,58.93,57.85,58.29,6363731.0,normal,2026-01-01T03:53:53.005176Z,2025-10-27
CARR,1d,2025-10-24T00:00:00,57.91,58.39,57.65,57.84,4292778.0,normal,2026-01-01T03:53:53.005176Z,2025-10-24
CARR,1d,2025-10-23T00:00:00,56.99,57.51,56.6,57.12,3932400.0,normal,2026-01-01T03:53:53.005176Z,2025-10-23
CARR,1d,2025-10-22T00:00:00,60.17,60.58,56.61,56.74,10575721.0,normal,2026-01-01T03:53:53.005176Z,2025-10-22
CARR,1d,2025-10-21T00:00:00,57.34,59.97,57.15,59.82,5984861.0,normal,2026-01-01T03:53:53.005176Z,2025-10-21
CARR,1d,2025-10-20T00:00:00,56.79,57.69,56.79,57.67,7441166.0,normal,2026-01-01T03:53:53.005176Z,2025-10-20
CARR,1d,2025-10-17T00:00:00,56.82,57.0,56.14,56.2,6011998.0,normal,2026-01-01T03:53:53.005176Z,2025-10-17
CARR,1d,2025-10-16T00:00:00,57.32,57.38,56.3,56.75,7265614.0,normal,2026-01-01T03:53:53.005176Z,2025-10-16
CARR,1d,2025-10-15T00:00:00,57.44,58.3,56.77,57.21,7907932.0,normal,2026-01-01T03:53:53.005176Z,2025-10-15
CARR,1d,2025-10-14T00:00:00,55.53,57.88,55.33,57.5,6553515.0,normal,2026-01-01T03:53:53.005176Z,2025-10-14
CARR,1d,2025-10-13T00:00:00,57.43,57.71,56.71,56.87,3241108.0,normal,2026-01-01T03:53:53.005176Z,2025-10-13
CARR,1d,2025-10-10T00:00:00,58.55,59.26,56.57,56.66,5625918.0,normal,2026-01-01T03:53:53.005176Z,2025-10-10
CARR,1d,2025-10-09T00:00:00,60.07,60.49,57.67,58.1,6201100.0,normal,2026-01-01T03:53:53.005176Z,2025-10-09
CARR,1d,2025-10-08T00:00:00,59.05,60.52,58.61,59.8,8457300.0,normal,2026-01-01T03:53:53.005176Z,2025-10-08
CARR,1d,2025-10-07T00:00:00,59.83,60.1,59.03,59.18,5700528.0,normal,2026-01-01T03:53:53.005176Z,2025-10-07
CARR,1d,2025-10-06T00:00:00,60.35,60.77,59.55,59.81,5103504.0,normal,2026-01-01T03:53:53.005176Z,2025-10-06
CARR,1d,2025-10-03T00:00:00,58.93,59.95,58.7,59.65,5611423.0,normal,2026-01-01T03:53:53.005176Z,2025-10-03
CARR,1d,2025-10-02T00:00:00,59.33,60.06,58.73,58.9,3830120.0,normal,2026-01-01T03:53:53.005176Z,2025-10-02
CARR,1d,2025-10-01T00:00:00,59.4,59.81,59.2,59.46,3593047.0,normal,2026-01-01T03:53:53.005176Z,2025-10-01
CARR,1d,2025-09-30T00:00:00,59.0,59.81,58.94,59.7,6126808.0,normal,2026-01-01T03:53:53.005176Z,2025-09-30
CARR,1d,2025-09-29T00:00:00,59.64,59.64,58.75,59.13,4745100.0,normal,2026-01-01T03:53:53.005176Z,2025-09-29
CARR,1d,2025-09-26T00:00:00,58.9,59.28,58.59,58.84,6079420.0,normal,2026-01-01T03:53:53.005176Z,2025-09-26
CARR,1d,2025-09-25T00:00:00,58.56,59.28,58.32,58.75,4821200.0,normal,2026-01-01T03:53:53.005176Z,2025-09-25
CARR,1d,2025-09-24T00:00:00,59.5,60.05,58.96,58.99,4148000.0,normal,2026-01-01T03:53:53.005176Z,2025-09-24
CARR,1d,2025-09-23T00:00:00,60.52,60.81,59.44,59.74,5200200.0,normal,2026-01-01T03:53:53.005176Z,2025-09-23
CARR,1d,2025-09-22T00:00:00,60.0,60.47,59.66,60.31,4220013.0,normal,2026-01-01T03:53:53.005176Z,2025-09-22
CARR,1d,2025-09-19T00:00:00,61.2,61.28,60.36,60.39,5733500.0,normal,2026-01-01T03:53:53.005176Z,2025-09-19
CARR,1d,2025-09-18T00:00:00,61.14,61.69,60.71,61.1,4700840.0,normal,2026-01-01T03:53:53.005176Z,2025-09-18
CARR,1d,2025-09-17T00:00:00,61.21,62.38,60.23,60.72,7077838.0,normal,2026-01-01T03:53:53.005176Z,2025-09-17
CARR,1d,2025-09-16T00:00:00,61.68,61.9,60.87,60.93,5181000.0,normal,2026-01-01T03:53:53.005176Z,2025-09-16
CARR,1d,2025-09-15T00:00:00,61.9,62.0,60.68,61.24,6925632.0,normal,2026-01-01T03:53:53.005176Z,2025-09-15
CARR,1d,2025-09-12T00:00:00,61.77,62.53,61.38,61.67,5224933.0,normal,2026-01-01T03:53:53.005176Z,2025-09-12
CARR,1d,2025-09-11T00:00:00,62.0,63.26,61.65,62.3,7588598.0,normal,2026-01-01T03:53:53.005176Z,2025-09-11
CARR,1d,2025-09-10T00:00:00,63.84,64.8,60.1,62.5,13960322.0,normal,2026-01-01T03:53:53.005176Z,2025-09-10
