ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
CHTR,1d,2025-12-15T00:00:00,206.17,210.37,205.0,209.52,1533156.0,normal,2026-01-01T03:41:22.400298Z,2025-12-15
CHTR,1d,2025-12-12T00:00:00,212.47,214.63,206.11,206.6,1687704.0,normal,2026-01-01T03:41:22.400298Z,2025-12-12
CHTR,1d,2025-12-11T00:00:00,214.67,215.97,209.3,212.06,1532625.0,normal,2026-01-01T03:41:22.400298Z,2025-12-11
CHTR,1d,2025-12-10T00:00:00,204.6,215.77,204.18,213.29,1546417.0,normal,2026-01-01T03:41:22.400298Z,2025-12-10
CHTR,1d,2025-12-09T00:00:00,204.17,206.64,203.04,205.13,1111004.0,normal,2026-01-01T03:41:22.400298Z,2025-12-09
CHTR,1d,2025-12-08T00:00:00,205.29,205.98,201.6,204.65,2028606.0,normal,2026-01-01T03:41:22.400298Z,2025-12-08
CHTR,1d,2025-12-05T00:00:00,200.0,207.79,199.65,205.1,1681907.0,normal,2026-01-01T03:41:22.400298Z,2025-12-05
CHTR,1d,2025-12-04T00:00:00,199.95,201.37,196.34,199.98,1587102.0,normal,2026-01-01T03:41:22.400298Z,2025-12-04
CHTR,1d,2025-12-03T00:00:00,196.69,201.66,196.0,199.96,1346500.0,normal,2026-01-01T03:41:22.400298Z,2025-12-03
CHTR,1d,2025-12-02T00:00:00,197.82,198.3,194.02,197.72,1491835.0,normal,2026-01-01T03:41:22.400298Z,2025-12-02
CHTR,1d,2025-12-01T00:00:00,199.5,202.28,195.71,196.94,1817126.0,normal,2026-01-01T03:41:22.400298Z,2025-12-01
CHTR,1d,2025-11-28T00:00:00,200.15,203.31,198.84,200.12,899110.0,normal,2026-01-01T03:41:22.400298Z,2025-11-28
CHTR,1d,2025-11-26T00:00:00,200.44,200.76,198.64,199.81,1416485.0,normal,2026-01-01T03:41:22.400298Z,2025-11-26
CHTR,1d,2025-11-25T00:00:00,199.08,204.69,198.64,200.76,1378238.0,normal,2026-01-01T03:41:22.400298Z,2025-11-25
