ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
CL,1d,2025-12-10T00:00:00,77.21,78.29,76.78,77.76,6024265.0,normal,2025-12-11T07:43:16.642057Z,2025-12-10
CL,1d,2025-12-09T00:00:00,76.95,78.52,76.6,76.98,6254342.0,normal,2025-12-11T07:43:16.642057Z,2025-12-09
CL,1d,2025-12-08T00:00:00,77.29,77.55,76.02,76.11,6394700.0,normal,2025-12-11T07:43:16.642057Z,2025-12-08
CL,1d,2025-12-05T00:00:00,77.47,78.21,77.24,78.07,5649750.0,normal,2025-12-11T07:43:16.642057Z,2025-12-05
CL,1d,2025-12-04T00:00:00,78.21,78.5,77.55,77.6,5760385.0,normal,2025-12-11T07:43:16.642057Z,2025-12-04
CL,1d,2025-12-03T00:00:00,79.0,79.67,78.12,78.2,5537068.0,normal,2025-12-11T07:43:16.642057Z,2025-12-03
CL,1d,2025-12-02T00:00:00,79.46,79.46,77.86,78.82,9270293.0,normal,2025-12-11T07:43:16.642057Z,2025-12-02
CL,1d,2025-12-01T00:00:00,80.3,80.69,79.61,79.94,6578278.0,normal,2025-12-11T07:43:16.642057Z,2025-12-01
CL,1d,2025-11-28T00:00:00,80.0,80.44,79.91,80.39,2568000.0,normal,2025-12-11T07:43:16.642057Z,2025-11-28
CL,1d,2025-11-26T00:00:00,79.48,80.3,79.31,80.04,4049371.0,normal,2025-12-11T07:43:16.642057Z,2025-11-26
CL,1d,2025-11-25T00:00:00,79.78,80.07,79.21,79.82,6097819.0,normal,2025-12-11T07:43:16.642057Z,2025-11-25
CL,1d,2025-11-24T00:00:00,80.91,81.1,79.11,79.18,7111315.0,normal,2025-12-11T07:43:16.642057Z,2025-11-24
CL,1d,2025-11-21T00:00:00,79.39,81.35,79.1,80.93,7633296.0,normal,2025-12-11T07:43:16.642057Z,2025-11-21
CL,1d,2025-11-20T00:00:00,78.08,79.21,77.63,78.86,5985020.0,normal,2025-12-11T07:43:16.642057Z,2025-11-20
CL,1d,2025-11-19T00:00:00,79.25,79.36,78.33,78.47,3832211.0,normal,2025-12-11T07:43:16.642057Z,2025-11-19
CL,1d,2025-11-18T00:00:00,79.22,79.65,78.54,79.33,5844134.0,normal,2025-12-11T07:43:16.642057Z,2025-11-18
CL,1d,2025-11-17T00:00:00,78.28,79.38,78.0,78.81,6463289.0,normal,2025-12-11T07:43:16.642057Z,2025-11-17
CL,1d,2025-11-14T00:00:00,78.87,79.68,77.87,78.05,6950900.0,normal,2025-12-11T07:43:16.642057Z,2025-11-14
CL,1d,2025-11-13T00:00:00,78.63,79.35,78.48,78.79,6161192.0,normal,2025-12-11T07:43:16.642057Z,2025-11-13
CL,1d,2025-11-12T00:00:00,79.43,79.74,78.53,78.56,5936811.0,normal,2025-12-11T07:43:16.642057Z,2025-11-12
CL,1d,2025-11-11T00:00:00,78.79,79.67,77.92,79.47,8253211.0,normal,2025-12-11T07:43:16.642057Z,2025-11-11
CL,1d,2025-11-10T00:00:00,78.39,78.99,78.04,78.47,6801119.0,normal,2025-12-11T07:43:16.642057Z,2025-11-10
CL,1d,2025-11-07T00:00:00,77.85,78.99,77.09,78.76,8566229.0,normal,2025-12-11T07:43:16.642057Z,2025-11-07
CL,1d,2025-11-06T00:00:00,76.6,77.63,76.45,77.27,6823200.0,normal,2025-12-11T07:43:16.642057Z,2025-11-06
CL,1d,2025-11-05T00:00:00,76.76,77.14,76.01,76.91,7515045.0,normal,2025-12-11T07:43:16.642057Z,2025-11-05
CL,1d,2025-11-04T00:00:00,75.8,76.58,75.0,76.55,8928120.0,normal,2025-12-11T07:43:16.642057Z,2025-11-04
