ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
CSGP,1d,2025-12-24T00:00:00,66.34,67.27,66.3,66.89,992800.0,normal,2025-12-26T06:58:22.352019Z,2025-12-24
CSGP,1d,2025-12-23T00:00:00,66.6,66.88,65.79,66.64,2723500.0,normal,2025-12-26T06:58:22.352019Z,2025-12-23
CSGP,1d,2025-12-22T00:00:00,65.12,66.69,64.97,66.6,4613830.0,normal,2025-12-26T06:58:22.352019Z,2025-12-22
CSGP,1d,2025-12-19T00:00:00,64.41,65.84,63.99,65.23,9576214.0,normal,2025-12-26T06:58:22.352019Z,2025-12-19
CSGP,1d,2025-12-18T00:00:00,65.01,65.5,64.65,64.88,5129500.0,normal,2025-12-26T06:58:22.352019Z,2025-12-18
CSGP,1d,2025-12-17T00:00:00,63.62,65.08,63.6,64.83,5365647.0,normal,2025-12-26T06:58:22.352019Z,2025-12-17
CSGP,1d,2025-12-16T00:00:00,64.0,64.89,63.36,63.62,4762047.0,normal,2025-12-26T06:58:22.352019Z,2025-12-16
CSGP,1d,2025-12-15T00:00:00,68.25,68.25,62.0,63.75,8312700.0,normal,2025-12-26T06:58:22.352019Z,2025-12-15
CSGP,1d,2025-12-12T00:00:00,67.92,68.51,67.74,68.23,3147300.0,normal,2025-12-26T06:58:22.352019Z,2025-12-12
CSGP,1d,2025-12-11T00:00:00,67.76,68.5,67.16,67.47,3408400.0,normal,2025-12-26T06:58:22.352019Z,2025-12-11
CSGP,1d,2025-12-10T00:00:00,67.8,68.58,67.285,67.87,1990278.0,normal,2025-12-26T06:58:22.352019Z,2025-12-10
CSGP,1d,2025-12-09T00:00:00,66.52,68.49,66.34,67.93,2774458.0,normal,2025-12-26T06:58:22.352019Z,2025-12-09
CSGP,1d,2025-12-08T00:00:00,67.92,67.95,66.08,66.33,3429321.0,normal,2025-12-26T06:58:22.352019Z,2025-12-08
CSGP,1d,2025-12-05T00:00:00,67.81,68.77,67.47,68.01,2950746.0,normal,2025-12-26T06:58:22.352019Z,2025-12-05
CSGP,1d,2025-12-04T00:00:00,69.0,69.06,68.08,68.19,2329218.0,normal,2025-12-26T06:58:22.352019Z,2025-12-04
CSGP,1d,2025-12-03T00:00:00,68.22,69.12,68.03,69.02,2449700.0,normal,2025-12-26T06:58:22.352019Z,2025-12-03
CSGP,1d,2025-12-02T00:00:00,68.33,68.64,67.49,68.2,3120829.0,normal,2025-12-26T06:58:22.352019Z,2025-12-02
CSGP,1d,2025-12-01T00:00:00,67.97,69.3,67.85,68.02,3026523.0,normal,2025-12-26T06:58:22.352019Z,2025-12-01
CSGP,1d,2025-11-28T00:00:00,68.44,68.9,67.74,68.8,1806700.0,normal,2025-12-26T06:58:22.352019Z,2025-11-28
CSGP,1d,2025-11-26T00:00:00,68.75,69.12,67.78,67.82,3287376.0,normal,2025-12-26T06:58:22.352019Z,2025-11-26
CSGP,1d,2025-11-25T00:00:00,67.98,69.36,67.16,69.2,3746797.0,normal,2025-12-26T06:58:22.352019Z,2025-11-25
CSGP,1d,2025-11-24T00:00:00,67.42,68.27,66.94,67.55,10979939.0,normal,2025-12-26T06:58:22.352019Z,2025-11-24
CSGP,1d,2025-11-21T00:00:00,65.98,67.59,65.9,67.25,5769901.0,normal,2025-12-26T06:58:22.352019Z,2025-11-21
CSGP,1d,2025-11-20T00:00:00,66.73,66.81,64.72,65.52,5403137.0,normal,2025-12-26T06:58:22.352019Z,2025-11-20
CSGP,1d,2025-11-19T00:00:00,66.43,66.52,65.45,66.02,3903231.0,normal,2025-12-26T06:58:22.352019Z,2025-11-19
CSGP,1d,2025-11-18T00:00:00,67.0,67.42,66.22,66.81,3961848.0,normal,2025-12-26T06:58:22.352019Z,2025-11-18
CSGP,1d,2025-11-17T00:00:00,68.05,69.02,66.63,67.0,3346156.0,normal,2025-12-26T06:58:22.352019Z,2025-11-17
CSGP,1d,2025-11-14T00:00:00,68.34,69.06,67.86,68.05,3648700.0,normal,2025-12-26T06:58:22.352019Z,2025-11-14
CSGP,1d,2025-11-13T00:00:00,68.5,69.13,68.26,68.53,4617055.0,normal,2025-12-26T06:58:22.352019Z,2025-11-13
CSGP,1d,2025-11-12T00:00:00,68.27,69.29,67.42,69.02,4608810.0,normal,2025-12-26T06:58:22.352019Z,2025-11-12
CSGP,1d,2025-11-11T00:00:00,67.51,68.68,66.97,68.41,3683766.0,normal,2025-12-26T06:58:22.352019Z,2025-11-11
CSGP,1d,2025-11-10T00:00:00,67.52,67.55,66.27,67.23,3887935.0,normal,2025-12-26T06:58:22.352019Z,2025-11-10
CSGP,1d,2025-11-07T00:00:00,67.38,68.34,66.59,67.52,4196327.0,normal,2025-12-26T06:58:22.352019Z,2025-11-07
CSGP,1d,2025-11-06T00:00:00,70.05,70.56,67.14,67.36,4764016.0,normal,2025-12-26T06:58:22.352019Z,2025-11-06
CSGP,1d,2025-11-05T00:00:00,69.46,70.63,69.21,70.44,3897903.0,normal,2025-12-26T06:58:22.352019Z,2025-11-05
CSGP,1d,2025-11-04T00:00:00,69.65,70.09,68.57,69.79,4498511.0,normal,2025-12-26T06:58:22.352019Z,2025-11-04
CSGP,1d,2025-11-03T00:00:00,67.85,70.24,67.79,69.38,7955895.0,normal,2025-12-26T06:58:22.352019Z,2025-11-03
CSGP,1d,2025-10-31T00:00:00,68.76,69.14,66.41,68.81,7020490.0,normal,2025-12-26T06:58:22.352019Z,2025-10-31
CSGP,1d,2025-10-30T00:00:00,70.66,70.76,68.4,69.64,5184631.0,normal,2025-12-26T06:58:22.352019Z,2025-10-30
CSGP,1d,2025-10-29T00:00:00,72.33,72.5,63.82,70.51,15475608.0,normal,2025-12-26T06:58:22.352019Z,2025-10-29
CSGP,1d,2025-10-28T00:00:00,77.88,78.95,77.4,78.23,3543923.0,normal,2025-12-26T06:58:22.352019Z,2025-10-28
CSGP,1d,2025-10-27T00:00:00,77.89,79.08,77.4,78.12,2804500.0,normal,2025-12-26T06:58:22.352019Z,2025-10-27
CSGP,1d,2025-10-24T00:00:00,78.14,78.72,77.58,77.89,2142508.0,normal,2025-12-26T06:58:22.352019Z,2025-10-24
CSGP,1d,2025-10-23T00:00:00,77.14,77.84,76.43,77.66,1823387.0,normal,2025-12-26T06:58:22.352019Z,2025-10-23
CSGP,1d,2025-10-22T00:00:00,77.0,78.13,76.46,77.19,2287200.0,normal,2025-12-26T06:58:22.352019Z,2025-10-22
CSGP,1d,2025-10-21T00:00:00,74.64,76.98,74.13,76.85,2897341.0,normal,2025-12-26T06:58:22.352019Z,2025-10-21
