ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
CTSH,1d,2025-12-10T00:00:00,79.43,83.56,79.43,83.22,5348378.0,normal,2025-12-11T07:42:25.741755Z,2025-12-10
CTSH,1d,2025-12-09T00:00:00,80.71,81.84,80.47,80.95,3439850.0,normal,2025-12-11T07:42:25.741755Z,2025-12-09
CTSH,1d,2025-12-08T00:00:00,80.78,81.19,80.4,80.71,3512417.0,normal,2025-12-11T07:42:25.741755Z,2025-12-08
CTSH,1d,2025-12-05T00:00:00,79.97,81.15,79.48,80.72,3187351.0,normal,2025-12-11T07:42:25.741755Z,2025-12-05
CTSH,1d,2025-12-04T00:00:00,79.61,80.67,79.14,80.2,4481607.0,normal,2025-12-11T07:42:25.741755Z,2025-12-04
CTSH,1d,2025-12-03T00:00:00,77.73,79.53,77.5,79.24,3784543.0,normal,2025-12-11T07:42:25.741755Z,2025-12-03
CTSH,1d,2025-12-02T00:00:00,77.6,78.24,76.58,77.69,4292889.0,normal,2025-12-11T07:42:25.741755Z,2025-12-02
CTSH,1d,2025-12-01T00:00:00,77.45,78.45,77.29,77.43,3265582.0,normal,2025-12-11T07:42:25.741755Z,2025-12-01
CTSH,1d,2025-11-28T00:00:00,77.1,78.0,76.96,77.71,1689000.0,normal,2025-12-11T07:42:25.741755Z,2025-11-28
CTSH,1d,2025-11-26T00:00:00,76.67,77.31,76.47,77.05,4471200.0,normal,2025-12-11T07:42:25.741755Z,2025-11-26
CTSH,1d,2025-11-25T00:00:00,75.23,76.67,75.21,76.45,5440098.0,normal,2025-12-11T07:42:25.741755Z,2025-11-25
CTSH,1d,2025-11-24T00:00:00,75.95,76.05,74.75,74.92,6348700.0,normal,2025-12-11T07:42:25.741755Z,2025-11-24
CTSH,1d,2025-11-21T00:00:00,72.76,76.67,72.66,75.98,7973000.0,normal,2025-12-11T07:42:25.741755Z,2025-11-21
CTSH,1d,2025-11-20T00:00:00,73.04,73.33,71.69,72.35,4754080.0,normal,2025-12-11T07:42:25.741755Z,2025-11-20
CTSH,1d,2025-11-19T00:00:00,71.97,72.83,71.72,72.29,3802862.0,normal,2025-12-11T07:42:25.741755Z,2025-11-19
CTSH,1d,2025-11-18T00:00:00,70.94,71.98,70.45,71.75,4240726.0,normal,2025-12-11T07:42:25.741755Z,2025-11-18
CTSH,1d,2025-11-17T00:00:00,72.49,73.06,71.1,71.17,3832100.0,normal,2025-12-11T07:42:25.741755Z,2025-11-17
CTSH,1d,2025-11-14T00:00:00,73.35,73.67,72.53,72.62,3058135.0,normal,2025-12-11T07:42:25.741755Z,2025-11-14
CTSH,1d,2025-11-13T00:00:00,73.68,74.76,73.47,73.56,4342145.0,normal,2025-12-11T07:42:25.741755Z,2025-11-13
CTSH,1d,2025-11-12T00:00:00,73.58,74.45,73.27,74.2,4140300.0,normal,2025-12-11T07:42:25.741755Z,2025-11-12
CTSH,1d,2025-11-11T00:00:00,72.86,73.58,72.33,73.13,4126231.0,normal,2025-12-11T07:42:25.741755Z,2025-11-11
CTSH,1d,2025-11-10T00:00:00,73.59,74.11,72.0,72.88,4043444.0,normal,2025-12-11T07:42:25.741755Z,2025-11-10
CTSH,1d,2025-11-07T00:00:00,72.75,73.64,72.62,73.2,5345005.0,normal,2025-12-11T07:42:25.741755Z,2025-11-07
CTSH,1d,2025-11-06T00:00:00,74.77,75.0,71.8,72.83,4863519.0,normal,2025-12-11T07:42:25.741755Z,2025-11-06
CTSH,1d,2025-11-05T00:00:00,72.74,74.91,72.74,74.66,6359668.0,normal,2025-12-11T07:42:25.741755Z,2025-11-05
CTSH,1d,2025-11-04T00:00:00,72.71,73.89,72.49,72.81,6668964.0,normal,2025-12-11T07:42:25.741755Z,2025-11-04
CTSH,1d,2025-11-03T00:00:00,72.88,73.5,71.26,72.73,5537733.0,normal,2025-12-11T07:42:25.741755Z,2025-11-03
CTSH,1d,2025-10-31T00:00:00,71.95,73.41,71.17,72.88,5507200.0,normal,2025-12-11T07:42:25.741755Z,2025-10-31
CTSH,1d,2025-10-30T00:00:00,71.69,73.14,70.81,72.19,7782900.0,normal,2025-12-11T07:42:25.741755Z,2025-10-30
CTSH,1d,2025-10-29T00:00:00,75.18,75.67,71.12,71.69,10753600.0,normal,2025-12-11T07:42:25.741755Z,2025-10-29
CTSH,1d,2025-10-28T00:00:00,67.83,68.4,67.42,67.82,6160309.0,normal,2025-12-11T07:42:25.741755Z,2025-10-28
CTSH,1d,2025-10-27T00:00:00,67.86,68.19,67.42,68.05,4201784.0,normal,2025-12-11T07:42:25.741755Z,2025-10-27
CTSH,1d,2025-10-24T00:00:00,68.52,68.84,67.81,67.86,4242000.0,normal,2025-12-11T07:42:25.741755Z,2025-10-24
CTSH,1d,2025-10-23T00:00:00,68.33,68.38,67.11,68.03,4770827.0,normal,2025-12-11T07:42:25.741755Z,2025-10-23
CTSH,1d,2025-10-22T00:00:00,68.74,69.43,68.33,68.36,3555934.0,normal,2025-12-11T07:42:25.741755Z,2025-10-22
CTSH,1d,2025-10-21T00:00:00,66.83,68.99,66.81,68.77,3402600.0,normal,2025-12-11T07:42:25.741755Z,2025-10-21
CTSH,1d,2025-10-20T00:00:00,66.3,67.11,66.12,66.7,2350358.0,normal,2025-12-11T07:42:25.741755Z,2025-10-20
CTSH,1d,2025-10-17T00:00:00,65.58,66.27,65.33,66.08,3416265.0,normal,2025-12-11T07:42:25.741755Z,2025-10-17
CTSH,1d,2025-10-16T00:00:00,66.95,66.95,65.15,65.47,4004461.0,normal,2025-12-11T07:42:25.741755Z,2025-10-16
CTSH,1d,2025-10-15T00:00:00,67.83,67.83,66.5,66.75,2678603.0,normal,2025-12-11T07:42:25.741755Z,2025-10-15
CTSH,1d,2025-10-14T00:00:00,65.8,67.69,65.6,67.27,4092322.0,normal,2025-12-11T07:42:25.741755Z,2025-10-14
CTSH,1d,2025-10-13T00:00:00,66.3,66.75,65.61,66.34,4062936.0,normal,2025-12-11T07:42:25.741755Z,2025-10-13
CTSH,1d,2025-10-10T00:00:00,68.77,69.0,65.76,65.8,3851540.0,normal,2025-12-11T07:42:25.741755Z,2025-10-10
CTSH,1d,2025-10-09T00:00:00,68.75,68.81,68.03,68.61,3366667.0,normal,2025-12-11T07:42:25.741755Z,2025-10-09
CTSH,1d,2025-10-08T00:00:00,68.32,68.58,67.59,68.4,3072700.0,normal,2025-12-11T07:42:25.741755Z,2025-10-08
CTSH,1d,2025-10-07T00:00:00,67.85,68.41,67.61,67.94,4351820.0,normal,2025-12-11T07:42:25.741755Z,2025-10-07
CTSH,1d,2025-10-06T00:00:00,67.76,68.22,67.14,67.8,3756100.0,normal,2025-12-11T07:42:25.741755Z,2025-10-06
CTSH,1d,2025-10-03T00:00:00,67.0,67.81,66.79,67.66,2535141.0,normal,2025-12-11T07:42:25.741755Z,2025-10-03
CTSH,1d,2025-10-02T00:00:00,66.48,67.11,66.24,67.0,2971212.0,normal,2025-12-11T07:42:25.741755Z,2025-10-02
CTSH,1d,2025-10-01T00:00:00,66.8,67.59,65.75,66.53,4860640.0,normal,2025-12-11T07:42:25.741755Z,2025-10-01
CTSH,1d,2025-09-30T00:00:00,66.91,67.61,66.61,67.07,4064510.0,normal,2025-12-11T07:42:25.741755Z,2025-09-30
CTSH,1d,2025-09-29T00:00:00,67.25,67.39,66.56,67.08,3914004.0,normal,2025-12-11T07:42:25.741755Z,2025-09-29
CTSH,1d,2025-09-26T00:00:00,66.72,67.55,66.19,66.98,3177744.0,normal,2025-12-11T07:42:25.741755Z,2025-09-26
CTSH,1d,2025-09-25T00:00:00,68.13,68.28,66.23,66.67,4202589.0,normal,2025-12-11T07:42:25.741755Z,2025-09-25
CTSH,1d,2025-09-24T00:00:00,67.67,68.87,67.59,68.36,4706337.0,normal,2025-12-11T07:42:25.741755Z,2025-09-24
CTSH,1d,2025-09-23T00:00:00,68.0,68.43,67.54,67.67,3986051.0,normal,2025-12-11T07:42:25.741755Z,2025-09-23
