ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
CVS,1d,2025-12-24T00:00:00,78.12,79.25,78.12,79.12,1849300.0,normal,2025-12-26T07:25:09.017459Z,2025-12-24
CVS,1d,2025-12-23T00:00:00,78.3,78.48,77.94,78.04,4027021.0,normal,2025-12-26T07:25:09.017459Z,2025-12-23
CVS,1d,2025-12-22T00:00:00,77.67,78.74,77.02,78.36,5700635.0,normal,2025-12-26T07:25:09.017459Z,2025-12-22
CVS,1d,2025-12-19T00:00:00,77.88,78.95,77.4,77.72,12106571.0,normal,2025-12-26T07:25:09.017459Z,2025-12-19
CVS,1d,2025-12-18T00:00:00,77.64,78.23,77.36,77.79,6439400.0,normal,2025-12-26T07:25:09.017459Z,2025-12-18
CVS,1d,2025-12-17T00:00:00,78.5,78.59,77.13,77.88,6305263.0,normal,2025-12-26T07:25:09.017459Z,2025-12-17
CVS,1d,2025-12-16T00:00:00,79.65,79.98,77.79,78.29,4476737.0,normal,2025-12-26T07:25:09.017459Z,2025-12-16
CVS,1d,2025-12-15T00:00:00,79.75,79.9,79.19,79.69,5850900.0,normal,2025-12-26T07:25:09.017459Z,2025-12-15
CVS,1d,2025-12-12T00:00:00,81.0,81.08,78.68,79.42,6527200.0,normal,2025-12-26T07:25:09.017459Z,2025-12-12
CVS,1d,2025-12-11T00:00:00,78.99,80.89,78.27,80.83,11065325.0,normal,2025-12-26T07:25:09.017459Z,2025-12-11
CVS,1d,2025-12-10T00:00:00,78.99,79.69,78.165,78.98,6105259.0,normal,2025-12-26T07:25:09.017459Z,2025-12-10
CVS,1d,2025-12-09T00:00:00,79.15,80.5,78.21,78.24,12602166.0,normal,2025-12-26T07:25:09.017459Z,2025-12-09
CVS,1d,2025-12-08T00:00:00,75.94,76.94,75.0,76.53,8549700.0,normal,2025-12-26T07:25:09.017459Z,2025-12-08
CVS,1d,2025-12-05T00:00:00,76.73,76.89,74.98,75.63,7768400.0,normal,2025-12-26T07:25:09.017459Z,2025-12-05
CVS,1d,2025-12-04T00:00:00,75.12,76.79,74.14,76.75,8872740.0,normal,2025-12-26T07:25:09.017459Z,2025-12-04
CVS,1d,2025-12-03T00:00:00,77.87,77.88,75.0,75.0,8164509.0,normal,2025-12-26T07:25:09.017459Z,2025-12-03
CVS,1d,2025-12-02T00:00:00,79.38,79.43,77.19,77.62,7700900.0,normal,2025-12-26T07:25:09.017459Z,2025-12-02
CVS,1d,2025-12-01T00:00:00,79.97,81.06,78.99,79.1,6754424.0,normal,2025-12-26T07:25:09.017459Z,2025-12-01
CVS,1d,2025-11-28T00:00:00,80.04,80.41,79.7,80.36,2292136.0,normal,2025-12-26T07:25:09.017459Z,2025-11-28
CVS,1d,2025-11-26T00:00:00,78.79,80.6,78.29,79.86,7976463.0,normal,2025-12-26T07:25:09.017459Z,2025-11-26
CVS,1d,2025-11-25T00:00:00,78.35,78.91,78.19,78.47,4732684.0,normal,2025-12-26T07:25:09.017459Z,2025-11-25
CVS,1d,2025-11-24T00:00:00,78.76,78.95,77.21,77.9,9843432.0,normal,2025-12-26T07:25:09.017459Z,2025-11-24
CVS,1d,2025-11-21T00:00:00,76.54,78.26,76.23,78.03,6493214.0,normal,2025-12-26T07:25:09.017459Z,2025-11-21
CVS,1d,2025-11-20T00:00:00,77.19,77.5,75.95,76.04,5258100.0,normal,2025-12-26T07:25:09.017459Z,2025-11-20
CVS,1d,2025-11-19T00:00:00,77.96,78.17,76.3,76.55,7372130.0,normal,2025-12-26T07:25:09.017459Z,2025-11-19
CVS,1d,2025-11-18T00:00:00,78.35,78.44,77.33,77.94,6254458.0,normal,2025-12-26T07:25:09.017459Z,2025-11-18
CVS,1d,2025-11-17T00:00:00,77.91,79.87,77.74,78.41,8668478.0,normal,2025-12-26T07:25:09.017459Z,2025-11-17
CVS,1d,2025-11-14T00:00:00,79.39,79.74,77.75,77.81,5170917.0,normal,2025-12-26T07:25:09.017459Z,2025-11-14
CVS,1d,2025-11-13T00:00:00,79.23,79.99,78.52,79.24,7262543.0,normal,2025-12-26T07:25:09.017459Z,2025-11-13
CVS,1d,2025-11-12T00:00:00,79.71,81.72,79.65,80.26,9324632.0,normal,2025-12-26T07:25:09.017459Z,2025-11-12
CVS,1d,2025-11-11T00:00:00,78.0,79.9,77.66,79.87,5931745.0,normal,2025-12-26T07:25:09.017459Z,2025-11-11
CVS,1d,2025-11-10T00:00:00,78.05,79.58,76.5,77.54,6905300.0,normal,2025-12-26T07:25:09.017459Z,2025-11-10
CVS,1d,2025-11-07T00:00:00,79.05,79.44,78.29,78.99,4306246.0,normal,2025-12-26T07:25:09.017459Z,2025-11-07
CVS,1d,2025-11-06T00:00:00,78.71,79.86,78.54,78.66,5807614.0,normal,2025-12-26T07:25:09.017459Z,2025-11-06
CVS,1d,2025-11-05T00:00:00,77.99,79.26,77.89,78.55,6078985.0,normal,2025-12-26T07:25:09.017459Z,2025-11-05
CVS,1d,2025-11-04T00:00:00,78.44,79.35,77.56,78.08,7129500.0,normal,2025-12-26T07:25:09.017459Z,2025-11-04
CVS,1d,2025-11-03T00:00:00,78.06,78.78,77.43,78.44,8239600.0,normal,2025-12-26T07:25:09.017459Z,2025-11-03
CVS,1d,2025-10-31T00:00:00,76.65,78.22,76.12,78.15,9680843.0,normal,2025-12-26T07:25:09.017459Z,2025-10-31
CVS,1d,2025-10-30T00:00:00,76.08,79.0,75.92,76.69,14120200.0,normal,2025-12-26T07:25:09.017459Z,2025-10-30
CVS,1d,2025-10-29T00:00:00,82.5,85.15,80.33,80.6,14783506.0,normal,2025-12-26T07:25:09.017459Z,2025-10-29
