ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
D,1d,2025-12-09T00:00:00,58.75,59.16,58.22,58.46,4456620.0,normal,2025-12-10T10:31:54.201534Z,2025-12-09
D,1d,2025-12-08T00:00:00,58.6,59.0,57.97,58.44,5468074.0,normal,2025-12-10T10:31:54.201534Z,2025-12-08
D,1d,2025-12-05T00:00:00,58.99,59.14,58.46,58.49,7138364.0,normal,2025-12-10T10:31:54.201534Z,2025-12-05
D,1d,2025-12-04T00:00:00,60.05,60.37,59.64,59.84,7389034.0,normal,2025-12-10T10:31:54.201534Z,2025-12-04
D,1d,2025-12-03T00:00:00,60.51,60.91,59.84,60.03,7941940.0,normal,2025-12-10T10:31:54.201534Z,2025-12-03
D,1d,2025-12-02T00:00:00,60.98,60.98,60.03,60.35,6108000.0,normal,2025-12-10T10:31:54.201534Z,2025-12-02
D,1d,2025-12-01T00:00:00,62.7,62.71,60.68,60.8,7124500.0,normal,2025-12-10T10:31:54.201534Z,2025-12-01
D,1d,2025-11-28T00:00:00,62.61,62.87,62.45,62.77,2034412.0,normal,2025-12-10T10:31:54.201534Z,2025-11-28
D,1d,2025-11-26T00:00:00,61.85,62.63,61.65,62.54,3669805.0,normal,2025-12-10T10:31:54.201534Z,2025-11-26
D,1d,2025-11-25T00:00:00,61.77,62.09,60.84,61.54,6362637.0,normal,2025-12-10T10:31:54.201534Z,2025-11-25
D,1d,2025-11-24T00:00:00,61.4,62.04,60.61,61.6,8970732.0,normal,2025-12-10T10:31:54.201534Z,2025-11-24
D,1d,2025-11-21T00:00:00,61.15,62.01,60.57,61.47,5538761.0,normal,2025-12-10T10:31:54.201534Z,2025-11-21
D,1d,2025-11-20T00:00:00,60.5,61.11,60.2,60.83,4955441.0,normal,2025-12-10T10:31:54.201534Z,2025-11-20
D,1d,2025-11-19T00:00:00,61.5,61.6,60.18,60.19,5721583.0,normal,2025-12-10T10:31:54.201534Z,2025-11-19
D,1d,2025-11-18T00:00:00,61.69,62.18,61.27,61.45,7127536.0,normal,2025-12-10T10:31:54.201534Z,2025-11-18
D,1d,2025-11-17T00:00:00,60.7,61.61,60.57,61.5,4433103.0,normal,2025-12-10T10:31:54.201534Z,2025-11-17
D,1d,2025-11-14T00:00:00,60.9,61.09,60.42,60.56,4342623.0,normal,2025-12-10T10:31:54.201534Z,2025-11-14
D,1d,2025-11-13T00:00:00,61.01,61.38,60.56,60.87,4875604.0,normal,2025-12-10T10:31:54.201534Z,2025-11-13
D,1d,2025-11-12T00:00:00,61.13,61.51,60.95,61.37,2945500.0,normal,2025-12-10T10:31:54.201534Z,2025-11-12
D,1d,2025-11-11T00:00:00,60.94,61.29,60.66,61.2,3509900.0,normal,2025-12-10T10:31:54.201534Z,2025-11-11
D,1d,2025-11-10T00:00:00,61.23,61.5,60.51,60.87,4120400.0,normal,2025-12-10T10:31:54.201534Z,2025-11-10
D,1d,2025-11-07T00:00:00,60.67,61.61,60.49,61.58,5018200.0,normal,2025-12-10T10:31:54.201534Z,2025-11-07
D,1d,2025-11-06T00:00:00,59.7,60.72,59.7,60.5,5342622.0,normal,2025-12-10T10:31:54.201534Z,2025-11-06
D,1d,2025-11-05T00:00:00,59.51,60.08,59.05,59.69,7846100.0,normal,2025-12-10T10:31:54.201534Z,2025-11-05
D,1d,2025-11-04T00:00:00,58.7,59.55,58.7,59.32,6614800.0,normal,2025-12-10T10:31:54.201534Z,2025-11-04
D,1d,2025-11-03T00:00:00,58.33,58.67,57.13,58.49,5929909.0,normal,2025-12-10T10:31:54.201534Z,2025-11-03
D,1d,2025-10-31T00:00:00,59.74,60.74,58.24,58.69,7892584.0,normal,2025-12-10T10:31:54.201534Z,2025-10-31
D,1d,2025-10-30T00:00:00,59.14,60.01,59.05,59.52,5005227.0,normal,2025-12-10T10:31:54.201534Z,2025-10-30
D,1d,2025-10-29T00:00:00,59.52,59.75,58.79,58.99,4507800.0,normal,2025-12-10T10:31:54.201534Z,2025-10-29
D,1d,2025-10-28T00:00:00,60.97,60.99,59.6,59.62,4476508.0,normal,2025-12-10T10:31:54.201534Z,2025-10-28
D,1d,2025-10-27T00:00:00,60.85,61.35,60.3,60.8,4020200.0,normal,2025-12-10T10:31:54.201534Z,2025-10-27
D,1d,2025-10-24T00:00:00,60.96,61.67,60.71,61.06,3669539.0,normal,2025-12-10T10:31:54.201534Z,2025-10-24
D,1d,2025-10-23T00:00:00,61.38,61.4,60.37,60.68,3015672.0,normal,2025-12-10T10:31:54.201534Z,2025-10-23
D,1d,2025-10-22T00:00:00,60.84,61.58,60.74,60.9,3928372.0,normal,2025-12-10T10:31:54.201534Z,2025-10-22
D,1d,2025-10-21T00:00:00,61.63,61.75,60.45,60.87,3590000.0,normal,2025-12-10T10:31:54.201534Z,2025-10-21
D,1d,2025-10-20T00:00:00,60.92,61.66,60.85,61.45,3726064.0,normal,2025-12-10T10:31:54.201534Z,2025-10-20
D,1d,2025-10-17T00:00:00,60.62,60.74,60.09,60.58,4457105.0,normal,2025-12-10T10:31:54.201534Z,2025-10-17
D,1d,2025-10-16T00:00:00,61.76,62.52,60.61,60.62,5117628.0,normal,2025-12-10T10:31:54.201534Z,2025-10-16
D,1d,2025-10-15T00:00:00,61.71,61.97,61.32,61.69,4450153.0,normal,2025-12-10T10:31:54.201534Z,2025-10-15
D,1d,2025-10-14T00:00:00,61.4,61.86,61.23,61.52,4398900.0,normal,2025-12-10T10:31:54.201534Z,2025-10-14
D,1d,2025-10-13T00:00:00,60.76,61.39,60.63,61.34,2979829.0,normal,2025-12-10T10:31:54.201534Z,2025-10-13
D,1d,2025-10-10T00:00:00,60.45,61.15,60.29,60.97,3937810.0,normal,2025-12-10T10:31:54.201534Z,2025-10-10
D,1d,2025-10-09T00:00:00,60.85,61.23,60.02,60.26,4198217.0,normal,2025-12-10T10:31:54.201534Z,2025-10-09
D,1d,2025-10-08T00:00:00,61.23,61.25,60.11,60.57,5312566.0,normal,2025-12-10T10:31:54.201534Z,2025-10-08
D,1d,2025-10-07T00:00:00,62.0,62.37,60.79,60.87,9524031.0,normal,2025-12-10T10:31:54.201534Z,2025-10-07
D,1d,2025-10-06T00:00:00,61.63,61.78,61.03,61.5,5905308.0,normal,2025-12-10T10:31:54.201534Z,2025-10-06
D,1d,2025-10-03T00:00:00,61.16,62.05,61.16,61.53,4021987.0,normal,2025-12-10T10:31:54.201534Z,2025-10-03
D,1d,2025-10-02T00:00:00,60.59,61.58,60.59,61.09,3583918.0,normal,2025-12-10T10:31:54.201534Z,2025-10-02
D,1d,2025-10-01T00:00:00,61.31,61.75,60.89,60.9,3635625.0,normal,2025-12-10T10:31:54.201534Z,2025-10-01
D,1d,2025-09-30T00:00:00,61.03,61.21,60.74,61.17,2829489.0,normal,2025-12-10T10:31:54.201534Z,2025-09-30
D,1d,2025-09-29T00:00:00,60.57,61.07,60.35,60.92,3467228.0,normal,2025-12-10T10:31:54.201534Z,2025-09-29
D,1d,2025-09-26T00:00:00,60.01,60.43,59.7,60.33,3114783.0,normal,2025-12-10T10:31:54.201534Z,2025-09-26
D,1d,2025-09-25T00:00:00,61.08,61.12,59.57,59.67,4096700.0,normal,2025-12-10T10:31:54.201534Z,2025-09-25
D,1d,2025-09-24T00:00:00,61.08,61.52,60.88,61.02,4464100.0,normal,2025-12-10T10:31:54.201534Z,2025-09-24
D,1d,2025-09-23T00:00:00,59.75,61.21,59.65,61.12,4318500.0,normal,2025-12-10T10:31:54.201534Z,2025-09-23
D,1d,2025-09-22T00:00:00,59.92,60.29,59.08,59.82,6387100.0,normal,2025-12-10T10:31:54.201534Z,2025-09-22
D,1d,2025-09-19T00:00:00,60.04,60.19,59.3,59.85,9145917.0,normal,2025-12-10T10:31:54.201534Z,2025-09-19
D,1d,2025-09-18T00:00:00,59.14,60.12,58.8,59.74,4527554.0,normal,2025-12-10T10:31:54.201534Z,2025-09-18
D,1d,2025-09-17T00:00:00,59.63,59.98,59.45,59.6,3492121.0,normal,2025-12-10T10:31:54.201534Z,2025-09-17
D,1d,2025-09-16T00:00:00,60.43,60.55,59.36,59.4,4550941.0,normal,2025-12-10T10:31:54.201534Z,2025-09-16
D,1d,2025-09-15T00:00:00,60.05,60.75,60.0,60.58,6002441.0,normal,2025-12-10T10:31:54.201534Z,2025-09-15
D,1d,2025-09-12T00:00:00,59.75,60.54,59.65,60.05,3979900.0,normal,2025-12-10T10:31:54.201534Z,2025-09-12
D,1d,2025-09-11T00:00:00,59.13,60.11,59.08,60.01,4658035.0,normal,2025-12-10T10:31:54.201534Z,2025-09-11
D,1d,2025-09-10T00:00:00,58.5,59.6,57.96,59.42,7993625.0,normal,2025-12-10T10:31:54.201534Z,2025-09-10
D,1d,2025-09-09T00:00:00,57.89,58.96,57.81,58.85,5634300.0,normal,2025-12-10T10:31:54.201534Z,2025-09-09
D,1d,2025-09-08T00:00:00,57.98,58.16,57.56,57.95,5238740.0,normal,2025-12-10T10:31:54.201534Z,2025-09-08
D,1d,2025-09-05T00:00:00,58.29,58.6,57.78,58.19,4896000.0,normal,2025-12-10T10:31:54.201534Z,2025-09-05
D,1d,2025-09-04T00:00:00,59.43,59.57,58.48,58.79,5589824.0,normal,2025-12-10T10:31:54.201534Z,2025-09-04
D,1d,2025-09-03T00:00:00,58.89,59.22,58.55,58.92,4454648.0,normal,2025-12-10T10:31:54.201534Z,2025-09-03
D,1d,2025-09-02T00:00:00,59.54,59.8,58.88,59.14,3838427.0,normal,2025-12-10T10:31:54.201534Z,2025-09-02
D,1d,2025-08-29T00:00:00,59.79,60.19,59.66,59.9,4254152.0,normal,2025-12-10T10:31:54.201534Z,2025-08-29
D,1d,2025-08-28T00:00:00,60.4,60.41,59.72,59.81,3772097.0,normal,2025-12-10T10:31:54.201534Z,2025-08-28
D,1d,2025-08-27T00:00:00,59.98,60.5,59.95,60.34,3534000.0,normal,2025-12-10T10:31:54.201534Z,2025-08-27
D,1d,2025-08-26T00:00:00,60.23,60.3,59.19,59.82,6067600.0,normal,2025-12-10T10:31:54.201534Z,2025-08-26
D,1d,2025-08-25T00:00:00,61.2,61.69,59.69,60.19,9794521.0,normal,2025-12-10T10:31:54.201534Z,2025-08-25
D,1d,2025-08-22T00:00:00,61.5,62.42,61.5,61.9,4595562.0,normal,2025-12-10T10:31:54.201534Z,2025-08-22
D,1d,2025-08-21T00:00:00,61.25,61.57,60.96,61.25,2557822.0,normal,2025-12-10T10:31:54.201534Z,2025-08-21
D,1d,2025-08-20T00:00:00,61.58,62.46,61.37,61.52,3052099.0,normal,2025-12-10T10:31:54.201534Z,2025-08-20
D,1d,2025-08-19T00:00:00,60.53,61.33,60.51,61.3,2831800.0,normal,2025-12-10T10:31:54.201534Z,2025-08-19
D,1d,2025-08-18T00:00:00,61.21,61.27,60.35,60.4,2865667.0,normal,2025-12-10T10:31:54.201534Z,2025-08-18
D,1d,2025-08-15T00:00:00,61.31,61.32,60.74,61.14,6543700.0,normal,2025-12-10T10:31:54.201534Z,2025-08-15
D,1d,2025-08-14T00:00:00,61.83,61.99,60.98,61.18,3875933.0,normal,2025-12-10T10:31:54.201534Z,2025-08-14
D,1d,2025-08-13T00:00:00,61.58,62.15,61.33,62.1,4103203.0,normal,2025-12-10T10:31:54.201534Z,2025-08-13
D,1d,2025-08-12T00:00:00,61.49,61.77,60.98,61.31,3461594.0,normal,2025-12-10T10:31:54.201534Z,2025-08-12
D,1d,2025-08-11T00:00:00,62.0,62.17,61.48,61.49,4151755.0,normal,2025-12-10T10:31:54.201534Z,2025-08-11
D,1d,2025-08-08T00:00:00,62.0,62.26,61.56,61.81,3894854.0,normal,2025-12-10T10:31:54.201534Z,2025-08-08
D,1d,2025-08-07T00:00:00,60.84,61.98,60.61,61.74,5414627.0,normal,2025-12-10T10:31:54.201534Z,2025-08-07
D,1d,2025-08-06T00:00:00,61.25,61.9,60.95,60.97,5408700.0,normal,2025-12-10T10:31:54.201534Z,2025-08-06
D,1d,2025-08-05T00:00:00,61.32,61.67,60.62,61.08,10023111.0,normal,2025-12-10T10:31:54.201534Z,2025-08-05
D,1d,2025-08-04T00:00:00,60.64,61.58,60.31,61.13,6820200.0,normal,2025-12-10T10:31:54.201534Z,2025-08-04
D,1d,2025-08-01T00:00:00,59.08,60.78,59.05,60.41,7653317.0,normal,2025-12-10T10:31:54.201534Z,2025-08-01
D,1d,2025-07-31T00:00:00,57.74,58.51,57.53,58.45,9138000.0,normal,2025-12-10T10:31:54.201534Z,2025-07-31
D,1d,2025-07-30T00:00:00,58.65,59.0,58.0,58.25,4091908.0,normal,2025-12-10T10:31:54.201534Z,2025-07-30
D,1d,2025-07-29T00:00:00,58.15,58.69,57.89,58.66,2976843.0,normal,2025-12-10T10:31:54.201534Z,2025-07-29
D,1d,2025-07-28T00:00:00,58.6,58.69,57.82,58.0,2908179.0,normal,2025-12-10T10:31:54.201534Z,2025-07-28
D,1d,2025-07-25T00:00:00,58.75,58.98,58.45,58.75,2908700.0,normal,2025-12-10T10:31:54.201534Z,2025-07-25
D,1d,2025-07-24T00:00:00,58.36,59.14,58.17,58.75,3970657.0,normal,2025-12-10T10:31:54.201534Z,2025-07-24
D,1d,2025-07-23T00:00:00,58.55,58.87,57.9,58.29,5192320.0,normal,2025-12-10T10:31:54.201534Z,2025-07-23
D,1d,2025-07-22T00:00:00,57.82,58.63,57.44,58.51,4018000.0,normal,2025-12-10T10:31:54.201534Z,2025-07-22
D,1d,2025-07-21T00:00:00,58.16,58.35,57.67,57.69,4380478.0,normal,2025-12-10T10:31:54.201534Z,2025-07-21
D,1d,2025-07-18T00:00:00,57.76,58.68,57.61,58.09,5451500.0,normal,2025-12-10T10:31:54.201534Z,2025-07-18
D,1d,2025-07-17T00:00:00,56.91,57.97,56.72,57.61,3787904.0,normal,2025-12-10T10:31:54.201534Z,2025-07-17
D,1d,2025-07-16T00:00:00,56.58,57.36,56.41,57.17,4411231.0,normal,2025-12-10T10:31:54.201534Z,2025-07-16
D,1d,2025-07-15T00:00:00,56.99,57.11,56.19,56.55,2985879.0,normal,2025-12-10T10:31:54.201534Z,2025-07-15
D,1d,2025-07-14T00:00:00,57.31,57.65,56.79,57.2,3219214.0,normal,2025-12-10T10:31:54.201534Z,2025-07-14
D,1d,2025-07-11T00:00:00,57.52,57.84,57.12,57.39,4726300.0,normal,2025-12-10T10:31:54.201534Z,2025-07-11
D,1d,2025-07-10T00:00:00,56.67,58.32,56.52,58.16,3655112.0,normal,2025-12-10T10:31:54.201534Z,2025-07-10
D,1d,2025-07-09T00:00:00,56.48,57.23,56.28,57.15,2890321.0,normal,2025-12-10T10:31:54.201534Z,2025-07-09
D,1d,2025-07-08T00:00:00,56.07,56.5,55.36,56.32,4397623.0,normal,2025-12-10T10:31:54.201534Z,2025-07-08
D,1d,2025-07-07T00:00:00,56.78,57.0,56.08,56.44,4271970.0,normal,2025-12-10T10:31:54.201534Z,2025-07-07
D,1d,2025-07-03T00:00:00,57.25,57.61,56.66,56.86,3095639.0,normal,2025-12-10T10:31:54.201534Z,2025-07-03
D,1d,2025-07-02T00:00:00,57.5,58.17,57.03,57.42,7518031.0,normal,2025-12-10T10:31:54.201534Z,2025-07-02
D,1d,2025-07-01T00:00:00,56.67,57.71,56.17,57.65,5922600.0,normal,2025-12-10T10:31:54.201534Z,2025-07-01
D,1d,2025-06-30T00:00:00,55.51,56.61,55.2,56.52,6009875.0,normal,2025-12-10T10:31:54.201534Z,2025-06-30
D,1d,2025-06-27T00:00:00,55.62,56.23,55.14,55.87,6225500.0,normal,2025-12-10T10:31:54.201534Z,2025-06-27
D,1d,2025-06-26T00:00:00,55.08,55.41,54.8,55.18,5695135.0,normal,2025-12-10T10:31:54.201534Z,2025-06-26
D,1d,2025-06-25T00:00:00,55.8,55.84,54.89,55.2,4113120.0,normal,2025-12-10T10:31:54.201534Z,2025-06-25
D,1d,2025-06-24T00:00:00,55.78,56.39,55.64,55.98,7600600.0,normal,2025-12-10T10:31:54.201534Z,2025-06-24
D,1d,2025-06-23T00:00:00,54.45,56.0,54.25,55.88,9467612.0,normal,2025-12-10T10:31:54.201534Z,2025-06-23
D,1d,2025-06-20T00:00:00,54.25,54.78,54.05,54.22,14473100.0,normal,2025-12-10T10:31:54.201534Z,2025-06-20
D,1d,2025-06-18T00:00:00,54.02,54.51,53.59,54.18,10128627.0,normal,2025-12-10T10:31:54.201534Z,2025-06-18
D,1d,2025-06-17T00:00:00,54.61,54.67,53.36,53.77,11059614.0,normal,2025-12-10T10:31:54.201534Z,2025-06-17
D,1d,2025-06-16T00:00:00,55.73,56.17,54.59,54.73,4208349.0,normal,2025-12-10T10:31:54.201534Z,2025-06-16
D,1d,2025-06-13T00:00:00,55.93,56.27,55.28,55.51,4289036.0,normal,2025-12-10T10:31:54.201534Z,2025-06-13
D,1d,2025-06-12T00:00:00,55.58,55.98,55.34,55.91,4955067.0,normal,2025-12-10T10:31:54.201534Z,2025-06-12
D,1d,2025-06-11T00:00:00,55.48,55.86,55.37,55.57,5298127.0,normal,2025-12-10T10:31:54.201534Z,2025-06-11
D,1d,2025-06-10T00:00:00,55.65,55.93,55.28,55.61,5926538.0,normal,2025-12-10T10:31:54.201534Z,2025-06-10
D,1d,2025-06-09T00:00:00,55.76,56.17,55.52,55.67,5535164.0,normal,2025-12-10T10:31:54.201534Z,2025-06-09
D,1d,2025-06-06T00:00:00,56.38,56.38,55.47,55.77,4402724.0,normal,2025-12-10T10:31:54.201534Z,2025-06-06
D,1d,2025-06-05T00:00:00,56.12,56.33,55.62,56.0,4821662.0,normal,2025-12-10T10:31:54.201534Z,2025-06-05
D,1d,2025-06-04T00:00:00,56.75,56.79,56.06,56.08,5398030.0,normal,2025-12-10T10:31:54.201534Z,2025-06-04
D,1d,2025-06-03T00:00:00,57.0,57.07,56.32,56.69,4737482.0,normal,2025-12-10T10:31:54.201534Z,2025-06-03
D,1d,2025-06-02T00:00:00,56.36,57.18,56.0,56.77,4643845.0,normal,2025-12-10T10:31:54.201534Z,2025-06-02
D,1d,2025-05-30T00:00:00,55.87,56.88,55.8,56.67,9416150.0,normal,2025-12-10T10:31:54.201534Z,2025-05-30
D,1d,2025-05-29T00:00:00,55.2,56.11,55.02,56.02,4612673.0,normal,2025-12-10T10:31:54.201534Z,2025-05-29
D,1d,2025-05-28T00:00:00,56.71,56.77,55.47,55.88,6772800.0,normal,2025-12-10T10:31:54.201534Z,2025-05-28
D,1d,2025-05-27T00:00:00,56.69,56.94,56.28,56.73,5276541.0,normal,2025-12-10T10:31:54.201534Z,2025-05-27
D,1d,2025-05-23T00:00:00,56.0,56.47,55.02,56.29,5958242.0,normal,2025-12-10T10:31:54.201534Z,2025-05-23
D,1d,2025-05-22T00:00:00,56.17,56.32,55.11,55.66,5419300.0,normal,2025-12-10T10:31:54.201534Z,2025-05-22
D,1d,2025-05-21T00:00:00,57.67,57.93,56.42,56.53,7410200.0,normal,2025-12-10T10:31:54.201534Z,2025-05-21
D,1d,2025-05-20T00:00:00,57.3,58.64,57.0,58.0,11479837.0,normal,2025-12-10T10:31:54.201534Z,2025-05-20
