ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
DAY,1d,2025-12-09T00:00:00,69.0,69.07,68.91,68.95,4124348.0,normal,2025-12-18T10:58:33.499694Z,2025-12-09
DAY,1d,2025-12-08T00:00:00,69.08,69.15,68.95,69.03,2384400.0,normal,2025-12-18T10:58:33.499694Z,2025-12-08
DAY,1d,2025-12-05T00:00:00,69.15,69.15,68.98,69.07,5955847.0,normal,2025-12-18T10:58:33.499694Z,2025-12-05
DAY,1d,2025-12-04T00:00:00,69.15,69.18,69.08,69.11,6982200.0,normal,2025-12-18T10:58:33.499694Z,2025-12-04
DAY,1d,2025-12-03T00:00:00,69.11,69.2,69.09,69.1,3621940.0,normal,2025-12-18T10:58:33.499694Z,2025-12-03
DAY,1d,2025-12-02T00:00:00,69.15,69.24,69.11,69.11,2339618.0,normal,2025-12-18T10:58:33.499694Z,2025-12-02
DAY,1d,2025-12-01T00:00:00,69.04,69.19,69.01,69.12,3091400.0,normal,2025-12-18T10:58:33.499694Z,2025-12-01
DAY,1d,2025-11-28T00:00:00,69.05,69.1,69.02,69.1,1190724.0,normal,2025-12-18T10:58:33.499694Z,2025-11-28
DAY,1d,2025-11-26T00:00:00,69.0,69.11,68.98,69.0,2576525.0,normal,2025-12-18T10:58:33.499694Z,2025-11-26
DAY,1d,2025-11-25T00:00:00,69.0,69.13,69.0,69.07,2314100.0,normal,2025-12-18T10:58:33.499694Z,2025-11-25
DAY,1d,2025-11-24T00:00:00,68.87,69.05,68.87,68.95,2160427.0,normal,2025-12-18T10:58:33.499694Z,2025-11-24
DAY,1d,2025-11-21T00:00:00,68.98,68.98,68.81,68.85,2365600.0,normal,2025-12-18T10:58:33.499694Z,2025-11-21
DAY,1d,2025-11-20T00:00:00,69.1,69.12,68.84,68.87,3561700.0,normal,2025-12-18T10:58:33.499694Z,2025-11-20
DAY,1d,2025-11-19T00:00:00,68.87,69.08,68.87,68.97,2886653.0,normal,2025-12-18T10:58:33.499694Z,2025-11-19
DAY,1d,2025-11-18T00:00:00,68.8,69.02,68.8,68.97,3030900.0,normal,2025-12-18T10:58:33.499694Z,2025-11-18
DAY,1d,2025-11-17T00:00:00,69.0,69.06,68.8,68.83,2167400.0,normal,2025-12-18T10:58:33.499694Z,2025-11-17
DAY,1d,2025-11-14T00:00:00,68.87,69.07,68.84,69.0,1842365.0,normal,2025-12-18T10:58:33.499694Z,2025-11-14
DAY,1d,2025-11-13T00:00:00,68.95,68.99,68.86,68.91,2130839.0,normal,2025-12-18T10:58:33.499694Z,2025-11-13
DAY,1d,2025-11-12T00:00:00,68.8,69.17,68.71,68.99,5529200.0,normal,2025-12-18T10:58:33.499694Z,2025-11-12
DAY,1d,2025-11-11T00:00:00,68.65,68.8,68.6,68.8,2896100.0,normal,2025-12-18T10:58:33.499694Z,2025-11-11
DAY,1d,2025-11-10T00:00:00,68.55,68.69,68.44,68.6,4264700.0,normal,2025-12-18T10:58:33.499694Z,2025-11-10
DAY,1d,2025-11-07T00:00:00,68.41,68.6,68.33,68.35,3595343.0,normal,2025-12-18T10:58:33.499694Z,2025-11-07
DAY,1d,2025-11-06T00:00:00,68.56,68.69,68.39,68.52,5372121.0,normal,2025-12-18T10:58:33.499694Z,2025-11-06
DAY,1d,2025-11-05T00:00:00,68.75,68.8,68.53,68.54,7780633.0,normal,2025-12-18T10:58:33.499694Z,2025-11-05
DAY,1d,2025-11-04T00:00:00,68.7,68.84,68.61,68.61,2995600.0,normal,2025-12-18T10:58:33.499694Z,2025-11-04
DAY,1d,2025-11-03T00:00:00,68.42,68.81,68.42,68.69,2116827.0,normal,2025-12-18T10:58:33.499694Z,2025-11-03
DAY,1d,2025-10-31T00:00:00,68.8,68.98,68.68,68.74,8343400.0,normal,2025-12-18T10:58:33.499694Z,2025-10-31
DAY,1d,2025-10-30T00:00:00,68.4,68.58,68.3,68.45,3162554.0,normal,2025-12-18T10:58:33.499694Z,2025-10-30
DAY,1d,2025-10-29T00:00:00,68.31,68.45,68.31,68.36,3701608.0,normal,2025-12-18T10:58:33.499694Z,2025-10-29
DAY,1d,2025-10-28T00:00:00,68.5,68.5,68.4,68.4,2195334.0,normal,2025-12-18T10:58:33.499694Z,2025-10-28
