ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
EBAY,1d,2025-12-09T00:00:00,83.79,84.46,83.46,83.89,3447040.0,normal,2025-12-10T10:40:22.034606Z,2025-12-09
EBAY,1d,2025-12-08T00:00:00,83.14,84.57,82.35,83.85,4339929.0,normal,2025-12-10T10:40:22.034606Z,2025-12-08
EBAY,1d,2025-12-05T00:00:00,81.87,82.71,81.45,82.47,3240015.0,normal,2025-12-10T10:40:22.034606Z,2025-12-05
EBAY,1d,2025-12-04T00:00:00,82.1,82.58,81.4,82.13,2682111.0,normal,2025-12-10T10:40:22.034606Z,2025-12-04
EBAY,1d,2025-12-03T00:00:00,83.16,83.78,81.88,82.0,3288918.0,normal,2025-12-10T10:40:22.034606Z,2025-12-03
EBAY,1d,2025-12-02T00:00:00,82.92,83.16,81.75,82.91,3355300.0,normal,2025-12-10T10:40:22.034606Z,2025-12-02
EBAY,1d,2025-12-01T00:00:00,81.72,83.06,80.21,82.73,4417946.0,normal,2025-12-10T10:40:22.034606Z,2025-12-01
EBAY,1d,2025-11-28T00:00:00,82.71,83.22,81.89,82.79,2035304.0,normal,2025-12-10T10:40:22.034606Z,2025-11-28
EBAY,1d,2025-11-26T00:00:00,82.8,83.51,82.36,82.49,3016206.0,normal,2025-12-10T10:40:22.034606Z,2025-11-26
EBAY,1d,2025-11-25T00:00:00,80.55,83.11,80.55,82.79,3693677.0,normal,2025-12-10T10:40:22.034606Z,2025-11-25
EBAY,1d,2025-11-24T00:00:00,81.21,81.8,79.94,80.89,5959900.0,normal,2025-12-10T10:40:22.034606Z,2025-11-24
EBAY,1d,2025-11-21T00:00:00,80.3,81.64,80.09,80.84,4441500.0,normal,2025-12-10T10:40:22.034606Z,2025-11-21
EBAY,1d,2025-11-20T00:00:00,82.0,82.96,79.78,80.05,4609798.0,normal,2025-12-10T10:40:22.034606Z,2025-11-20
EBAY,1d,2025-11-19T00:00:00,81.8,81.89,80.39,81.28,4034359.0,normal,2025-12-10T10:40:22.034606Z,2025-11-19
EBAY,1d,2025-11-18T00:00:00,82.04,82.86,81.47,81.83,3305041.0,normal,2025-12-10T10:40:22.034606Z,2025-11-18
EBAY,1d,2025-11-17T00:00:00,83.2,84.44,82.01,82.16,4105073.0,normal,2025-12-10T10:40:22.034606Z,2025-11-17
EBAY,1d,2025-11-14T00:00:00,84.45,85.17,83.39,83.85,4336754.0,normal,2025-12-10T10:40:22.034606Z,2025-11-14
EBAY,1d,2025-11-13T00:00:00,87.79,88.44,84.29,84.43,4968200.0,normal,2025-12-10T10:40:22.034606Z,2025-11-13
EBAY,1d,2025-11-12T00:00:00,87.78,88.65,87.44,87.79,4948663.0,normal,2025-12-10T10:40:22.034606Z,2025-11-12
EBAY,1d,2025-11-11T00:00:00,85.26,88.59,85.26,87.26,6796088.0,normal,2025-12-10T10:40:22.034606Z,2025-11-11
EBAY,1d,2025-11-10T00:00:00,84.3,85.4,83.82,85.18,4573500.0,normal,2025-12-10T10:40:22.034606Z,2025-11-10
EBAY,1d,2025-11-07T00:00:00,80.83,83.91,80.78,83.8,5572900.0,normal,2025-12-10T10:40:22.034606Z,2025-11-07
EBAY,1d,2025-11-06T00:00:00,80.29,82.01,80.01,80.85,3522248.0,normal,2025-12-10T10:40:22.034606Z,2025-11-06
EBAY,1d,2025-11-05T00:00:00,81.68,82.6,80.43,81.01,4066245.0,normal,2025-12-10T10:40:22.034606Z,2025-11-05
EBAY,1d,2025-11-04T00:00:00,82.77,82.77,80.76,81.68,5061906.0,normal,2025-12-10T10:40:22.034606Z,2025-11-04
EBAY,1d,2025-11-03T00:00:00,80.66,83.23,79.11,82.77,7428630.0,normal,2025-12-10T10:40:22.034606Z,2025-11-03
EBAY,1d,2025-10-31T00:00:00,82.76,82.89,80.72,81.31,9927142.0,normal,2025-12-10T10:40:22.034606Z,2025-10-31
EBAY,1d,2025-10-30T00:00:00,85.6,87.88,83.48,83.73,16061220.0,normal,2025-12-10T10:40:22.034606Z,2025-10-30
EBAY,1d,2025-10-29T00:00:00,98.95,101.12,95.78,99.54,9165213.0,normal,2025-12-10T10:40:22.034606Z,2025-10-29
EBAY,1d,2025-10-28T00:00:00,98.2,100.89,98.15,99.58,6625100.0,normal,2025-12-10T10:40:22.034606Z,2025-10-28
EBAY,1d,2025-10-27T00:00:00,97.41,98.25,96.82,98.01,3807262.0,normal,2025-12-10T10:40:22.034606Z,2025-10-27
EBAY,1d,2025-10-24T00:00:00,97.99,98.77,96.94,97.2,4352009.0,normal,2025-12-10T10:40:22.034606Z,2025-10-24
EBAY,1d,2025-10-23T00:00:00,95.19,96.21,93.39,95.52,3940200.0,normal,2025-12-10T10:40:22.034606Z,2025-10-23
EBAY,1d,2025-10-22T00:00:00,94.71,95.71,94.2,95.37,4431635.0,normal,2025-12-10T10:40:22.034606Z,2025-10-22
EBAY,1d,2025-10-21T00:00:00,95.77,96.28,93.36,94.98,4382448.0,normal,2025-12-10T10:40:22.034606Z,2025-10-21
EBAY,1d,2025-10-20T00:00:00,93.13,96.09,93.04,95.65,6807154.0,normal,2025-12-10T10:40:22.034606Z,2025-10-20
EBAY,1d,2025-10-17T00:00:00,90.99,93.44,90.75,92.01,9221600.0,normal,2025-12-10T10:40:22.034606Z,2025-10-17
EBAY,1d,2025-10-16T00:00:00,90.7,91.98,90.27,91.18,4229684.0,normal,2025-12-10T10:40:22.034606Z,2025-10-16
EBAY,1d,2025-10-15T00:00:00,91.9,93.38,90.51,90.87,5588900.0,normal,2025-12-10T10:40:22.034606Z,2025-10-15
EBAY,1d,2025-10-14T00:00:00,88.75,91.64,88.02,91.06,4198236.0,normal,2025-12-10T10:40:22.034606Z,2025-10-14
EBAY,1d,2025-10-13T00:00:00,88.87,90.15,86.9,89.36,4679687.0,normal,2025-12-10T10:40:22.034606Z,2025-10-13
EBAY,1d,2025-10-10T00:00:00,89.96,90.43,88.03,88.55,4121563.0,normal,2025-12-10T10:40:22.034606Z,2025-10-10
EBAY,1d,2025-10-09T00:00:00,92.21,92.24,89.86,90.13,3795000.0,normal,2025-12-10T10:40:22.034606Z,2025-10-09
EBAY,1d,2025-10-08T00:00:00,93.06,93.52,91.64,92.08,4444663.0,normal,2025-12-10T10:40:22.034606Z,2025-10-08
EBAY,1d,2025-10-07T00:00:00,93.75,94.65,89.19,93.04,6001332.0,normal,2025-12-10T10:40:22.034606Z,2025-10-07
EBAY,1d,2025-10-06T00:00:00,91.54,92.97,90.79,91.77,6074804.0,normal,2025-12-10T10:40:22.034606Z,2025-10-06
EBAY,1d,2025-10-03T00:00:00,88.85,92.26,88.74,92.17,7650850.0,normal,2025-12-10T10:40:22.034606Z,2025-10-03
EBAY,1d,2025-10-02T00:00:00,87.07,88.71,86.35,88.4,6021919.0,normal,2025-12-10T10:40:22.034606Z,2025-10-02
EBAY,1d,2025-10-01T00:00:00,90.75,92.21,87.37,87.58,7486908.0,normal,2025-12-10T10:40:22.034606Z,2025-10-01
EBAY,1d,2025-09-30T00:00:00,91.39,92.21,90.43,90.95,5986226.0,normal,2025-12-10T10:40:22.034606Z,2025-09-30
EBAY,1d,2025-09-29T00:00:00,91.5,91.61,89.1,91.17,6381217.0,normal,2025-12-10T10:40:22.034606Z,2025-09-29
EBAY,1d,2025-09-26T00:00:00,93.1,93.11,90.23,91.14,6902139.0,normal,2025-12-10T10:40:22.034606Z,2025-09-26
