ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
EFX,1d,2025-12-15T00:00:00,221.28,222.46,215.37,217.02,2008800.0,normal,2026-01-01T03:46:07.644592Z,2025-12-15
EFX,1d,2025-12-12T00:00:00,221.71,223.89,217.72,220.83,1546945.0,normal,2026-01-01T03:46:07.644592Z,2025-12-12
EFX,1d,2025-12-11T00:00:00,217.73,223.41,216.28,220.6,1964222.0,normal,2026-01-01T03:46:07.644592Z,2025-12-11
EFX,1d,2025-12-10T00:00:00,208.43,215.5,208.43,215.18,1745501.0,normal,2026-01-01T03:46:07.644592Z,2025-12-10
EFX,1d,2025-12-09T00:00:00,210.87,212.17,208.69,209.02,964732.0,normal,2026-01-01T03:46:07.644592Z,2025-12-09
EFX,1d,2025-12-08T00:00:00,211.05,211.05,208.72,210.29,1410500.0,normal,2026-01-01T03:46:07.644592Z,2025-12-08
EFX,1d,2025-12-05T00:00:00,211.62,213.03,210.09,211.51,2491133.0,normal,2026-01-01T03:46:07.644592Z,2025-12-05
EFX,1d,2025-12-04T00:00:00,211.27,214.28,209.92,211.28,2754147.0,normal,2026-01-01T03:46:07.644592Z,2025-12-04
EFX,1d,2025-12-03T00:00:00,210.55,212.62,209.66,209.75,1454900.0,normal,2026-01-01T03:46:07.644592Z,2025-12-03
EFX,1d,2025-12-02T00:00:00,209.62,210.72,207.7,208.67,1723070.0,normal,2026-01-01T03:46:07.644592Z,2025-12-02
EFX,1d,2025-12-01T00:00:00,210.29,213.49,208.93,208.94,1719646.0,normal,2026-01-01T03:46:07.644592Z,2025-12-01
EFX,1d,2025-11-28T00:00:00,212.74,214.6,211.31,212.37,740916.0,normal,2026-01-01T03:46:07.644592Z,2025-11-28
EFX,1d,2025-11-26T00:00:00,213.41,215.87,212.68,212.7,1542426.0,normal,2026-01-01T03:46:07.644592Z,2025-11-26
EFX,1d,2025-11-25T00:00:00,209.86,216.1,209.86,214.88,1041600.0,normal,2026-01-01T03:46:07.644592Z,2025-11-25
EFX,1d,2025-11-24T00:00:00,214.15,214.73,208.61,209.62,1477430.0,normal,2026-01-01T03:46:07.644592Z,2025-11-24
EFX,1d,2025-11-21T00:00:00,207.3,216.0,207.0,213.73,1614517.0,normal,2026-01-01T03:46:07.644592Z,2025-11-21
EFX,1d,2025-11-20T00:00:00,208.37,209.49,204.76,206.65,1365100.0,normal,2026-01-01T03:46:07.644592Z,2025-11-20
EFX,1d,2025-11-19T00:00:00,204.94,207.44,201.56,206.26,1333200.0,normal,2026-01-01T03:46:07.644592Z,2025-11-19
EFX,1d,2025-11-18T00:00:00,205.0,208.11,203.75,204.52,1117100.0,normal,2026-01-01T03:46:07.644592Z,2025-11-18
EFX,1d,2025-11-17T00:00:00,207.87,207.92,203.12,204.86,1179803.0,normal,2026-01-01T03:46:07.644592Z,2025-11-17
EFX,1d,2025-11-14T00:00:00,206.7,210.85,204.36,207.15,1853501.0,normal,2026-01-01T03:46:07.644592Z,2025-11-14
EFX,1d,2025-11-13T00:00:00,206.01,210.14,204.19,207.0,1144009.0,normal,2026-01-01T03:46:07.644592Z,2025-11-13
EFX,1d,2025-11-12T00:00:00,211.25,212.74,207.99,208.35,831135.0,normal,2026-01-01T03:46:07.644592Z,2025-11-12
EFX,1d,2025-11-11T00:00:00,209.8,213.09,208.59,212.65,1119100.0,normal,2026-01-01T03:46:07.644592Z,2025-11-11
EFX,1d,2025-11-10T00:00:00,208.43,209.98,204.1,208.82,1158842.0,normal,2026-01-01T03:46:07.644592Z,2025-11-10
EFX,1d,2025-11-07T00:00:00,202.34,207.69,202.0,207.59,1496217.0,normal,2026-01-01T03:46:07.644592Z,2025-11-07
EFX,1d,2025-11-06T00:00:00,207.83,209.04,202.82,204.19,1433800.0,normal,2026-01-01T03:46:07.644592Z,2025-11-06
EFX,1d,2025-11-05T00:00:00,207.78,210.48,206.59,207.33,1779933.0,normal,2026-01-01T03:46:07.644592Z,2025-11-05
EFX,1d,2025-11-04T00:00:00,210.22,211.04,207.31,208.46,3015374.0,normal,2026-01-01T03:46:07.644592Z,2025-11-04
EFX,1d,2025-11-03T00:00:00,209.33,210.54,205.51,209.84,1190217.0,normal,2026-01-01T03:46:07.644592Z,2025-11-03
EFX,1d,2025-10-31T00:00:00,210.58,213.69,208.83,211.1,1675533.0,normal,2026-01-01T03:46:07.644592Z,2025-10-31
EFX,1d,2025-10-30T00:00:00,214.51,215.53,210.81,211.5,1224505.0,normal,2026-01-01T03:46:07.644592Z,2025-10-30
EFX,1d,2025-10-29T00:00:00,222.07,222.21,211.69,214.51,1552800.0,normal,2026-01-01T03:46:07.644592Z,2025-10-29
EFX,1d,2025-10-28T00:00:00,227.61,228.6,223.98,224.16,984206.0,normal,2026-01-01T03:46:07.644592Z,2025-10-28
EFX,1d,2025-10-27T00:00:00,238.94,238.94,228.71,229.02,1528054.0,normal,2026-01-01T03:46:07.644592Z,2025-10-27
EFX,1d,2025-10-24T00:00:00,235.74,236.26,232.64,233.8,722900.0,normal,2026-01-01T03:46:07.644592Z,2025-10-24
EFX,1d,2025-10-23T00:00:00,232.5,235.38,230.55,231.31,1078800.0,normal,2026-01-01T03:46:07.644592Z,2025-10-23
EFX,1d,2025-10-22T00:00:00,228.31,235.59,228.07,230.64,1359324.0,normal,2026-01-01T03:46:07.644592Z,2025-10-22
EFX,1d,2025-10-21T00:00:00,235.42,236.49,219.56,229.93,2100378.0,normal,2026-01-01T03:46:07.644592Z,2025-10-21
EFX,1d,2025-10-20T00:00:00,230.0,232.2,228.25,231.12,1264241.0,normal,2026-01-01T03:46:07.644592Z,2025-10-20
EFX,1d,2025-10-17T00:00:00,227.0,228.7,224.79,226.91,767808.0,normal,2026-01-01T03:46:07.644592Z,2025-10-17
EFX,1d,2025-10-16T00:00:00,230.08,231.6,224.54,227.2,992400.0,normal,2026-01-01T03:46:07.644592Z,2025-10-16
EFX,1d,2025-10-15T00:00:00,225.9,231.25,224.07,229.64,969847.0,normal,2026-01-01T03:46:07.644592Z,2025-10-15
EFX,1d,2025-10-14T00:00:00,223.76,228.86,221.58,228.33,1125635.0,normal,2026-01-01T03:46:07.644592Z,2025-10-14
EFX,1d,2025-10-13T00:00:00,230.81,231.31,224.69,225.46,1657874.0,normal,2026-01-01T03:46:07.644592Z,2025-10-13
EFX,1d,2025-10-10T00:00:00,234.57,235.14,229.07,230.3,973807.0,normal,2026-01-01T03:46:07.644592Z,2025-10-10
EFX,1d,2025-10-09T00:00:00,237.65,238.68,232.71,233.25,1632900.0,normal,2026-01-01T03:46:07.644592Z,2025-10-09
EFX,1d,2025-10-08T00:00:00,241.89,244.37,238.66,239.68,1340400.0,normal,2026-01-01T03:46:07.644592Z,2025-10-08
EFX,1d,2025-10-07T00:00:00,237.18,238.97,235.9,237.99,743569.0,normal,2026-01-01T03:46:07.644592Z,2025-10-07
EFX,1d,2025-10-06T00:00:00,235.67,242.26,232.43,237.33,1199741.0,normal,2026-01-01T03:46:07.644592Z,2025-10-06
EFX,1d,2025-10-03T00:00:00,232.01,237.97,229.87,236.67,1443287.0,normal,2026-01-01T03:46:07.644592Z,2025-10-03
EFX,1d,2025-10-02T00:00:00,234.61,237.96,224.01,232.35,5245518.0,normal,2026-01-01T03:46:07.644592Z,2025-10-02
EFX,1d,2025-10-01T00:00:00,255.5,258.32,249.46,253.84,1148200.0,normal,2026-01-01T03:46:07.644592Z,2025-10-01
EFX,1d,2025-09-30T00:00:00,255.81,258.06,253.24,256.53,887131.0,normal,2026-01-01T03:46:07.644592Z,2025-09-30
EFX,1d,2025-09-29T00:00:00,255.69,258.4,252.69,255.59,719821.0,normal,2026-01-01T03:46:07.644592Z,2025-09-29
EFX,1d,2025-09-26T00:00:00,251.7,255.36,250.28,254.27,576217.0,normal,2026-01-01T03:46:07.644592Z,2025-09-26
EFX,1d,2025-09-25T00:00:00,255.96,256.75,247.29,251.77,1010400.0,normal,2026-01-01T03:46:07.644592Z,2025-09-25
EFX,1d,2025-09-24T00:00:00,255.15,257.8,254.71,257.43,739000.0,normal,2026-01-01T03:46:07.644592Z,2025-09-24
EFX,1d,2025-09-23T00:00:00,256.82,258.42,254.57,257.58,778046.0,normal,2026-01-01T03:46:07.644592Z,2025-09-23
EFX,1d,2025-09-22T00:00:00,255.58,257.39,251.19,256.97,787600.0,normal,2026-01-01T03:46:07.644592Z,2025-09-22
EFX,1d,2025-09-19T00:00:00,261.73,262.3,256.74,257.58,1513700.0,normal,2026-01-01T03:46:07.644592Z,2025-09-19
EFX,1d,2025-09-18T00:00:00,263.34,266.79,260.15,260.72,1041104.0,normal,2026-01-01T03:46:07.644592Z,2025-09-18
EFX,1d,2025-09-17T00:00:00,260.82,271.84,259.55,262.33,1686302.0,normal,2026-01-01T03:46:07.644592Z,2025-09-17
EFX,1d,2025-09-16T00:00:00,256.61,261.83,252.87,260.58,1092000.0,normal,2026-01-01T03:46:07.644592Z,2025-09-16
EFX,1d,2025-09-15T00:00:00,258.39,259.83,256.1,256.88,841508.0,normal,2026-01-01T03:46:07.644592Z,2025-09-15
EFX,1d,2025-09-12T00:00:00,259.36,259.83,255.32,256.25,733400.0,normal,2026-01-01T03:46:07.644592Z,2025-09-12
EFX,1d,2025-09-11T00:00:00,247.31,262.37,247.0,260.23,1153202.0,normal,2026-01-01T03:46:07.644592Z,2025-09-11
EFX,1d,2025-09-10T00:00:00,253.3,254.7,244.02,245.55,1031735.0,normal,2026-01-01T03:46:07.644592Z,2025-09-10
EFX,1d,2025-09-09T00:00:00,252.83,253.6,248.36,252.01,1080600.0,normal,2026-01-01T03:46:07.644592Z,2025-09-09
EFX,1d,2025-09-08T00:00:00,248.72,253.08,247.07,252.97,902647.0,normal,2026-01-01T03:46:07.644592Z,2025-09-08
EFX,1d,2025-09-05T00:00:00,244.44,254.38,244.44,249.67,1381955.0,normal,2026-01-01T03:46:07.644592Z,2025-09-05
EFX,1d,2025-09-04T00:00:00,239.51,241.32,236.99,240.6,781800.0,normal,2026-01-01T03:46:07.644592Z,2025-09-04
EFX,1d,2025-09-03T00:00:00,234.4,238.07,234.13,237.49,745681.0,normal,2026-01-01T03:46:07.644592Z,2025-09-03
EFX,1d,2025-09-02T00:00:00,241.73,243.28,233.74,234.03,1558302.0,normal,2026-01-01T03:46:07.644592Z,2025-09-02
EFX,1d,2025-08-29T00:00:00,243.19,246.44,243.19,246.3,694100.0,normal,2026-01-01T03:46:07.644592Z,2025-08-29
EFX,1d,2025-08-28T00:00:00,246.35,246.85,242.97,243.85,735209.0,normal,2026-01-01T03:46:07.644592Z,2025-08-28
EFX,1d,2025-08-27T00:00:00,246.92,249.32,245.86,245.98,689109.0,normal,2026-01-01T03:46:07.644592Z,2025-08-27
EFX,1d,2025-08-26T00:00:00,250.31,251.86,247.28,247.6,749839.0,normal,2026-01-01T03:46:07.644592Z,2025-08-26
EFX,1d,2025-08-25T00:00:00,253.33,254.06,250.57,250.76,836559.0,normal,2026-01-01T03:46:07.644592Z,2025-08-25
EFX,1d,2025-08-22T00:00:00,247.24,257.21,246.47,255.0,892815.0,normal,2026-01-01T03:46:07.644592Z,2025-08-22
EFX,1d,2025-08-21T00:00:00,246.31,248.16,245.23,245.45,667928.0,normal,2026-01-01T03:46:07.644592Z,2025-08-21
EFX,1d,2025-08-20T00:00:00,250.24,252.14,248.23,248.35,1198972.0,normal,2026-01-01T03:46:07.644592Z,2025-08-20
EFX,1d,2025-08-19T00:00:00,246.85,250.97,245.74,249.91,1011325.0,normal,2026-01-01T03:46:07.644592Z,2025-08-19
EFX,1d,2025-08-18T00:00:00,247.35,248.79,245.48,245.62,856000.0,normal,2026-01-01T03:46:07.644592Z,2025-08-18
EFX,1d,2025-08-15T00:00:00,247.9,250.27,246.57,247.72,648846.0,normal,2026-01-01T03:46:07.644592Z,2025-08-15
EFX,1d,2025-08-14T00:00:00,250.95,252.68,247.52,248.07,1088419.0,normal,2026-01-01T03:46:07.644592Z,2025-08-14
EFX,1d,2025-08-13T00:00:00,242.94,254.02,241.96,253.3,1691756.0,normal,2026-01-01T03:46:07.644592Z,2025-08-13
EFX,1d,2025-08-12T00:00:00,241.0,241.29,237.33,240.99,899100.0,normal,2026-01-01T03:46:07.644592Z,2025-08-12
EFX,1d,2025-08-11T00:00:00,239.92,241.46,233.24,239.9,1871800.0,normal,2026-01-01T03:46:07.644592Z,2025-08-11
EFX,1d,2025-08-08T00:00:00,242.06,243.84,239.49,239.81,884249.0,normal,2026-01-01T03:46:07.644592Z,2025-08-08
EFX,1d,2025-08-07T00:00:00,243.28,244.92,239.88,241.92,772231.0,normal,2026-01-01T03:46:07.644592Z,2025-08-07
EFX,1d,2025-08-06T00:00:00,241.26,241.49,237.93,240.58,1018705.0,normal,2026-01-01T03:46:07.644592Z,2025-08-06
