ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
F,1d,2025-12-15T00:00:00,13.8,13.81,13.49,13.65,53577300.0,normal,2026-01-01T03:43:14.793019Z,2025-12-15
F,1d,2025-12-12T00:00:00,13.67,13.84,13.67,13.76,48337300.0,normal,2026-01-01T03:43:14.793019Z,2025-12-12
F,1d,2025-12-11T00:00:00,13.39,13.68,13.3,13.63,59012304.0,normal,2026-01-01T03:43:14.793019Z,2025-12-11
F,1d,2025-12-10T00:00:00,13.08,13.42,13.07,13.41,72210701.0,normal,2026-01-01T03:43:14.793019Z,2025-12-10
F,1d,2025-12-09T00:00:00,13.13,13.22,13.06,13.08,33349986.0,normal,2026-01-01T03:43:14.793019Z,2025-12-09
F,1d,2025-12-08T00:00:00,13.07,13.16,12.95,13.14,45580830.0,normal,2026-01-01T03:43:14.793019Z,2025-12-08
F,1d,2025-12-05T00:00:00,13.15,13.28,13.0,13.03,54099400.0,normal,2026-01-01T03:43:14.793019Z,2025-12-05
F,1d,2025-12-04T00:00:00,13.19,13.24,13.06,13.14,47554803.0,normal,2026-01-01T03:43:14.793019Z,2025-12-04
F,1d,2025-12-03T00:00:00,12.99,13.14,12.96,13.09,45364700.0,normal,2026-01-01T03:43:14.793019Z,2025-12-03
F,1d,2025-12-02T00:00:00,13.19,13.19,12.87,12.96,57641703.0,normal,2026-01-01T03:43:14.793019Z,2025-12-02
F,1d,2025-12-01T00:00:00,13.2,13.39,13.13,13.16,51594000.0,normal,2026-01-01T03:43:14.793019Z,2025-12-01
F,1d,2025-11-28T00:00:00,13.21,13.34,13.18,13.28,29536200.0,normal,2026-01-01T03:43:14.793019Z,2025-11-28
F,1d,2025-11-26T00:00:00,13.17,13.26,13.12,13.19,44942203.0,normal,2026-01-01T03:43:14.793019Z,2025-11-26
F,1d,2025-11-25T00:00:00,12.99,13.26,12.98,13.17,52885000.0,normal,2026-01-01T03:43:14.793019Z,2025-11-25
F,1d,2025-11-24T00:00:00,12.84,12.98,12.83,12.96,52936240.0,normal,2026-01-01T03:43:14.793019Z,2025-11-24
F,1d,2025-11-21T00:00:00,12.51,12.94,12.49,12.83,74048900.0,normal,2026-01-01T03:43:14.793019Z,2025-11-21
F,1d,2025-11-20T00:00:00,12.91,13.01,12.38,12.41,95861900.0,normal,2026-01-01T03:43:14.793019Z,2025-11-20
F,1d,2025-11-19T00:00:00,13.03,13.15,12.86,12.9,49619300.0,normal,2026-01-01T03:43:14.793019Z,2025-11-19
F,1d,2025-11-18T00:00:00,12.87,13.09,12.76,13.02,70215400.0,normal,2026-01-01T03:43:14.793019Z,2025-11-18
F,1d,2025-11-17T00:00:00,13.18,13.18,12.78,12.88,73404400.0,normal,2026-01-01T03:43:14.793019Z,2025-11-17
F,1d,2025-11-14T00:00:00,13.18,13.31,13.1,13.19,67932422.0,normal,2026-01-01T03:43:14.793019Z,2025-11-14
F,1d,2025-11-13T00:00:00,13.4,13.5,13.25,13.28,71481613.0,normal,2026-01-01T03:43:14.793019Z,2025-11-13
F,1d,2025-11-12T00:00:00,13.3,13.5,13.3,13.45,61840500.0,normal,2026-01-01T03:43:14.793019Z,2025-11-12
F,1d,2025-11-11T00:00:00,13.19,13.44,13.19,13.3,79742405.0,normal,2026-01-01T03:43:14.793019Z,2025-11-11
F,1d,2025-11-10T00:00:00,13.23,13.24,13.0,13.16,62051200.0,normal,2026-01-01T03:43:14.793019Z,2025-11-10
F,1d,2025-11-07T00:00:00,12.96,13.24,12.95,13.21,80011318.0,normal,2026-01-01T03:43:14.793019Z,2025-11-07
F,1d,2025-11-06T00:00:00,13.14,13.26,12.98,13.12,82291049.0,normal,2026-01-01T03:43:14.793019Z,2025-11-06
F,1d,2025-11-05T00:00:00,12.92,13.31,12.88,13.11,79134307.0,normal,2026-01-01T03:43:14.793019Z,2025-11-05
F,1d,2025-11-04T00:00:00,12.91,12.93,12.75,12.79,70360611.0,normal,2026-01-01T03:43:14.793019Z,2025-11-04
F,1d,2025-11-03T00:00:00,13.1,13.1,12.9,13.01,80419403.0,normal,2026-01-01T03:43:14.793019Z,2025-11-03
F,1d,2025-10-31T00:00:00,13.04,13.17,12.99,13.13,68862000.0,normal,2026-01-01T03:43:14.793019Z,2025-10-31
F,1d,2025-10-30T00:00:00,13.14,13.29,13.06,13.06,80766301.0,normal,2026-01-01T03:43:14.793019Z,2025-10-30
F,1d,2025-10-29T00:00:00,13.1,13.39,13.07,13.24,127512240.0,normal,2026-01-01T03:43:14.793019Z,2025-10-29
F,1d,2025-10-28T00:00:00,13.24,13.28,13.04,13.13,96738500.0,normal,2026-01-01T03:43:14.793019Z,2025-10-28
F,1d,2025-10-27T00:00:00,13.8,13.8,13.21,13.26,140859004.0,normal,2026-01-01T03:43:14.793019Z,2025-10-27
F,1d,2025-10-24T00:00:00,12.73,13.97,12.71,13.84,298366900.0,normal,2026-01-01T03:43:14.793019Z,2025-10-24
F,1d,2025-10-23T00:00:00,12.47,12.49,12.19,12.34,479840312.0,normal,2026-01-01T03:43:14.793019Z,2025-10-23
F,1d,2025-10-22T00:00:00,12.53,12.6,12.28,12.43,415062200.0,normal,2026-01-01T03:43:14.793019Z,2025-10-22
F,1d,2025-10-21T00:00:00,12.26,12.63,12.07,12.56,297153200.0,normal,2026-01-01T03:43:14.793019Z,2025-10-21
F,1d,2025-10-20T00:00:00,11.93,12.08,11.91,11.99,77878936.0,normal,2026-01-01T03:43:14.793019Z,2025-10-20
F,1d,2025-10-17T00:00:00,11.74,12.01,11.72,11.92,107633522.0,normal,2026-01-01T03:43:14.793019Z,2025-10-17
F,1d,2025-10-16T00:00:00,11.74,11.79,11.64,11.74,108701202.0,normal,2026-01-01T03:43:14.793019Z,2025-10-16
F,1d,2025-10-15T00:00:00,11.68,11.78,11.64,11.76,88960726.0,normal,2026-01-01T03:43:14.793019Z,2025-10-15
F,1d,2025-10-14T00:00:00,11.38,11.76,11.34,11.65,89117946.0,normal,2026-01-01T03:43:14.793019Z,2025-10-14
F,1d,2025-10-13T00:00:00,11.49,11.63,11.46,11.54,73939400.0,normal,2026-01-01T03:43:14.793019Z,2025-10-13
F,1d,2025-10-10T00:00:00,11.55,11.59,11.35,11.41,84595402.0,normal,2026-01-01T03:43:14.793019Z,2025-10-10
F,1d,2025-10-09T00:00:00,11.75,11.77,11.48,11.5,70320500.0,normal,2026-01-01T03:43:14.793019Z,2025-10-09
F,1d,2025-10-08T00:00:00,11.98,12.01,11.68,11.74,78469700.0,normal,2026-01-01T03:43:14.793019Z,2025-10-08
F,1d,2025-10-07T00:00:00,12.5,12.53,11.74,11.92,154390200.0,normal,2026-01-01T03:43:14.793019Z,2025-10-07
F,1d,2025-10-06T00:00:00,12.63,12.8,12.48,12.7,90544937.0,normal,2026-01-01T03:43:14.793019Z,2025-10-06
F,1d,2025-10-03T00:00:00,12.25,12.67,12.2,12.67,100778600.0,normal,2026-01-01T03:43:14.793019Z,2025-10-03
F,1d,2025-10-02T00:00:00,12.28,12.43,12.12,12.22,74530532.0,normal,2026-01-01T03:43:14.793019Z,2025-10-02
F,1d,2025-10-01T00:00:00,12.12,12.28,12.04,12.27,73578427.0,normal,2026-01-01T03:43:14.793019Z,2025-10-01
