ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
FDX,1d,2025-12-15T00:00:00,282.3,283.0,278.7,281.23,2001000.0,normal,2026-01-01T03:40:45.485238Z,2025-12-15
FDX,1d,2025-12-12T00:00:00,286.0,287.54,283.2,284.34,1224712.0,normal,2026-01-01T03:40:45.485238Z,2025-12-12
FDX,1d,2025-12-11T00:00:00,284.66,288.44,284.35,284.78,1357630.0,normal,2026-01-01T03:40:45.485238Z,2025-12-11
FDX,1d,2025-12-10T00:00:00,275.52,285.49,275.3,284.31,1310290.0,normal,2026-01-01T03:40:45.485238Z,2025-12-10
FDX,1d,2025-12-09T00:00:00,276.5,278.21,274.98,275.13,866222.0,normal,2026-01-01T03:40:45.485238Z,2025-12-09
FDX,1d,2025-12-08T00:00:00,277.49,279.53,276.05,276.64,1310500.0,normal,2026-01-01T03:40:45.485238Z,2025-12-08
FDX,1d,2025-12-05T00:00:00,273.99,276.6,273.0,274.29,1034046.0,normal,2026-01-01T03:40:45.485238Z,2025-12-05
FDX,1d,2025-12-04T00:00:00,271.75,275.83,266.0,274.05,2046655.0,normal,2026-01-01T03:40:45.485238Z,2025-12-04
FDX,1d,2025-12-03T00:00:00,270.89,274.21,268.71,270.45,1707910.0,normal,2026-01-01T03:40:45.485238Z,2025-12-03
FDX,1d,2025-12-02T00:00:00,273.0,273.44,267.27,270.37,1615719.0,normal,2026-01-01T03:40:45.485238Z,2025-12-02
FDX,1d,2025-12-01T00:00:00,275.07,275.9,272.71,273.34,1227195.0,normal,2026-01-01T03:40:45.485238Z,2025-12-01
FDX,1d,2025-11-28T00:00:00,275.24,276.87,274.4,275.68,506742.0,normal,2026-01-01T03:40:45.485238Z,2025-11-28
FDX,1d,2025-11-26T00:00:00,274.3,276.6,272.6,275.83,1024426.0,normal,2026-01-01T03:40:45.485238Z,2025-11-26
FDX,1d,2025-11-25T00:00:00,268.95,275.0,268.02,273.87,1270653.0,normal,2026-01-01T03:40:45.485238Z,2025-11-25
FDX,1d,2025-11-24T00:00:00,268.81,270.43,265.88,266.98,1920400.0,normal,2026-01-01T03:40:45.485238Z,2025-11-24
FDX,1d,2025-11-21T00:00:00,263.43,271.6,263.12,269.43,1723408.0,normal,2026-01-01T03:40:45.485238Z,2025-11-21
FDX,1d,2025-11-20T00:00:00,265.5,270.77,262.99,263.1,1572715.0,normal,2026-01-01T03:40:45.485238Z,2025-11-20
FDX,1d,2025-11-19T00:00:00,263.08,265.59,260.85,262.57,1035426.0,normal,2026-01-01T03:40:45.485238Z,2025-11-19
FDX,1d,2025-11-18T00:00:00,262.43,264.95,259.79,263.08,1550029.0,normal,2026-01-01T03:40:45.485238Z,2025-11-18
FDX,1d,2025-11-17T00:00:00,266.01,268.7,263.0,264.73,1770000.0,normal,2026-01-01T03:40:45.485238Z,2025-11-17
FDX,1d,2025-11-14T00:00:00,265.5,269.69,264.39,267.56,1576836.0,normal,2026-01-01T03:40:45.485238Z,2025-11-14
FDX,1d,2025-11-13T00:00:00,269.86,271.2,266.57,267.34,1308333.0,normal,2026-01-01T03:40:45.485238Z,2025-11-13
FDX,1d,2025-11-12T00:00:00,268.14,271.97,267.4,268.67,1751450.0,normal,2026-01-01T03:40:45.485238Z,2025-11-12
FDX,1d,2025-11-11T00:00:00,254.58,270.32,254.0,267.72,3520114.0,normal,2026-01-01T03:40:45.485238Z,2025-11-11
FDX,1d,2025-11-10T00:00:00,262.0,262.46,253.69,253.89,2020976.0,normal,2026-01-01T03:40:45.485238Z,2025-11-10
FDX,1d,2025-11-07T00:00:00,258.84,263.51,258.27,262.09,1648833.0,normal,2026-01-01T03:40:45.485238Z,2025-11-07
FDX,1d,2025-11-06T00:00:00,256.08,261.31,255.95,258.86,2224504.0,normal,2026-01-01T03:40:45.485238Z,2025-11-06
FDX,1d,2025-11-05T00:00:00,251.65,259.19,250.25,256.1,1682238.0,normal,2026-01-01T03:40:45.485238Z,2025-11-05
FDX,1d,2025-11-04T00:00:00,251.0,255.29,251.0,251.88,1602600.0,normal,2026-01-01T03:40:45.485238Z,2025-11-04
FDX,1d,2025-11-03T00:00:00,252.8,254.65,249.83,252.99,1592068.0,normal,2026-01-01T03:40:45.485238Z,2025-11-03
FDX,1d,2025-10-31T00:00:00,247.95,255.53,247.51,253.82,1642656.0,normal,2026-01-01T03:40:45.485238Z,2025-10-31
FDX,1d,2025-10-30T00:00:00,249.06,252.69,248.11,248.93,1767809.0,normal,2026-01-01T03:40:45.485238Z,2025-10-30
FDX,1d,2025-10-29T00:00:00,249.05,252.62,248.0,249.64,1488684.0,normal,2026-01-01T03:40:45.485238Z,2025-10-29
FDX,1d,2025-10-28T00:00:00,251.0,254.0,249.4,249.55,1792170.0,normal,2026-01-01T03:40:45.485238Z,2025-10-28
FDX,1d,2025-10-27T00:00:00,244.77,248.47,244.3,247.34,1586200.0,normal,2026-01-01T03:40:45.485238Z,2025-10-27
FDX,1d,2025-10-24T00:00:00,239.69,242.23,238.44,241.15,1105312.0,normal,2026-01-01T03:40:45.485238Z,2025-10-24
FDX,1d,2025-10-23T00:00:00,240.17,241.41,234.53,238.17,1311745.0,normal,2026-01-01T03:40:45.485238Z,2025-10-23
