ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
FIS,1d,2025-12-09T00:00:00,65.41,65.91,64.98,65.17,2191100.0,normal,2025-12-10T10:38:44.320689Z,2025-12-09
FIS,1d,2025-12-08T00:00:00,66.44,66.47,65.56,65.88,2317417.0,normal,2025-12-10T10:38:44.320689Z,2025-12-08
FIS,1d,2025-12-05T00:00:00,65.6,66.93,65.34,66.66,2777117.0,normal,2025-12-10T10:38:44.320689Z,2025-12-05
FIS,1d,2025-12-04T00:00:00,65.7,66.25,64.91,65.56,2841900.0,normal,2025-12-10T10:38:44.320689Z,2025-12-04
FIS,1d,2025-12-03T00:00:00,66.95,67.48,65.41,65.66,4215127.0,normal,2025-12-10T10:38:44.320689Z,2025-12-03
FIS,1d,2025-12-02T00:00:00,66.39,67.31,65.71,66.8,3180800.0,normal,2025-12-10T10:38:44.320689Z,2025-12-02
FIS,1d,2025-12-01T00:00:00,64.91,66.84,64.91,66.2,2801700.0,normal,2025-12-10T10:38:44.320689Z,2025-12-01
FIS,1d,2025-11-28T00:00:00,65.59,66.17,65.24,65.77,990908.0,normal,2025-12-10T10:38:44.320689Z,2025-11-28
FIS,1d,2025-11-26T00:00:00,65.14,66.1,64.91,65.38,2180269.0,normal,2025-12-10T10:38:44.320689Z,2025-11-26
FIS,1d,2025-11-25T00:00:00,65.0,66.28,64.56,65.65,2313344.0,normal,2025-12-10T10:38:44.320689Z,2025-11-25
FIS,1d,2025-11-24T00:00:00,64.09,64.89,63.81,64.41,6173315.0,normal,2025-12-10T10:38:44.320689Z,2025-11-24
FIS,1d,2025-11-21T00:00:00,62.67,64.81,62.67,64.07,3291700.0,normal,2025-12-10T10:38:44.320689Z,2025-11-21
FIS,1d,2025-11-20T00:00:00,62.79,63.67,62.28,62.38,2256139.0,normal,2025-12-10T10:38:44.320689Z,2025-11-20
FIS,1d,2025-11-19T00:00:00,63.2,63.39,62.45,62.66,2937810.0,normal,2025-12-10T10:38:44.320689Z,2025-11-19
FIS,1d,2025-11-18T00:00:00,63.89,64.19,63.01,63.15,3144517.0,normal,2025-12-10T10:38:44.320689Z,2025-11-18
FIS,1d,2025-11-17T00:00:00,64.32,64.88,63.82,63.93,2822200.0,normal,2025-12-10T10:38:44.320689Z,2025-11-17
FIS,1d,2025-11-14T00:00:00,65.98,66.37,63.97,64.24,3551487.0,normal,2025-12-10T10:38:44.320689Z,2025-11-14
FIS,1d,2025-11-13T00:00:00,66.04,66.45,65.39,66.26,3739539.0,normal,2025-12-10T10:38:44.320689Z,2025-11-13
FIS,1d,2025-11-12T00:00:00,65.86,66.39,65.22,66.23,3258557.0,normal,2025-12-10T10:38:44.320689Z,2025-11-12
FIS,1d,2025-11-11T00:00:00,65.56,66.52,65.3,66.38,3175619.0,normal,2025-12-10T10:38:44.320689Z,2025-11-11
FIS,1d,2025-11-10T00:00:00,64.71,65.61,64.05,65.44,2479400.0,normal,2025-12-10T10:38:44.320689Z,2025-11-10
FIS,1d,2025-11-07T00:00:00,64.01,65.28,63.86,64.78,3601400.0,normal,2025-12-10T10:38:44.320689Z,2025-11-07
FIS,1d,2025-11-06T00:00:00,65.08,66.0,63.45,64.68,3468858.0,normal,2025-12-10T10:38:44.320689Z,2025-11-06
FIS,1d,2025-11-05T00:00:00,63.72,65.0,62.45,64.75,7694399.0,normal,2025-12-10T10:38:44.320689Z,2025-11-05
FIS,1d,2025-11-04T00:00:00,62.46,63.48,61.55,63.15,5557700.0,normal,2025-12-10T10:38:44.320689Z,2025-11-04
FIS,1d,2025-11-03T00:00:00,62.14,62.44,61.08,62.2,4051339.0,normal,2025-12-10T10:38:44.320689Z,2025-11-03
FIS,1d,2025-10-31T00:00:00,61.52,62.61,61.18,62.52,3074190.0,normal,2025-12-10T10:38:44.320689Z,2025-10-31
FIS,1d,2025-10-30T00:00:00,62.12,63.28,61.77,62.39,5024588.0,normal,2025-12-10T10:38:44.320689Z,2025-10-30
FIS,1d,2025-10-29T00:00:00,61.18,62.89,59.51,61.5,15316350.0,normal,2025-12-10T10:38:44.320689Z,2025-10-29
FIS,1d,2025-10-28T00:00:00,66.29,66.83,65.72,65.93,3886140.0,normal,2025-12-10T10:38:44.320689Z,2025-10-28
FIS,1d,2025-10-27T00:00:00,67.84,68.0,66.36,66.53,4025633.0,normal,2025-12-10T10:38:44.320689Z,2025-10-27
FIS,1d,2025-10-24T00:00:00,68.35,68.98,67.58,67.79,3800611.0,normal,2025-12-10T10:38:44.320689Z,2025-10-24
FIS,1d,2025-10-23T00:00:00,67.5,68.05,67.07,67.52,3417900.0,normal,2025-12-10T10:38:44.320689Z,2025-10-23
FIS,1d,2025-10-22T00:00:00,68.0,68.92,67.38,67.88,3781700.0,normal,2025-12-10T10:38:44.320689Z,2025-10-22
FIS,1d,2025-10-21T00:00:00,67.71,68.47,66.94,67.7,4143716.0,normal,2025-12-10T10:38:44.320689Z,2025-10-21
FIS,1d,2025-10-20T00:00:00,67.26,68.07,67.14,67.94,1878970.0,normal,2025-12-10T10:38:44.320689Z,2025-10-20
FIS,1d,2025-10-17T00:00:00,65.99,66.99,65.78,66.85,2724539.0,normal,2025-12-10T10:38:44.320689Z,2025-10-17
FIS,1d,2025-10-16T00:00:00,66.59,66.99,65.54,65.81,3215400.0,normal,2025-12-10T10:38:44.320689Z,2025-10-16
FIS,1d,2025-10-15T00:00:00,67.66,67.78,66.34,66.56,2608700.0,normal,2025-12-10T10:38:44.320689Z,2025-10-15
FIS,1d,2025-10-14T00:00:00,67.07,68.5,67.06,67.74,3666322.0,normal,2025-12-10T10:38:44.320689Z,2025-10-14
FIS,1d,2025-10-13T00:00:00,67.03,67.47,66.23,67.31,2734508.0,normal,2025-12-10T10:38:44.320689Z,2025-10-13
FIS,1d,2025-10-10T00:00:00,68.68,69.04,66.83,66.87,3158776.0,normal,2025-12-10T10:38:44.320689Z,2025-10-10
FIS,1d,2025-10-09T00:00:00,68.53,68.82,67.94,68.57,2828145.0,normal,2025-12-10T10:38:44.320689Z,2025-10-09
FIS,1d,2025-10-08T00:00:00,68.54,68.68,67.69,68.13,3515650.0,normal,2025-12-10T10:38:44.320689Z,2025-10-08
FIS,1d,2025-10-07T00:00:00,67.8,69.14,67.46,68.51,3789375.0,normal,2025-12-10T10:38:44.320689Z,2025-10-07
FIS,1d,2025-10-06T00:00:00,66.8,67.3,66.18,67.15,3527136.0,normal,2025-12-10T10:38:44.320689Z,2025-10-06
FIS,1d,2025-10-03T00:00:00,66.42,67.46,66.18,66.71,2715919.0,normal,2025-12-10T10:38:44.320689Z,2025-10-03
FIS,1d,2025-10-02T00:00:00,66.33,67.25,66.12,66.45,4130400.0,normal,2025-12-10T10:38:44.320689Z,2025-10-02
FIS,1d,2025-10-01T00:00:00,65.87,66.54,65.37,66.51,3969927.0,normal,2025-12-10T10:38:44.320689Z,2025-10-01
FIS,1d,2025-09-30T00:00:00,66.69,67.13,65.33,65.94,4396600.0,normal,2025-12-10T10:38:44.320689Z,2025-09-30
FIS,1d,2025-09-29T00:00:00,64.48,66.0,64.11,65.78,4817989.0,normal,2025-12-10T10:38:44.320689Z,2025-09-29
FIS,1d,2025-09-26T00:00:00,63.89,64.34,63.66,64.24,4640514.0,normal,2025-12-10T10:38:44.320689Z,2025-09-26
FIS,1d,2025-09-25T00:00:00,64.12,65.0,63.65,63.79,4264900.0,normal,2025-12-10T10:38:44.320689Z,2025-09-25
FIS,1d,2025-09-24T00:00:00,63.21,64.3,63.0,64.13,4875300.0,normal,2025-12-10T10:38:44.320689Z,2025-09-24
FIS,1d,2025-09-23T00:00:00,64.58,64.65,63.2,63.37,4738102.0,normal,2025-12-10T10:38:44.320689Z,2025-09-23
FIS,1d,2025-09-22T00:00:00,64.9,65.08,64.26,64.65,5800005.0,normal,2025-12-10T10:38:44.320689Z,2025-09-22
