ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
FOXA,1d,2025-12-09T00:00:00,69.22,70.63,69.21,70.3,3147980.0,normal,2025-12-17T06:57:52.353607Z,2025-12-09
FOXA,1d,2025-12-08T00:00:00,68.87,69.63,68.2,69.21,4508100.0,normal,2025-12-17T06:57:52.353607Z,2025-12-08
FOXA,1d,2025-12-05T00:00:00,68.02,69.24,67.77,68.4,3768972.0,normal,2025-12-17T06:57:52.353607Z,2025-12-05
FOXA,1d,2025-12-04T00:00:00,66.48,67.88,66.31,67.79,3557913.0,normal,2025-12-17T06:57:52.353607Z,2025-12-04
FOXA,1d,2025-12-03T00:00:00,66.27,67.33,66.27,66.45,2744507.0,normal,2025-12-17T06:57:52.353607Z,2025-12-03
FOXA,1d,2025-12-02T00:00:00,66.54,66.74,65.41,66.25,3361124.0,normal,2025-12-17T06:57:52.353607Z,2025-12-02
FOXA,1d,2025-12-01T00:00:00,65.17,66.88,65.17,66.39,4117221.0,normal,2025-12-17T06:57:52.353607Z,2025-12-01
FOXA,1d,2025-11-28T00:00:00,65.41,65.69,64.94,65.5,1391700.0,normal,2025-12-17T06:57:52.353607Z,2025-11-28
FOXA,1d,2025-11-26T00:00:00,64.62,65.53,64.62,65.05,2159544.0,normal,2025-12-17T06:57:52.353607Z,2025-11-26
FOXA,1d,2025-11-25T00:00:00,64.59,65.09,64.38,64.73,2384116.0,normal,2025-12-17T06:57:52.353607Z,2025-11-25
FOXA,1d,2025-11-24T00:00:00,64.98,65.3,63.07,64.3,7055300.0,normal,2025-12-17T06:57:52.353607Z,2025-11-24
FOXA,1d,2025-11-21T00:00:00,65.25,66.35,65.16,65.69,3151700.0,normal,2025-12-17T06:57:52.353607Z,2025-11-21
FOXA,1d,2025-11-20T00:00:00,65.38,65.79,64.73,65.14,2670711.0,normal,2025-12-17T06:57:52.353607Z,2025-11-20
FOXA,1d,2025-11-19T00:00:00,64.88,65.63,64.68,64.78,2080047.0,normal,2025-12-17T06:57:52.353607Z,2025-11-19
