ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
FTNT,1d,2025-12-15T00:00:00,82.1,82.83,80.79,81.52,5101827.0,normal,2026-01-01T03:44:02.087102Z,2025-12-15
FTNT,1d,2025-12-12T00:00:00,81.98,82.66,81.66,82.22,4283800.0,normal,2026-01-01T03:44:02.087102Z,2025-12-12
FTNT,1d,2025-12-11T00:00:00,81.6,83.22,81.45,82.47,4523631.0,normal,2026-01-01T03:44:02.087102Z,2025-12-11
FTNT,1d,2025-12-10T00:00:00,83.1,83.22,80.25,81.6,6185613.0,normal,2026-01-01T03:44:02.087102Z,2025-12-10
FTNT,1d,2025-12-09T00:00:00,83.09,84.16,82.15,83.5,3991418.0,normal,2026-01-01T03:44:02.087102Z,2025-12-09
FTNT,1d,2025-12-08T00:00:00,86.96,87.11,83.26,83.53,6075000.0,normal,2026-01-01T03:44:02.087102Z,2025-12-08
FTNT,1d,2025-12-05T00:00:00,85.54,86.94,85.2,86.92,6172211.0,normal,2026-01-01T03:44:02.087102Z,2025-12-05
FTNT,1d,2025-12-04T00:00:00,82.98,85.24,82.41,85.18,6709946.0,normal,2026-01-01T03:44:02.087102Z,2025-12-04
FTNT,1d,2025-12-03T00:00:00,82.21,82.96,81.42,82.76,5133700.0,normal,2026-01-01T03:44:02.087102Z,2025-12-03
FTNT,1d,2025-12-02T00:00:00,82.51,83.27,82.0,82.94,3870105.0,normal,2026-01-01T03:44:02.087102Z,2025-12-02
FTNT,1d,2025-12-01T00:00:00,80.49,82.1,80.43,81.82,4092800.0,normal,2026-01-01T03:44:02.087102Z,2025-12-01
FTNT,1d,2025-11-28T00:00:00,80.67,81.36,80.36,81.13,2199100.0,normal,2026-01-01T03:44:02.087102Z,2025-11-28
FTNT,1d,2025-11-26T00:00:00,80.81,80.86,78.63,80.55,4527107.0,normal,2026-01-01T03:44:02.087102Z,2025-11-26
FTNT,1d,2025-11-25T00:00:00,79.38,81.19,79.3,80.87,3816471.0,normal,2026-01-01T03:44:02.087102Z,2025-11-25
FTNT,1d,2025-11-24T00:00:00,78.89,80.01,78.7,79.77,8416900.0,normal,2026-01-01T03:44:02.087102Z,2025-11-24
FTNT,1d,2025-11-21T00:00:00,77.8,79.5,77.17,78.86,5531441.0,normal,2026-01-01T03:44:02.087102Z,2025-11-21
FTNT,1d,2025-11-20T00:00:00,80.5,81.21,77.79,78.04,5994200.0,normal,2026-01-01T03:44:02.087102Z,2025-11-20
FTNT,1d,2025-11-19T00:00:00,79.82,80.37,79.32,79.73,4190105.0,normal,2026-01-01T03:44:02.087102Z,2025-11-19
FTNT,1d,2025-11-18T00:00:00,81.6,82.26,79.14,80.15,6448703.0,normal,2026-01-01T03:44:02.087102Z,2025-11-18
FTNT,1d,2025-11-17T00:00:00,82.1,82.96,81.77,81.94,4479012.0,normal,2026-01-01T03:44:02.087102Z,2025-11-17
FTNT,1d,2025-11-14T00:00:00,80.14,83.26,79.75,82.31,5149807.0,normal,2026-01-01T03:44:02.087102Z,2025-11-14
FTNT,1d,2025-11-13T00:00:00,81.45,82.55,80.94,81.03,4735300.0,normal,2026-01-01T03:44:02.087102Z,2025-11-13
FTNT,1d,2025-11-12T00:00:00,83.35,84.03,81.76,82.14,4786400.0,normal,2026-01-01T03:44:02.087102Z,2025-11-12
FTNT,1d,2025-11-11T00:00:00,82.28,84.24,82.09,83.66,5108110.0,normal,2026-01-01T03:44:02.087102Z,2025-11-11
FTNT,1d,2025-11-10T00:00:00,82.3,82.62,80.27,82.28,6447941.0,normal,2026-01-01T03:44:02.087102Z,2025-11-10
FTNT,1d,2025-11-07T00:00:00,79.78,81.98,79.55,81.79,7152628.0,normal,2026-01-01T03:44:02.087102Z,2025-11-07
FTNT,1d,2025-11-06T00:00:00,76.05,81.69,75.31,80.54,13371824.0,normal,2026-01-01T03:44:02.087102Z,2025-11-06
FTNT,1d,2025-11-05T00:00:00,84.61,86.32,84.0,85.99,8713535.0,normal,2026-01-01T03:44:02.087102Z,2025-11-05
