ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
GM,1d,2025-12-15T00:00:00,80.65,82.02,80.58,81.98,14362217.0,normal,2026-01-01T03:39:31.320408Z,2025-12-15
GM,1d,2025-12-12T00:00:00,80.86,81.55,80.64,80.89,9649500.0,normal,2026-01-01T03:39:31.320408Z,2025-12-12
GM,1d,2025-12-11T00:00:00,80.33,81.22,80.3,80.85,9686821.0,normal,2026-01-01T03:39:31.320408Z,2025-12-11
GM,1d,2025-12-10T00:00:00,77.16,80.95,77.1,80.795,10630887.0,normal,2026-01-01T03:39:31.320408Z,2025-12-10
GM,1d,2025-12-09T00:00:00,76.08,77.35,75.89,77.16,7970114.0,normal,2026-01-01T03:39:31.320408Z,2025-12-09
GM,1d,2025-12-08T00:00:00,76.32,76.67,75.2,75.71,10018200.0,normal,2026-01-01T03:39:31.320408Z,2025-12-08
GM,1d,2025-12-05T00:00:00,75.08,77.0,75.0,76.05,8817800.0,normal,2026-01-01T03:39:31.320408Z,2025-12-05
GM,1d,2025-12-04T00:00:00,75.0,76.22,74.9,75.29,12659100.0,normal,2026-01-01T03:39:31.320408Z,2025-12-04
GM,1d,2025-12-03T00:00:00,73.61,74.92,73.61,74.69,8392400.0,normal,2026-01-01T03:39:31.320408Z,2025-12-03
GM,1d,2025-12-02T00:00:00,73.15,73.84,72.09,73.66,8973700.0,normal,2026-01-01T03:39:31.320408Z,2025-12-02
GM,1d,2025-12-01T00:00:00,73.09,73.93,72.91,72.95,9826900.0,normal,2026-01-01T03:39:31.320408Z,2025-12-01
GM,1d,2025-11-28T00:00:00,72.94,73.86,72.91,73.52,3755000.0,normal,2026-01-01T03:39:31.320408Z,2025-11-28
GM,1d,2025-11-26T00:00:00,72.44,73.44,72.22,72.81,7704300.0,normal,2026-01-01T03:39:31.320408Z,2025-11-26
GM,1d,2025-11-25T00:00:00,71.15,73.11,71.15,72.78,12089700.0,normal,2026-01-01T03:39:31.320408Z,2025-11-25
GM,1d,2025-11-24T00:00:00,70.48,71.22,70.25,71.0,13768142.0,normal,2026-01-01T03:39:31.320408Z,2025-11-24
GM,1d,2025-11-21T00:00:00,68.29,70.53,68.19,70.33,10852439.0,normal,2026-01-01T03:39:31.320408Z,2025-11-21
GM,1d,2025-11-20T00:00:00,68.94,69.89,67.78,68.04,9385200.0,normal,2026-01-01T03:39:31.320408Z,2025-11-20
GM,1d,2025-11-19T00:00:00,68.0,69.66,67.61,68.5,10557126.0,normal,2026-01-01T03:39:31.320408Z,2025-11-19
GM,1d,2025-11-18T00:00:00,67.83,68.42,67.06,67.93,6092657.0,normal,2026-01-01T03:39:31.320408Z,2025-11-18
GM,1d,2025-11-17T00:00:00,70.31,70.46,67.49,67.91,8032061.0,normal,2026-01-01T03:39:31.320408Z,2025-11-17
GM,1d,2025-11-14T00:00:00,71.36,71.77,70.44,70.52,7100900.0,normal,2026-01-01T03:39:31.320408Z,2025-11-14
GM,1d,2025-11-13T00:00:00,72.16,72.87,71.48,71.89,9004300.0,normal,2026-01-01T03:39:31.320408Z,2025-11-13
GM,1d,2025-11-12T00:00:00,71.17,72.39,70.99,71.84,9167247.0,normal,2026-01-01T03:39:31.320408Z,2025-11-12
GM,1d,2025-11-11T00:00:00,71.12,71.64,70.99,71.22,6164003.0,normal,2026-01-01T03:39:31.320408Z,2025-11-11
GM,1d,2025-11-10T00:00:00,71.0,71.33,69.87,71.05,8592733.0,normal,2026-01-01T03:39:31.320408Z,2025-11-10
GM,1d,2025-11-07T00:00:00,68.95,70.76,68.58,70.75,8408534.0,normal,2026-01-01T03:39:31.320408Z,2025-11-07
GM,1d,2025-11-06T00:00:00,68.69,69.4,68.21,68.84,6086742.0,normal,2026-01-01T03:39:31.320408Z,2025-11-06
GM,1d,2025-11-05T00:00:00,67.04,69.26,67.04,68.77,7807039.0,normal,2026-01-01T03:39:31.320408Z,2025-11-05
GM,1d,2025-11-04T00:00:00,68.0,68.13,66.75,66.87,8478213.0,normal,2026-01-01T03:39:31.320408Z,2025-11-04
GM,1d,2025-11-03T00:00:00,68.89,68.93,67.78,68.22,10252300.0,normal,2026-01-01T03:39:31.320408Z,2025-11-03
GM,1d,2025-10-31T00:00:00,68.78,69.32,68.63,69.09,6993609.0,normal,2026-01-01T03:39:31.320408Z,2025-10-31
GM,1d,2025-10-30T00:00:00,68.66,69.78,68.39,68.67,7559509.0,normal,2026-01-01T03:39:31.320408Z,2025-10-30
GM,1d,2025-10-29T00:00:00,69.61,70.24,68.59,69.13,10575900.0,normal,2026-01-01T03:39:31.320408Z,2025-10-29
GM,1d,2025-10-28T00:00:00,69.46,70.19,68.66,69.87,13072231.0,normal,2026-01-01T03:39:31.320408Z,2025-10-28
GM,1d,2025-10-27T00:00:00,69.57,69.63,68.79,69.38,9724800.0,normal,2026-01-01T03:39:31.320408Z,2025-10-27
GM,1d,2025-10-24T00:00:00,67.46,69.7,67.29,69.66,12571000.0,normal,2026-01-01T03:39:31.320408Z,2025-10-24
GM,1d,2025-10-23T00:00:00,67.97,68.48,66.57,66.85,12647200.0,normal,2026-01-01T03:39:31.320408Z,2025-10-23
GM,1d,2025-10-22T00:00:00,67.05,67.58,65.89,67.31,18831900.0,normal,2026-01-01T03:39:31.320408Z,2025-10-22
GM,1d,2025-10-21T00:00:00,63.76,67.55,62.36,66.62,43706533.0,normal,2026-01-01T03:39:31.320408Z,2025-10-21
GM,1d,2025-10-20T00:00:00,58.54,58.56,57.68,58.0,10184608.0,normal,2026-01-01T03:39:31.320408Z,2025-10-20
GM,1d,2025-10-17T00:00:00,57.73,59.17,57.55,58.38,7956200.0,normal,2026-01-01T03:39:31.320408Z,2025-10-17
GM,1d,2025-10-16T00:00:00,57.89,58.4,56.81,57.34,6061300.0,normal,2026-01-01T03:39:31.320408Z,2025-10-16
GM,1d,2025-10-15T00:00:00,57.26,58.25,57.01,57.8,7976919.0,normal,2026-01-01T03:39:31.320408Z,2025-10-15
GM,1d,2025-10-14T00:00:00,54.51,57.25,54.33,57.15,9005010.0,normal,2026-01-01T03:39:31.320408Z,2025-10-14
GM,1d,2025-10-13T00:00:00,55.9,56.2,55.35,55.62,3993600.0,normal,2026-01-01T03:39:31.320408Z,2025-10-13
GM,1d,2025-10-10T00:00:00,56.24,56.55,55.22,55.35,5454400.0,normal,2026-01-01T03:39:31.320408Z,2025-10-10
GM,1d,2025-10-09T00:00:00,56.78,56.87,55.91,55.92,5441819.0,normal,2026-01-01T03:39:31.320408Z,2025-10-09
GM,1d,2025-10-08T00:00:00,57.33,57.7,56.24,56.4,5430000.0,normal,2026-01-01T03:39:31.320408Z,2025-10-08
GM,1d,2025-10-07T00:00:00,58.63,58.66,56.63,57.26,10702900.0,normal,2026-01-01T03:39:31.320408Z,2025-10-07
GM,1d,2025-10-06T00:00:00,59.94,59.94,58.13,58.19,8921528.0,normal,2026-01-01T03:39:31.320408Z,2025-10-06
GM,1d,2025-10-03T00:00:00,59.32,60.61,58.67,60.13,13031920.0,normal,2026-01-01T03:39:31.320408Z,2025-10-03
GM,1d,2025-10-02T00:00:00,61.48,61.5,59.21,59.36,9614624.0,normal,2026-01-01T03:39:31.320408Z,2025-10-02
GM,1d,2025-10-01T00:00:00,60.94,61.59,60.13,61.34,8094432.0,normal,2026-01-01T03:39:31.320408Z,2025-10-01
GM,1d,2025-09-30T00:00:00,61.71,62.06,60.55,60.97,6964800.0,normal,2026-01-01T03:39:31.320408Z,2025-09-30
GM,1d,2025-09-29T00:00:00,61.85,62.14,60.75,61.12,9788442.0,normal,2026-01-01T03:39:31.320408Z,2025-09-29
GM,1d,2025-09-26T00:00:00,60.65,61.98,60.46,61.24,8641400.0,normal,2026-01-01T03:39:31.320408Z,2025-09-26
GM,1d,2025-09-25T00:00:00,59.53,60.63,59.11,60.59,7740100.0,normal,2026-01-01T03:39:31.320408Z,2025-09-25
GM,1d,2025-09-24T00:00:00,60.1,60.16,59.06,59.92,10756144.0,normal,2026-01-01T03:39:31.320408Z,2025-09-24
GM,1d,2025-09-23T00:00:00,59.05,59.92,58.46,58.58,5898999.0,normal,2026-01-01T03:39:31.320408Z,2025-09-23
GM,1d,2025-09-22T00:00:00,58.78,59.18,58.46,58.88,7634177.0,normal,2026-01-01T03:39:31.320408Z,2025-09-22
GM,1d,2025-09-19T00:00:00,59.5,59.52,58.73,58.98,13159600.0,normal,2026-01-01T03:39:31.320408Z,2025-09-19
GM,1d,2025-09-18T00:00:00,58.8,59.4,58.48,59.26,5922800.0,normal,2026-01-01T03:39:31.320408Z,2025-09-18
GM,1d,2025-09-17T00:00:00,58.27,59.57,58.22,58.73,6253045.0,normal,2026-01-01T03:39:31.320408Z,2025-09-17
GM,1d,2025-09-16T00:00:00,58.98,59.39,58.16,58.46,6786947.0,normal,2026-01-01T03:39:31.320408Z,2025-09-16
GM,1d,2025-09-15T00:00:00,58.96,59.02,58.32,58.95,4773530.0,normal,2026-01-01T03:39:31.320408Z,2025-09-15
GM,1d,2025-09-12T00:00:00,59.85,60.0,58.48,58.5,12020563.0,normal,2026-01-01T03:39:31.320408Z,2025-09-12
GM,1d,2025-09-11T00:00:00,57.54,58.71,57.47,58.71,5808502.0,normal,2026-01-01T03:39:31.320408Z,2025-09-11
GM,1d,2025-09-10T00:00:00,57.88,57.88,56.61,57.34,7207455.0,normal,2026-01-01T03:39:31.320408Z,2025-09-10
GM,1d,2025-09-09T00:00:00,58.14,58.16,57.6,58.01,4616833.0,normal,2026-01-01T03:39:31.320408Z,2025-09-09
GM,1d,2025-09-08T00:00:00,58.13,58.26,57.4,58.2,6399619.0,normal,2026-01-01T03:39:31.320408Z,2025-09-08
GM,1d,2025-09-05T00:00:00,58.08,58.81,57.76,58.27,7378100.0,normal,2026-01-01T03:39:31.320408Z,2025-09-05
GM,1d,2025-09-04T00:00:00,58.0,58.24,57.48,58.15,5880100.0,normal,2026-01-01T03:39:31.320408Z,2025-09-04
GM,1d,2025-09-03T00:00:00,58.12,58.85,57.7,57.75,6762677.0,normal,2026-01-01T03:39:31.320408Z,2025-09-03
GM,1d,2025-09-02T00:00:00,57.54,58.64,56.99,58.53,5676323.0,normal,2026-01-01T03:39:31.320408Z,2025-09-02
