ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
HBAN,1d,2025-12-24T00:00:00,17.75,17.82,17.68,17.74,6904619.0,normal,2025-12-26T07:24:54.190880Z,2025-12-24
HBAN,1d,2025-12-23T00:00:00,17.92,17.94,17.71,17.73,16424583.0,normal,2025-12-26T07:24:54.190880Z,2025-12-23
HBAN,1d,2025-12-22T00:00:00,17.69,17.95,17.66,17.92,15278834.0,normal,2025-12-26T07:24:54.190880Z,2025-12-22
HBAN,1d,2025-12-19T00:00:00,17.55,17.74,17.53,17.69,29942450.0,normal,2025-12-26T07:24:54.190880Z,2025-12-19
HBAN,1d,2025-12-18T00:00:00,17.69,17.84,17.51,17.59,23821018.0,normal,2025-12-26T07:24:54.190880Z,2025-12-18
HBAN,1d,2025-12-17T00:00:00,17.68,17.91,17.66,17.75,23967900.0,normal,2025-12-26T07:24:54.190880Z,2025-12-17
HBAN,1d,2025-12-16T00:00:00,17.77,17.77,17.47,17.63,24112006.0,normal,2025-12-26T07:24:54.190880Z,2025-12-16
HBAN,1d,2025-12-15T00:00:00,17.97,18.04,17.65,17.74,24793820.0,normal,2025-12-26T07:24:54.190880Z,2025-12-15
HBAN,1d,2025-12-12T00:00:00,18.0,18.0,17.69,17.82,21631275.0,normal,2025-12-26T07:24:54.190880Z,2025-12-12
HBAN,1d,2025-12-11T00:00:00,17.5,18.01,17.5,17.91,24359836.0,normal,2025-12-26T07:24:54.190880Z,2025-12-11
HBAN,1d,2025-12-10T00:00:00,17.07,17.58,16.9,17.56,30200591.0,normal,2025-12-26T07:24:54.190880Z,2025-12-10
HBAN,1d,2025-12-09T00:00:00,16.94,17.22,16.92,16.99,31683708.0,normal,2025-12-26T07:24:54.190880Z,2025-12-09
HBAN,1d,2025-12-08T00:00:00,16.95,17.01,16.81,16.94,22433200.0,normal,2025-12-26T07:24:54.190880Z,2025-12-08
HBAN,1d,2025-12-05T00:00:00,16.99,17.05,16.86,16.9,25173245.0,normal,2025-12-26T07:24:54.190880Z,2025-12-05
HBAN,1d,2025-12-04T00:00:00,17.04,17.17,16.98,17.1,22713492.0,normal,2025-12-26T07:24:54.190880Z,2025-12-04
HBAN,1d,2025-12-03T00:00:00,16.57,17.06,16.55,17.04,27795868.0,normal,2025-12-26T07:24:54.190880Z,2025-12-03
HBAN,1d,2025-12-02T00:00:00,16.61,16.67,16.43,16.56,29186017.0,normal,2025-12-26T07:24:54.190880Z,2025-12-02
HBAN,1d,2025-12-01T00:00:00,16.19,16.58,16.16,16.54,27810133.0,normal,2025-12-26T07:24:54.190880Z,2025-12-01
HBAN,1d,2025-11-28T00:00:00,16.32,16.35,16.19,16.3,14181421.0,normal,2025-12-26T07:24:54.190880Z,2025-11-28
HBAN,1d,2025-11-26T00:00:00,16.13,16.37,16.13,16.27,33297884.0,normal,2025-12-26T07:24:54.190880Z,2025-11-26
HBAN,1d,2025-11-25T00:00:00,16.01,16.21,15.97,16.18,47994389.0,normal,2025-12-26T07:24:54.190880Z,2025-11-25
HBAN,1d,2025-11-24T00:00:00,15.89,16.02,15.78,15.91,25969800.0,normal,2025-12-26T07:24:54.190880Z,2025-11-24
HBAN,1d,2025-11-21T00:00:00,15.37,16.05,15.37,15.88,33189700.0,normal,2025-12-26T07:24:54.190880Z,2025-11-21
HBAN,1d,2025-11-20T00:00:00,15.44,15.69,15.27,15.32,29636908.0,normal,2025-12-26T07:24:54.190880Z,2025-11-20
HBAN,1d,2025-11-19T00:00:00,15.35,15.48,15.24,15.38,31578538.0,normal,2025-12-26T07:24:54.190880Z,2025-11-19
HBAN,1d,2025-11-18T00:00:00,15.21,15.49,15.14,15.35,26499931.0,normal,2025-12-26T07:24:54.190880Z,2025-11-18
HBAN,1d,2025-11-17T00:00:00,15.69,15.73,15.22,15.3,30170300.0,normal,2025-12-26T07:24:54.190880Z,2025-11-17
HBAN,1d,2025-11-14T00:00:00,15.65,15.79,15.52,15.73,23315323.0,normal,2025-12-26T07:24:54.190880Z,2025-11-14
HBAN,1d,2025-11-13T00:00:00,15.85,15.99,15.67,15.71,25657728.0,normal,2025-12-26T07:24:54.190880Z,2025-11-13
HBAN,1d,2025-11-12T00:00:00,15.87,16.13,15.84,15.95,22198920.0,normal,2025-12-26T07:24:54.190880Z,2025-11-12
HBAN,1d,2025-11-11T00:00:00,15.84,15.95,15.72,15.82,23926036.0,normal,2025-12-26T07:24:54.190880Z,2025-11-11
HBAN,1d,2025-11-10T00:00:00,15.74,15.89,15.65,15.81,20031220.0,normal,2025-12-26T07:24:54.190880Z,2025-11-10
HBAN,1d,2025-11-07T00:00:00,15.39,15.69,15.31,15.69,27999100.0,normal,2025-12-26T07:24:54.190880Z,2025-11-07
HBAN,1d,2025-11-06T00:00:00,15.28,15.5,15.22,15.42,23875868.0,normal,2025-12-26T07:24:54.190880Z,2025-11-06
HBAN,1d,2025-11-05T00:00:00,15.31,15.45,15.18,15.29,26636794.0,normal,2025-12-26T07:24:54.190880Z,2025-11-05
HBAN,1d,2025-11-04T00:00:00,15.29,15.37,15.09,15.27,22667912.0,normal,2025-12-26T07:24:54.190880Z,2025-11-04
HBAN,1d,2025-11-03T00:00:00,15.38,15.4,15.17,15.37,21827144.0,normal,2025-12-26T07:24:54.190880Z,2025-11-03
HBAN,1d,2025-10-31T00:00:00,15.25,15.47,15.14,15.44,23143200.0,normal,2025-12-26T07:24:54.190880Z,2025-10-31
HBAN,1d,2025-10-30T00:00:00,15.14,15.5,15.11,15.32,33092318.0,normal,2025-12-26T07:24:54.190880Z,2025-10-30
HBAN,1d,2025-10-29T00:00:00,15.47,15.53,15.05,15.16,49576632.0,normal,2025-12-26T07:24:54.190880Z,2025-10-29
HBAN,1d,2025-10-28T00:00:00,15.6,15.73,15.37,15.54,61710348.0,normal,2025-12-26T07:24:54.190880Z,2025-10-28
HBAN,1d,2025-10-27T00:00:00,15.52,15.81,15.4,15.64,123965700.0,normal,2025-12-26T07:24:54.190880Z,2025-10-27
HBAN,1d,2025-10-24T00:00:00,16.07,16.17,15.97,16.07,15350906.0,normal,2025-12-26T07:24:54.190880Z,2025-10-24
HBAN,1d,2025-10-23T00:00:00,15.92,15.98,15.78,15.86,19553790.0,normal,2025-12-26T07:24:54.190880Z,2025-10-23
HBAN,1d,2025-10-22T00:00:00,15.9,16.01,15.8,15.87,25895602.0,normal,2025-12-26T07:24:54.190880Z,2025-10-22
HBAN,1d,2025-10-21T00:00:00,15.9,16.05,15.78,15.94,29783700.0,normal,2025-12-26T07:24:54.190880Z,2025-10-21
HBAN,1d,2025-10-20T00:00:00,15.8,15.87,15.6,15.84,28011130.0,normal,2025-12-26T07:24:54.190880Z,2025-10-20
HBAN,1d,2025-10-17T00:00:00,15.63,15.73,15.24,15.5,76956300.0,normal,2025-12-26T07:24:54.190880Z,2025-10-17
HBAN,1d,2025-10-16T00:00:00,16.16,16.17,15.29,15.37,50243700.0,normal,2025-12-26T07:24:54.190880Z,2025-10-16
HBAN,1d,2025-10-15T00:00:00,16.45,16.45,16.12,16.21,29714379.0,normal,2025-12-26T07:24:54.190880Z,2025-10-15
HBAN,1d,2025-10-14T00:00:00,15.85,16.46,15.77,16.34,26377800.0,normal,2025-12-26T07:24:54.190880Z,2025-10-14
HBAN,1d,2025-10-13T00:00:00,15.86,15.97,15.64,15.9,25619700.0,normal,2025-12-26T07:24:54.190880Z,2025-10-13
HBAN,1d,2025-10-10T00:00:00,16.37,16.39,15.58,15.6,32618400.0,normal,2025-12-26T07:24:54.190880Z,2025-10-10
HBAN,1d,2025-10-09T00:00:00,16.43,16.51,16.3,16.34,34151106.0,normal,2025-12-26T07:24:54.190880Z,2025-10-09
HBAN,1d,2025-10-08T00:00:00,16.79,16.82,16.32,16.34,35560806.0,normal,2025-12-26T07:24:54.190880Z,2025-10-08
HBAN,1d,2025-10-07T00:00:00,16.82,17.04,16.74,16.76,34678925.0,normal,2025-12-26T07:24:54.190880Z,2025-10-07
HBAN,1d,2025-10-06T00:00:00,17.29,17.54,16.68,16.71,42630200.0,normal,2025-12-26T07:24:54.190880Z,2025-10-06
HBAN,1d,2025-10-03T00:00:00,17.12,17.32,17.08,17.21,26767812.0,normal,2025-12-26T07:24:54.190880Z,2025-10-03
HBAN,1d,2025-10-02T00:00:00,17.04,17.13,16.89,17.04,26172800.0,normal,2025-12-26T07:24:54.190880Z,2025-10-02
HBAN,1d,2025-10-01T00:00:00,17.27,17.3,17.03,17.04,30339133.0,normal,2025-12-26T07:24:54.190880Z,2025-10-01
HBAN,1d,2025-09-30T00:00:00,17.36,17.52,16.96,17.27,33471900.0,normal,2025-12-26T07:24:54.190880Z,2025-09-30
HBAN,1d,2025-09-29T00:00:00,17.5,17.52,17.17,17.35,33740343.0,normal,2025-12-26T07:24:54.190880Z,2025-09-29
HBAN,1d,2025-09-26T00:00:00,17.44,17.57,17.3,17.42,25778510.0,normal,2025-12-26T07:24:54.190880Z,2025-09-26
HBAN,1d,2025-09-25T00:00:00,17.28,17.43,17.16,17.32,25231600.0,normal,2025-12-26T07:24:54.190880Z,2025-09-25
HBAN,1d,2025-09-24T00:00:00,17.37,17.5,17.23,17.37,26007200.0,normal,2025-12-26T07:24:54.190880Z,2025-09-24
HBAN,1d,2025-09-23T00:00:00,17.36,17.65,17.3,17.35,25576459.0,normal,2025-12-26T07:24:54.190880Z,2025-09-23
HBAN,1d,2025-09-22T00:00:00,17.64,17.71,17.3,17.33,21664703.0,normal,2025-12-26T07:24:54.190880Z,2025-09-22
HBAN,1d,2025-09-19T00:00:00,17.9,17.93,17.71,17.72,36152302.0,normal,2025-12-26T07:24:54.190880Z,2025-09-19
HBAN,1d,2025-09-18T00:00:00,17.62,17.9,17.47,17.87,32520408.0,normal,2025-12-26T07:24:54.190880Z,2025-09-18
HBAN,1d,2025-09-17T00:00:00,17.31,17.8,17.27,17.54,27999615.0,normal,2025-12-26T07:24:54.190880Z,2025-09-17
HBAN,1d,2025-09-16T00:00:00,17.62,17.62,17.2,17.43,26061100.0,normal,2025-12-26T07:24:54.190880Z,2025-09-16
HBAN,1d,2025-09-15T00:00:00,17.79,17.86,17.6,17.63,27325200.0,normal,2025-12-26T07:24:54.190880Z,2025-09-15
HBAN,1d,2025-09-12T00:00:00,17.69,17.85,17.64,17.77,21711233.0,normal,2025-12-26T07:24:54.190880Z,2025-09-12
