ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
HD,1d,2025-12-24T00:00:00,344.34,348.26,343.9,347.34,1368600.0,normal,2025-12-26T06:59:43.719040Z,2025-12-24
HD,1d,2025-12-23T00:00:00,344.0,347.5,341.94,344.97,3873404.0,normal,2025-12-26T06:59:43.719040Z,2025-12-23
HD,1d,2025-12-22T00:00:00,345.31,347.9,343.7,346.39,3523731.0,normal,2025-12-26T06:59:43.719040Z,2025-12-22
HD,1d,2025-12-19T00:00:00,354.11,354.11,344.92,345.0,12825633.0,normal,2025-12-26T06:59:43.719040Z,2025-12-19
HD,1d,2025-12-18T00:00:00,363.54,366.3,354.56,354.99,4805210.0,normal,2025-12-26T06:59:43.719040Z,2025-12-18
HD,1d,2025-12-17T00:00:00,351.97,357.5,350.98,356.75,3875570.0,normal,2025-12-26T06:59:43.719040Z,2025-12-17
HD,1d,2025-12-16T00:00:00,356.9,358.74,351.81,352.68,3497200.0,normal,2025-12-26T06:59:43.719040Z,2025-12-16
HD,1d,2025-12-15T00:00:00,359.39,362.67,355.62,356.99,4387449.0,normal,2025-12-26T06:59:43.719040Z,2025-12-15
HD,1d,2025-12-12T00:00:00,359.26,360.76,356.05,359.65,3861200.0,normal,2025-12-26T06:59:43.719040Z,2025-12-12
HD,1d,2025-12-11T00:00:00,356.0,362.72,353.94,357.46,6609845.0,normal,2025-12-26T06:59:43.719040Z,2025-12-11
HD,1d,2025-12-10T00:00:00,344.1,352.02,344.0,351.13,6316138.0,normal,2025-12-26T06:59:43.719040Z,2025-12-10
HD,1d,2025-12-09T00:00:00,347.76,356.67,344.96,345.27,5063062.0,normal,2025-12-26T06:59:43.719040Z,2025-12-09
HD,1d,2025-12-08T00:00:00,351.95,352.09,345.7,349.91,7273025.0,normal,2025-12-26T06:59:43.719040Z,2025-12-08
HD,1d,2025-12-05T00:00:00,350.65,355.62,349.53,354.61,5959500.0,normal,2025-12-26T06:59:43.719040Z,2025-12-05
HD,1d,2025-12-04T00:00:00,356.29,357.51,350.0,351.17,4022800.0,normal,2025-12-26T06:59:43.719040Z,2025-12-04
HD,1d,2025-12-03T00:00:00,354.5,360.47,353.75,357.91,4166715.0,normal,2025-12-26T06:59:43.719040Z,2025-12-03
HD,1d,2025-12-02T00:00:00,356.83,357.5,351.3,354.03,3965584.0,normal,2025-12-26T06:59:43.719040Z,2025-12-02
HD,1d,2025-12-01T00:00:00,354.05,362.29,352.88,357.33,5107100.0,normal,2025-12-26T06:59:43.719040Z,2025-12-01
HD,1d,2025-11-28T00:00:00,354.93,357.83,353.5,356.92,2119600.0,normal,2025-12-26T06:59:43.719040Z,2025-11-28
HD,1d,2025-11-26T00:00:00,350.26,357.33,349.0,355.47,4517336.0,normal,2025-12-26T06:59:43.719040Z,2025-11-26
HD,1d,2025-11-25T00:00:00,339.0,353.0,338.85,351.07,6316629.0,normal,2025-12-26T06:59:43.719040Z,2025-11-25
HD,1d,2025-11-24T00:00:00,342.2,343.71,336.55,336.58,6132934.0,normal,2025-12-26T06:59:43.719040Z,2025-11-24
HD,1d,2025-11-21T00:00:00,334.57,346.92,333.0,343.32,7441300.0,normal,2025-12-26T06:59:43.719040Z,2025-11-21
HD,1d,2025-11-20T00:00:00,336.36,338.9,332.13,332.38,4025333.0,normal,2025-12-26T06:59:43.719040Z,2025-11-20
