ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
HPE,1d,2025-12-15T00:00:00,24.0,24.09,23.72,24.05,35706300.0,normal,2026-01-01T03:50:10.935804Z,2025-12-15
HPE,1d,2025-12-12T00:00:00,24.39,24.44,23.69,23.87,49512973.0,normal,2026-01-01T03:50:10.935804Z,2025-12-12
HPE,1d,2025-12-11T00:00:00,24.73,24.9,24.05,24.54,31575300.0,normal,2026-01-01T03:50:10.935804Z,2025-12-11
HPE,1d,2025-12-10T00:00:00,24.74,25.41,24.58,25.26,40648800.0,normal,2026-01-01T03:50:10.935804Z,2025-12-10
HPE,1d,2025-12-09T00:00:00,23.69,24.81,23.67,24.77,31210726.0,normal,2026-01-01T03:50:10.935804Z,2025-12-09
HPE,1d,2025-12-08T00:00:00,23.14,24.37,23.05,23.86,26246100.0,normal,2026-01-01T03:50:10.935804Z,2025-12-08
HPE,1d,2025-12-05T00:00:00,20.9,23.56,20.61,23.33,47409100.0,normal,2026-01-01T03:50:10.935804Z,2025-12-05
HPE,1d,2025-12-04T00:00:00,22.31,23.09,22.3,22.9,33710932.0,normal,2026-01-01T03:50:10.935804Z,2025-12-04
HPE,1d,2025-12-03T00:00:00,21.89,22.41,21.82,22.26,19079425.0,normal,2026-01-01T03:50:10.935804Z,2025-12-03
HPE,1d,2025-12-02T00:00:00,22.23,22.24,21.85,21.92,16830400.0,normal,2026-01-01T03:50:10.935804Z,2025-12-02
HPE,1d,2025-12-01T00:00:00,21.56,22.03,21.48,21.94,25190235.0,normal,2026-01-01T03:50:10.935804Z,2025-12-01
HPE,1d,2025-11-28T00:00:00,21.59,21.94,21.54,21.87,7707801.0,normal,2026-01-01T03:50:10.935804Z,2025-11-28
HPE,1d,2025-11-26T00:00:00,21.6,21.61,21.1,21.53,19609800.0,normal,2026-01-01T03:50:10.935804Z,2025-11-26
HPE,1d,2025-11-25T00:00:00,21.11,21.45,20.93,21.36,21491200.0,normal,2026-01-01T03:50:10.935804Z,2025-11-25
HPE,1d,2025-11-24T00:00:00,20.83,21.25,20.66,21.09,35604138.0,normal,2026-01-01T03:50:10.935804Z,2025-11-24
HPE,1d,2025-11-21T00:00:00,20.18,20.79,19.95,20.52,22404440.0,normal,2026-01-01T03:50:10.935804Z,2025-11-21
HPE,1d,2025-11-20T00:00:00,21.12,21.31,19.93,20.02,24343621.0,normal,2026-01-01T03:50:10.935804Z,2025-11-20
HPE,1d,2025-11-19T00:00:00,20.82,21.15,20.57,20.6,26653200.0,normal,2026-01-01T03:50:10.935804Z,2025-11-19
HPE,1d,2025-11-18T00:00:00,21.01,21.46,20.72,20.9,43252800.0,normal,2026-01-01T03:50:10.935804Z,2025-11-18
HPE,1d,2025-11-17T00:00:00,21.94,22.19,20.74,21.23,50382142.0,normal,2026-01-01T03:50:10.935804Z,2025-11-17
HPE,1d,2025-11-14T00:00:00,22.48,23.42,22.35,22.83,29807000.0,normal,2026-01-01T03:50:10.935804Z,2025-11-14
HPE,1d,2025-11-13T00:00:00,23.27,23.6,22.65,22.93,42098326.0,normal,2026-01-01T03:50:10.935804Z,2025-11-13
HPE,1d,2025-11-12T00:00:00,23.07,23.7,23.0,23.48,37546621.0,normal,2026-01-01T03:50:10.935804Z,2025-11-12
HPE,1d,2025-11-11T00:00:00,23.7,23.75,22.77,22.89,28882045.0,normal,2026-01-01T03:50:10.935804Z,2025-11-11
HPE,1d,2025-11-10T00:00:00,24.12,24.41,23.58,23.88,34049800.0,normal,2026-01-01T03:50:10.935804Z,2025-11-10
HPE,1d,2025-11-07T00:00:00,23.27,23.53,22.79,23.45,21932630.0,normal,2026-01-01T03:50:10.935804Z,2025-11-07
HPE,1d,2025-11-06T00:00:00,23.68,23.9,23.13,23.4,22854200.0,normal,2026-01-01T03:50:10.935804Z,2025-11-06
HPE,1d,2025-11-05T00:00:00,23.6,24.03,23.39,23.71,27393700.0,normal,2026-01-01T03:50:10.935804Z,2025-11-05
HPE,1d,2025-11-04T00:00:00,23.94,24.1,23.43,23.56,35378300.0,normal,2026-01-01T03:50:10.935804Z,2025-11-04
HPE,1d,2025-11-03T00:00:00,24.62,24.78,24.11,24.5,28309400.0,normal,2026-01-01T03:50:10.935804Z,2025-11-03
HPE,1d,2025-10-31T00:00:00,24.49,24.92,24.2,24.42,33572127.0,normal,2026-01-01T03:50:10.935804Z,2025-10-31
HPE,1d,2025-10-30T00:00:00,24.15,24.75,24.04,24.41,39387200.0,normal,2026-01-01T03:50:10.935804Z,2025-10-30
HPE,1d,2025-10-29T00:00:00,24.55,24.59,24.08,24.27,35121130.0,normal,2026-01-01T03:50:10.935804Z,2025-10-29
HPE,1d,2025-10-28T00:00:00,24.25,24.7,23.69,24.25,38284100.0,normal,2026-01-01T03:50:10.935804Z,2025-10-28
HPE,1d,2025-10-27T00:00:00,23.78,24.22,23.58,24.18,35603402.0,normal,2026-01-01T03:50:10.935804Z,2025-10-27
HPE,1d,2025-10-24T00:00:00,23.66,23.7,23.28,23.5,19914346.0,normal,2026-01-01T03:50:10.935804Z,2025-10-24
HPE,1d,2025-10-23T00:00:00,23.14,23.46,23.06,23.19,30706724.0,normal,2026-01-01T03:50:10.935804Z,2025-10-23
HPE,1d,2025-10-22T00:00:00,23.14,23.25,22.6,23.09,50450400.0,normal,2026-01-01T03:50:10.935804Z,2025-10-22
HPE,1d,2025-10-21T00:00:00,22.96,23.43,22.62,23.27,81272500.0,normal,2026-01-01T03:50:10.935804Z,2025-10-21
HPE,1d,2025-10-20T00:00:00,23.07,23.11,22.44,22.87,60189800.0,normal,2026-01-01T03:50:10.935804Z,2025-10-20
HPE,1d,2025-10-17T00:00:00,22.35,23.27,22.24,22.96,65685507.0,normal,2026-01-01T03:50:10.935804Z,2025-10-17
HPE,1d,2025-10-16T00:00:00,22.97,23.49,22.11,22.5,78889800.0,normal,2026-01-01T03:50:10.935804Z,2025-10-16
HPE,1d,2025-10-15T00:00:00,25.25,26.31,24.87,25.04,50347700.0,normal,2026-01-01T03:50:10.935804Z,2025-10-15
HPE,1d,2025-10-14T00:00:00,24.38,25.37,24.28,25.0,34533620.0,normal,2026-01-01T03:50:10.935804Z,2025-10-14
HPE,1d,2025-10-13T00:00:00,24.95,25.46,24.75,24.8,35267917.0,normal,2026-01-01T03:50:10.935804Z,2025-10-13
HPE,1d,2025-10-10T00:00:00,26.25,26.37,24.39,24.4,35814932.0,normal,2026-01-01T03:50:10.935804Z,2025-10-10
HPE,1d,2025-10-09T00:00:00,26.04,26.37,25.74,26.25,20274404.0,normal,2026-01-01T03:50:10.935804Z,2025-10-09
HPE,1d,2025-10-08T00:00:00,24.86,26.44,24.85,26.08,29025345.0,normal,2026-01-01T03:50:10.935804Z,2025-10-08
HPE,1d,2025-10-07T00:00:00,25.46,25.92,24.67,24.91,21949827.0,normal,2026-01-01T03:50:10.935804Z,2025-10-07
HPE,1d,2025-10-06T00:00:00,24.97,25.26,24.77,24.79,15656000.0,normal,2026-01-01T03:50:10.935804Z,2025-10-06
HPE,1d,2025-10-03T00:00:00,24.6,25.0,24.3,24.43,20800647.0,normal,2026-01-01T03:50:10.935804Z,2025-10-03
HPE,1d,2025-10-02T00:00:00,25.17,25.31,24.41,24.48,17599947.0,normal,2026-01-01T03:50:10.935804Z,2025-10-02
HPE,1d,2025-10-01T00:00:00,24.38,24.98,24.23,24.93,27908400.0,normal,2026-01-01T03:50:10.935804Z,2025-10-01
HPE,1d,2025-09-30T00:00:00,24.1,24.57,23.98,24.56,22897446.0,normal,2026-01-01T03:50:10.935804Z,2025-09-30
HPE,1d,2025-09-29T00:00:00,24.31,24.69,24.1,24.14,19445342.0,normal,2026-01-01T03:50:10.935804Z,2025-09-29
HPE,1d,2025-09-26T00:00:00,24.08,24.15,23.81,24.0,20648091.0,normal,2026-01-01T03:50:10.935804Z,2025-09-26
HPE,1d,2025-09-25T00:00:00,24.02,24.26,23.87,24.21,32909800.0,normal,2026-01-01T03:50:10.935804Z,2025-09-25
HPE,1d,2025-09-24T00:00:00,24.89,25.07,24.37,24.46,25135613.0,normal,2026-01-01T03:50:10.935804Z,2025-09-24
HPE,1d,2025-09-23T00:00:00,25.12,25.32,24.68,24.7,25207500.0,normal,2026-01-01T03:50:10.935804Z,2025-09-23
HPE,1d,2025-09-22T00:00:00,24.96,25.36,24.9,25.16,28153209.0,normal,2026-01-01T03:50:10.935804Z,2025-09-22
HPE,1d,2025-09-19T00:00:00,25.21,25.32,24.86,24.99,32895745.0,normal,2026-01-01T03:50:10.935804Z,2025-09-19
HPE,1d,2025-09-18T00:00:00,25.0,25.35,24.89,25.24,22035014.0,normal,2026-01-01T03:50:10.935804Z,2025-09-18
HPE,1d,2025-09-17T00:00:00,24.55,24.96,24.25,24.73,25280536.0,normal,2026-01-01T03:50:10.935804Z,2025-09-17
HPE,1d,2025-09-16T00:00:00,24.91,24.97,24.34,24.43,21439300.0,normal,2026-01-01T03:50:10.935804Z,2025-09-16
HPE,1d,2025-09-15T00:00:00,24.8,25.04,24.51,24.84,18368294.0,normal,2026-01-01T03:50:10.935804Z,2025-09-15
HPE,1d,2025-09-12T00:00:00,24.86,25.1,24.73,24.73,20692424.0,normal,2026-01-01T03:50:10.935804Z,2025-09-12
HPE,1d,2025-09-11T00:00:00,24.58,24.96,24.45,24.86,20845513.0,normal,2026-01-01T03:50:10.935804Z,2025-09-11
HPE,1d,2025-09-10T00:00:00,24.01,24.68,23.93,24.44,21361400.0,normal,2026-01-01T03:50:10.935804Z,2025-09-10
HPE,1d,2025-09-09T00:00:00,23.42,23.98,23.38,23.88,16873535.0,normal,2026-01-01T03:50:10.935804Z,2025-09-09
HPE,1d,2025-09-08T00:00:00,23.6,23.78,23.05,23.5,19157100.0,normal,2026-01-01T03:50:10.935804Z,2025-09-08
HPE,1d,2025-09-05T00:00:00,23.16,23.56,22.7,23.52,24237500.0,normal,2026-01-01T03:50:10.935804Z,2025-09-05
HPE,1d,2025-09-04T00:00:00,23.9,24.18,22.68,23.16,62528800.0,normal,2026-01-01T03:50:10.935804Z,2025-09-04
HPE,1d,2025-09-03T00:00:00,22.96,23.04,22.58,22.82,34179900.0,normal,2026-01-01T03:50:10.935804Z,2025-09-03
HPE,1d,2025-09-02T00:00:00,22.05,22.71,21.92,22.68,27797200.0,normal,2026-01-01T03:50:10.935804Z,2025-09-02
HPE,1d,2025-08-29T00:00:00,22.84,22.87,22.43,22.57,19962851.0,normal,2026-01-01T03:50:10.935804Z,2025-08-29
HPE,1d,2025-08-28T00:00:00,22.82,23.31,22.7,23.16,24964920.0,normal,2026-01-01T03:50:10.935804Z,2025-08-28
