ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
HRL,1d,2025-12-09T00:00:00,23.85,24.0,23.59,23.63,4503860.0,normal,2025-12-10T10:36:53.433674Z,2025-12-09
HRL,1d,2025-12-08T00:00:00,24.27,24.3,23.75,23.85,6146731.0,normal,2025-12-10T10:36:53.433674Z,2025-12-08
HRL,1d,2025-12-05T00:00:00,24.23,24.63,24.01,24.34,6182196.0,normal,2025-12-10T10:36:53.433674Z,2025-12-05
HRL,1d,2025-12-04T00:00:00,25.1,25.3,23.68,24.16,10459142.0,normal,2025-12-10T10:36:53.433674Z,2025-12-04
HRL,1d,2025-12-03T00:00:00,23.12,23.46,23.06,23.27,6891900.0,normal,2025-12-10T10:36:53.433674Z,2025-12-03
HRL,1d,2025-12-02T00:00:00,23.24,23.29,22.85,23.09,6381028.0,normal,2025-12-10T10:36:53.433674Z,2025-12-02
HRL,1d,2025-12-01T00:00:00,23.2,23.51,22.99,23.3,6675252.0,normal,2025-12-10T10:36:53.433674Z,2025-12-01
HRL,1d,2025-11-28T00:00:00,23.3,23.37,23.18,23.21,2114312.0,normal,2025-12-10T10:36:53.433674Z,2025-11-28
HRL,1d,2025-11-26T00:00:00,23.04,23.26,23.01,23.23,3109900.0,normal,2025-12-10T10:36:53.433674Z,2025-11-26
HRL,1d,2025-11-25T00:00:00,22.98,23.05,22.82,22.98,4164800.0,normal,2025-12-10T10:36:53.433674Z,2025-11-25
HRL,1d,2025-11-24T00:00:00,22.56,22.71,22.46,22.6,8567300.0,normal,2025-12-10T10:36:53.433674Z,2025-11-24
HRL,1d,2025-11-21T00:00:00,22.47,23.01,22.33,22.69,9186681.0,normal,2025-12-10T10:36:53.433674Z,2025-11-21
HRL,1d,2025-11-20T00:00:00,22.13,22.51,22.03,22.32,3743421.0,normal,2025-12-10T10:36:53.433674Z,2025-11-20
HRL,1d,2025-11-19T00:00:00,22.25,22.27,22.03,22.19,3690246.0,normal,2025-12-10T10:36:53.433674Z,2025-11-19
HRL,1d,2025-11-18T00:00:00,22.29,22.41,22.08,22.32,3513147.0,normal,2025-12-10T10:36:53.433674Z,2025-11-18
HRL,1d,2025-11-17T00:00:00,22.62,22.65,22.2,22.28,4301552.0,normal,2025-12-10T10:36:53.433674Z,2025-11-17
HRL,1d,2025-11-14T00:00:00,22.74,22.88,22.36,22.64,3823634.0,normal,2025-12-10T10:36:53.433674Z,2025-11-14
HRL,1d,2025-11-13T00:00:00,22.21,22.83,22.21,22.66,6832912.0,normal,2025-12-10T10:36:53.433674Z,2025-11-13
HRL,1d,2025-11-12T00:00:00,22.46,22.65,22.24,22.27,4164069.0,normal,2025-12-10T10:36:53.433674Z,2025-11-12
HRL,1d,2025-11-11T00:00:00,22.31,22.55,22.23,22.51,4244241.0,normal,2025-12-10T10:36:53.433674Z,2025-11-11
HRL,1d,2025-11-10T00:00:00,22.0,22.21,21.81,22.15,4559479.0,normal,2025-12-10T10:36:53.433674Z,2025-11-10
HRL,1d,2025-11-07T00:00:00,21.91,22.11,21.68,22.03,6408100.0,normal,2025-12-10T10:36:53.433674Z,2025-11-07
HRL,1d,2025-11-06T00:00:00,21.58,21.85,21.4,21.72,3820484.0,normal,2025-12-10T10:36:53.433674Z,2025-11-06
HRL,1d,2025-11-05T00:00:00,21.54,21.63,21.31,21.55,4197540.0,normal,2025-12-10T10:36:53.433674Z,2025-11-05
HRL,1d,2025-11-04T00:00:00,21.49,21.64,21.24,21.58,3679568.0,normal,2025-12-10T10:36:53.433674Z,2025-11-04
HRL,1d,2025-11-03T00:00:00,21.49,21.53,21.15,21.48,5120937.0,normal,2025-12-10T10:36:53.433674Z,2025-11-03
HRL,1d,2025-10-31T00:00:00,21.21,21.69,21.03,21.59,8031409.0,normal,2025-12-10T10:36:53.433674Z,2025-10-31
HRL,1d,2025-10-30T00:00:00,21.57,21.8,21.22,21.29,7752011.0,normal,2025-12-10T10:36:53.433674Z,2025-10-30
HRL,1d,2025-10-29T00:00:00,22.91,23.04,21.46,21.49,12021637.0,normal,2025-12-10T10:36:53.433674Z,2025-10-29
HRL,1d,2025-10-28T00:00:00,23.64,23.89,23.52,23.65,3370761.0,normal,2025-12-10T10:36:53.433674Z,2025-10-28
HRL,1d,2025-10-27T00:00:00,23.74,23.81,23.37,23.74,5497800.0,normal,2025-12-10T10:36:53.433674Z,2025-10-27
