ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
HST,1d,2025-12-10T00:00:00,17.46,18.035,17.44,17.835,7980174.0,normal,2025-12-11T07:51:06.184030Z,2025-12-10
HST,1d,2025-12-09T00:00:00,17.16,17.49,17.08,17.45,9218784.0,normal,2025-12-11T07:51:06.184030Z,2025-12-09
HST,1d,2025-12-08T00:00:00,17.29,17.34,17.04,17.1,6584291.0,normal,2025-12-11T07:51:06.184030Z,2025-12-08
HST,1d,2025-12-05T00:00:00,17.16,17.42,17.11,17.26,8610800.0,normal,2025-12-11T07:51:06.184030Z,2025-12-05
HST,1d,2025-12-04T00:00:00,17.64,17.68,17.09,17.16,5726258.0,normal,2025-12-11T07:51:06.184030Z,2025-12-04
HST,1d,2025-12-03T00:00:00,17.53,17.69,17.45,17.66,5598300.0,normal,2025-12-11T07:51:06.184030Z,2025-12-03
HST,1d,2025-12-02T00:00:00,17.56,17.58,17.38,17.53,9259382.0,normal,2025-12-11T07:51:06.184030Z,2025-12-02
HST,1d,2025-12-01T00:00:00,17.49,17.77,17.44,17.55,6589394.0,normal,2025-12-11T07:51:06.184030Z,2025-12-01
HST,1d,2025-11-28T00:00:00,17.72,17.87,17.58,17.63,4331520.0,normal,2025-12-11T07:51:06.184030Z,2025-11-28
HST,1d,2025-11-26T00:00:00,17.8,17.92,17.71,17.74,4808300.0,normal,2025-12-11T07:51:06.184030Z,2025-11-26
HST,1d,2025-11-25T00:00:00,17.42,17.93,17.39,17.79,8328700.0,normal,2025-12-11T07:51:06.184030Z,2025-11-25
HST,1d,2025-11-24T00:00:00,17.44,17.49,17.25,17.33,6464400.0,normal,2025-12-11T07:51:06.184030Z,2025-11-24
HST,1d,2025-11-21T00:00:00,16.85,17.54,16.84,17.42,8469200.0,normal,2025-12-11T07:51:06.184030Z,2025-11-21
HST,1d,2025-11-20T00:00:00,17.11,17.26,16.77,16.81,7090600.0,normal,2025-12-11T07:51:06.184030Z,2025-11-20
HST,1d,2025-11-19T00:00:00,17.15,17.27,16.93,17.0,6539278.0,normal,2025-12-11T07:51:06.184030Z,2025-11-19
HST,1d,2025-11-18T00:00:00,17.16,17.35,17.09,17.2,5016690.0,normal,2025-12-11T07:51:06.184030Z,2025-11-18
HST,1d,2025-11-17T00:00:00,17.57,17.61,17.13,17.23,5387828.0,normal,2025-12-11T07:51:06.184030Z,2025-11-17
HST,1d,2025-11-14T00:00:00,17.58,17.62,17.4,17.59,6411208.0,normal,2025-12-11T07:51:06.184030Z,2025-11-14
HST,1d,2025-11-13T00:00:00,17.97,18.03,17.45,17.57,9418821.0,normal,2025-12-11T07:51:06.184030Z,2025-11-13
HST,1d,2025-11-12T00:00:00,17.92,18.23,17.88,18.06,7687973.0,normal,2025-12-11T07:51:06.184030Z,2025-11-12
HST,1d,2025-11-11T00:00:00,18.0,18.16,17.77,17.95,11696100.0,normal,2025-12-11T07:51:06.184030Z,2025-11-11
HST,1d,2025-11-10T00:00:00,18.03,18.23,17.76,18.18,15282387.0,normal,2025-12-11T07:51:06.184030Z,2025-11-10
HST,1d,2025-11-07T00:00:00,17.47,18.14,17.26,17.84,14670541.0,normal,2025-12-11T07:51:06.184030Z,2025-11-07
HST,1d,2025-11-06T00:00:00,16.9,17.4,16.62,17.32,25709871.0,normal,2025-12-11T07:51:06.184030Z,2025-11-06
HST,1d,2025-11-05T00:00:00,16.07,16.47,16.02,16.21,15014944.0,normal,2025-12-11T07:51:06.184030Z,2025-11-05
HST,1d,2025-11-04T00:00:00,15.98,16.2,15.88,16.05,12376102.0,normal,2025-12-11T07:51:06.184030Z,2025-11-04
HST,1d,2025-11-03T00:00:00,15.94,16.18,15.79,16.13,8161712.0,normal,2025-12-11T07:51:06.184030Z,2025-11-03
HST,1d,2025-10-31T00:00:00,16.05,16.07,15.61,16.02,10793320.0,normal,2025-12-11T07:51:06.184030Z,2025-10-31
HST,1d,2025-10-30T00:00:00,16.24,16.45,16.07,16.08,6799363.0,normal,2025-12-11T07:51:06.184030Z,2025-10-30
HST,1d,2025-10-29T00:00:00,16.22,16.51,16.12,16.31,6914755.0,normal,2025-12-11T07:51:06.184030Z,2025-10-29
HST,1d,2025-10-28T00:00:00,16.58,16.62,16.21,16.31,5951404.0,normal,2025-12-11T07:51:06.184030Z,2025-10-28
HST,1d,2025-10-27T00:00:00,16.55,16.92,16.52,16.64,8731100.0,normal,2025-12-11T07:51:06.184030Z,2025-10-27
HST,1d,2025-10-24T00:00:00,16.69,16.79,16.47,16.49,4407300.0,normal,2025-12-11T07:51:06.184030Z,2025-10-24
