ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
IBKR,1d,2025-12-09T00:00:00,65.48,66.25,65.24,65.56,3147535.0,normal,2025-12-10T10:25:14.535881Z,2025-12-09
IBKR,1d,2025-12-08T00:00:00,64.65,65.87,64.2,65.81,2583500.0,normal,2025-12-10T10:25:14.535881Z,2025-12-08
IBKR,1d,2025-12-05T00:00:00,65.75,66.05,64.4,64.5,3154754.0,normal,2025-12-10T10:25:14.535881Z,2025-12-05
IBKR,1d,2025-12-04T00:00:00,64.99,66.19,64.83,65.95,3100500.0,normal,2025-12-10T10:25:14.535881Z,2025-12-04
IBKR,1d,2025-12-03T00:00:00,63.77,65.09,63.59,64.96,2400133.0,normal,2025-12-10T10:25:14.535881Z,2025-12-03
IBKR,1d,2025-12-02T00:00:00,64.23,64.3,63.15,63.59,5651020.0,normal,2025-12-10T10:25:14.535881Z,2025-12-02
IBKR,1d,2025-12-01T00:00:00,64.22,65.33,62.15,63.54,5982500.0,normal,2025-12-10T10:25:14.535881Z,2025-12-01
IBKR,1d,2025-11-28T00:00:00,65.0,65.28,64.41,65.02,2725018.0,normal,2025-12-10T10:25:14.535881Z,2025-11-28
IBKR,1d,2025-11-26T00:00:00,63.91,64.69,63.47,64.19,3547740.0,normal,2025-12-10T10:25:14.535881Z,2025-11-26
IBKR,1d,2025-11-25T00:00:00,62.34,63.46,61.03,63.17,3034900.0,normal,2025-12-10T10:25:14.535881Z,2025-11-25
IBKR,1d,2025-11-24T00:00:00,61.52,62.71,61.16,62.43,4423022.0,normal,2025-12-10T10:25:14.535881Z,2025-11-24
IBKR,1d,2025-11-21T00:00:00,61.54,61.75,58.95,61.05,6901340.0,normal,2025-12-10T10:25:14.535881Z,2025-11-21
IBKR,1d,2025-11-20T00:00:00,66.25,67.33,61.27,61.56,5978600.0,normal,2025-12-10T10:25:14.535881Z,2025-11-20
IBKR,1d,2025-11-19T00:00:00,63.52,64.96,63.43,64.56,3073600.0,normal,2025-12-10T10:25:14.535881Z,2025-11-19
IBKR,1d,2025-11-18T00:00:00,62.72,64.26,62.09,63.27,4146723.0,normal,2025-12-10T10:25:14.535881Z,2025-11-18
IBKR,1d,2025-11-17T00:00:00,65.76,66.48,62.96,63.41,4918000.0,normal,2025-12-10T10:25:14.535881Z,2025-11-17
IBKR,1d,2025-11-14T00:00:00,65.41,67.23,64.42,66.03,5337100.0,normal,2025-12-10T10:25:14.535881Z,2025-11-14
IBKR,1d,2025-11-13T00:00:00,72.52,72.52,66.74,67.04,6274122.0,normal,2025-12-10T10:25:14.535881Z,2025-11-13
IBKR,1d,2025-11-12T00:00:00,71.39,72.98,71.0,72.7,4300200.0,normal,2025-12-10T10:25:14.535881Z,2025-11-12
IBKR,1d,2025-11-11T00:00:00,70.49,71.49,70.49,70.87,2780400.0,normal,2025-12-10T10:25:14.535881Z,2025-11-11
IBKR,1d,2025-11-10T00:00:00,71.83,72.3,70.38,71.13,3255200.0,normal,2025-12-10T10:25:14.535881Z,2025-11-10
IBKR,1d,2025-11-07T00:00:00,69.01,70.85,67.6,70.54,4294900.0,normal,2025-12-10T10:25:14.535881Z,2025-11-07
IBKR,1d,2025-11-06T00:00:00,71.05,71.23,68.72,69.86,3574641.0,normal,2025-12-10T10:25:14.535881Z,2025-11-06
IBKR,1d,2025-11-05T00:00:00,71.19,72.19,70.05,71.62,2769000.0,normal,2025-12-10T10:25:14.535881Z,2025-11-05
IBKR,1d,2025-11-04T00:00:00,70.91,72.09,69.3,70.69,4801700.0,normal,2025-12-10T10:25:14.535881Z,2025-11-04
IBKR,1d,2025-11-03T00:00:00,70.89,73.27,70.16,73.08,6430500.0,normal,2025-12-10T10:25:14.535881Z,2025-11-03
IBKR,1d,2025-10-31T00:00:00,69.03,70.9,68.28,70.36,3834500.0,normal,2025-12-10T10:25:14.535881Z,2025-10-31
IBKR,1d,2025-10-30T00:00:00,68.66,70.56,68.32,68.51,3071242.0,normal,2025-12-10T10:25:14.535881Z,2025-10-30
IBKR,1d,2025-10-29T00:00:00,68.71,69.63,68.14,69.19,2903432.0,normal,2025-12-10T10:25:14.535881Z,2025-10-29
IBKR,1d,2025-10-28T00:00:00,70.0,70.0,68.57,68.65,2595300.0,normal,2025-12-10T10:25:14.535881Z,2025-10-28
IBKR,1d,2025-10-27T00:00:00,69.94,70.26,69.15,69.49,3154500.0,normal,2025-12-10T10:25:14.535881Z,2025-10-27
IBKR,1d,2025-10-24T00:00:00,68.16,69.49,67.78,68.75,4238500.0,normal,2025-12-10T10:25:14.535881Z,2025-10-24
IBKR,1d,2025-10-23T00:00:00,65.03,67.96,65.01,67.17,8459324.0,normal,2025-12-10T10:25:14.535881Z,2025-10-23
IBKR,1d,2025-10-22T00:00:00,66.56,66.95,64.15,64.77,5747020.0,normal,2025-12-10T10:25:14.535881Z,2025-10-22
IBKR,1d,2025-10-21T00:00:00,66.75,67.59,65.88,66.27,3765423.0,normal,2025-12-10T10:25:14.535881Z,2025-10-21
IBKR,1d,2025-10-20T00:00:00,67.38,68.33,66.04,66.94,5249739.0,normal,2025-12-10T10:25:14.535881Z,2025-10-20
IBKR,1d,2025-10-17T00:00:00,66.69,69.02,65.21,66.23,9231441.0,normal,2025-12-10T10:25:14.535881Z,2025-10-17
IBKR,1d,2025-10-16T00:00:00,70.81,71.09,67.88,68.52,10050100.0,normal,2025-12-10T10:25:14.535881Z,2025-10-16
IBKR,1d,2025-10-15T00:00:00,70.63,70.96,68.79,69.77,4912500.0,normal,2025-12-10T10:25:14.535881Z,2025-10-15
IBKR,1d,2025-10-14T00:00:00,69.32,71.14,68.11,69.36,4746700.0,normal,2025-12-10T10:25:14.535881Z,2025-10-14
IBKR,1d,2025-10-13T00:00:00,70.78,70.94,69.76,70.52,2899200.0,normal,2025-12-10T10:25:14.535881Z,2025-10-13
IBKR,1d,2025-10-10T00:00:00,72.49,73.35,68.8,69.01,5043711.0,normal,2025-12-10T10:25:14.535881Z,2025-10-10
IBKR,1d,2025-10-09T00:00:00,71.64,72.72,71.45,72.62,3013922.0,normal,2025-12-10T10:25:14.535881Z,2025-10-09
IBKR,1d,2025-10-08T00:00:00,70.0,72.3,69.35,72.05,4341019.0,normal,2025-12-10T10:25:14.535881Z,2025-10-08
IBKR,1d,2025-10-07T00:00:00,70.13,70.41,68.56,69.35,3242142.0,normal,2025-12-10T10:25:14.535881Z,2025-10-07
IBKR,1d,2025-10-06T00:00:00,70.97,71.44,69.52,69.61,3723400.0,normal,2025-12-10T10:25:14.535881Z,2025-10-06
IBKR,1d,2025-10-03T00:00:00,71.77,71.78,69.54,70.36,3740628.0,normal,2025-12-10T10:25:14.535881Z,2025-10-03
IBKR,1d,2025-10-02T00:00:00,69.48,71.63,69.19,70.95,5379200.0,normal,2025-12-10T10:25:14.535881Z,2025-10-02
IBKR,1d,2025-10-01T00:00:00,67.86,70.49,67.05,68.78,7265501.0,normal,2025-12-10T10:25:14.535881Z,2025-10-01
IBKR,1d,2025-09-30T00:00:00,68.7,70.27,67.87,68.81,4920000.0,normal,2025-12-10T10:25:14.535881Z,2025-09-30
IBKR,1d,2025-09-29T00:00:00,66.8,68.83,66.62,68.8,5912500.0,normal,2025-12-10T10:25:14.535881Z,2025-09-29
IBKR,1d,2025-09-26T00:00:00,65.58,66.32,65.1,66.12,3881106.0,normal,2025-12-10T10:25:14.535881Z,2025-09-26
IBKR,1d,2025-09-25T00:00:00,63.51,65.5,62.86,64.97,3126836.0,normal,2025-12-10T10:25:14.535881Z,2025-09-25
IBKR,1d,2025-09-24T00:00:00,66.12,66.35,64.25,64.46,3783313.0,normal,2025-12-10T10:25:14.535881Z,2025-09-24
IBKR,1d,2025-09-23T00:00:00,64.3,66.11,64.11,65.49,5352900.0,normal,2025-12-10T10:25:14.535881Z,2025-09-23
IBKR,1d,2025-09-22T00:00:00,64.19,64.76,63.48,64.22,4777000.0,normal,2025-12-10T10:25:14.535881Z,2025-09-22
IBKR,1d,2025-09-19T00:00:00,65.44,65.47,64.15,65.03,8102900.0,normal,2025-12-10T10:25:14.535881Z,2025-09-19
IBKR,1d,2025-09-18T00:00:00,62.7,65.54,62.61,64.92,6262027.0,normal,2025-12-10T10:25:14.535881Z,2025-09-18
IBKR,1d,2025-09-17T00:00:00,62.56,63.09,61.26,62.34,5261736.0,normal,2025-12-10T10:25:14.535881Z,2025-09-17
IBKR,1d,2025-09-16T00:00:00,62.25,62.72,61.56,62.48,4099064.0,normal,2025-12-10T10:25:14.535881Z,2025-09-16
IBKR,1d,2025-09-15T00:00:00,63.82,64.33,62.21,62.25,4073841.0,normal,2025-12-10T10:25:14.535881Z,2025-09-15
IBKR,1d,2025-09-12T00:00:00,63.3,64.43,63.03,63.7,3396700.0,normal,2025-12-10T10:25:14.535881Z,2025-09-12
