ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
IR,1d,2025-12-09T00:00:00,79.26,79.71,78.32,78.38,2324927.0,normal,2025-12-18T10:57:58.043535Z,2025-12-09
IR,1d,2025-12-08T00:00:00,79.77,80.22,78.89,79.31,2839100.0,normal,2025-12-18T10:57:58.043535Z,2025-12-08
IR,1d,2025-12-05T00:00:00,79.85,80.11,79.36,79.86,1621000.0,normal,2025-12-18T10:57:58.043535Z,2025-12-05
IR,1d,2025-12-04T00:00:00,79.81,80.25,79.44,79.99,2120300.0,normal,2025-12-18T10:57:58.043535Z,2025-12-04
IR,1d,2025-12-03T00:00:00,79.48,80.16,79.01,79.75,1525007.0,normal,2025-12-18T10:57:58.043535Z,2025-12-03
IR,1d,2025-12-02T00:00:00,79.29,79.74,78.17,79.18,2103100.0,normal,2025-12-18T10:57:58.043535Z,2025-12-02
IR,1d,2025-12-01T00:00:00,79.68,80.87,79.13,79.19,2145600.0,normal,2025-12-18T10:57:58.043535Z,2025-12-01
IR,1d,2025-11-28T00:00:00,79.8,80.72,79.75,80.34,1043924.0,normal,2025-12-18T10:57:58.043535Z,2025-11-28
IR,1d,2025-11-26T00:00:00,79.25,80.43,79.08,79.87,2230100.0,normal,2025-12-18T10:57:58.043535Z,2025-11-26
IR,1d,2025-11-25T00:00:00,78.45,79.87,77.8,79.46,2269715.0,normal,2025-12-18T10:57:58.043535Z,2025-11-25
IR,1d,2025-11-24T00:00:00,78.59,78.77,76.79,77.74,5826212.0,normal,2025-12-18T10:57:58.043535Z,2025-11-24
IR,1d,2025-11-21T00:00:00,74.38,79.4,74.38,78.54,3894496.0,normal,2025-12-18T10:57:58.043535Z,2025-11-21
IR,1d,2025-11-20T00:00:00,73.31,75.55,73.31,74.54,4222900.0,normal,2025-12-18T10:57:58.043535Z,2025-11-20
IR,1d,2025-11-19T00:00:00,73.73,73.93,72.89,73.71,4479420.0,normal,2025-12-18T10:57:58.043535Z,2025-11-19
IR,1d,2025-11-18T00:00:00,73.19,74.23,72.45,73.56,1928149.0,normal,2025-12-18T10:57:58.043535Z,2025-11-18
IR,1d,2025-11-17T00:00:00,75.0,75.15,73.36,73.67,2939012.0,normal,2025-12-18T10:57:58.043535Z,2025-11-17
IR,1d,2025-11-14T00:00:00,74.98,75.9,74.64,75.47,2165930.0,normal,2025-12-18T10:57:58.043535Z,2025-11-14
IR,1d,2025-11-13T00:00:00,77.23,78.22,75.75,76.2,2396900.0,normal,2025-12-18T10:57:58.043535Z,2025-11-13
IR,1d,2025-11-12T00:00:00,77.56,78.92,77.42,77.71,2857000.0,normal,2025-12-18T10:57:58.043535Z,2025-11-12
IR,1d,2025-11-11T00:00:00,77.15,77.51,76.6,77.33,2784000.0,normal,2025-12-18T10:57:58.043535Z,2025-11-11
IR,1d,2025-11-10T00:00:00,77.94,78.11,76.01,77.25,2764840.0,normal,2025-12-18T10:57:58.043535Z,2025-11-10
IR,1d,2025-11-07T00:00:00,76.87,77.89,76.04,77.5,2576900.0,normal,2025-12-18T10:57:58.043535Z,2025-11-07
IR,1d,2025-11-06T00:00:00,78.44,79.55,77.32,77.68,3060500.0,normal,2025-12-18T10:57:58.043535Z,2025-11-06
IR,1d,2025-11-05T00:00:00,76.93,79.83,76.93,78.4,4141042.0,normal,2025-12-18T10:57:58.043535Z,2025-11-05
IR,1d,2025-11-04T00:00:00,75.42,77.62,75.29,77.24,4103248.0,normal,2025-12-18T10:57:58.043535Z,2025-11-04
IR,1d,2025-11-03T00:00:00,76.0,76.76,74.7,76.0,5061000.0,normal,2025-12-18T10:57:58.043535Z,2025-11-03
IR,1d,2025-10-31T00:00:00,76.43,79.21,75.0,76.33,6946200.0,normal,2025-12-18T10:57:58.043535Z,2025-10-31
IR,1d,2025-10-30T00:00:00,79.35,81.08,78.53,78.73,5546600.0,normal,2025-12-18T10:57:58.043535Z,2025-10-30
