ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
IRM,1d,2025-12-24T00:00:00,80.69,81.9,80.63,81.46,728521.0,normal,2025-12-26T06:59:47.764600Z,2025-12-24
IRM,1d,2025-12-23T00:00:00,80.96,81.05,79.5,80.8,1476548.0,normal,2025-12-26T06:59:47.764600Z,2025-12-23
IRM,1d,2025-12-22T00:00:00,80.0,81.19,79.21,81.02,1736238.0,normal,2025-12-26T06:59:47.764600Z,2025-12-22
IRM,1d,2025-12-19T00:00:00,78.89,80.37,78.23,80.09,6057700.0,normal,2025-12-26T06:59:47.764600Z,2025-12-19
IRM,1d,2025-12-18T00:00:00,81.05,81.28,77.77,78.86,2673125.0,normal,2025-12-26T06:59:47.764600Z,2025-12-18
IRM,1d,2025-12-17T00:00:00,81.05,82.49,79.05,79.39,3152100.0,normal,2025-12-26T06:59:47.764600Z,2025-12-17
IRM,1d,2025-12-16T00:00:00,82.66,82.94,80.29,81.0,2135106.0,normal,2025-12-26T06:59:47.764600Z,2025-12-16
IRM,1d,2025-12-15T00:00:00,83.11,83.83,82.0,82.44,2697241.0,normal,2025-12-26T06:59:47.764600Z,2025-12-15
IRM,1d,2025-12-12T00:00:00,88.5,88.83,81.65,83.35,3224935.0,normal,2025-12-26T06:59:47.764600Z,2025-12-12
IRM,1d,2025-12-11T00:00:00,85.73,88.5,83.9,88.03,2311254.0,normal,2025-12-26T06:59:47.764600Z,2025-12-11
IRM,1d,2025-12-10T00:00:00,85.15,86.63,83.78,85.425,1085292.0,normal,2025-12-26T06:59:47.764600Z,2025-12-10
IRM,1d,2025-12-09T00:00:00,84.46,85.64,84.46,85.1,1446984.0,normal,2025-12-26T06:59:47.764600Z,2025-12-09
IRM,1d,2025-12-08T00:00:00,84.25,84.79,83.16,84.43,1965300.0,normal,2025-12-26T06:59:47.764600Z,2025-12-08
IRM,1d,2025-12-05T00:00:00,84.76,85.44,83.92,84.31,1476456.0,normal,2025-12-26T06:59:47.764600Z,2025-12-05
IRM,1d,2025-12-04T00:00:00,83.51,85.28,83.42,85.03,1589621.0,normal,2025-12-26T06:59:47.764600Z,2025-12-04
IRM,1d,2025-12-03T00:00:00,82.94,84.36,82.0,84.28,1466446.0,normal,2025-12-26T06:59:47.764600Z,2025-12-03
IRM,1d,2025-12-02T00:00:00,82.99,83.2,82.15,82.77,1394315.0,normal,2025-12-26T06:59:47.764600Z,2025-12-02
IRM,1d,2025-12-01T00:00:00,84.5,85.0,82.72,82.83,1945546.0,normal,2025-12-26T06:59:47.764600Z,2025-12-01
IRM,1d,2025-11-28T00:00:00,85.93,86.42,85.38,86.35,735926.0,normal,2025-12-26T06:59:47.764600Z,2025-11-28
IRM,1d,2025-11-26T00:00:00,85.53,86.93,85.25,86.22,1494325.0,normal,2025-12-26T06:59:47.764600Z,2025-11-26
IRM,1d,2025-11-25T00:00:00,85.06,86.4,83.44,85.66,2698333.0,normal,2025-12-26T06:59:47.764600Z,2025-11-25
IRM,1d,2025-11-24T00:00:00,85.35,85.66,82.38,84.73,3691222.0,normal,2025-12-26T06:59:47.764600Z,2025-11-24
IRM,1d,2025-11-21T00:00:00,83.03,86.27,82.16,85.02,3586400.0,normal,2025-12-26T06:59:47.764600Z,2025-11-21
IRM,1d,2025-11-20T00:00:00,88.0,89.48,82.89,83.0,3687936.0,normal,2025-12-26T06:59:47.764600Z,2025-11-20
IRM,1d,2025-11-19T00:00:00,89.52,90.01,82.29,86.7,6190617.0,normal,2025-12-26T06:59:47.764600Z,2025-11-19
IRM,1d,2025-11-18T00:00:00,88.66,90.18,86.97,89.28,3577251.0,normal,2025-12-26T06:59:47.764600Z,2025-11-18
IRM,1d,2025-11-17T00:00:00,91.62,91.81,88.64,88.68,2553735.0,normal,2025-12-26T06:59:47.764600Z,2025-11-17
IRM,1d,2025-11-14T00:00:00,90.44,93.03,89.0,91.37,2427262.0,normal,2025-12-26T06:59:47.764600Z,2025-11-14
IRM,1d,2025-11-13T00:00:00,97.34,97.61,91.02,91.37,4391500.0,normal,2025-12-26T06:59:47.764600Z,2025-11-13
IRM,1d,2025-11-12T00:00:00,101.34,101.64,98.08,98.09,1705200.0,normal,2025-12-26T06:59:47.764600Z,2025-11-12
IRM,1d,2025-11-11T00:00:00,103.08,103.65,100.33,101.15,1807600.0,normal,2025-12-26T06:59:47.764600Z,2025-11-11
IRM,1d,2025-11-10T00:00:00,104.12,104.67,102.19,102.33,1776546.0,normal,2025-12-26T06:59:47.764600Z,2025-11-10
IRM,1d,2025-11-07T00:00:00,100.93,104.19,99.66,104.12,2261960.0,normal,2025-12-26T06:59:47.764600Z,2025-11-07
IRM,1d,2025-11-06T00:00:00,100.04,101.86,99.21,100.86,1494600.0,normal,2025-12-26T06:59:47.764600Z,2025-11-06
IRM,1d,2025-11-05T00:00:00,103.63,106.85,96.91,100.47,3222052.0,normal,2025-12-26T06:59:47.764600Z,2025-11-05
IRM,1d,2025-11-04T00:00:00,102.68,103.86,102.0,103.32,1618590.0,normal,2025-12-26T06:59:47.764600Z,2025-11-04
IRM,1d,2025-11-03T00:00:00,102.51,103.82,101.43,103.67,1811153.0,normal,2025-12-26T06:59:47.764600Z,2025-11-03
IRM,1d,2025-10-31T00:00:00,100.82,103.94,100.35,102.95,1604121.0,normal,2025-12-26T06:59:47.764600Z,2025-10-31
IRM,1d,2025-10-30T00:00:00,100.98,103.59,100.98,101.3,1155056.0,normal,2025-12-26T06:59:47.764600Z,2025-10-30
IRM,1d,2025-10-29T00:00:00,103.84,103.87,101.09,101.34,1032855.0,normal,2025-12-26T06:59:47.764600Z,2025-10-29
IRM,1d,2025-10-28T00:00:00,105.61,105.65,103.72,104.05,766389.0,normal,2025-12-26T06:59:47.764600Z,2025-10-28
