ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
JKHY,1d,2025-12-15T00:00:00,188.09,189.95,185.64,187.65,864400.0,normal,2026-01-01T03:45:21.643297Z,2025-12-15
JKHY,1d,2025-12-12T00:00:00,187.33,189.35,186.79,187.5,659320.0,normal,2026-01-01T03:45:21.643297Z,2025-12-12
JKHY,1d,2025-12-11T00:00:00,184.56,189.67,182.59,187.18,817234.0,normal,2026-01-01T03:45:21.643297Z,2025-12-11
JKHY,1d,2025-12-10T00:00:00,179.98,185.84,179.97,184.92,914255.0,normal,2026-01-01T03:45:21.643297Z,2025-12-10
JKHY,1d,2025-12-09T00:00:00,180.61,182.13,180.03,180.17,643127.0,normal,2026-01-01T03:45:21.643297Z,2025-12-09
JKHY,1d,2025-12-08T00:00:00,182.68,185.86,179.47,180.99,1155600.0,normal,2026-01-01T03:45:21.643297Z,2025-12-08
JKHY,1d,2025-12-05T00:00:00,179.98,182.0,178.41,181.71,813913.0,normal,2026-01-01T03:45:21.643297Z,2025-12-05
JKHY,1d,2025-12-04T00:00:00,176.72,181.25,175.67,180.34,1082400.0,normal,2026-01-01T03:45:21.643297Z,2025-12-04
JKHY,1d,2025-12-03T00:00:00,172.69,176.85,171.91,176.13,979525.0,normal,2026-01-01T03:45:21.643297Z,2025-12-03
JKHY,1d,2025-12-02T00:00:00,173.14,173.87,171.86,172.68,960029.0,normal,2026-01-01T03:45:21.643297Z,2025-12-02
JKHY,1d,2025-12-01T00:00:00,173.53,175.9,172.99,174.2,773625.0,normal,2026-01-01T03:45:21.643297Z,2025-12-01
JKHY,1d,2025-11-28T00:00:00,174.42,175.0,173.85,174.48,404213.0,normal,2026-01-01T03:45:21.643297Z,2025-11-28
JKHY,1d,2025-11-26T00:00:00,173.63,174.55,173.09,173.92,540300.0,normal,2026-01-01T03:45:21.643297Z,2025-11-26
JKHY,1d,2025-11-25T00:00:00,171.31,173.84,171.19,173.62,578000.0,normal,2026-01-01T03:45:21.643297Z,2025-11-25
JKHY,1d,2025-11-24T00:00:00,170.72,171.45,169.42,170.58,1001300.0,normal,2026-01-01T03:45:21.643297Z,2025-11-24
JKHY,1d,2025-11-21T00:00:00,167.69,172.68,167.66,170.8,758462.0,normal,2026-01-01T03:45:21.643297Z,2025-11-21
JKHY,1d,2025-11-20T00:00:00,167.82,171.94,167.26,167.77,1031800.0,normal,2026-01-01T03:45:21.643297Z,2025-11-20
JKHY,1d,2025-11-19T00:00:00,164.62,166.4,163.41,165.8,913200.0,normal,2026-01-01T03:45:21.643297Z,2025-11-19
JKHY,1d,2025-11-18T00:00:00,163.15,164.78,162.4,163.94,937900.0,normal,2026-01-01T03:45:21.643297Z,2025-11-18
JKHY,1d,2025-11-17T00:00:00,164.04,164.8,162.84,163.64,626100.0,normal,2026-01-01T03:45:21.643297Z,2025-11-17
JKHY,1d,2025-11-14T00:00:00,165.41,165.78,162.94,164.02,752300.0,normal,2026-01-01T03:45:21.643297Z,2025-11-14
JKHY,1d,2025-11-13T00:00:00,166.42,168.43,165.03,165.27,814400.0,normal,2026-01-01T03:45:21.643297Z,2025-11-13
JKHY,1d,2025-11-12T00:00:00,166.0,167.48,164.44,167.17,896474.0,normal,2026-01-01T03:45:21.643297Z,2025-11-12
JKHY,1d,2025-11-11T00:00:00,162.5,165.89,162.5,165.73,759500.0,normal,2026-01-01T03:45:21.643297Z,2025-11-11
JKHY,1d,2025-11-10T00:00:00,160.74,162.97,159.78,162.61,850700.0,normal,2026-01-01T03:45:21.643297Z,2025-11-10
JKHY,1d,2025-11-07T00:00:00,162.79,163.76,159.81,160.8,1045542.0,normal,2026-01-01T03:45:21.643297Z,2025-11-07
JKHY,1d,2025-11-06T00:00:00,162.37,164.83,161.03,163.08,1330846.0,normal,2026-01-01T03:45:21.643297Z,2025-11-06
JKHY,1d,2025-11-05T00:00:00,156.71,160.49,153.67,159.83,1596031.0,normal,2026-01-01T03:45:21.643297Z,2025-11-05
JKHY,1d,2025-11-04T00:00:00,151.56,152.83,150.29,152.42,1175000.0,normal,2026-01-01T03:45:21.643297Z,2025-11-04
JKHY,1d,2025-11-03T00:00:00,148.2,151.1,146.49,150.63,1158600.0,normal,2026-01-01T03:45:21.643297Z,2025-11-03
JKHY,1d,2025-10-31T00:00:00,148.89,151.01,148.59,148.94,1303300.0,normal,2026-01-01T03:45:21.643297Z,2025-10-31
JKHY,1d,2025-10-30T00:00:00,149.89,151.96,149.54,149.88,952000.0,normal,2026-01-01T03:45:21.643297Z,2025-10-30
JKHY,1d,2025-10-29T00:00:00,153.31,154.4,147.02,149.89,1833000.0,normal,2026-01-01T03:45:21.643297Z,2025-10-29
JKHY,1d,2025-10-28T00:00:00,156.11,156.39,154.15,154.3,762400.0,normal,2026-01-01T03:45:21.643297Z,2025-10-28
JKHY,1d,2025-10-27T00:00:00,155.25,156.85,153.91,156.3,776900.0,normal,2026-01-01T03:45:21.643297Z,2025-10-27
JKHY,1d,2025-10-24T00:00:00,156.78,156.83,154.93,155.83,601000.0,normal,2026-01-01T03:45:21.643297Z,2025-10-24
JKHY,1d,2025-10-23T00:00:00,156.85,157.12,155.07,155.72,829300.0,normal,2026-01-01T03:45:21.643297Z,2025-10-23
JKHY,1d,2025-10-22T00:00:00,156.38,158.99,155.88,157.0,1019700.0,normal,2026-01-01T03:45:21.643297Z,2025-10-22
JKHY,1d,2025-10-21T00:00:00,154.14,157.75,154.14,156.92,775300.0,normal,2026-01-01T03:45:21.643297Z,2025-10-21
JKHY,1d,2025-10-20T00:00:00,153.89,155.34,152.54,155.07,592900.0,normal,2026-01-01T03:45:21.643297Z,2025-10-20
JKHY,1d,2025-10-17T00:00:00,153.44,154.02,151.82,152.93,1239600.0,normal,2026-01-01T03:45:21.643297Z,2025-10-17
JKHY,1d,2025-10-16T00:00:00,154.18,155.96,152.85,152.94,1412000.0,normal,2026-01-01T03:45:21.643297Z,2025-10-16
JKHY,1d,2025-10-15T00:00:00,153.9,155.42,153.39,154.46,1044600.0,normal,2026-01-01T03:45:21.643297Z,2025-10-15
JKHY,1d,2025-10-14T00:00:00,151.99,155.08,151.54,154.12,1055600.0,normal,2026-01-01T03:45:21.643297Z,2025-10-14
JKHY,1d,2025-10-13T00:00:00,151.39,153.07,150.09,152.19,1188100.0,normal,2026-01-01T03:45:21.643297Z,2025-10-13
JKHY,1d,2025-10-10T00:00:00,149.87,152.4,149.43,151.54,1721400.0,normal,2026-01-01T03:45:21.643297Z,2025-10-10
JKHY,1d,2025-10-09T00:00:00,149.7,149.7,147.98,149.32,718000.0,normal,2026-01-01T03:45:21.643297Z,2025-10-09
JKHY,1d,2025-10-08T00:00:00,149.55,150.84,148.22,149.43,1005600.0,normal,2026-01-01T03:45:21.643297Z,2025-10-08
JKHY,1d,2025-10-07T00:00:00,147.69,149.74,147.69,149.64,907400.0,normal,2026-01-01T03:45:21.643297Z,2025-10-07
JKHY,1d,2025-10-06T00:00:00,146.99,148.94,145.38,147.69,1482300.0,normal,2026-01-01T03:45:21.643297Z,2025-10-06
JKHY,1d,2025-10-03T00:00:00,145.68,147.61,145.32,146.26,1869800.0,normal,2026-01-01T03:45:21.643297Z,2025-10-03
JKHY,1d,2025-10-02T00:00:00,145.82,147.0,144.12,146.31,1576700.0,normal,2026-01-01T03:45:21.643297Z,2025-10-02
JKHY,1d,2025-10-01T00:00:00,148.44,148.91,145.64,146.29,1712700.0,normal,2026-01-01T03:45:21.643297Z,2025-10-01
JKHY,1d,2025-09-30T00:00:00,150.41,150.58,147.59,148.93,947200.0,normal,2026-01-01T03:45:21.643297Z,2025-09-30
JKHY,1d,2025-09-29T00:00:00,150.03,151.81,148.5,151.17,988600.0,normal,2026-01-01T03:45:21.643297Z,2025-09-29
JKHY,1d,2025-09-26T00:00:00,148.84,150.07,148.33,149.38,1246100.0,normal,2026-01-01T03:45:21.643297Z,2025-09-26
JKHY,1d,2025-09-25T00:00:00,151.5,152.17,148.3,148.45,1225400.0,normal,2026-01-01T03:45:21.643297Z,2025-09-25
JKHY,1d,2025-09-24T00:00:00,150.15,151.83,150.15,151.5,884200.0,normal,2026-01-01T03:45:21.643297Z,2025-09-24
JKHY,1d,2025-09-23T00:00:00,151.45,151.9,149.39,150.02,642800.0,normal,2026-01-01T03:45:21.643297Z,2025-09-23
JKHY,1d,2025-09-22T00:00:00,152.06,152.83,150.63,151.45,922000.0,normal,2026-01-01T03:45:21.643297Z,2025-09-22
JKHY,1d,2025-09-19T00:00:00,155.05,155.24,151.69,151.97,3452800.0,normal,2026-01-01T03:45:21.643297Z,2025-09-19
JKHY,1d,2025-09-18T00:00:00,159.48,160.22,154.39,154.47,1175800.0,normal,2026-01-01T03:45:21.643297Z,2025-09-18
JKHY,1d,2025-09-17T00:00:00,160.0,161.92,159.46,159.78,696200.0,normal,2026-01-01T03:45:21.643297Z,2025-09-17
JKHY,1d,2025-09-16T00:00:00,158.08,159.25,157.36,159.07,695400.0,normal,2026-01-01T03:45:21.643297Z,2025-09-16
JKHY,1d,2025-09-15T00:00:00,160.12,160.78,157.71,158.43,797100.0,normal,2026-01-01T03:45:21.643297Z,2025-09-15
JKHY,1d,2025-09-12T00:00:00,160.3,161.29,159.87,160.12,693400.0,normal,2026-01-01T03:45:21.643297Z,2025-09-12
JKHY,1d,2025-09-11T00:00:00,159.23,161.48,158.91,161.42,781200.0,normal,2026-01-01T03:45:21.643297Z,2025-09-11
JKHY,1d,2025-09-10T00:00:00,162.1,162.31,158.76,159.1,892200.0,normal,2026-01-01T03:45:21.643297Z,2025-09-10
JKHY,1d,2025-09-09T00:00:00,162.28,163.65,161.73,162.75,652300.0,normal,2026-01-01T03:45:21.643297Z,2025-09-09
JKHY,1d,2025-09-08T00:00:00,162.99,162.99,160.43,162.53,608900.0,normal,2026-01-01T03:45:21.643297Z,2025-09-08
JKHY,1d,2025-09-05T00:00:00,161.29,163.18,160.45,162.24,595400.0,normal,2026-01-01T03:45:21.643297Z,2025-09-05
JKHY,1d,2025-09-04T00:00:00,161.6,162.09,159.88,161.87,660000.0,normal,2026-01-01T03:45:21.643297Z,2025-09-04
JKHY,1d,2025-09-03T00:00:00,160.31,161.69,159.18,161.59,652900.0,normal,2026-01-01T03:45:21.643297Z,2025-09-03
JKHY,1d,2025-09-02T00:00:00,162.26,163.05,160.0,160.77,869600.0,normal,2026-01-01T03:45:21.643297Z,2025-09-02
JKHY,1d,2025-08-29T00:00:00,163.53,164.99,162.7,163.26,692800.0,normal,2026-01-01T03:45:21.643297Z,2025-08-29
JKHY,1d,2025-08-28T00:00:00,162.49,163.03,161.86,162.82,586300.0,normal,2026-01-01T03:45:21.643297Z,2025-08-28
JKHY,1d,2025-08-27T00:00:00,162.2,163.15,162.09,162.74,584600.0,normal,2026-01-01T03:45:21.643297Z,2025-08-27
JKHY,1d,2025-08-26T00:00:00,161.51,162.16,160.3,162.08,725500.0,normal,2026-01-01T03:45:21.643297Z,2025-08-26
JKHY,1d,2025-08-25T00:00:00,164.99,165.4,161.16,161.68,771100.0,normal,2026-01-01T03:45:21.643297Z,2025-08-25
JKHY,1d,2025-08-22T00:00:00,164.64,166.41,163.73,165.56,768900.0,normal,2026-01-01T03:45:21.643297Z,2025-08-22
JKHY,1d,2025-08-21T00:00:00,163.34,164.21,161.83,163.26,1020100.0,normal,2026-01-01T03:45:21.643297Z,2025-08-21
JKHY,1d,2025-08-20T00:00:00,159.0,166.14,158.53,163.8,1769700.0,normal,2026-01-01T03:45:21.643297Z,2025-08-20
JKHY,1d,2025-08-19T00:00:00,160.92,161.11,158.82,160.63,950500.0,normal,2026-01-01T03:45:21.643297Z,2025-08-19
JKHY,1d,2025-08-18T00:00:00,160.83,161.83,160.63,160.83,744000.0,normal,2026-01-01T03:45:21.643297Z,2025-08-18
JKHY,1d,2025-08-15T00:00:00,159.22,161.21,159.05,160.39,814400.0,normal,2026-01-01T03:45:21.643297Z,2025-08-15
JKHY,1d,2025-08-14T00:00:00,162.8,163.1,159.04,159.25,1066900.0,normal,2026-01-01T03:45:21.643297Z,2025-08-14
JKHY,1d,2025-08-13T00:00:00,160.0,163.72,158.49,163.37,901000.0,normal,2026-01-01T03:45:21.643297Z,2025-08-13
JKHY,1d,2025-08-12T00:00:00,159.24,162.25,158.82,159.79,1279400.0,normal,2026-01-01T03:45:21.643297Z,2025-08-12
JKHY,1d,2025-08-11T00:00:00,161.23,161.9,157.8,158.52,1114500.0,normal,2026-01-01T03:45:21.643297Z,2025-08-11
JKHY,1d,2025-08-08T00:00:00,164.73,165.2,161.01,161.56,885100.0,normal,2026-01-01T03:45:21.643297Z,2025-08-08
JKHY,1d,2025-08-07T00:00:00,167.35,167.7,163.77,164.09,671200.0,normal,2026-01-01T03:45:21.643297Z,2025-08-07
JKHY,1d,2025-08-06T00:00:00,166.01,168.22,164.68,166.76,480900.0,normal,2026-01-01T03:45:21.643297Z,2025-08-06
JKHY,1d,2025-08-05T00:00:00,170.29,171.58,165.84,166.01,660300.0,normal,2026-01-01T03:45:21.643297Z,2025-08-05
JKHY,1d,2025-08-04T00:00:00,167.51,170.63,167.51,170.48,837800.0,normal,2026-01-01T03:45:21.643297Z,2025-08-04
JKHY,1d,2025-08-01T00:00:00,170.28,170.97,166.67,167.28,627100.0,normal,2026-01-01T03:45:21.643297Z,2025-08-01
JKHY,1d,2025-07-31T00:00:00,172.0,173.64,169.52,169.82,665200.0,normal,2026-01-01T03:45:21.643297Z,2025-07-31
JKHY,1d,2025-07-30T00:00:00,175.75,176.53,172.98,173.35,447900.0,normal,2026-01-01T03:45:21.643297Z,2025-07-30
JKHY,1d,2025-07-29T00:00:00,175.58,176.65,174.66,175.44,276600.0,normal,2026-01-01T03:45:21.643297Z,2025-07-29
JKHY,1d,2025-07-28T00:00:00,175.88,176.56,175.14,175.38,432100.0,normal,2026-01-01T03:45:21.643297Z,2025-07-28
