ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
JPM,1d,2025-12-10T00:00:00,300.5,311.165,298.46,310.17,13842355.0,normal,2025-12-11T07:42:30.432447Z,2025-12-10
JPM,1d,2025-12-09T00:00:00,314.95,318.8,300.02,300.51,18049223.0,normal,2025-12-11T07:42:30.432447Z,2025-12-09
JPM,1d,2025-12-08T00:00:00,315.06,316.47,313.35,315.21,7417200.0,normal,2025-12-11T07:42:30.432447Z,2025-12-08
JPM,1d,2025-12-05T00:00:00,315.64,318.48,314.68,315.04,6518908.0,normal,2025-12-11T07:42:30.432447Z,2025-12-05
JPM,1d,2025-12-04T00:00:00,313.26,318.49,313.0,316.1,9627834.0,normal,2025-12-11T07:42:30.432447Z,2025-12-04
JPM,1d,2025-12-03T00:00:00,307.2,312.36,306.8,312.13,8535300.0,normal,2025-12-11T07:42:30.432447Z,2025-12-03
JPM,1d,2025-12-02T00:00:00,308.74,310.48,307.09,307.88,7249043.0,normal,2025-12-11T07:42:30.432447Z,2025-12-02
JPM,1d,2025-12-01T00:00:00,312.95,314.04,308.54,308.92,7727324.0,normal,2025-12-11T07:42:30.432447Z,2025-12-01
JPM,1d,2025-11-28T00:00:00,309.1,313.72,308.24,313.08,4322448.0,normal,2025-12-11T07:42:30.432447Z,2025-11-28
JPM,1d,2025-11-26T00:00:00,305.0,308.52,303.2,307.64,7910900.0,normal,2025-12-11T07:42:30.432447Z,2025-11-26
JPM,1d,2025-11-25T00:00:00,300.05,304.5,295.56,303.0,8877200.0,normal,2025-12-11T07:42:30.432447Z,2025-11-25
JPM,1d,2025-11-24T00:00:00,298.24,299.82,294.51,298.0,10940200.0,normal,2025-12-11T07:42:30.432447Z,2025-11-24
JPM,1d,2025-11-21T00:00:00,301.29,301.68,292.81,298.02,11766810.0,normal,2025-12-11T07:42:30.432447Z,2025-11-21
JPM,1d,2025-11-20T00:00:00,306.34,309.92,298.16,298.38,7501600.0,normal,2025-12-11T07:42:30.432447Z,2025-11-20
JPM,1d,2025-11-19T00:00:00,299.74,304.45,299.27,303.27,5546600.0,normal,2025-12-11T07:42:30.432447Z,2025-11-19
JPM,1d,2025-11-18T00:00:00,299.5,302.95,297.02,299.41,8077315.0,normal,2025-12-11T07:42:30.432447Z,2025-11-18
JPM,1d,2025-11-17T00:00:00,304.0,305.59,297.67,300.37,8344046.0,normal,2025-12-11T07:42:30.432447Z,2025-11-17
JPM,1d,2025-11-14T00:00:00,307.51,307.64,301.23,303.61,10327000.0,normal,2025-12-11T07:42:30.432447Z,2025-11-14
JPM,1d,2025-11-13T00:00:00,319.23,320.63,309.1,309.48,8973300.0,normal,2025-12-11T07:42:30.432447Z,2025-11-13
JPM,1d,2025-11-12T00:00:00,316.26,322.25,316.21,320.41,10578300.0,normal,2025-12-11T07:42:30.432447Z,2025-11-12
JPM,1d,2025-11-11T00:00:00,317.5,319.05,315.28,315.62,5030216.0,normal,2025-12-11T07:42:30.432447Z,2025-11-11
JPM,1d,2025-11-10T00:00:00,315.0,319.56,314.21,316.89,5794505.0,normal,2025-12-11T07:42:30.432447Z,2025-11-10
JPM,1d,2025-11-07T00:00:00,311.89,314.43,307.64,314.21,7302347.0,normal,2025-12-11T07:42:30.432447Z,2025-11-07
JPM,1d,2025-11-06T00:00:00,310.99,314.84,310.26,313.42,7206111.0,normal,2025-12-11T07:42:30.432447Z,2025-11-06
JPM,1d,2025-11-05T00:00:00,309.61,313.1,305.63,311.68,6865200.0,normal,2025-12-11T07:42:30.432447Z,2025-11-05
JPM,1d,2025-11-04T00:00:00,306.71,312.22,305.1,309.25,7085200.0,normal,2025-12-11T07:42:30.432447Z,2025-11-04
JPM,1d,2025-11-03T00:00:00,311.0,312.32,306.21,309.35,7770040.0,normal,2025-12-11T07:42:30.432447Z,2025-11-03
JPM,1d,2025-10-31T00:00:00,308.54,312.87,307.25,311.12,7721300.0,normal,2025-12-11T07:42:30.432447Z,2025-10-31
JPM,1d,2025-10-30T00:00:00,305.79,312.61,305.1,309.44,7514600.0,normal,2025-12-11T07:42:30.432447Z,2025-10-30
JPM,1d,2025-10-29T00:00:00,303.51,308.25,303.01,305.51,7520324.0,normal,2025-12-11T07:42:30.432447Z,2025-10-29
JPM,1d,2025-10-28T00:00:00,304.86,307.97,303.16,305.36,6336000.0,normal,2025-12-11T07:42:30.432447Z,2025-10-28
JPM,1d,2025-10-27T00:00:00,302.16,304.53,301.01,304.15,5642222.0,normal,2025-12-11T07:42:30.432447Z,2025-10-27
JPM,1d,2025-10-24T00:00:00,296.08,302.6,295.45,300.44,7228330.0,normal,2025-12-11T07:42:30.432447Z,2025-10-24
JPM,1d,2025-10-23T00:00:00,294.38,296.37,292.51,294.54,5438810.0,normal,2025-12-11T07:42:30.432447Z,2025-10-23
JPM,1d,2025-10-22T00:00:00,297.77,298.06,290.54,294.11,8054115.0,normal,2025-12-11T07:42:30.432447Z,2025-10-22
JPM,1d,2025-10-21T00:00:00,301.66,304.05,297.0,297.09,7372700.0,normal,2025-12-11T07:42:30.432447Z,2025-10-21
JPM,1d,2025-10-20T00:00:00,298.5,303.69,298.16,302.36,6894943.0,normal,2025-12-11T07:42:30.432447Z,2025-10-20
JPM,1d,2025-10-17T00:00:00,299.16,299.55,294.2,297.56,10153500.0,normal,2025-12-11T07:42:30.432447Z,2025-10-17
JPM,1d,2025-10-16T00:00:00,305.35,308.68,297.07,298.54,10549447.0,normal,2025-12-11T07:42:30.432447Z,2025-10-16
JPM,1d,2025-10-15T00:00:00,306.39,312.12,305.44,305.69,11354800.0,normal,2025-12-11T07:42:30.432447Z,2025-10-15
JPM,1d,2025-10-14T00:00:00,305.84,307.0,294.21,302.08,16178800.0,normal,2025-12-11T07:42:30.432447Z,2025-10-14
JPM,1d,2025-10-13T00:00:00,305.6,309.46,305.45,307.97,10788700.0,normal,2025-12-11T07:42:30.432447Z,2025-10-13
JPM,1d,2025-10-10T00:00:00,305.66,310.47,300.81,300.89,8597400.0,normal,2025-12-11T07:42:30.432447Z,2025-10-10
JPM,1d,2025-10-09T00:00:00,305.05,308.04,303.39,305.53,7060332.0,normal,2025-12-11T07:42:30.432447Z,2025-10-09
