ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
K,1d,2025-12-10T00:00:00,83.46,83.48,83.42,83.44,43226626.0,normal,2026-01-01T03:53:11.160465Z,2025-12-10
K,1d,2025-12-09T00:00:00,83.45,83.49,83.45,83.45,2839500.0,normal,2026-01-01T03:53:11.160465Z,2025-12-09
K,1d,2025-12-08T00:00:00,83.45,83.47,83.43,83.44,3754838.0,normal,2026-01-01T03:53:11.160465Z,2025-12-08
K,1d,2025-12-05T00:00:00,83.24,83.24,83.05,83.14,4922521.0,normal,2026-01-01T03:53:11.160465Z,2025-12-05
K,1d,2025-12-04T00:00:00,83.24,83.26,83.13,83.15,2665451.0,normal,2026-01-01T03:53:11.160465Z,2025-12-04
K,1d,2025-12-03T00:00:00,83.2,83.24,83.11,83.14,1650024.0,normal,2026-01-01T03:53:11.160465Z,2025-12-03
K,1d,2025-12-02T00:00:00,83.12,83.15,83.11,83.13,3005900.0,normal,2026-01-01T03:53:11.160465Z,2025-12-02
K,1d,2025-12-01T00:00:00,83.08,83.28,83.05,83.07,3205800.0,normal,2026-01-01T03:53:11.160465Z,2025-12-01
K,1d,2025-11-28T00:00:00,83.45,83.65,83.45,83.64,1375616.0,normal,2026-01-01T03:53:11.160465Z,2025-11-28
K,1d,2025-11-26T00:00:00,83.52,83.65,83.48,83.6,2312948.0,normal,2026-01-01T03:53:11.160465Z,2025-11-26
K,1d,2025-11-25T00:00:00,83.47,83.65,83.47,83.49,3798430.0,normal,2026-01-01T03:53:11.160465Z,2025-11-25
K,1d,2025-11-24T00:00:00,83.45,83.47,83.43,83.45,5538907.0,normal,2026-01-01T03:53:11.160465Z,2025-11-24
K,1d,2025-11-21T00:00:00,83.4,83.46,83.36,83.45,4287400.0,normal,2026-01-01T03:53:11.160465Z,2025-11-21
K,1d,2025-11-20T00:00:00,83.38,83.43,83.36,83.4,1769193.0,normal,2026-01-01T03:53:11.160465Z,2025-11-20
K,1d,2025-11-19T00:00:00,83.36,83.45,83.35,83.42,2361918.0,normal,2026-01-01T03:53:11.160465Z,2025-11-19
K,1d,2025-11-18T00:00:00,83.38,83.47,83.31,83.47,2219016.0,normal,2026-01-01T03:53:11.160465Z,2025-11-18
K,1d,2025-11-17T00:00:00,83.35,83.41,83.3,83.33,2173800.0,normal,2026-01-01T03:53:11.160465Z,2025-11-17
K,1d,2025-11-14T00:00:00,83.38,83.4,83.27,83.32,1347614.0,normal,2026-01-01T03:53:11.160465Z,2025-11-14
K,1d,2025-11-13T00:00:00,83.4,83.4,83.26,83.29,1565200.0,normal,2026-01-01T03:53:11.160465Z,2025-11-13
K,1d,2025-11-12T00:00:00,83.34,83.45,83.28,83.32,2019722.0,normal,2026-01-01T03:53:11.160465Z,2025-11-12
K,1d,2025-11-11T00:00:00,83.35,83.37,83.28,83.32,1799514.0,normal,2026-01-01T03:53:11.160465Z,2025-11-11
K,1d,2025-11-10T00:00:00,83.34,83.34,83.2,83.32,2054110.0,normal,2026-01-01T03:53:11.160465Z,2025-11-10
K,1d,2025-11-07T00:00:00,83.26,83.34,83.21,83.34,2127701.0,normal,2026-01-01T03:53:11.160465Z,2025-11-07
K,1d,2025-11-06T00:00:00,83.23,83.26,83.14,83.23,1829350.0,normal,2026-01-01T03:53:11.160465Z,2025-11-06
K,1d,2025-11-05T00:00:00,83.38,83.42,83.12,83.2,2000153.0,normal,2026-01-01T03:53:11.160465Z,2025-11-05
K,1d,2025-11-04T00:00:00,83.1,83.2,83.03,83.19,2330269.0,normal,2026-01-01T03:53:11.160465Z,2025-11-04
K,1d,2025-11-03T00:00:00,82.94,83.1,82.85,83.06,1888700.0,normal,2026-01-01T03:53:11.160465Z,2025-11-03
K,1d,2025-10-31T00:00:00,82.98,83.1,82.95,83.06,2633700.0,normal,2026-01-01T03:53:11.160465Z,2025-10-31
K,1d,2025-10-30T00:00:00,83.02,83.15,83.02,83.13,2376000.0,normal,2026-01-01T03:53:11.160465Z,2025-10-30
K,1d,2025-10-29T00:00:00,83.0,83.11,82.96,83.02,2444899.0,normal,2026-01-01T03:53:11.160465Z,2025-10-29
K,1d,2025-10-28T00:00:00,83.06,83.12,83.06,83.09,1671154.0,normal,2026-01-01T03:53:11.160465Z,2025-10-28
K,1d,2025-10-27T00:00:00,83.09,83.14,83.0,83.12,1317084.0,normal,2026-01-01T03:53:11.160465Z,2025-10-27
K,1d,2025-10-24T00:00:00,83.01,83.07,82.59,83.03,1568000.0,normal,2026-01-01T03:53:11.160465Z,2025-10-24
K,1d,2025-10-23T00:00:00,83.05,83.05,82.89,83.03,2045900.0,normal,2026-01-01T03:53:11.160465Z,2025-10-23
K,1d,2025-10-22T00:00:00,83.0,83.06,82.84,83.02,1252400.0,normal,2026-01-01T03:53:11.160465Z,2025-10-22
K,1d,2025-10-21T00:00:00,83.05,83.05,82.9,82.98,1360521.0,normal,2026-01-01T03:53:11.160465Z,2025-10-21
K,1d,2025-10-20T00:00:00,83.03,83.1,82.9,83.04,1126500.0,normal,2026-01-01T03:53:11.160465Z,2025-10-20
