ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
KEY,1d,2025-12-09T00:00:00,19.55,20.33,19.49,19.98,32497664.0,normal,2025-12-10T10:44:06.681973Z,2025-12-09
KEY,1d,2025-12-08T00:00:00,19.33,19.54,19.29,19.39,20917100.0,normal,2025-12-10T10:44:06.681973Z,2025-12-08
KEY,1d,2025-12-05T00:00:00,19.12,19.73,19.12,19.26,40222125.0,normal,2025-12-10T10:44:06.681973Z,2025-12-05
KEY,1d,2025-12-04T00:00:00,18.75,19.15,18.74,19.11,16615630.0,normal,2025-12-10T10:44:06.681973Z,2025-12-04
KEY,1d,2025-12-03T00:00:00,18.29,18.76,18.27,18.75,15502500.0,normal,2025-12-10T10:44:06.681973Z,2025-12-03
KEY,1d,2025-12-02T00:00:00,18.53,18.55,18.26,18.28,12244900.0,normal,2025-12-10T10:44:06.681973Z,2025-12-02
KEY,1d,2025-12-01T00:00:00,18.34,18.68,18.31,18.62,13897653.0,normal,2025-12-10T10:44:06.681973Z,2025-12-01
KEY,1d,2025-11-28T00:00:00,18.41,18.51,18.37,18.38,4701414.0,normal,2025-12-10T10:44:06.681973Z,2025-11-28
KEY,1d,2025-11-26T00:00:00,18.37,18.59,18.32,18.4,10410113.0,normal,2025-12-10T10:44:06.681973Z,2025-11-26
KEY,1d,2025-11-25T00:00:00,18.0,18.44,17.99,18.37,14223532.0,normal,2025-12-10T10:44:06.681973Z,2025-11-25
KEY,1d,2025-11-24T00:00:00,17.82,17.99,17.77,17.89,19662646.0,normal,2025-12-10T10:44:06.681973Z,2025-11-24
KEY,1d,2025-11-21T00:00:00,17.38,17.99,17.31,17.82,16316089.0,normal,2025-12-10T10:44:06.681973Z,2025-11-21
KEY,1d,2025-11-20T00:00:00,17.5,17.83,17.22,17.28,18931100.0,normal,2025-12-10T10:44:06.681973Z,2025-11-20
KEY,1d,2025-11-19T00:00:00,17.23,17.4,17.18,17.35,14732542.0,normal,2025-12-10T10:44:06.681973Z,2025-11-19
KEY,1d,2025-11-18T00:00:00,17.05,17.4,16.91,17.19,18784100.0,normal,2025-12-10T10:44:06.681973Z,2025-11-18
KEY,1d,2025-11-17T00:00:00,17.57,17.59,16.96,17.12,21035080.0,normal,2025-12-10T10:44:06.681973Z,2025-11-17
KEY,1d,2025-11-14T00:00:00,17.53,17.63,17.32,17.62,18339600.0,normal,2025-12-10T10:44:06.681973Z,2025-11-14
KEY,1d,2025-11-13T00:00:00,17.74,17.93,17.58,17.62,17425849.0,normal,2025-12-10T10:44:06.681973Z,2025-11-13
KEY,1d,2025-11-12T00:00:00,18.16,18.47,17.73,17.8,29956240.0,normal,2025-12-10T10:44:06.681973Z,2025-11-12
KEY,1d,2025-11-11T00:00:00,18.15,18.24,17.99,18.08,10471001.0,normal,2025-12-10T10:44:06.681973Z,2025-11-11
KEY,1d,2025-11-10T00:00:00,18.17,18.36,17.99,18.12,17118777.0,normal,2025-12-10T10:44:06.681973Z,2025-11-10
KEY,1d,2025-11-07T00:00:00,17.52,18.08,17.45,18.08,23789817.0,normal,2025-12-10T10:44:06.681973Z,2025-11-07
KEY,1d,2025-11-06T00:00:00,17.49,17.7,17.38,17.59,23023946.0,normal,2025-12-10T10:44:06.681973Z,2025-11-06
KEY,1d,2025-11-05T00:00:00,17.32,17.54,17.17,17.52,22150935.0,normal,2025-12-10T10:44:06.681973Z,2025-11-05
KEY,1d,2025-11-04T00:00:00,17.31,17.53,17.22,17.31,30829964.0,normal,2025-12-10T10:44:06.681973Z,2025-11-04
KEY,1d,2025-11-03T00:00:00,17.5,17.55,17.31,17.54,14899800.0,normal,2025-12-10T10:44:06.681973Z,2025-11-03
KEY,1d,2025-10-31T00:00:00,17.42,17.66,17.3,17.59,13758926.0,normal,2025-12-10T10:44:06.681973Z,2025-10-31
KEY,1d,2025-10-30T00:00:00,17.39,17.81,17.39,17.51,11797166.0,normal,2025-12-10T10:44:06.681973Z,2025-10-30
KEY,1d,2025-10-29T00:00:00,17.52,17.7,17.29,17.4,17835416.0,normal,2025-12-10T10:44:06.681973Z,2025-10-29
KEY,1d,2025-10-28T00:00:00,17.6,17.64,17.4,17.59,13525500.0,normal,2025-12-10T10:44:06.681973Z,2025-10-28
KEY,1d,2025-10-27T00:00:00,17.9,17.9,17.51,17.61,19236537.0,normal,2025-12-10T10:44:06.681973Z,2025-10-27
KEY,1d,2025-10-24T00:00:00,17.7,17.92,17.69,17.82,10623527.0,normal,2025-12-10T10:44:06.681973Z,2025-10-24
KEY,1d,2025-10-23T00:00:00,17.59,17.61,17.43,17.52,11098100.0,normal,2025-12-10T10:44:06.681973Z,2025-10-23
KEY,1d,2025-10-22T00:00:00,17.64,17.72,17.41,17.47,15941100.0,normal,2025-12-10T10:44:06.681973Z,2025-10-22
KEY,1d,2025-10-21T00:00:00,17.35,17.67,17.31,17.54,15170623.0,normal,2025-12-10T10:44:06.681973Z,2025-10-21
