ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
KR,1d,2025-12-15T00:00:00,63.09,63.32,62.53,62.66,6234044.0,normal,2026-01-01T03:47:54.789218Z,2025-12-15
KR,1d,2025-12-12T00:00:00,62.35,63.21,62.06,63.19,5386474.0,normal,2026-01-01T03:47:54.789218Z,2025-12-12
KR,1d,2025-12-11T00:00:00,61.74,62.59,61.59,62.21,7352686.0,normal,2026-01-01T03:47:54.789218Z,2025-12-11
KR,1d,2025-12-10T00:00:00,62.42,62.42,61.215,61.215,5948851.0,normal,2026-01-01T03:47:54.789218Z,2025-12-10
KR,1d,2025-12-09T00:00:00,63.17,63.55,62.32,62.9,5670154.0,normal,2026-01-01T03:47:54.789218Z,2025-12-09
KR,1d,2025-12-08T00:00:00,62.49,64.14,62.15,63.38,7585500.0,normal,2026-01-01T03:47:54.789218Z,2025-12-08
KR,1d,2025-12-05T00:00:00,63.0,63.94,62.67,62.71,8883142.0,normal,2026-01-01T03:47:54.789218Z,2025-12-05
KR,1d,2025-12-04T00:00:00,63.55,64.25,60.96,63.14,22791000.0,normal,2026-01-01T03:47:54.789218Z,2025-12-04
KR,1d,2025-12-03T00:00:00,67.04,67.75,66.13,66.2,7265900.0,normal,2026-01-01T03:47:54.789218Z,2025-12-03
KR,1d,2025-12-02T00:00:00,67.58,67.85,66.4,67.03,6704731.0,normal,2026-01-01T03:47:54.789218Z,2025-12-02
KR,1d,2025-12-01T00:00:00,67.28,67.99,67.11,67.55,7110414.0,normal,2026-01-01T03:47:54.789218Z,2025-12-01
KR,1d,2025-11-28T00:00:00,66.92,67.55,66.7,67.28,2270500.0,normal,2026-01-01T03:47:54.789218Z,2025-11-28
KR,1d,2025-11-26T00:00:00,66.22,67.47,66.15,67.03,5379740.0,normal,2026-01-01T03:47:54.789218Z,2025-11-26
KR,1d,2025-11-25T00:00:00,64.8,66.23,64.77,66.15,5383503.0,normal,2026-01-01T03:47:54.789218Z,2025-11-25
KR,1d,2025-11-24T00:00:00,66.06,66.06,64.26,64.29,9035448.0,normal,2026-01-01T03:47:54.789218Z,2025-11-24
KR,1d,2025-11-21T00:00:00,65.84,66.7,65.61,66.06,6692030.0,normal,2026-01-01T03:47:54.789218Z,2025-11-21
KR,1d,2025-11-20T00:00:00,67.09,67.41,64.86,65.9,7503000.0,normal,2026-01-01T03:47:54.789218Z,2025-11-20
KR,1d,2025-11-19T00:00:00,67.37,68.36,67.2,67.41,6478829.0,normal,2026-01-01T03:47:54.789218Z,2025-11-19
KR,1d,2025-11-18T00:00:00,66.52,67.78,66.1,67.38,7926330.0,normal,2026-01-01T03:47:54.789218Z,2025-11-18
KR,1d,2025-11-17T00:00:00,66.72,66.8,65.76,66.1,4957121.0,normal,2026-01-01T03:47:54.789218Z,2025-11-17
