ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
LEN,1d,2025-12-24T00:00:00,104.9,105.94,104.43,105.09,1399317.0,normal,2025-12-26T07:01:00.224194Z,2025-12-24
LEN,1d,2025-12-23T00:00:00,106.91,107.17,104.25,104.74,2801500.0,normal,2025-12-26T07:01:00.224194Z,2025-12-23
LEN,1d,2025-12-22T00:00:00,107.99,108.25,106.49,106.98,3663414.0,normal,2025-12-26T07:01:00.224194Z,2025-12-22
LEN,1d,2025-12-19T00:00:00,107.76,108.04,105.23,107.99,9673914.0,normal,2025-12-26T07:01:00.224194Z,2025-12-19
LEN,1d,2025-12-18T00:00:00,111.39,112.97,108.03,108.33,7284935.0,normal,2025-12-26T07:01:00.224194Z,2025-12-18
LEN,1d,2025-12-17T00:00:00,113.65,116.54,110.02,112.23,10385800.0,normal,2025-12-26T07:01:00.224194Z,2025-12-17
LEN,1d,2025-12-16T00:00:00,120.35,120.82,116.7,117.57,4815900.0,normal,2025-12-26T07:01:00.224194Z,2025-12-16
LEN,1d,2025-12-15T00:00:00,120.0,121.35,118.92,119.73,3195934.0,normal,2025-12-26T07:01:00.224194Z,2025-12-15
LEN,1d,2025-12-12T00:00:00,119.9,120.26,118.24,119.37,2436300.0,normal,2025-12-26T07:01:00.224194Z,2025-12-12
LEN,1d,2025-12-11T00:00:00,120.22,122.79,118.91,119.15,3105100.0,normal,2025-12-26T07:01:00.224194Z,2025-12-11
LEN,1d,2025-12-10T00:00:00,117.66,120.27,117.46,120.06,2279782.0,normal,2025-12-26T07:01:00.224194Z,2025-12-10
LEN,1d,2025-12-09T00:00:00,118.73,120.16,117.04,117.19,4128478.0,normal,2025-12-26T07:01:00.224194Z,2025-12-09
LEN,1d,2025-12-08T00:00:00,122.07,122.36,120.0,120.71,5332707.0,normal,2025-12-26T07:01:00.224194Z,2025-12-08
LEN,1d,2025-12-05T00:00:00,127.07,128.21,123.88,123.91,6243132.0,normal,2025-12-26T07:01:00.224194Z,2025-12-05
LEN,1d,2025-12-04T00:00:00,131.09,133.23,126.71,126.75,7426800.0,normal,2025-12-26T07:01:00.224194Z,2025-12-04
LEN,1d,2025-12-03T00:00:00,129.73,133.76,129.22,133.13,6028392.0,normal,2025-12-26T07:01:00.224194Z,2025-12-03
LEN,1d,2025-12-02T00:00:00,129.88,131.14,127.27,129.73,13058400.0,normal,2025-12-26T07:01:00.224194Z,2025-12-02
LEN,1d,2025-12-01T00:00:00,129.24,132.43,129.0,130.23,20089103.0,normal,2025-12-26T07:01:00.224194Z,2025-12-01
LEN,1d,2025-11-28T00:00:00,130.86,131.43,129.79,131.3,5108424.0,normal,2025-12-26T07:01:00.224194Z,2025-11-28
LEN,1d,2025-11-26T00:00:00,131.2,132.93,130.57,131.28,14129870.0,normal,2025-12-26T07:01:00.224194Z,2025-11-26
LEN,1d,2025-11-25T00:00:00,124.46,131.6,124.37,131.08,15138312.0,normal,2025-12-26T07:01:00.224194Z,2025-11-25
LEN,1d,2025-11-24T00:00:00,121.56,124.07,120.51,122.96,10562800.0,normal,2025-12-26T07:01:00.224194Z,2025-11-24
LEN,1d,2025-11-21T00:00:00,118.0,124.14,117.57,123.16,17030000.0,normal,2025-12-26T07:01:00.224194Z,2025-11-21
LEN,1d,2025-11-20T00:00:00,115.12,117.84,115.12,116.25,32418900.0,normal,2025-12-26T07:01:00.224194Z,2025-11-20
LEN,1d,2025-11-19T00:00:00,116.62,116.78,114.92,115.16,17006012.0,normal,2025-12-26T07:01:00.224194Z,2025-11-19
LEN,1d,2025-11-18T00:00:00,113.4,116.91,112.11,115.97,7621931.0,normal,2025-12-26T07:01:00.224194Z,2025-11-18
LEN,1d,2025-11-17T00:00:00,120.3,120.53,114.06,114.1,8987439.0,normal,2025-12-26T07:01:00.224194Z,2025-11-17
LEN,1d,2025-11-14T00:00:00,121.49,123.6,120.85,121.11,4641301.0,normal,2025-12-26T07:01:00.224194Z,2025-11-14
LEN,1d,2025-11-13T00:00:00,122.83,124.17,121.19,121.24,5256185.0,normal,2025-12-26T07:01:00.224194Z,2025-11-13
LEN,1d,2025-11-12T00:00:00,125.29,126.91,124.01,124.13,4404369.0,normal,2025-12-26T07:01:00.224194Z,2025-11-12
LEN,1d,2025-11-11T00:00:00,123.93,125.52,123.06,125.44,2999153.0,normal,2025-12-26T07:01:00.224194Z,2025-11-11
LEN,1d,2025-11-10T00:00:00,121.45,123.48,120.64,123.21,3283621.0,normal,2025-12-26T07:01:00.224194Z,2025-11-10
LEN,1d,2025-11-07T00:00:00,119.82,121.55,118.94,121.55,4076429.0,normal,2025-12-26T07:01:00.224194Z,2025-11-07
LEN,1d,2025-11-06T00:00:00,121.6,121.6,119.87,120.33,1945569.0,normal,2025-12-26T07:01:00.224194Z,2025-11-06
LEN,1d,2025-11-05T00:00:00,121.03,122.87,119.18,121.18,3251123.0,normal,2025-12-26T07:01:00.224194Z,2025-11-05
LEN,1d,2025-11-04T00:00:00,120.66,122.48,119.4,121.65,4318010.0,normal,2025-12-26T07:01:00.224194Z,2025-11-04
LEN,1d,2025-11-03T00:00:00,122.64,122.75,119.57,120.59,3553100.0,normal,2025-12-26T07:01:00.224194Z,2025-11-03
LEN,1d,2025-10-31T00:00:00,123.18,124.33,121.94,123.77,4848072.0,normal,2025-12-26T07:01:00.224194Z,2025-10-31
LEN,1d,2025-10-30T00:00:00,123.52,125.51,122.54,124.13,4998340.0,normal,2025-12-26T07:01:00.224194Z,2025-10-30
LEN,1d,2025-10-29T00:00:00,126.37,128.97,123.75,124.18,5354100.0,normal,2025-12-26T07:01:00.224194Z,2025-10-29
LEN,1d,2025-10-28T00:00:00,124.28,129.2,124.04,128.22,3234400.0,normal,2025-12-26T07:01:00.224194Z,2025-10-28
LEN,1d,2025-10-27T00:00:00,128.0,130.07,127.83,128.72,2265556.0,normal,2025-12-26T07:01:00.224194Z,2025-10-27
LEN,1d,2025-10-24T00:00:00,129.85,130.23,127.57,127.57,3267966.0,normal,2025-12-26T07:01:00.224194Z,2025-10-24
LEN,1d,2025-10-23T00:00:00,126.84,128.48,126.27,127.34,2208900.0,normal,2025-12-26T07:01:00.224194Z,2025-10-23
LEN,1d,2025-10-22T00:00:00,127.51,129.49,126.57,127.14,2663628.0,normal,2025-12-26T07:01:00.224194Z,2025-10-22
LEN,1d,2025-10-21T00:00:00,123.57,129.58,122.3,128.24,4170822.0,normal,2025-12-26T07:01:00.224194Z,2025-10-21
LEN,1d,2025-10-20T00:00:00,126.39,127.45,124.73,125.85,3059300.0,normal,2025-12-26T07:01:00.224194Z,2025-10-20
LEN,1d,2025-10-17T00:00:00,123.01,125.94,122.45,125.82,4500236.0,normal,2025-12-26T07:01:00.224194Z,2025-10-17
LEN,1d,2025-10-16T00:00:00,122.7,122.98,120.95,122.87,3087712.0,normal,2025-12-26T07:01:00.224194Z,2025-10-16
LEN,1d,2025-10-15T00:00:00,122.57,123.67,121.33,122.44,3170092.0,normal,2025-12-26T07:01:00.224194Z,2025-10-15
LEN,1d,2025-10-14T00:00:00,118.41,122.46,117.3,122.23,4302707.0,normal,2025-12-26T07:01:00.224194Z,2025-10-14
LEN,1d,2025-10-13T00:00:00,117.98,119.21,117.47,118.02,3242872.0,normal,2025-12-26T07:01:00.224194Z,2025-10-13
LEN,1d,2025-10-10T00:00:00,123.0,123.71,117.91,118.77,6316332.0,normal,2025-12-26T07:01:00.224194Z,2025-10-10
LEN,1d,2025-10-09T00:00:00,119.93,119.96,117.1,117.91,5509123.0,normal,2025-12-26T07:01:00.224194Z,2025-10-09
LEN,1d,2025-10-08T00:00:00,122.63,122.63,118.91,120.12,4469400.0,normal,2025-12-26T07:01:00.224194Z,2025-10-08
LEN,1d,2025-10-07T00:00:00,124.0,124.1,121.65,122.14,3661700.0,normal,2025-12-26T07:01:00.224194Z,2025-10-07
LEN,1d,2025-10-06T00:00:00,130.18,130.81,126.02,126.39,2709700.0,normal,2025-12-26T07:01:00.224194Z,2025-10-06
LEN,1d,2025-10-03T00:00:00,128.32,130.83,128.3,130.07,2026728.0,normal,2025-12-26T07:01:00.224194Z,2025-10-03
LEN,1d,2025-10-02T00:00:00,128.0,128.64,126.57,128.33,1718719.0,normal,2025-12-26T07:01:00.224194Z,2025-10-02
LEN,1d,2025-10-01T00:00:00,126.5,128.55,126.3,128.21,2462731.0,normal,2025-12-26T07:01:00.224194Z,2025-10-01
LEN,1d,2025-09-30T00:00:00,127.51,127.88,124.5,126.04,2435546.0,normal,2025-12-26T07:01:00.224194Z,2025-09-30
LEN,1d,2025-09-29T00:00:00,127.44,128.26,125.41,127.68,3360337.0,normal,2025-12-26T07:01:00.224194Z,2025-09-29
LEN,1d,2025-09-26T00:00:00,125.01,126.88,124.15,126.04,2430900.0,normal,2025-12-26T07:01:00.224194Z,2025-09-26
LEN,1d,2025-09-25T00:00:00,124.15,126.93,123.78,124.02,3406100.0,normal,2025-12-26T07:01:00.224194Z,2025-09-25
LEN,1d,2025-09-24T00:00:00,123.2,126.7,122.45,125.69,3557700.0,normal,2025-12-26T07:01:00.224194Z,2025-09-24
LEN,1d,2025-09-23T00:00:00,122.46,123.76,121.85,123.25,4178900.0,normal,2025-12-26T07:01:00.224194Z,2025-09-23
LEN,1d,2025-09-22T00:00:00,124.75,125.05,121.1,121.91,6043700.0,normal,2025-12-26T07:01:00.224194Z,2025-09-22
LEN,1d,2025-09-19T00:00:00,126.5,131.47,125.16,127.32,17041322.0,normal,2025-12-26T07:01:00.224194Z,2025-09-19
LEN,1d,2025-09-18T00:00:00,133.01,134.07,131.34,132.87,5239949.0,normal,2025-12-26T07:01:00.224194Z,2025-09-18
LEN,1d,2025-09-17T00:00:00,134.63,139.44,131.79,132.97,5872128.0,normal,2025-12-26T07:01:00.224194Z,2025-09-17
LEN,1d,2025-09-16T00:00:00,134.48,134.71,131.21,133.81,4007922.0,normal,2025-12-26T07:01:00.224194Z,2025-09-16
LEN,1d,2025-09-15T00:00:00,137.88,137.88,132.28,133.77,4581924.0,normal,2025-12-26T07:01:00.224194Z,2025-09-15
LEN,1d,2025-09-12T00:00:00,140.0,140.0,136.97,137.27,2854229.0,normal,2025-12-26T07:01:00.224194Z,2025-09-12
LEN,1d,2025-09-11T00:00:00,137.52,140.71,137.52,140.09,2468100.0,normal,2025-12-26T07:01:00.224194Z,2025-09-11
LEN,1d,2025-09-10T00:00:00,138.75,138.82,135.57,136.58,2726647.0,normal,2025-12-26T07:01:00.224194Z,2025-09-10
LEN,1d,2025-09-09T00:00:00,141.5,141.84,136.49,137.45,3702029.0,normal,2025-12-26T07:01:00.224194Z,2025-09-09
