ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
LNT,1d,2025-12-09T00:00:00,64.97,65.45,64.72,64.89,1296533.0,normal,2025-12-10T10:32:16.363869Z,2025-12-09
LNT,1d,2025-12-08T00:00:00,65.5,65.67,64.7,64.78,1920921.0,normal,2025-12-10T10:32:16.363869Z,2025-12-08
LNT,1d,2025-12-05T00:00:00,65.72,65.89,65.25,65.5,1306700.0,normal,2025-12-10T10:32:16.363869Z,2025-12-05
LNT,1d,2025-12-04T00:00:00,66.12,66.58,65.48,65.71,2795400.0,normal,2025-12-10T10:32:16.363869Z,2025-12-04
LNT,1d,2025-12-03T00:00:00,66.59,66.69,65.85,66.38,2336900.0,normal,2025-12-10T10:32:16.363869Z,2025-12-03
LNT,1d,2025-12-02T00:00:00,67.71,67.71,66.52,66.53,1868714.0,normal,2025-12-10T10:32:16.363869Z,2025-12-02
LNT,1d,2025-12-01T00:00:00,69.22,69.42,67.53,67.6,2177849.0,normal,2025-12-10T10:32:16.363869Z,2025-12-01
LNT,1d,2025-11-28T00:00:00,69.45,69.59,69.16,69.47,950900.0,normal,2025-12-10T10:32:16.363869Z,2025-11-28
LNT,1d,2025-11-26T00:00:00,68.68,69.31,68.6,69.18,1578736.0,normal,2025-12-10T10:32:16.363869Z,2025-11-26
LNT,1d,2025-11-25T00:00:00,68.52,68.85,67.87,68.48,1561631.0,normal,2025-12-10T10:32:16.363869Z,2025-11-25
LNT,1d,2025-11-24T00:00:00,68.27,68.55,67.64,68.41,2005000.0,normal,2025-12-10T10:32:16.363869Z,2025-11-24
LNT,1d,2025-11-21T00:00:00,67.62,68.47,67.41,68.27,2225413.0,normal,2025-12-10T10:32:16.363869Z,2025-11-21
LNT,1d,2025-11-20T00:00:00,67.54,67.97,67.33,67.47,2624900.0,normal,2025-12-10T10:32:16.363869Z,2025-11-20
LNT,1d,2025-11-19T00:00:00,68.02,68.09,67.1,67.22,1783817.0,normal,2025-12-10T10:32:16.363869Z,2025-11-19
LNT,1d,2025-11-18T00:00:00,68.43,68.79,67.84,68.09,1999300.0,normal,2025-12-10T10:32:16.363869Z,2025-11-18
LNT,1d,2025-11-17T00:00:00,67.52,68.3,67.46,68.1,1619708.0,normal,2025-12-10T10:32:16.363869Z,2025-11-17
LNT,1d,2025-11-14T00:00:00,67.51,67.74,67.1,67.33,1451600.0,normal,2025-12-10T10:32:16.363869Z,2025-11-14
