ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
MAS,1d,2025-12-09T00:00:00,62.04,62.76,61.02,61.11,2500411.0,normal,2025-12-10T10:46:15.243011Z,2025-12-09
MAS,1d,2025-12-08T00:00:00,62.26,62.54,61.64,62.46,2969824.0,normal,2025-12-10T10:46:15.243011Z,2025-12-08
MAS,1d,2025-12-05T00:00:00,63.7,65.07,62.64,63.2,4281700.0,normal,2025-12-10T10:46:15.243011Z,2025-12-05
MAS,1d,2025-12-04T00:00:00,64.73,65.44,64.22,64.4,2775300.0,normal,2025-12-10T10:46:15.243011Z,2025-12-04
MAS,1d,2025-12-03T00:00:00,64.39,65.38,64.13,64.62,1643000.0,normal,2025-12-10T10:46:15.243011Z,2025-12-03
MAS,1d,2025-12-02T00:00:00,64.72,64.74,63.67,64.27,2652000.0,normal,2025-12-10T10:46:15.243011Z,2025-12-02
MAS,1d,2025-12-01T00:00:00,63.99,65.43,63.51,64.77,1870550.0,normal,2025-12-10T10:46:15.243011Z,2025-12-01
MAS,1d,2025-11-28T00:00:00,64.75,65.06,64.16,64.87,829537.0,normal,2025-12-10T10:46:15.243011Z,2025-11-28
MAS,1d,2025-11-26T00:00:00,62.97,64.89,62.88,64.42,2880400.0,normal,2025-12-10T10:46:15.243011Z,2025-11-26
MAS,1d,2025-11-25T00:00:00,62.49,63.71,61.95,63.34,4157796.0,normal,2025-12-10T10:46:15.243011Z,2025-11-25
MAS,1d,2025-11-24T00:00:00,62.04,62.67,61.71,61.74,3310700.0,normal,2025-12-10T10:46:15.243011Z,2025-11-24
MAS,1d,2025-11-21T00:00:00,60.59,63.29,60.4,62.24,3104400.0,normal,2025-12-10T10:46:15.243011Z,2025-11-21
MAS,1d,2025-11-20T00:00:00,59.95,60.62,59.6,60.1,2817300.0,normal,2025-12-10T10:46:15.243011Z,2025-11-20
MAS,1d,2025-11-19T00:00:00,59.29,59.9,58.71,59.44,2516512.0,normal,2025-12-10T10:46:15.243011Z,2025-11-19
MAS,1d,2025-11-18T00:00:00,58.99,59.6,58.29,59.09,2655600.0,normal,2025-12-10T10:46:15.243011Z,2025-11-18
MAS,1d,2025-11-17T00:00:00,60.67,60.87,59.23,59.36,2465800.0,normal,2025-12-10T10:46:15.243011Z,2025-11-17
MAS,1d,2025-11-14T00:00:00,61.52,62.05,60.64,60.75,2373823.0,normal,2025-12-10T10:46:15.243011Z,2025-11-14
MAS,1d,2025-11-13T00:00:00,62.19,63.05,61.6,61.8,1743733.0,normal,2025-12-10T10:46:15.243011Z,2025-11-13
MAS,1d,2025-11-12T00:00:00,62.0,62.74,61.85,62.52,1673450.0,normal,2025-12-10T10:46:15.243011Z,2025-11-12
MAS,1d,2025-11-11T00:00:00,62.0,62.23,61.42,61.93,1787734.0,normal,2025-12-10T10:46:15.243011Z,2025-11-11
MAS,1d,2025-11-10T00:00:00,62.08,62.25,61.01,61.47,2322341.0,normal,2025-12-10T10:46:15.243011Z,2025-11-10
MAS,1d,2025-11-07T00:00:00,61.59,62.48,61.4,61.99,3024536.0,normal,2025-12-10T10:46:15.243011Z,2025-11-07
MAS,1d,2025-11-06T00:00:00,63.45,63.73,62.02,62.1,2838400.0,normal,2025-12-10T10:46:15.243011Z,2025-11-06
MAS,1d,2025-11-05T00:00:00,62.14,64.47,61.51,63.41,4508600.0,normal,2025-12-10T10:46:15.243011Z,2025-11-05
MAS,1d,2025-11-04T00:00:00,62.82,63.7,62.52,63.0,2795476.0,normal,2025-12-10T10:46:15.243011Z,2025-11-04
MAS,1d,2025-11-03T00:00:00,64.34,64.6,63.08,63.7,3485711.0,normal,2025-12-10T10:46:15.243011Z,2025-11-03
MAS,1d,2025-10-31T00:00:00,64.56,65.18,64.31,64.76,2536915.0,normal,2025-12-10T10:46:15.243011Z,2025-10-31
MAS,1d,2025-10-30T00:00:00,65.01,66.58,64.69,64.99,3033678.0,normal,2025-12-10T10:46:15.243011Z,2025-10-30
MAS,1d,2025-10-29T00:00:00,64.5,68.0,63.98,65.22,4483839.0,normal,2025-12-10T10:46:15.243011Z,2025-10-29
MAS,1d,2025-10-28T00:00:00,68.33,69.27,67.8,68.43,4224931.0,normal,2025-12-10T10:46:15.243011Z,2025-10-28
MAS,1d,2025-10-27T00:00:00,68.25,69.31,68.08,68.32,1976400.0,normal,2025-12-10T10:46:15.243011Z,2025-10-27
MAS,1d,2025-10-24T00:00:00,70.11,70.45,68.02,68.14,2203042.0,normal,2025-12-10T10:46:15.243011Z,2025-10-24
