ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
MDLZ,1d,2025-12-09T00:00:00,54.83,55.12,54.04,54.11,10113988.0,normal,2025-12-10T10:35:01.655576Z,2025-12-09
MDLZ,1d,2025-12-08T00:00:00,54.62,55.3,54.5,54.76,9884586.0,normal,2025-12-10T10:35:01.655576Z,2025-12-08
MDLZ,1d,2025-12-05T00:00:00,55.71,56.33,54.75,54.91,10435600.0,normal,2025-12-10T10:35:01.655576Z,2025-12-05
MDLZ,1d,2025-12-04T00:00:00,56.17,56.31,55.33,55.8,9805500.0,normal,2025-12-10T10:35:01.655576Z,2025-12-04
MDLZ,1d,2025-12-03T00:00:00,55.98,56.69,55.65,56.03,10060426.0,normal,2025-12-10T10:35:01.655576Z,2025-12-03
MDLZ,1d,2025-12-02T00:00:00,56.4,56.45,55.39,55.99,8644010.0,normal,2025-12-10T10:35:01.655576Z,2025-12-02
MDLZ,1d,2025-12-01T00:00:00,57.2,57.35,56.06,56.4,12849800.0,normal,2025-12-10T10:35:01.655576Z,2025-12-01
MDLZ,1d,2025-11-28T00:00:00,57.06,57.63,56.86,57.57,3645200.0,normal,2025-12-10T10:35:01.655576Z,2025-11-28
MDLZ,1d,2025-11-26T00:00:00,56.58,57.42,56.37,57.21,6893375.0,normal,2025-12-10T10:35:01.655576Z,2025-11-26
MDLZ,1d,2025-11-25T00:00:00,55.74,56.73,55.7,56.53,9101091.0,normal,2025-12-10T10:35:01.655576Z,2025-11-25
MDLZ,1d,2025-11-24T00:00:00,57.0,57.09,55.89,56.19,10860000.0,normal,2025-12-10T10:35:01.655576Z,2025-11-24
MDLZ,1d,2025-11-21T00:00:00,55.73,57.09,55.45,57.0,11209146.0,normal,2025-12-10T10:35:01.655576Z,2025-11-21
MDLZ,1d,2025-11-20T00:00:00,55.98,56.56,55.19,55.75,9746800.0,normal,2025-12-10T10:35:01.655576Z,2025-11-20
MDLZ,1d,2025-11-19T00:00:00,55.73,56.21,55.03,56.08,10779283.0,normal,2025-12-10T10:35:01.655576Z,2025-11-19
MDLZ,1d,2025-11-18T00:00:00,55.83,55.89,55.23,55.78,9659989.0,normal,2025-12-10T10:35:01.655576Z,2025-11-18
MDLZ,1d,2025-11-17T00:00:00,56.78,56.87,55.53,55.57,6549246.0,normal,2025-12-10T10:35:01.655576Z,2025-11-17
MDLZ,1d,2025-11-14T00:00:00,57.24,57.66,56.52,56.86,6854396.0,normal,2025-12-10T10:35:01.655576Z,2025-11-14
MDLZ,1d,2025-11-13T00:00:00,57.02,57.72,56.75,56.97,8720102.0,normal,2025-12-10T10:35:01.655576Z,2025-11-13
MDLZ,1d,2025-11-12T00:00:00,57.11,57.55,56.83,57.01,7818963.0,normal,2025-12-10T10:35:01.655576Z,2025-11-12
MDLZ,1d,2025-11-11T00:00:00,56.6,57.5,56.22,57.12,10048340.0,normal,2025-12-10T10:35:01.655576Z,2025-11-11
MDLZ,1d,2025-11-10T00:00:00,57.0,57.06,56.2,56.25,9205200.0,normal,2025-12-10T10:35:01.655576Z,2025-11-10
MDLZ,1d,2025-11-07T00:00:00,56.54,57.82,56.2,57.18,8717329.0,normal,2025-12-10T10:35:01.655576Z,2025-11-07
MDLZ,1d,2025-11-06T00:00:00,55.51,56.85,55.51,56.19,8879731.0,normal,2025-12-10T10:35:01.655576Z,2025-11-06
MDLZ,1d,2025-11-05T00:00:00,56.14,56.26,55.44,56.02,12718900.0,normal,2025-12-10T10:35:01.655576Z,2025-11-05
MDLZ,1d,2025-11-04T00:00:00,56.89,56.97,55.47,56.08,12649107.0,normal,2025-12-10T10:35:01.655576Z,2025-11-04
MDLZ,1d,2025-11-03T00:00:00,57.44,57.84,56.54,56.65,8849900.0,normal,2025-12-10T10:35:01.655576Z,2025-11-03
MDLZ,1d,2025-10-31T00:00:00,56.97,57.94,56.63,57.46,13262978.0,normal,2025-12-10T10:35:01.655576Z,2025-10-31
MDLZ,1d,2025-10-30T00:00:00,58.24,59.26,57.63,57.78,12884304.0,normal,2025-12-10T10:35:01.655576Z,2025-10-30
MDLZ,1d,2025-10-29T00:00:00,58.47,59.27,56.99,57.85,20841600.0,normal,2025-12-10T10:35:01.655576Z,2025-10-29
MDLZ,1d,2025-10-28T00:00:00,61.6,62.43,60.21,60.21,15035018.0,normal,2025-12-10T10:35:01.655576Z,2025-10-28
MDLZ,1d,2025-10-27T00:00:00,60.66,61.72,60.44,61.66,7063700.0,normal,2025-12-10T10:35:01.655576Z,2025-10-27
MDLZ,1d,2025-10-24T00:00:00,61.25,61.37,60.55,60.77,5401464.0,normal,2025-12-10T10:35:01.655576Z,2025-10-24
MDLZ,1d,2025-10-23T00:00:00,61.83,61.9,60.98,61.01,5212549.0,normal,2025-12-10T10:35:01.655576Z,2025-10-23
MDLZ,1d,2025-10-22T00:00:00,61.84,62.54,60.94,61.97,7148600.0,normal,2025-12-10T10:35:01.655576Z,2025-10-22
MDLZ,1d,2025-10-21T00:00:00,62.88,63.24,61.54,61.75,9149843.0,normal,2025-12-10T10:35:01.655576Z,2025-10-21
MDLZ,1d,2025-10-20T00:00:00,62.82,62.96,62.5,62.81,4069100.0,normal,2025-12-10T10:35:01.655576Z,2025-10-20
MDLZ,1d,2025-10-17T00:00:00,61.97,62.7,61.56,62.46,5991845.0,normal,2025-12-10T10:35:01.655576Z,2025-10-17
MDLZ,1d,2025-10-16T00:00:00,62.2,62.74,61.31,61.6,7346452.0,normal,2025-12-10T10:35:01.655576Z,2025-10-16
MDLZ,1d,2025-10-15T00:00:00,61.64,62.37,61.27,61.66,5712093.0,normal,2025-12-10T10:35:01.655576Z,2025-10-15
MDLZ,1d,2025-10-14T00:00:00,61.31,62.19,60.84,62.13,5632000.0,normal,2025-12-10T10:35:01.655576Z,2025-10-14
MDLZ,1d,2025-10-13T00:00:00,60.79,61.29,60.41,61.17,6417600.0,normal,2025-12-10T10:35:01.655576Z,2025-10-13
MDLZ,1d,2025-10-10T00:00:00,61.2,62.34,60.87,61.45,7697800.0,normal,2025-12-10T10:35:01.655576Z,2025-10-10
MDLZ,1d,2025-10-09T00:00:00,61.64,61.81,60.88,61.0,6642873.0,normal,2025-12-10T10:35:01.655576Z,2025-10-09
MDLZ,1d,2025-10-08T00:00:00,62.14,62.42,61.42,61.66,6881500.0,normal,2025-12-10T10:35:01.655576Z,2025-10-08
MDLZ,1d,2025-10-07T00:00:00,61.71,63.24,61.61,62.6,6638657.0,normal,2025-12-10T10:35:01.655576Z,2025-10-07
MDLZ,1d,2025-10-06T00:00:00,62.55,62.55,61.44,61.78,7883300.0,normal,2025-12-10T10:35:01.655576Z,2025-10-06
MDLZ,1d,2025-10-03T00:00:00,61.66,63.38,61.52,62.67,6205944.0,normal,2025-12-10T10:35:01.655576Z,2025-10-03
MDLZ,1d,2025-10-02T00:00:00,62.14,62.7,61.62,61.78,5529805.0,normal,2025-12-10T10:35:01.655576Z,2025-10-02
MDLZ,1d,2025-10-01T00:00:00,62.55,63.33,62.12,63.17,6259498.0,normal,2025-12-10T10:35:01.655576Z,2025-10-01
MDLZ,1d,2025-09-30T00:00:00,62.45,62.87,62.15,62.47,6604230.0,normal,2025-12-10T10:35:01.655576Z,2025-09-30
MDLZ,1d,2025-09-29T00:00:00,63.43,63.57,61.22,62.63,10956714.0,normal,2025-12-10T10:35:01.655576Z,2025-09-29
MDLZ,1d,2025-09-26T00:00:00,62.56,63.46,62.27,63.36,5295200.0,normal,2025-12-10T10:35:01.655576Z,2025-09-26
MDLZ,1d,2025-09-25T00:00:00,64.68,64.95,62.54,62.56,8679576.0,normal,2025-12-10T10:35:01.655576Z,2025-09-25
MDLZ,1d,2025-09-24T00:00:00,63.82,64.7,63.78,64.39,6188838.0,normal,2025-12-10T10:35:01.655576Z,2025-09-24
MDLZ,1d,2025-09-23T00:00:00,63.39,63.87,63.23,63.82,6698348.0,normal,2025-12-10T10:35:01.655576Z,2025-09-23
MDLZ,1d,2025-09-22T00:00:00,63.31,63.66,62.98,63.5,7358100.0,normal,2025-12-10T10:35:01.655576Z,2025-09-22
MDLZ,1d,2025-09-19T00:00:00,63.6,64.03,62.98,63.71,17133906.0,normal,2025-12-10T10:35:01.655576Z,2025-09-19
MDLZ,1d,2025-09-18T00:00:00,62.27,63.36,62.11,63.25,6596217.0,normal,2025-12-10T10:35:01.655576Z,2025-09-18
MDLZ,1d,2025-09-17T00:00:00,62.69,63.6,62.62,62.83,7039900.0,normal,2025-12-10T10:35:01.655576Z,2025-09-17
MDLZ,1d,2025-09-16T00:00:00,61.62,62.95,61.46,62.7,8403643.0,normal,2025-12-10T10:35:01.655576Z,2025-09-16
MDLZ,1d,2025-09-15T00:00:00,62.0,62.68,61.57,61.6,6760500.0,normal,2025-12-10T10:35:01.655576Z,2025-09-15
MDLZ,1d,2025-09-12T00:00:00,61.98,62.47,61.69,61.98,4853627.0,normal,2025-12-10T10:35:01.655576Z,2025-09-12
MDLZ,1d,2025-09-11T00:00:00,62.33,63.2,62.0,62.05,6423925.0,normal,2025-12-10T10:35:01.655576Z,2025-09-11
MDLZ,1d,2025-09-10T00:00:00,62.29,62.47,61.37,62.27,6679167.0,normal,2025-12-10T10:35:01.655576Z,2025-09-10
MDLZ,1d,2025-09-09T00:00:00,61.84,62.86,61.72,62.57,5785000.0,normal,2025-12-10T10:35:01.655576Z,2025-09-09
MDLZ,1d,2025-09-08T00:00:00,61.59,61.97,61.0,61.94,6540893.0,normal,2025-12-10T10:35:01.655576Z,2025-09-08
MDLZ,1d,2025-09-05T00:00:00,61.03,62.51,60.95,61.74,6149823.0,normal,2025-12-10T10:35:01.655576Z,2025-09-05
MDLZ,1d,2025-09-04T00:00:00,61.4,61.55,60.89,60.9,4612686.0,normal,2025-12-10T10:35:01.655576Z,2025-09-04
MDLZ,1d,2025-09-03T00:00:00,61.36,61.77,59.37,61.3,10566651.0,normal,2025-12-10T10:35:01.655576Z,2025-09-03
MDLZ,1d,2025-09-02T00:00:00,61.58,62.06,61.2,61.79,7815343.0,normal,2025-12-10T10:35:01.655576Z,2025-09-02
MDLZ,1d,2025-08-29T00:00:00,61.28,61.65,61.01,61.44,5866856.0,normal,2025-12-10T10:35:01.655576Z,2025-08-29
MDLZ,1d,2025-08-28T00:00:00,61.76,61.97,61.02,61.28,7242515.0,normal,2025-12-10T10:35:01.655576Z,2025-08-28
MDLZ,1d,2025-08-27T00:00:00,61.69,61.85,61.31,61.76,6464175.0,normal,2025-12-10T10:35:01.655576Z,2025-08-27
MDLZ,1d,2025-08-26T00:00:00,61.82,62.11,61.46,62.05,8457057.0,normal,2025-12-10T10:35:01.655576Z,2025-08-26
MDLZ,1d,2025-08-25T00:00:00,63.19,63.23,61.88,61.96,5852138.0,normal,2025-12-10T10:35:01.655576Z,2025-08-25
