ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
META,1d,2025-12-15T00:00:00,645.7,653.0,638.7,647.51,15549100.0,normal,2026-01-01T03:44:57.318228Z,2025-12-15
META,1d,2025-12-12T00:00:00,649.8,711.0,638.61,644.23,14016915.0,normal,2026-01-01T03:44:57.318228Z,2025-12-12
META,1d,2025-12-11T00:00:00,643.29,655.28,640.79,652.71,13056726.0,normal,2026-01-01T03:44:57.318228Z,2025-12-11
META,1d,2025-12-10T00:00:00,649.95,654.51,643.4,650.13,16910900.0,normal,2026-01-01T03:44:57.318228Z,2025-12-10
META,1d,2025-12-09T00:00:00,663.77,664.48,653.34,656.96,12997116.0,normal,2026-01-01T03:44:57.318228Z,2025-12-09
META,1d,2025-12-08T00:00:00,669.34,676.71,665.07,666.8,13161000.0,normal,2026-01-01T03:44:57.318228Z,2025-12-08
META,1d,2025-12-05T00:00:00,664.0,674.69,662.39,673.42,21207900.0,normal,2026-01-01T03:44:57.318228Z,2025-12-05
META,1d,2025-12-04T00:00:00,676.0,676.1,660.05,661.53,29874622.0,normal,2026-01-01T03:44:57.318228Z,2025-12-04
META,1d,2025-12-03T00:00:00,644.41,648.85,637.55,639.6,11134305.0,normal,2026-01-01T03:44:57.318228Z,2025-12-03
META,1d,2025-12-02T00:00:00,642.34,647.87,638.07,647.1,11640900.0,normal,2026-01-01T03:44:57.318228Z,2025-12-02
META,1d,2025-12-01T00:00:00,639.55,645.32,637.76,640.87,13029922.0,normal,2026-01-01T03:44:57.318228Z,2025-12-01
META,1d,2025-11-28T00:00:00,636.08,648.05,635.5,647.95,11033200.0,normal,2026-01-01T03:44:57.318228Z,2025-11-28
META,1d,2025-11-26T00:00:00,637.69,638.36,631.63,633.61,15209500.0,normal,2026-01-01T03:44:57.318228Z,2025-11-26
META,1d,2025-11-25T00:00:00,624.0,637.04,618.3,636.22,25213000.0,normal,2026-01-01T03:44:57.318228Z,2025-11-25
META,1d,2025-11-24T00:00:00,598.72,616.7,597.63,613.05,23554932.0,normal,2026-01-01T03:44:57.318228Z,2025-11-24
META,1d,2025-11-21T00:00:00,588.5,598.12,581.86,594.25,21052624.0,normal,2026-01-01T03:44:57.318228Z,2025-11-21
META,1d,2025-11-20T00:00:00,603.5,606.72,583.35,589.15,20603024.0,normal,2026-01-01T03:44:57.318228Z,2025-11-20
META,1d,2025-11-19T00:00:00,593.72,595.33,581.25,590.32,24744703.0,normal,2026-01-01T03:44:57.318228Z,2025-11-19
META,1d,2025-11-18T00:00:00,591.6,603.66,583.78,597.69,25500647.0,normal,2026-01-01T03:44:57.318228Z,2025-11-18
META,1d,2025-11-17T00:00:00,609.04,611.69,595.4,602.01,16501331.0,normal,2026-01-01T03:44:57.318228Z,2025-11-17
META,1d,2025-11-14T00:00:00,601.79,613.68,595.2,609.46,20724146.0,normal,2026-01-01T03:44:57.318228Z,2025-11-14
META,1d,2025-11-13T00:00:00,613.07,617.65,603.0,609.89,20973845.0,normal,2026-01-01T03:44:57.318228Z,2025-11-13
META,1d,2025-11-12T00:00:00,628.13,628.99,607.77,609.01,24493300.0,normal,2026-01-01T03:44:57.318228Z,2025-11-12
META,1d,2025-11-11T00:00:00,628.0,629.56,619.39,627.08,13302200.0,normal,2026-01-01T03:44:57.318228Z,2025-11-11
META,1d,2025-11-10T00:00:00,631.09,635.0,618.11,631.76,19245000.0,normal,2026-01-01T03:44:57.318228Z,2025-11-10
META,1d,2025-11-07T00:00:00,616.49,622.13,601.2,621.71,29946826.0,normal,2026-01-01T03:44:57.318228Z,2025-11-07
META,1d,2025-11-06T00:00:00,635.85,636.0,618.0,618.94,23628800.0,normal,2026-01-01T03:44:57.318228Z,2025-11-06
META,1d,2025-11-05T00:00:00,632.31,642.23,626.54,635.95,20219900.0,normal,2026-01-01T03:44:57.318228Z,2025-11-05
META,1d,2025-11-04T00:00:00,628.04,641.74,626.01,627.32,27356600.0,normal,2026-01-01T03:44:57.318228Z,2025-11-04
META,1d,2025-11-03T00:00:00,656.0,659.33,636.18,637.71,33003600.0,normal,2026-01-01T03:44:57.318228Z,2025-11-03
META,1d,2025-10-31T00:00:00,674.51,674.89,645.57,648.35,56953200.0,normal,2026-01-01T03:44:57.318228Z,2025-10-31
META,1d,2025-10-30T00:00:00,669.15,680.96,650.17,666.47,88440100.0,normal,2026-01-01T03:44:57.318228Z,2025-10-30
META,1d,2025-10-29T00:00:00,754.75,759.16,742.51,751.67,26818600.0,normal,2026-01-01T03:44:57.318228Z,2025-10-29
META,1d,2025-10-28T00:00:00,752.63,758.4,745.52,751.44,12193818.0,normal,2026-01-01T03:44:57.318228Z,2025-10-28
META,1d,2025-10-27T00:00:00,749.73,755.75,748.01,750.82,11321100.0,normal,2026-01-01T03:44:57.318228Z,2025-10-27
META,1d,2025-10-24T00:00:00,736.79,741.21,731.15,738.36,9151300.0,normal,2026-01-01T03:44:57.318228Z,2025-10-24
META,1d,2025-10-23T00:00:00,734.7,742.41,733.1,734.0,9856000.0,normal,2026-01-01T03:44:57.318228Z,2025-10-23
META,1d,2025-10-22T00:00:00,733.83,740.6,724.03,733.41,8734500.0,normal,2026-01-01T03:44:57.318228Z,2025-10-22
META,1d,2025-10-21T00:00:00,736.02,738.5,728.75,733.27,7647300.0,normal,2026-01-01T03:44:57.318228Z,2025-10-21
META,1d,2025-10-20T00:00:00,721.19,733.77,720.18,732.17,8900204.0,normal,2026-01-01T03:44:57.318228Z,2025-10-20
META,1d,2025-10-17T00:00:00,707.08,718.54,706.12,716.92,12232441.0,normal,2026-01-01T03:44:57.318228Z,2025-10-17
META,1d,2025-10-16T00:00:00,717.55,725.49,703.88,712.07,9017010.0,normal,2026-01-01T03:44:57.318228Z,2025-10-16
META,1d,2025-10-15T00:00:00,717.06,723.9,709.51,717.55,10246800.0,normal,2026-01-01T03:44:57.318228Z,2025-10-15
META,1d,2025-10-14T00:00:00,707.78,715.55,699.33,708.65,8829800.0,normal,2026-01-01T03:44:57.318228Z,2025-10-14
META,1d,2025-10-13T00:00:00,713.01,719.94,707.64,715.7,9251800.0,normal,2026-01-01T03:44:57.318228Z,2025-10-13
META,1d,2025-10-10T00:00:00,730.92,735.27,704.51,705.3,16980100.0,normal,2026-01-01T03:44:57.318228Z,2025-10-10
META,1d,2025-10-09T00:00:00,718.28,733.51,712.44,733.51,12717200.0,normal,2026-01-01T03:44:57.318228Z,2025-10-09
META,1d,2025-10-08T00:00:00,713.45,719.65,707.81,717.84,10790600.0,normal,2026-01-01T03:44:57.318228Z,2025-10-08
META,1d,2025-10-07T00:00:00,717.72,718.5,705.75,713.08,12062928.0,normal,2026-01-01T03:44:57.318228Z,2025-10-07
META,1d,2025-10-06T00:00:00,705.19,716.88,690.51,715.66,21654738.0,normal,2026-01-01T03:44:57.318228Z,2025-10-06
META,1d,2025-10-03T00:00:00,729.63,731.0,710.18,710.56,16154305.0,normal,2026-01-01T03:44:57.318228Z,2025-10-03
META,1d,2025-10-02T00:00:00,722.58,727.77,718.14,727.05,11415300.0,normal,2026-01-01T03:44:57.318228Z,2025-10-02
META,1d,2025-10-01T00:00:00,721.49,721.85,710.2,717.34,20419633.0,normal,2026-01-01T03:44:57.318228Z,2025-10-01
META,1d,2025-09-30T00:00:00,742.25,742.97,726.3,734.38,16226800.0,normal,2026-01-01T03:44:57.318228Z,2025-09-30
META,1d,2025-09-29T00:00:00,748.72,750.78,739.15,743.4,9246800.0,normal,2026-01-01T03:44:57.318228Z,2025-09-29
META,1d,2025-09-26T00:00:00,750.0,751.93,737.35,743.75,9696338.0,normal,2026-01-01T03:44:57.318228Z,2025-09-26
META,1d,2025-09-25T00:00:00,753.45,756.77,744.55,748.91,10591100.0,normal,2026-01-01T03:44:57.318228Z,2025-09-25
META,1d,2025-09-24T00:00:00,757.5,761.11,752.53,760.66,8828227.0,normal,2026-01-01T03:44:57.318228Z,2025-09-24
META,1d,2025-09-23T00:00:00,769.25,770.6,751.07,755.4,10872600.0,normal,2026-01-01T03:44:57.318228Z,2025-09-23
META,1d,2025-09-22T00:00:00,781.85,785.73,764.47,765.16,11706946.0,normal,2026-01-01T03:44:57.318228Z,2025-09-22
META,1d,2025-09-19T00:00:00,786.42,790.8,769.19,778.38,23696824.0,normal,2026-01-01T03:44:57.318228Z,2025-09-19
META,1d,2025-09-18T00:00:00,780.75,788.78,773.36,780.25,10955000.0,normal,2026-01-01T03:44:57.318228Z,2025-09-18
META,1d,2025-09-17T00:00:00,779.99,783.29,766.31,775.72,9400900.0,normal,2026-01-01T03:44:57.318228Z,2025-09-17
META,1d,2025-09-16T00:00:00,767.0,781.36,765.1,779.0,11782500.0,normal,2026-01-01T03:44:57.318228Z,2025-09-16
META,1d,2025-09-15T00:00:00,757.47,774.07,751.99,764.7,10533800.0,normal,2026-01-01T03:44:57.318228Z,2025-09-15
META,1d,2025-09-12T00:00:00,748.73,757.57,743.76,755.59,8248600.0,normal,2026-01-01T03:44:57.318228Z,2025-09-12
META,1d,2025-09-11T00:00:00,754.65,757.1,748.37,750.9,7923300.0,normal,2026-01-01T03:44:57.318228Z,2025-09-11
META,1d,2025-09-10T00:00:00,765.13,765.7,751.0,751.98,12478300.0,normal,2026-01-01T03:44:57.318228Z,2025-09-10
