ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
MNST,1d,2025-12-09T00:00:00,73.94,74.46,73.25,73.57,3964486.0,normal,2025-12-10T10:35:17.501267Z,2025-12-09
MNST,1d,2025-12-08T00:00:00,73.76,74.48,73.35,73.94,4050609.0,normal,2025-12-10T10:35:17.501267Z,2025-12-08
MNST,1d,2025-12-05T00:00:00,73.41,74.0,73.19,73.74,3510571.0,normal,2025-12-10T10:35:17.501267Z,2025-12-05
MNST,1d,2025-12-04T00:00:00,73.94,74.18,73.07,73.26,4520846.0,normal,2025-12-10T10:35:17.501267Z,2025-12-04
MNST,1d,2025-12-03T00:00:00,74.91,75.05,73.73,73.99,4972908.0,normal,2025-12-10T10:35:17.501267Z,2025-12-03
MNST,1d,2025-12-02T00:00:00,75.72,75.94,74.25,74.71,6459073.0,normal,2025-12-10T10:35:17.501267Z,2025-12-02
MNST,1d,2025-12-01T00:00:00,75.31,76.28,75.1,75.95,6334302.0,normal,2025-12-10T10:35:17.501267Z,2025-12-01
MNST,1d,2025-11-28T00:00:00,75.09,75.26,74.6,74.99,2367100.0,normal,2025-12-10T10:35:17.501267Z,2025-11-28
MNST,1d,2025-11-26T00:00:00,74.87,75.27,74.6,75.04,3353601.0,normal,2025-12-10T10:35:17.501267Z,2025-11-26
MNST,1d,2025-11-25T00:00:00,73.44,74.95,73.41,74.82,5668546.0,normal,2025-12-10T10:35:17.501267Z,2025-11-25
MNST,1d,2025-11-24T00:00:00,72.2,73.62,72.01,73.24,10334000.0,normal,2025-12-10T10:35:17.501267Z,2025-11-24
MNST,1d,2025-11-21T00:00:00,72.24,72.8,71.99,72.04,5258960.0,normal,2025-12-10T10:35:17.501267Z,2025-11-21
MNST,1d,2025-11-20T00:00:00,72.3,73.0,72.0,72.22,5248700.0,normal,2025-12-10T10:35:17.501267Z,2025-11-20
MNST,1d,2025-11-19T00:00:00,72.55,73.01,72.21,72.3,5599208.0,normal,2025-12-10T10:35:17.501267Z,2025-11-19
MNST,1d,2025-11-18T00:00:00,71.98,73.08,71.71,72.9,4469261.0,normal,2025-12-10T10:35:17.501267Z,2025-11-18
MNST,1d,2025-11-17T00:00:00,71.61,73.03,71.56,71.84,4816706.0,normal,2025-12-10T10:35:17.501267Z,2025-11-17
MNST,1d,2025-11-14T00:00:00,71.35,71.95,70.79,71.31,5258642.0,normal,2025-12-10T10:35:17.501267Z,2025-11-14
MNST,1d,2025-11-13T00:00:00,70.39,71.88,70.06,71.08,6312835.0,normal,2025-12-10T10:35:17.501267Z,2025-11-13
MNST,1d,2025-11-12T00:00:00,71.81,72.1,70.4,70.48,6270334.0,normal,2025-12-10T10:35:17.501267Z,2025-11-12
MNST,1d,2025-11-11T00:00:00,70.25,72.12,70.15,71.91,7130227.0,normal,2025-12-10T10:35:17.501267Z,2025-11-11
MNST,1d,2025-11-10T00:00:00,69.83,71.25,69.37,70.03,6721347.0,normal,2025-12-10T10:35:17.501267Z,2025-11-10
MNST,1d,2025-11-07T00:00:00,70.42,72.62,68.51,69.73,14111643.0,normal,2025-12-10T10:35:17.501267Z,2025-11-07
MNST,1d,2025-11-06T00:00:00,67.33,67.71,65.88,66.31,10132940.0,normal,2025-12-10T10:35:17.501267Z,2025-11-06
MNST,1d,2025-11-05T00:00:00,66.92,67.96,66.92,67.87,5329640.0,normal,2025-12-10T10:35:17.501267Z,2025-11-05
MNST,1d,2025-11-04T00:00:00,66.89,66.94,65.92,66.87,5424510.0,normal,2025-12-10T10:35:17.501267Z,2025-11-04
MNST,1d,2025-11-03T00:00:00,66.82,67.07,66.29,66.51,4330100.0,normal,2025-12-10T10:35:17.501267Z,2025-11-03
MNST,1d,2025-10-31T00:00:00,66.25,67.07,65.88,66.83,5003824.0,normal,2025-12-10T10:35:17.501267Z,2025-10-31
MNST,1d,2025-10-30T00:00:00,66.87,67.45,66.27,66.57,8725500.0,normal,2025-12-10T10:35:17.501267Z,2025-10-30
MNST,1d,2025-10-29T00:00:00,68.87,68.92,66.41,66.56,5796947.0,normal,2025-12-10T10:35:17.501267Z,2025-10-29
MNST,1d,2025-10-28T00:00:00,69.16,69.54,68.47,69.32,3472329.0,normal,2025-12-10T10:35:17.501267Z,2025-10-28
MNST,1d,2025-10-27T00:00:00,70.16,70.16,69.59,69.68,3936845.0,normal,2025-12-10T10:35:17.501267Z,2025-10-27
MNST,1d,2025-10-24T00:00:00,70.26,70.38,69.45,69.69,2401324.0,normal,2025-12-10T10:35:17.501267Z,2025-10-24
MNST,1d,2025-10-23T00:00:00,69.59,69.97,69.13,69.89,3043095.0,normal,2025-12-10T10:35:17.501267Z,2025-10-23
MNST,1d,2025-10-22T00:00:00,68.69,70.46,68.69,69.72,5132419.0,normal,2025-12-10T10:35:17.501267Z,2025-10-22
MNST,1d,2025-10-21T00:00:00,69.83,69.99,68.59,68.9,5866820.0,normal,2025-12-10T10:35:17.501267Z,2025-10-21
MNST,1d,2025-10-20T00:00:00,70.65,70.72,69.32,69.76,4675683.0,normal,2025-12-10T10:35:17.501267Z,2025-10-20
MNST,1d,2025-10-17T00:00:00,70.57,70.65,69.88,70.22,4723065.0,normal,2025-12-10T10:35:17.501267Z,2025-10-17
MNST,1d,2025-10-16T00:00:00,69.06,70.51,68.77,70.16,6355845.0,normal,2025-12-10T10:35:17.501267Z,2025-10-16
MNST,1d,2025-10-15T00:00:00,68.47,69.19,67.85,68.65,4414747.0,normal,2025-12-10T10:35:17.501267Z,2025-10-15
MNST,1d,2025-10-14T00:00:00,67.15,68.9,67.01,68.61,6203723.0,normal,2025-12-10T10:35:17.501267Z,2025-10-14
MNST,1d,2025-10-13T00:00:00,68.99,69.5,66.94,67.15,6425434.0,normal,2025-12-10T10:35:17.501267Z,2025-10-13
MNST,1d,2025-10-10T00:00:00,69.34,70.06,69.2,69.62,6769400.0,normal,2025-12-10T10:35:17.501267Z,2025-10-10
MNST,1d,2025-10-09T00:00:00,68.77,69.28,68.5,69.03,3797736.0,normal,2025-12-10T10:35:17.501267Z,2025-10-09
MNST,1d,2025-10-08T00:00:00,68.45,69.2,67.86,68.73,7629965.0,normal,2025-12-10T10:35:17.501267Z,2025-10-08
MNST,1d,2025-10-07T00:00:00,67.03,68.28,66.98,68.15,5798296.0,normal,2025-12-10T10:35:17.501267Z,2025-10-07
MNST,1d,2025-10-06T00:00:00,67.11,67.23,66.33,67.09,3254394.0,normal,2025-12-10T10:35:17.501267Z,2025-10-06
MNST,1d,2025-10-03T00:00:00,67.45,67.89,67.13,67.17,3095281.0,normal,2025-12-10T10:35:17.501267Z,2025-10-03
MNST,1d,2025-10-02T00:00:00,66.9,67.89,66.56,67.58,4318482.0,normal,2025-12-10T10:35:17.501267Z,2025-10-02
