ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
NDAQ,1d,2025-12-09T00:00:00,89.8,91.2,89.45,90.72,3888956.0,normal,2025-12-10T10:37:19.344191Z,2025-12-09
NDAQ,1d,2025-12-08T00:00:00,90.0,90.14,89.17,89.8,4853366.0,normal,2025-12-10T10:37:19.344191Z,2025-12-08
NDAQ,1d,2025-12-05T00:00:00,90.02,90.54,89.87,90.22,3468100.0,normal,2025-12-10T10:37:19.344191Z,2025-12-05
NDAQ,1d,2025-12-04T00:00:00,88.32,90.39,88.11,90.29,4624394.0,normal,2025-12-10T10:37:19.344191Z,2025-12-04
NDAQ,1d,2025-12-03T00:00:00,88.44,88.89,87.79,88.32,2220104.0,normal,2025-12-10T10:37:19.344191Z,2025-12-03
NDAQ,1d,2025-12-02T00:00:00,89.64,89.93,88.15,88.51,3498826.0,normal,2025-12-10T10:37:19.344191Z,2025-12-02
NDAQ,1d,2025-12-01T00:00:00,90.57,90.76,89.27,89.36,3715749.0,normal,2025-12-10T10:37:19.344191Z,2025-12-01
NDAQ,1d,2025-11-28T00:00:00,90.24,91.26,90.07,90.92,1126117.0,normal,2025-12-10T10:37:19.344191Z,2025-11-28
NDAQ,1d,2025-11-26T00:00:00,89.3,90.49,89.2,89.98,1785553.0,normal,2025-12-10T10:37:19.344191Z,2025-11-26
NDAQ,1d,2025-11-25T00:00:00,88.68,89.65,88.26,89.14,3448020.0,normal,2025-12-10T10:37:19.344191Z,2025-11-25
NDAQ,1d,2025-11-24T00:00:00,87.55,89.09,87.55,88.44,4586600.0,normal,2025-12-10T10:37:19.344191Z,2025-11-24
NDAQ,1d,2025-11-21T00:00:00,87.36,88.21,86.79,87.66,2416497.0,normal,2025-12-10T10:37:19.344191Z,2025-11-21
NDAQ,1d,2025-11-20T00:00:00,87.94,89.55,86.74,86.99,3037529.0,normal,2025-12-10T10:37:19.344191Z,2025-11-20
NDAQ,1d,2025-11-19T00:00:00,85.61,86.51,85.26,86.02,2370829.0,normal,2025-12-10T10:37:19.344191Z,2025-11-19
NDAQ,1d,2025-11-18T00:00:00,85.52,85.91,84.76,85.54,2248900.0,normal,2025-12-10T10:37:19.344191Z,2025-11-18
NDAQ,1d,2025-11-17T00:00:00,87.08,87.23,85.29,85.7,1924837.0,normal,2025-12-10T10:37:19.344191Z,2025-11-17
NDAQ,1d,2025-11-14T00:00:00,87.24,87.61,86.14,87.08,2542473.0,normal,2025-12-10T10:37:19.344191Z,2025-11-14
NDAQ,1d,2025-11-13T00:00:00,88.29,88.6,87.34,87.43,1677901.0,normal,2025-12-10T10:37:19.344191Z,2025-11-13
NDAQ,1d,2025-11-12T00:00:00,87.83,89.19,87.73,88.77,1713542.0,normal,2025-12-10T10:37:19.344191Z,2025-11-12
NDAQ,1d,2025-11-11T00:00:00,87.89,88.23,87.7,87.83,1493100.0,normal,2025-12-10T10:37:19.344191Z,2025-11-11
NDAQ,1d,2025-11-10T00:00:00,87.2,88.3,86.83,87.82,2084800.0,normal,2025-12-10T10:37:19.344191Z,2025-11-10
NDAQ,1d,2025-11-07T00:00:00,86.08,87.68,86.08,87.24,3431297.0,normal,2025-12-10T10:37:19.344191Z,2025-11-07
NDAQ,1d,2025-11-06T00:00:00,85.3,86.59,85.02,86.19,2770300.0,normal,2025-12-10T10:37:19.344191Z,2025-11-06
NDAQ,1d,2025-11-05T00:00:00,85.66,86.22,85.37,85.56,2563630.0,normal,2025-12-10T10:37:19.344191Z,2025-11-05
NDAQ,1d,2025-11-04T00:00:00,86.28,86.55,85.53,85.87,1756912.0,normal,2025-12-10T10:37:19.344191Z,2025-11-04
NDAQ,1d,2025-11-03T00:00:00,85.4,86.64,85.03,86.39,2919356.0,normal,2025-12-10T10:37:19.344191Z,2025-11-03
NDAQ,1d,2025-10-31T00:00:00,85.53,86.39,85.28,85.49,2817203.0,normal,2025-12-10T10:37:19.344191Z,2025-10-31
NDAQ,1d,2025-10-30T00:00:00,85.58,86.33,85.42,85.66,2306000.0,normal,2025-12-10T10:37:19.344191Z,2025-10-30
