ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
NEM,1d,2025-12-15T00:00:00,100.36,101.48,98.4,99.69,9174100.0,normal,2026-01-01T03:42:41.233084Z,2025-12-15
NEM,1d,2025-12-12T00:00:00,102.13,102.13,96.5,98.14,9239500.0,normal,2026-01-01T03:42:41.233084Z,2025-12-12
NEM,1d,2025-12-11T00:00:00,95.0,100.41,94.79,99.42,11600200.0,normal,2026-01-01T03:42:41.233084Z,2025-12-11
NEM,1d,2025-12-10T00:00:00,92.85,95.29,91.7,94.415,7183040.0,normal,2026-01-01T03:42:41.233084Z,2025-12-10
NEM,1d,2025-12-09T00:00:00,89.98,94.22,89.53,94.09,8820166.0,normal,2026-01-01T03:42:41.233084Z,2025-12-09
NEM,1d,2025-12-08T00:00:00,90.19,91.13,88.9,89.0,8480200.0,normal,2026-01-01T03:42:41.233084Z,2025-12-08
NEM,1d,2025-12-05T00:00:00,90.6,92.7,89.67,89.76,6500403.0,normal,2026-01-01T03:42:41.233084Z,2025-12-05
NEM,1d,2025-12-04T00:00:00,88.9,90.88,88.65,90.72,7002900.0,normal,2026-01-01T03:42:41.233084Z,2025-12-04
NEM,1d,2025-12-03T00:00:00,91.86,91.93,89.57,89.65,8735000.0,normal,2026-01-01T03:42:41.233084Z,2025-12-03
NEM,1d,2025-12-02T00:00:00,91.49,91.73,88.25,90.48,8989000.0,normal,2026-01-01T03:42:41.233084Z,2025-12-02
NEM,1d,2025-12-01T00:00:00,92.0,92.89,90.84,91.83,7716841.0,normal,2026-01-01T03:42:41.233084Z,2025-12-01
NEM,1d,2025-11-28T00:00:00,91.82,91.97,90.27,90.73,4824643.0,normal,2026-01-01T03:42:41.233084Z,2025-11-28
NEM,1d,2025-11-26T00:00:00,87.2,90.9,87.17,90.52,7259121.0,normal,2026-01-01T03:42:41.233084Z,2025-11-26
NEM,1d,2025-11-25T00:00:00,86.06,87.47,85.26,86.27,8176100.0,normal,2026-01-01T03:42:41.233084Z,2025-11-25
NEM,1d,2025-11-24T00:00:00,83.11,87.3,83.11,86.53,16768943.0,normal,2026-01-01T03:42:41.233084Z,2025-11-24
NEM,1d,2025-11-21T00:00:00,82.01,83.89,81.34,83.49,10168503.0,normal,2026-01-01T03:42:41.233084Z,2025-11-21
NEM,1d,2025-11-20T00:00:00,87.69,88.31,81.9,82.0,12422448.0,normal,2026-01-01T03:42:41.233084Z,2025-11-20
NEM,1d,2025-11-19T00:00:00,88.28,89.27,86.94,87.51,7005800.0,normal,2026-01-01T03:42:41.233084Z,2025-11-19
NEM,1d,2025-11-18T00:00:00,87.07,88.34,85.31,86.6,7778822.0,normal,2026-01-01T03:42:41.233084Z,2025-11-18
NEM,1d,2025-11-17T00:00:00,87.42,89.2,86.11,87.09,8832200.0,normal,2026-01-01T03:42:41.233084Z,2025-11-17
NEM,1d,2025-11-14T00:00:00,86.19,89.47,85.92,87.8,9590400.0,normal,2026-01-01T03:42:41.233084Z,2025-11-14
NEM,1d,2025-11-13T00:00:00,93.22,93.75,89.57,89.72,9710000.0,normal,2026-01-01T03:42:41.233084Z,2025-11-13
NEM,1d,2025-11-12T00:00:00,90.45,93.98,89.7,93.07,9721400.0,normal,2026-01-01T03:42:41.233084Z,2025-11-12
NEM,1d,2025-11-11T00:00:00,88.95,90.35,87.42,89.95,10648330.0,normal,2026-01-01T03:42:41.233084Z,2025-11-11
NEM,1d,2025-11-10T00:00:00,86.62,88.86,85.8,88.26,10153909.0,normal,2026-01-01T03:42:41.233084Z,2025-11-10
NEM,1d,2025-11-07T00:00:00,82.75,83.51,81.49,83.39,7555900.0,normal,2026-01-01T03:42:41.233084Z,2025-11-07
NEM,1d,2025-11-06T00:00:00,82.43,84.34,82.1,82.53,9711733.0,normal,2026-01-01T03:42:41.233084Z,2025-11-06
NEM,1d,2025-11-05T00:00:00,80.71,81.92,80.49,81.63,8682545.0,normal,2026-01-01T03:42:41.233084Z,2025-11-05
NEM,1d,2025-11-04T00:00:00,79.01,80.7,78.6,78.9,9923700.0,normal,2026-01-01T03:42:41.233084Z,2025-11-04
NEM,1d,2025-11-03T00:00:00,80.7,82.05,80.41,81.62,8413300.0,normal,2026-01-01T03:42:41.233084Z,2025-11-03
NEM,1d,2025-10-31T00:00:00,82.02,82.25,79.8,80.97,8511100.0,normal,2026-01-01T03:42:41.233084Z,2025-10-31
NEM,1d,2025-10-30T00:00:00,79.81,83.12,79.57,82.31,10528304.0,normal,2026-01-01T03:42:41.233084Z,2025-10-30
NEM,1d,2025-10-29T00:00:00,81.32,81.84,79.31,79.67,10811600.0,normal,2026-01-01T03:42:41.233084Z,2025-10-29
NEM,1d,2025-10-28T00:00:00,76.74,79.86,76.05,79.34,13352200.0,normal,2026-01-01T03:42:41.233084Z,2025-10-28
NEM,1d,2025-10-27T00:00:00,79.24,80.16,76.85,78.63,23560400.0,normal,2026-01-01T03:42:41.233084Z,2025-10-27
NEM,1d,2025-10-24T00:00:00,82.54,86.0,81.29,83.37,21379100.0,normal,2026-01-01T03:42:41.233084Z,2025-10-24
NEM,1d,2025-10-23T00:00:00,89.15,90.19,87.27,88.91,14759702.0,normal,2026-01-01T03:42:41.233084Z,2025-10-23
NEM,1d,2025-10-22T00:00:00,83.09,87.61,82.8,87.01,15846006.0,normal,2026-01-01T03:42:41.233084Z,2025-10-22
NEM,1d,2025-10-21T00:00:00,89.03,89.03,85.4,86.32,17038308.0,normal,2026-01-01T03:42:41.233084Z,2025-10-21
NEM,1d,2025-10-20T00:00:00,93.86,95.02,91.85,94.89,11868610.0,normal,2026-01-01T03:42:41.233084Z,2025-10-20
