ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
NVDA,1d,2025-12-24T00:00:00,187.94,188.91,186.59,188.61,65528545.0,normal,2025-12-26T06:41:20.730478Z,2025-12-24
NVDA,1d,2025-12-23T00:00:00,182.97,189.33,182.9,189.21,174873621.0,normal,2025-12-26T06:41:20.730478Z,2025-12-23
NVDA,1d,2025-12-22T00:00:00,183.92,184.16,182.35,183.69,129064400.0,normal,2025-12-26T06:41:20.730478Z,2025-12-22
NVDA,1d,2025-12-19T00:00:00,176.67,181.45,176.34,180.99,324925927.0,normal,2025-12-26T06:41:20.730478Z,2025-12-19
NVDA,1d,2025-12-18T00:00:00,174.53,176.15,171.82,174.14,176096001.0,normal,2025-12-26T06:41:20.730478Z,2025-12-18
NVDA,1d,2025-12-17T00:00:00,176.1,176.13,170.31,170.94,222775500.0,normal,2025-12-26T06:41:20.730478Z,2025-12-17
NVDA,1d,2025-12-16T00:00:00,176.26,178.49,174.9,177.72,148588100.0,normal,2025-12-26T06:41:20.730478Z,2025-12-16
NVDA,1d,2025-12-15T00:00:00,177.94,178.42,175.03,176.29,164775636.0,normal,2025-12-26T06:41:20.730478Z,2025-12-15
NVDA,1d,2025-12-12T00:00:00,181.11,182.82,174.62,175.02,204274918.0,normal,2025-12-26T06:41:20.730478Z,2025-12-12
NVDA,1d,2025-12-11T00:00:00,180.28,181.32,176.62,180.93,182136641.0,normal,2025-12-26T06:41:20.730478Z,2025-12-11
NVDA,1d,2025-12-10T00:00:00,184.99,185.48,182.035,183.74,131403868.0,normal,2025-12-26T06:41:20.730478Z,2025-12-10
NVDA,1d,2025-12-09T00:00:00,185.56,185.72,183.32,184.97,144719705.0,normal,2025-12-26T06:41:20.730478Z,2025-12-09
NVDA,1d,2025-12-08T00:00:00,182.64,188.0,182.4,185.55,204378106.0,normal,2025-12-26T06:41:20.730478Z,2025-12-08
