ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
NWSA,1d,2025-12-15T00:00:00,26.29,26.33,26.0,26.05,3627500.0,normal,2026-01-01T03:44:43.334545Z,2025-12-15
NWSA,1d,2025-12-12T00:00:00,26.33,26.46,26.17,26.22,2535617.0,normal,2026-01-01T03:44:43.334545Z,2025-12-12
NWSA,1d,2025-12-11T00:00:00,26.18,26.45,26.03,26.1,2104100.0,normal,2026-01-01T03:44:43.334545Z,2025-12-11
NWSA,1d,2025-12-10T00:00:00,25.91,26.205,25.82,26.11,1830899.0,normal,2026-01-01T03:44:43.334545Z,2025-12-10
NWSA,1d,2025-12-09T00:00:00,25.77,26.0,25.58,25.95,2712934.0,normal,2026-01-01T03:44:43.334545Z,2025-12-09
NWSA,1d,2025-12-08T00:00:00,26.12,26.23,25.55,25.73,3639300.0,normal,2026-01-01T03:44:43.334545Z,2025-12-08
NWSA,1d,2025-12-05T00:00:00,25.62,26.14,25.43,26.04,3754997.0,normal,2026-01-01T03:44:43.334545Z,2025-12-05
NWSA,1d,2025-12-04T00:00:00,25.61,25.75,25.39,25.63,2467000.0,normal,2026-01-01T03:44:43.334545Z,2025-12-04
NWSA,1d,2025-12-03T00:00:00,25.51,25.65,25.41,25.56,2185239.0,normal,2026-01-01T03:44:43.334545Z,2025-12-03
NWSA,1d,2025-12-02T00:00:00,25.54,25.55,25.15,25.4,3032901.0,normal,2026-01-01T03:44:43.334545Z,2025-12-02
NWSA,1d,2025-12-01T00:00:00,25.6,25.86,25.39,25.52,2699411.0,normal,2026-01-01T03:44:43.334545Z,2025-12-01
NWSA,1d,2025-11-28T00:00:00,25.64,25.88,25.59,25.68,1748100.0,normal,2026-01-01T03:44:43.334545Z,2025-11-28
NWSA,1d,2025-11-26T00:00:00,25.37,25.61,25.29,25.58,3115100.0,normal,2026-01-01T03:44:43.334545Z,2025-11-26
NWSA,1d,2025-11-25T00:00:00,25.48,25.63,25.13,25.41,3336200.0,normal,2026-01-01T03:44:43.334545Z,2025-11-25
NWSA,1d,2025-11-24T00:00:00,25.38,25.67,25.15,25.23,6971800.0,normal,2026-01-01T03:44:43.334545Z,2025-11-24
NWSA,1d,2025-11-21T00:00:00,24.97,25.82,24.94,25.69,4076495.0,normal,2026-01-01T03:44:43.334545Z,2025-11-21
