ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
ODFL,1d,2025-12-15T00:00:00,160.14,160.9,154.88,157.46,2593400.0,normal,2026-01-01T03:43:48.069968Z,2025-12-15
ODFL,1d,2025-12-12T00:00:00,159.12,161.24,158.02,159.49,2264000.0,normal,2026-01-01T03:43:48.069968Z,2025-12-12
ODFL,1d,2025-12-11T00:00:00,157.13,163.19,157.13,158.92,3657504.0,normal,2026-01-01T03:43:48.069968Z,2025-12-11
ODFL,1d,2025-12-10T00:00:00,149.32,158.79,148.49,157.32,2991509.0,normal,2026-01-01T03:43:48.069968Z,2025-12-10
ODFL,1d,2025-12-09T00:00:00,151.79,151.87,147.86,148.89,1674535.0,normal,2026-01-01T03:43:48.069968Z,2025-12-09
ODFL,1d,2025-12-08T00:00:00,157.03,157.03,151.2,151.68,3444700.0,normal,2026-01-01T03:43:48.069968Z,2025-12-08
ODFL,1d,2025-12-05T00:00:00,153.03,156.73,153.03,155.15,2833579.0,normal,2026-01-01T03:43:48.069968Z,2025-12-05
ODFL,1d,2025-12-04T00:00:00,151.69,154.03,150.9,153.51,4582750.0,normal,2026-01-01T03:43:48.069968Z,2025-12-04
ODFL,1d,2025-12-03T00:00:00,142.3,151.05,141.5,150.95,4491272.0,normal,2026-01-01T03:43:48.069968Z,2025-12-03
ODFL,1d,2025-12-02T00:00:00,139.5,142.45,137.96,141.46,2293968.0,normal,2026-01-01T03:43:48.069968Z,2025-12-02
ODFL,1d,2025-12-01T00:00:00,136.39,143.27,136.0,139.67,2628400.0,normal,2026-01-01T03:43:48.069968Z,2025-12-01
ODFL,1d,2025-11-28T00:00:00,135.75,136.38,134.4,135.29,587600.0,normal,2026-01-01T03:43:48.069968Z,2025-11-28
ODFL,1d,2025-11-26T00:00:00,133.45,136.14,133.44,134.91,1460200.0,normal,2026-01-01T03:43:48.069968Z,2025-11-26
ODFL,1d,2025-11-25T00:00:00,132.33,135.07,132.32,134.33,2066300.0,normal,2026-01-01T03:43:48.069968Z,2025-11-25
ODFL,1d,2025-11-24T00:00:00,133.95,134.04,131.75,132.33,2663200.0,normal,2026-01-01T03:43:48.069968Z,2025-11-24
ODFL,1d,2025-11-21T00:00:00,127.33,136.66,126.84,134.28,3335907.0,normal,2026-01-01T03:43:48.069968Z,2025-11-21
ODFL,1d,2025-11-20T00:00:00,128.24,130.52,126.01,126.29,2257713.0,normal,2026-01-01T03:43:48.069968Z,2025-11-20
ODFL,1d,2025-11-19T00:00:00,130.8,130.95,126.57,127.51,1963633.0,normal,2026-01-01T03:43:48.069968Z,2025-11-19
ODFL,1d,2025-11-18T00:00:00,129.2,132.49,128.51,130.66,2030703.0,normal,2026-01-01T03:43:48.069968Z,2025-11-18
ODFL,1d,2025-11-17T00:00:00,132.15,132.77,129.37,129.89,1991000.0,normal,2026-01-01T03:43:48.069968Z,2025-11-17
ODFL,1d,2025-11-14T00:00:00,135.32,135.68,131.46,132.29,1936200.0,normal,2026-01-01T03:43:48.069968Z,2025-11-14
ODFL,1d,2025-11-13T00:00:00,138.01,139.63,134.67,135.45,1870067.0,normal,2026-01-01T03:43:48.069968Z,2025-11-13
ODFL,1d,2025-11-12T00:00:00,139.44,141.52,138.69,138.85,1487811.0,normal,2026-01-01T03:43:48.069968Z,2025-11-12
ODFL,1d,2025-11-11T00:00:00,137.86,140.01,136.26,139.51,1560318.0,normal,2026-01-01T03:43:48.069968Z,2025-11-11
ODFL,1d,2025-11-10T00:00:00,139.91,140.25,135.59,137.76,1639400.0,normal,2026-01-01T03:43:48.069968Z,2025-11-10
ODFL,1d,2025-11-07T00:00:00,137.19,140.19,135.91,139.9,2065646.0,normal,2026-01-01T03:43:48.069968Z,2025-11-07
