ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
PCAR,1d,2025-12-15T00:00:00,112.59,113.38,110.94,112.96,4655340.0,normal,2026-01-01T03:37:45.605931Z,2025-12-15
PCAR,1d,2025-12-12T00:00:00,113.24,113.82,111.49,111.56,3343325.0,normal,2026-01-01T03:37:45.605931Z,2025-12-12
PCAR,1d,2025-12-11T00:00:00,113.48,114.5,112.17,112.79,3853509.0,normal,2026-01-01T03:37:45.605931Z,2025-12-11
PCAR,1d,2025-12-10T00:00:00,108.55,114.08,108.41,113.48,4199700.0,normal,2026-01-01T03:37:45.605931Z,2025-12-10
PCAR,1d,2025-12-09T00:00:00,109.02,109.96,108.49,108.91,3104236.0,normal,2026-01-01T03:37:45.605931Z,2025-12-09
PCAR,1d,2025-12-08T00:00:00,110.67,111.41,109.29,109.72,4499900.0,normal,2026-01-01T03:37:45.605931Z,2025-12-08
PCAR,1d,2025-12-05T00:00:00,108.37,110.64,108.07,110.33,3093900.0,normal,2026-01-01T03:37:45.605931Z,2025-12-05
PCAR,1d,2025-12-04T00:00:00,109.04,110.28,108.35,108.5,4429407.0,normal,2026-01-01T03:37:45.605931Z,2025-12-04
PCAR,1d,2025-12-03T00:00:00,105.56,109.3,104.82,108.54,3706730.0,normal,2026-01-01T03:37:45.605931Z,2025-12-03
PCAR,1d,2025-12-02T00:00:00,104.15,106.22,103.71,105.89,3057406.0,normal,2026-01-01T03:37:45.605931Z,2025-12-02
PCAR,1d,2025-12-01T00:00:00,103.98,105.77,103.72,103.97,3447031.0,normal,2026-01-01T03:37:45.605931Z,2025-12-01
PCAR,1d,2025-11-28T00:00:00,104.78,105.75,104.41,105.42,993135.0,normal,2026-01-01T03:37:45.605931Z,2025-11-28
PCAR,1d,2025-11-26T00:00:00,104.65,105.69,104.14,104.95,2205513.0,normal,2026-01-01T03:37:45.605931Z,2025-11-26
PCAR,1d,2025-11-25T00:00:00,102.97,105.43,102.53,104.92,3225922.0,normal,2026-01-01T03:37:45.605931Z,2025-11-25
PCAR,1d,2025-11-24T00:00:00,103.08,104.17,102.29,102.46,4084610.0,normal,2026-01-01T03:37:45.605931Z,2025-11-24
PCAR,1d,2025-11-21T00:00:00,98.36,103.56,98.08,102.99,5639000.0,normal,2026-01-01T03:37:45.605931Z,2025-11-21
PCAR,1d,2025-11-20T00:00:00,97.59,99.5,97.05,97.6,4073385.0,normal,2026-01-01T03:37:45.605931Z,2025-11-20
PCAR,1d,2025-11-19T00:00:00,97.03,97.88,96.2,96.49,2869550.0,normal,2026-01-01T03:37:45.605931Z,2025-11-19
PCAR,1d,2025-11-18T00:00:00,94.39,98.35,94.0,97.0,5004700.0,normal,2026-01-01T03:37:45.605931Z,2025-11-18
PCAR,1d,2025-11-17T00:00:00,95.71,96.27,93.86,94.15,2701850.0,normal,2026-01-01T03:37:45.605931Z,2025-11-17
PCAR,1d,2025-11-14T00:00:00,96.55,96.55,94.98,95.59,2928160.0,normal,2026-01-01T03:37:45.605931Z,2025-11-14
PCAR,1d,2025-11-13T00:00:00,98.22,98.94,96.45,96.55,2403300.0,normal,2026-01-01T03:37:45.605931Z,2025-11-13
PCAR,1d,2025-11-12T00:00:00,97.82,99.97,97.57,98.47,1857086.0,normal,2026-01-01T03:37:45.605931Z,2025-11-12
PCAR,1d,2025-11-11T00:00:00,99.12,99.6,97.89,98.02,2892000.0,normal,2026-01-01T03:37:45.605931Z,2025-11-11
PCAR,1d,2025-11-10T00:00:00,99.09,99.63,97.72,98.98,2067000.0,normal,2026-01-01T03:37:45.605931Z,2025-11-10
PCAR,1d,2025-11-07T00:00:00,98.14,98.97,97.16,98.69,2629614.0,normal,2026-01-01T03:37:45.605931Z,2025-11-07
PCAR,1d,2025-11-06T00:00:00,100.77,101.62,98.01,98.28,4843700.0,normal,2026-01-01T03:37:45.605931Z,2025-11-06
PCAR,1d,2025-11-05T00:00:00,97.35,101.13,97.18,100.74,3941767.0,normal,2026-01-01T03:37:45.605931Z,2025-11-05
PCAR,1d,2025-11-04T00:00:00,96.77,97.68,96.22,96.92,3000900.0,normal,2026-01-01T03:37:45.605931Z,2025-11-04
PCAR,1d,2025-11-03T00:00:00,98.16,98.52,96.42,97.46,2753000.0,normal,2026-01-01T03:37:45.605931Z,2025-11-03
PCAR,1d,2025-10-31T00:00:00,98.0,98.99,97.13,98.4,2358609.0,normal,2026-01-01T03:37:45.605931Z,2025-10-31
PCAR,1d,2025-10-30T00:00:00,97.72,99.8,97.0,98.82,2229981.0,normal,2026-01-01T03:37:45.605931Z,2025-10-30
PCAR,1d,2025-10-29T00:00:00,98.79,100.88,97.53,98.21,3037516.0,normal,2026-01-01T03:37:45.605931Z,2025-10-29
PCAR,1d,2025-10-28T00:00:00,100.35,100.85,98.93,99.17,2689556.0,normal,2026-01-01T03:37:45.605931Z,2025-10-28
PCAR,1d,2025-10-27T00:00:00,100.86,101.29,99.99,101.08,2978919.0,normal,2026-01-01T03:37:45.605931Z,2025-10-27
PCAR,1d,2025-10-24T00:00:00,100.07,100.68,99.1,100.13,2562841.0,normal,2026-01-01T03:37:45.605931Z,2025-10-24
PCAR,1d,2025-10-23T00:00:00,100.47,101.69,98.25,99.38,3275416.0,normal,2026-01-01T03:37:45.605931Z,2025-10-23
PCAR,1d,2025-10-22T00:00:00,99.99,102.42,99.2,99.8,4326400.0,normal,2026-01-01T03:37:45.605931Z,2025-10-22
PCAR,1d,2025-10-21T00:00:00,98.71,101.56,97.01,99.85,5682965.0,normal,2026-01-01T03:37:45.605931Z,2025-10-21
PCAR,1d,2025-10-20T00:00:00,95.51,97.85,95.0,97.48,5070907.0,normal,2026-01-01T03:37:45.605931Z,2025-10-20
PCAR,1d,2025-10-17T00:00:00,94.32,94.97,93.19,94.69,4287278.0,normal,2026-01-01T03:37:45.605931Z,2025-10-17
PCAR,1d,2025-10-16T00:00:00,95.86,96.5,94.01,95.16,2620339.0,normal,2026-01-01T03:37:45.605931Z,2025-10-16
PCAR,1d,2025-10-15T00:00:00,95.86,96.2,94.42,95.23,1939500.0,normal,2026-01-01T03:37:45.605931Z,2025-10-15
PCAR,1d,2025-10-14T00:00:00,92.44,95.78,92.25,95.11,2196508.0,normal,2026-01-01T03:37:45.605931Z,2025-10-14
PCAR,1d,2025-10-13T00:00:00,93.7,94.15,92.7,93.23,2092795.0,normal,2026-01-01T03:37:45.605931Z,2025-10-13
PCAR,1d,2025-10-10T00:00:00,95.51,95.66,92.82,93.0,2673200.0,normal,2026-01-01T03:37:45.605931Z,2025-10-10
PCAR,1d,2025-10-09T00:00:00,96.28,96.72,95.02,95.22,2101831.0,normal,2026-01-01T03:37:45.605931Z,2025-10-09
PCAR,1d,2025-10-08T00:00:00,96.7,97.45,95.63,95.73,2260600.0,normal,2026-01-01T03:37:45.605931Z,2025-10-08
PCAR,1d,2025-10-07T00:00:00,98.61,98.87,96.39,96.68,1514671.0,normal,2026-01-01T03:37:45.605931Z,2025-10-07
PCAR,1d,2025-10-06T00:00:00,98.16,99.58,97.3,98.52,3165629.0,normal,2026-01-01T03:37:45.605931Z,2025-10-06
PCAR,1d,2025-10-03T00:00:00,99.36,99.66,97.6,98.09,2299100.0,normal,2026-01-01T03:37:45.605931Z,2025-10-03
PCAR,1d,2025-10-02T00:00:00,97.6,100.24,97.11,99.08,2471735.0,normal,2026-01-01T03:37:45.605931Z,2025-10-02
PCAR,1d,2025-10-01T00:00:00,98.12,98.84,96.87,97.71,2276319.0,normal,2026-01-01T03:37:45.605931Z,2025-10-01
PCAR,1d,2025-09-30T00:00:00,99.71,99.93,98.11,98.32,2412644.0,normal,2026-01-01T03:37:45.605931Z,2025-09-30
PCAR,1d,2025-09-29T00:00:00,100.6,101.17,99.07,99.85,4309682.0,normal,2026-01-01T03:37:45.605931Z,2025-09-29
PCAR,1d,2025-09-26T00:00:00,99.92,102.3,99.1,100.5,5894222.0,normal,2026-01-01T03:37:45.605931Z,2025-09-26
PCAR,1d,2025-09-25T00:00:00,96.75,97.32,95.33,95.57,2481329.0,normal,2026-01-01T03:37:45.605931Z,2025-09-25
PCAR,1d,2025-09-24T00:00:00,97.77,98.43,96.74,96.89,2394132.0,normal,2026-01-01T03:37:45.605931Z,2025-09-24
PCAR,1d,2025-09-23T00:00:00,97.07,98.98,96.91,97.75,2396926.0,normal,2026-01-01T03:37:45.605931Z,2025-09-23
PCAR,1d,2025-09-22T00:00:00,99.14,99.14,97.03,97.07,2528816.0,normal,2026-01-01T03:37:45.605931Z,2025-09-22
PCAR,1d,2025-09-19T00:00:00,101.72,102.4,98.84,99.46,7590893.0,normal,2026-01-01T03:37:45.605931Z,2025-09-19
PCAR,1d,2025-09-18T00:00:00,100.48,101.97,99.5,101.42,3394700.0,normal,2026-01-01T03:37:45.605931Z,2025-09-18
PCAR,1d,2025-09-17T00:00:00,103.17,103.85,100.26,100.86,3991119.0,normal,2026-01-01T03:37:45.605931Z,2025-09-17
PCAR,1d,2025-09-16T00:00:00,102.18,103.22,101.84,102.86,2240215.0,normal,2026-01-01T03:37:45.605931Z,2025-09-16
PCAR,1d,2025-09-15T00:00:00,102.53,102.87,101.02,102.17,3092400.0,normal,2026-01-01T03:37:45.605931Z,2025-09-15
