ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
PEP,1d,2025-12-10T00:00:00,147.86,149.71,147.0,149.7,18368731.0,normal,2025-12-11T07:51:01.534197Z,2025-12-10
PEP,1d,2025-12-09T00:00:00,146.35,147.56,143.91,144.64,10035178.0,normal,2025-12-11T07:51:01.534197Z,2025-12-09
PEP,1d,2025-12-08T00:00:00,145.01,146.56,144.2,145.63,6327412.0,normal,2025-12-11T07:51:01.534197Z,2025-12-08
PEP,1d,2025-12-05T00:00:00,145.62,145.8,144.51,145.02,5971510.0,normal,2025-12-11T07:51:01.534197Z,2025-12-05
PEP,1d,2025-12-04T00:00:00,147.75,148.25,146.13,146.91,6803000.0,normal,2025-12-11T07:51:01.534197Z,2025-12-04
PEP,1d,2025-12-03T00:00:00,148.69,150.7,147.91,148.06,5109218.0,normal,2025-12-11T07:51:01.534197Z,2025-12-03
PEP,1d,2025-12-02T00:00:00,149.46,149.51,146.53,148.61,6830300.0,normal,2025-12-11T07:51:01.534197Z,2025-12-02
PEP,1d,2025-12-01T00:00:00,148.63,149.82,148.51,149.51,7623300.0,normal,2025-12-11T07:51:01.534197Z,2025-12-01
PEP,1d,2025-11-28T00:00:00,147.23,148.82,147.23,148.74,2969300.0,normal,2025-12-11T07:51:01.534197Z,2025-11-28
PEP,1d,2025-11-26T00:00:00,146.32,148.47,146.23,147.98,5180946.0,normal,2025-12-11T07:51:01.534197Z,2025-11-26
PEP,1d,2025-11-25T00:00:00,145.93,147.12,145.57,146.11,8954000.0,normal,2025-12-11T07:51:01.534197Z,2025-11-25
PEP,1d,2025-11-24T00:00:00,145.83,146.34,144.76,145.5,9391443.0,normal,2025-12-11T07:51:01.534197Z,2025-11-24
PEP,1d,2025-11-21T00:00:00,146.28,148.94,145.98,146.33,7911800.0,normal,2025-12-11T07:51:01.534197Z,2025-11-21
PEP,1d,2025-11-20T00:00:00,146.6,147.08,144.9,146.1,6878914.0,normal,2025-12-11T07:51:01.534197Z,2025-11-20
PEP,1d,2025-11-19T00:00:00,148.3,148.8,146.69,147.11,8123236.0,normal,2025-12-11T07:51:01.534197Z,2025-11-19
PEP,1d,2025-11-18T00:00:00,148.3,149.83,147.45,148.77,10821528.0,normal,2025-12-11T07:51:01.534197Z,2025-11-18
PEP,1d,2025-11-17T00:00:00,146.12,148.1,145.22,147.83,7320200.0,normal,2025-12-11T07:51:01.534197Z,2025-11-17
PEP,1d,2025-11-14T00:00:00,145.89,146.84,143.93,145.85,5770500.0,normal,2025-12-11T07:51:01.534197Z,2025-11-14
PEP,1d,2025-11-13T00:00:00,144.1,146.39,143.65,145.02,6663300.0,normal,2025-12-11T07:51:01.534197Z,2025-11-13
PEP,1d,2025-11-12T00:00:00,144.56,145.5,144.06,144.39,5790488.0,normal,2025-12-11T07:51:01.534197Z,2025-11-12
PEP,1d,2025-11-11T00:00:00,143.28,145.76,142.68,145.08,7683600.0,normal,2025-12-11T07:51:01.534197Z,2025-11-11
PEP,1d,2025-11-10T00:00:00,142.49,143.02,141.26,142.62,6617500.0,normal,2025-12-11T07:51:01.534197Z,2025-11-10
PEP,1d,2025-11-07T00:00:00,142.93,144.05,141.65,142.95,7592652.0,normal,2025-12-11T07:51:01.534197Z,2025-11-07
PEP,1d,2025-11-06T00:00:00,142.41,143.21,141.3,141.58,6449400.0,normal,2025-12-11T07:51:01.534197Z,2025-11-06
PEP,1d,2025-11-05T00:00:00,142.9,143.28,141.58,142.86,7136424.0,normal,2025-12-11T07:51:01.534197Z,2025-11-05
PEP,1d,2025-11-04T00:00:00,144.7,144.93,142.06,142.9,8302941.0,normal,2025-12-11T07:51:01.534197Z,2025-11-04
PEP,1d,2025-11-03T00:00:00,145.86,145.91,143.25,143.6,8331545.0,normal,2025-12-11T07:51:01.534197Z,2025-11-03
PEP,1d,2025-10-31T00:00:00,146.2,147.0,145.3,146.09,6313600.0,normal,2025-12-11T07:51:01.534197Z,2025-10-31
PEP,1d,2025-10-30T00:00:00,146.34,148.09,146.25,147.55,5752708.0,normal,2025-12-11T07:51:01.534197Z,2025-10-30
PEP,1d,2025-10-29T00:00:00,148.05,148.66,143.67,146.16,7767600.0,normal,2025-12-11T07:51:01.534197Z,2025-10-29
PEP,1d,2025-10-28T00:00:00,151.41,153.21,149.92,150.12,5626528.0,normal,2025-12-11T07:51:01.534197Z,2025-10-28
PEP,1d,2025-10-27T00:00:00,151.01,152.87,150.96,152.63,4744600.0,normal,2025-12-11T07:51:01.534197Z,2025-10-27
PEP,1d,2025-10-24T00:00:00,152.04,152.42,151.26,151.55,3580200.0,normal,2025-12-11T07:51:01.534197Z,2025-10-24
PEP,1d,2025-10-23T00:00:00,153.17,153.4,151.03,151.51,6091800.0,normal,2025-12-11T07:51:01.534197Z,2025-10-23
PEP,1d,2025-10-22T00:00:00,153.15,155.18,152.71,153.03,6486000.0,normal,2025-12-11T07:51:01.534197Z,2025-10-22
PEP,1d,2025-10-21T00:00:00,154.7,155.19,152.84,153.18,5614300.0,normal,2025-12-11T07:51:01.534197Z,2025-10-21
PEP,1d,2025-10-20T00:00:00,154.42,154.42,152.72,153.64,4810600.0,normal,2025-12-11T07:51:01.534197Z,2025-10-20
PEP,1d,2025-10-17T00:00:00,153.77,153.91,151.74,153.71,6710141.0,normal,2025-12-11T07:51:01.534197Z,2025-10-17
PEP,1d,2025-10-16T00:00:00,152.38,154.38,152.29,152.67,8532900.0,normal,2025-12-11T07:51:01.534197Z,2025-10-16
PEP,1d,2025-10-15T00:00:00,151.33,152.39,149.17,151.16,6101100.0,normal,2025-12-11T07:51:01.534197Z,2025-10-15
PEP,1d,2025-10-14T00:00:00,148.69,151.62,148.5,151.54,8371136.0,normal,2025-12-11T07:51:01.534197Z,2025-10-14
PEP,1d,2025-10-13T00:00:00,148.65,149.98,147.34,148.89,7272000.0,normal,2025-12-11T07:51:01.534197Z,2025-10-13
PEP,1d,2025-10-10T00:00:00,145.63,150.82,145.0,150.08,17545200.0,normal,2025-12-11T07:51:01.534197Z,2025-10-10
PEP,1d,2025-10-09T00:00:00,140.46,144.74,138.59,144.71,13706629.0,normal,2025-12-11T07:51:01.534197Z,2025-10-09
PEP,1d,2025-10-08T00:00:00,140.79,140.98,138.69,138.84,8256741.0,normal,2025-12-11T07:51:01.534197Z,2025-10-08
PEP,1d,2025-10-07T00:00:00,140.37,141.84,139.69,140.79,6110309.0,normal,2025-12-11T07:51:01.534197Z,2025-10-07
PEP,1d,2025-10-06T00:00:00,141.77,141.85,138.88,139.7,6750712.0,normal,2025-12-11T07:51:01.534197Z,2025-10-06
PEP,1d,2025-10-03T00:00:00,142.26,143.36,141.86,141.98,5425725.0,normal,2025-12-11T07:51:01.534197Z,2025-10-03
PEP,1d,2025-10-02T00:00:00,141.89,143.25,141.37,142.31,4497315.0,normal,2025-12-11T07:51:01.534197Z,2025-10-02
PEP,1d,2025-10-01T00:00:00,140.81,143.37,140.48,143.14,5880800.0,normal,2025-12-11T07:51:01.534197Z,2025-10-01
PEP,1d,2025-09-30T00:00:00,140.17,141.03,139.83,140.44,7583411.0,normal,2025-12-11T07:51:01.534197Z,2025-09-30
PEP,1d,2025-09-29T00:00:00,140.44,140.67,139.12,140.17,11930247.0,normal,2025-12-11T07:51:01.534197Z,2025-09-29
PEP,1d,2025-09-26T00:00:00,139.94,140.99,139.85,140.44,6224700.0,normal,2025-12-11T07:51:01.534197Z,2025-09-26
PEP,1d,2025-09-25T00:00:00,143.0,143.42,139.86,139.92,7101700.0,normal,2025-12-11T07:51:01.534197Z,2025-09-25
PEP,1d,2025-09-24T00:00:00,141.81,142.34,141.01,142.17,5949145.0,normal,2025-12-11T07:51:01.534197Z,2025-09-24
PEP,1d,2025-09-23T00:00:00,141.04,142.23,139.96,141.9,6356500.0,normal,2025-12-11T07:51:01.534197Z,2025-09-23
PEP,1d,2025-09-22T00:00:00,141.08,141.52,139.94,141.03,5797600.0,normal,2025-12-11T07:51:01.534197Z,2025-09-22
PEP,1d,2025-09-19T00:00:00,141.46,142.08,140.46,141.76,12365531.0,normal,2025-12-11T07:51:01.534197Z,2025-09-19
PEP,1d,2025-09-18T00:00:00,140.64,141.63,140.39,140.73,6106600.0,normal,2025-12-11T07:51:01.534197Z,2025-09-18
PEP,1d,2025-09-17T00:00:00,140.17,142.04,140.15,141.23,6092900.0,normal,2025-12-11T07:51:01.534197Z,2025-09-17
PEP,1d,2025-09-16T00:00:00,140.69,141.31,139.91,140.03,9283500.0,normal,2025-12-11T07:51:01.534197Z,2025-09-16
PEP,1d,2025-09-15T00:00:00,143.4,143.53,140.53,140.64,7279639.0,normal,2025-12-11T07:51:01.534197Z,2025-09-15
PEP,1d,2025-09-12T00:00:00,144.07,144.25,142.9,143.53,5714114.0,normal,2025-12-11T07:51:01.534197Z,2025-09-12
PEP,1d,2025-09-11T00:00:00,142.89,144.75,142.5,144.23,6144400.0,normal,2025-12-11T07:51:01.534197Z,2025-09-11
PEP,1d,2025-09-10T00:00:00,142.23,143.11,141.42,142.66,6015122.0,normal,2025-12-11T07:51:01.534197Z,2025-09-10
PEP,1d,2025-09-09T00:00:00,141.18,143.63,141.1,143.1,5866442.0,normal,2025-12-11T07:51:01.534197Z,2025-09-09
PEP,1d,2025-09-08T00:00:00,145.72,145.72,140.35,141.71,11127619.0,normal,2025-12-11T07:51:01.534197Z,2025-09-08
PEP,1d,2025-09-05T00:00:00,146.0,147.88,145.28,146.39,7186300.0,normal,2025-12-11T07:51:01.534197Z,2025-09-05
PEP,1d,2025-09-04T00:00:00,149.02,149.47,146.45,146.89,6342232.0,normal,2025-12-11T07:51:01.534197Z,2025-09-04
PEP,1d,2025-09-03T00:00:00,149.95,150.46,147.11,148.64,11259203.0,normal,2025-12-11T07:51:01.534197Z,2025-09-03
PEP,1d,2025-09-02T00:00:00,157.44,157.8,150.21,150.28,17348611.0,normal,2025-12-11T07:51:01.534197Z,2025-09-02
PEP,1d,2025-08-29T00:00:00,147.1,149.22,146.87,148.65,7760710.0,normal,2025-12-11T07:51:01.534197Z,2025-08-29
PEP,1d,2025-08-28T00:00:00,147.96,148.04,146.23,146.98,9265100.0,normal,2025-12-11T07:51:01.534197Z,2025-08-28
PEP,1d,2025-08-27T00:00:00,147.0,147.79,146.31,147.64,8092909.0,normal,2025-12-11T07:51:01.534197Z,2025-08-27
PEP,1d,2025-08-26T00:00:00,147.5,148.25,145.81,147.0,11208146.0,normal,2025-12-11T07:51:01.534197Z,2025-08-26
PEP,1d,2025-08-25T00:00:00,148.43,148.82,147.58,148.2,6624300.0,normal,2025-12-11T07:51:01.534197Z,2025-08-25
PEP,1d,2025-08-22T00:00:00,149.65,151.18,149.09,149.64,5218019.0,normal,2025-12-11T07:51:01.534197Z,2025-08-22
PEP,1d,2025-08-21T00:00:00,150.32,150.32,148.6,148.98,8153618.0,normal,2025-12-11T07:51:01.534197Z,2025-08-21
PEP,1d,2025-08-20T00:00:00,153.21,154.61,148.69,150.73,10023500.0,normal,2025-12-11T07:51:01.534197Z,2025-08-20
PEP,1d,2025-08-19T00:00:00,150.0,152.32,149.86,152.16,8596943.0,normal,2025-12-11T07:51:01.534197Z,2025-08-19
