ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
PLD,1d,2025-12-09T00:00:00,127.4,128.23,126.85,127.45,4358423.0,normal,2025-12-10T10:39:51.210323Z,2025-12-09
PLD,1d,2025-12-08T00:00:00,127.5,127.97,126.61,126.67,2927925.0,normal,2025-12-10T10:39:51.210323Z,2025-12-08
PLD,1d,2025-12-05T00:00:00,128.18,128.83,127.77,127.98,3242202.0,normal,2025-12-10T10:39:51.210323Z,2025-12-05
PLD,1d,2025-12-04T00:00:00,129.15,130.45,128.03,128.18,3902472.0,normal,2025-12-10T10:39:51.210323Z,2025-12-04
PLD,1d,2025-12-03T00:00:00,128.82,129.53,128.03,129.19,3294300.0,normal,2025-12-10T10:39:51.210323Z,2025-12-03
PLD,1d,2025-12-02T00:00:00,129.87,129.87,128.23,128.93,3458278.0,normal,2025-12-10T10:39:51.210323Z,2025-12-02
PLD,1d,2025-12-01T00:00:00,127.6,129.77,127.16,128.93,2706334.0,normal,2025-12-10T10:39:51.210323Z,2025-12-01
PLD,1d,2025-11-28T00:00:00,128.0,129.33,127.9,128.53,1343800.0,normal,2025-12-10T10:39:51.210323Z,2025-11-28
PLD,1d,2025-11-26T00:00:00,127.51,129.28,125.98,128.16,2183037.0,normal,2025-12-10T10:39:51.210323Z,2025-11-26
PLD,1d,2025-11-25T00:00:00,126.45,128.44,126.27,127.39,3158078.0,normal,2025-12-10T10:39:51.210323Z,2025-11-25
PLD,1d,2025-11-24T00:00:00,126.46,127.56,125.36,126.45,10057900.0,normal,2025-12-10T10:39:51.210323Z,2025-11-24
PLD,1d,2025-11-21T00:00:00,123.76,126.5,122.61,125.79,3709000.0,normal,2025-12-10T10:39:51.210323Z,2025-11-21
PLD,1d,2025-11-20T00:00:00,123.65,125.55,122.9,123.12,3087264.0,normal,2025-12-10T10:39:51.210323Z,2025-11-20
PLD,1d,2025-11-19T00:00:00,123.8,124.27,121.4,122.4,5119192.0,normal,2025-12-10T10:39:51.210323Z,2025-11-19
PLD,1d,2025-11-18T00:00:00,123.3,124.25,122.31,123.8,6382621.0,normal,2025-12-10T10:39:51.210323Z,2025-11-18
PLD,1d,2025-11-17T00:00:00,123.53,124.69,122.4,123.52,3111015.0,normal,2025-12-10T10:39:51.210323Z,2025-11-17
PLD,1d,2025-11-14T00:00:00,124.0,125.02,122.67,122.83,3651816.0,normal,2025-12-10T10:39:51.210323Z,2025-11-14
PLD,1d,2025-11-13T00:00:00,124.09,124.83,123.3,124.0,3761191.0,normal,2025-12-10T10:39:51.210323Z,2025-11-13
PLD,1d,2025-11-12T00:00:00,125.72,126.4,124.79,124.84,2687051.0,normal,2025-12-10T10:39:51.210323Z,2025-11-12
PLD,1d,2025-11-11T00:00:00,125.22,126.41,124.68,126.26,2068254.0,normal,2025-12-10T10:39:51.210323Z,2025-11-11
PLD,1d,2025-11-10T00:00:00,125.43,125.97,123.66,124.9,2101301.0,normal,2025-12-10T10:39:51.210323Z,2025-11-10
PLD,1d,2025-11-07T00:00:00,124.11,125.63,123.47,125.6,2322451.0,normal,2025-12-10T10:39:51.210323Z,2025-11-07
PLD,1d,2025-11-06T00:00:00,124.19,125.38,123.2,124.0,3575302.0,normal,2025-12-10T10:39:51.210323Z,2025-11-06
PLD,1d,2025-11-05T00:00:00,124.62,125.05,123.56,123.82,4179384.0,normal,2025-12-10T10:39:51.210323Z,2025-11-05
PLD,1d,2025-11-04T00:00:00,124.0,125.65,123.2,124.0,3087339.0,normal,2025-12-10T10:39:51.210323Z,2025-11-04
PLD,1d,2025-11-03T00:00:00,123.14,124.47,121.75,124.22,3336438.0,normal,2025-12-10T10:39:51.210323Z,2025-11-03
PLD,1d,2025-10-31T00:00:00,123.7,124.92,122.99,124.09,3892788.0,normal,2025-12-10T10:39:51.210323Z,2025-10-31
PLD,1d,2025-10-30T00:00:00,122.82,124.66,122.55,124.23,2367110.0,normal,2025-12-10T10:39:51.210323Z,2025-10-30
PLD,1d,2025-10-29T00:00:00,124.78,125.6,122.97,123.47,3329842.0,normal,2025-12-10T10:39:51.210323Z,2025-10-29
PLD,1d,2025-10-28T00:00:00,126.43,126.94,125.15,125.72,2922944.0,normal,2025-12-10T10:39:51.210323Z,2025-10-28
PLD,1d,2025-10-27T00:00:00,126.81,127.12,125.84,127.08,2941227.0,normal,2025-12-10T10:39:51.210323Z,2025-10-27
PLD,1d,2025-10-24T00:00:00,126.56,127.35,125.79,126.43,2965935.0,normal,2025-12-10T10:39:51.210323Z,2025-10-24
PLD,1d,2025-10-23T00:00:00,125.92,126.72,124.96,125.77,2647900.0,normal,2025-12-10T10:39:51.210323Z,2025-10-23
PLD,1d,2025-10-22T00:00:00,126.23,127.02,124.56,125.95,2727532.0,normal,2025-12-10T10:39:51.210323Z,2025-10-22
PLD,1d,2025-10-21T00:00:00,126.94,127.5,125.64,125.99,2975608.0,normal,2025-12-10T10:39:51.210323Z,2025-10-21
PLD,1d,2025-10-20T00:00:00,125.2,127.47,124.08,127.18,4181000.0,normal,2025-12-10T10:39:51.210323Z,2025-10-20
PLD,1d,2025-10-17T00:00:00,121.28,124.36,121.17,124.08,5377022.0,normal,2025-12-10T10:39:51.210323Z,2025-10-17
PLD,1d,2025-10-16T00:00:00,123.86,125.05,120.25,121.17,6320200.0,normal,2025-12-10T10:39:51.210323Z,2025-10-16
PLD,1d,2025-10-15T00:00:00,116.67,123.28,116.51,122.76,7999900.0,normal,2025-12-10T10:39:51.210323Z,2025-10-15
PLD,1d,2025-10-14T00:00:00,112.55,115.71,111.81,115.45,3150800.0,normal,2025-12-10T10:39:51.210323Z,2025-10-14
PLD,1d,2025-10-13T00:00:00,112.02,113.04,111.38,112.72,2624502.0,normal,2025-12-10T10:39:51.210323Z,2025-10-13
PLD,1d,2025-10-10T00:00:00,114.76,115.24,111.03,111.23,2924144.0,normal,2025-12-10T10:39:51.210323Z,2025-10-10
PLD,1d,2025-10-09T00:00:00,115.86,116.04,114.05,114.45,2276316.0,normal,2025-12-10T10:39:51.210323Z,2025-10-09
PLD,1d,2025-10-08T00:00:00,116.02,116.75,114.74,115.99,2324500.0,normal,2025-12-10T10:39:51.210323Z,2025-10-08
PLD,1d,2025-10-07T00:00:00,117.48,117.62,114.15,115.97,2969135.0,normal,2025-12-10T10:39:51.210323Z,2025-10-07
PLD,1d,2025-10-06T00:00:00,117.0,117.79,116.37,117.13,2540250.0,normal,2025-12-10T10:39:51.210323Z,2025-10-06
PLD,1d,2025-10-03T00:00:00,116.4,118.2,116.01,117.06,3136929.0,normal,2025-12-10T10:39:51.210323Z,2025-10-03
PLD,1d,2025-10-02T00:00:00,116.22,116.48,114.54,116.12,2935743.0,normal,2025-12-10T10:39:51.210323Z,2025-10-02
PLD,1d,2025-10-01T00:00:00,114.31,116.52,113.8,116.48,2980922.0,normal,2025-12-10T10:39:51.210323Z,2025-10-01
PLD,1d,2025-09-30T00:00:00,114.22,114.54,113.11,114.52,3617407.0,normal,2025-12-10T10:39:51.210323Z,2025-09-30
PLD,1d,2025-09-29T00:00:00,114.6,114.87,113.62,114.24,2470930.0,normal,2025-12-10T10:39:51.210323Z,2025-09-29
PLD,1d,2025-09-26T00:00:00,113.46,114.6,112.85,114.19,3021604.0,normal,2025-12-10T10:39:51.210323Z,2025-09-26
PLD,1d,2025-09-25T00:00:00,112.92,113.76,112.6,113.21,2596444.0,normal,2025-12-10T10:39:51.210323Z,2025-09-25
