ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
PNC,1d,2025-12-09T00:00:00,197.96,203.45,197.18,202.15,2475900.0,normal,2025-12-10T10:44:50.432335Z,2025-12-09
PNC,1d,2025-12-08T00:00:00,198.13,199.64,196.32,197.65,2245200.0,normal,2025-12-10T10:44:50.432335Z,2025-12-08
PNC,1d,2025-12-05T00:00:00,197.34,199.06,196.44,197.86,1367360.0,normal,2025-12-10T10:44:50.432335Z,2025-12-05
PNC,1d,2025-12-04T00:00:00,198.0,199.56,197.77,198.27,1939348.0,normal,2025-12-10T10:44:50.432335Z,2025-12-04
PNC,1d,2025-12-03T00:00:00,192.62,198.16,192.0,198.0,1843487.0,normal,2025-12-10T10:44:50.432335Z,2025-12-03
PNC,1d,2025-12-02T00:00:00,192.49,193.45,191.37,192.05,1306038.0,normal,2025-12-10T10:44:50.432335Z,2025-12-02
PNC,1d,2025-12-01T00:00:00,190.38,193.85,190.01,192.4,1393801.0,normal,2025-12-10T10:44:50.432335Z,2025-12-01
PNC,1d,2025-11-28T00:00:00,191.73,192.6,190.66,190.72,887337.0,normal,2025-12-10T10:44:50.432335Z,2025-11-28
PNC,1d,2025-11-26T00:00:00,192.34,194.09,191.82,191.88,1516900.0,normal,2025-12-10T10:44:50.432335Z,2025-11-26
PNC,1d,2025-11-25T00:00:00,190.0,193.83,188.5,192.59,1889640.0,normal,2025-12-10T10:44:50.432335Z,2025-11-25
PNC,1d,2025-11-24T00:00:00,186.64,189.45,185.47,188.52,3428945.0,normal,2025-12-10T10:44:50.432335Z,2025-11-24
PNC,1d,2025-11-21T00:00:00,184.05,189.34,183.9,186.99,2391029.0,normal,2025-12-10T10:44:50.432335Z,2025-11-21
PNC,1d,2025-11-20T00:00:00,184.6,187.22,182.92,183.54,2710318.0,normal,2025-12-10T10:44:50.432335Z,2025-11-20
PNC,1d,2025-11-19T00:00:00,180.36,183.4,180.0,182.97,2181800.0,normal,2025-12-10T10:44:50.432335Z,2025-11-19
PNC,1d,2025-11-18T00:00:00,178.48,181.73,177.08,180.08,1929049.0,normal,2025-12-10T10:44:50.432335Z,2025-11-18
PNC,1d,2025-11-17T00:00:00,183.38,183.82,178.37,179.04,2313200.0,normal,2025-12-10T10:44:50.432335Z,2025-11-17
PNC,1d,2025-11-14T00:00:00,183.84,184.85,181.72,183.99,1958020.0,normal,2025-12-10T10:44:50.432335Z,2025-11-14
PNC,1d,2025-11-13T00:00:00,186.6,187.08,183.59,183.99,1098031.0,normal,2025-12-10T10:44:50.432335Z,2025-11-13
PNC,1d,2025-11-12T00:00:00,185.24,188.08,184.95,186.91,1989836.0,normal,2025-12-10T10:44:50.432335Z,2025-11-12
PNC,1d,2025-11-11T00:00:00,185.99,186.36,184.43,184.82,1140000.0,normal,2025-12-10T10:44:50.432335Z,2025-11-11
PNC,1d,2025-11-10T00:00:00,184.27,186.03,183.0,185.09,1399501.0,normal,2025-12-10T10:44:50.432335Z,2025-11-10
PNC,1d,2025-11-07T00:00:00,181.99,184.23,180.48,184.2,1390100.0,normal,2025-12-10T10:44:50.432335Z,2025-11-07
PNC,1d,2025-11-06T00:00:00,183.22,185.0,182.18,182.92,1301510.0,normal,2025-12-10T10:44:50.432335Z,2025-11-06
PNC,1d,2025-11-05T00:00:00,183.06,185.29,181.51,184.15,1800969.0,normal,2025-12-10T10:44:50.432335Z,2025-11-05
PNC,1d,2025-11-04T00:00:00,181.63,184.78,180.66,182.95,1658832.0,normal,2025-12-10T10:44:50.432335Z,2025-11-04
PNC,1d,2025-11-03T00:00:00,181.89,182.79,179.82,182.74,2035700.0,normal,2025-12-10T10:44:50.432335Z,2025-11-03
PNC,1d,2025-10-31T00:00:00,181.01,183.21,180.4,182.55,1554566.0,normal,2025-12-10T10:44:50.432335Z,2025-10-31
PNC,1d,2025-10-30T00:00:00,181.33,185.09,180.37,182.32,1959904.0,normal,2025-12-10T10:44:50.432335Z,2025-10-30
PNC,1d,2025-10-29T00:00:00,181.32,183.59,180.03,181.02,2592955.0,normal,2025-12-10T10:44:50.432335Z,2025-10-29
