ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
PPG,1d,2025-12-09T00:00:00,100.36,100.99,99.25,99.43,1586115.0,normal,2025-12-10T10:50:18.096198Z,2025-12-09
PPG,1d,2025-12-08T00:00:00,100.84,101.38,100.29,100.37,2161800.0,normal,2025-12-10T10:50:18.096198Z,2025-12-08
PPG,1d,2025-12-05T00:00:00,101.31,102.08,100.76,101.03,2474700.0,normal,2025-12-10T10:50:18.096198Z,2025-12-05
PPG,1d,2025-12-04T00:00:00,101.48,102.0,100.33,100.67,1989528.0,normal,2025-12-10T10:50:18.096198Z,2025-12-04
PPG,1d,2025-12-03T00:00:00,100.5,101.7,100.04,101.34,1720300.0,normal,2025-12-10T10:50:18.096198Z,2025-12-03
PPG,1d,2025-12-02T00:00:00,100.31,100.6,99.0,100.25,1771042.0,normal,2025-12-10T10:50:18.096198Z,2025-12-02
PPG,1d,2025-12-01T00:00:00,99.3,101.75,98.55,99.86,2271312.0,normal,2025-12-10T10:50:18.096198Z,2025-12-01
PPG,1d,2025-11-28T00:00:00,100.18,100.82,99.96,100.04,689823.0,normal,2025-12-10T10:50:18.096198Z,2025-11-28
PPG,1d,2025-11-26T00:00:00,99.37,100.75,99.25,99.89,1400124.0,normal,2025-12-10T10:50:18.096198Z,2025-11-26
PPG,1d,2025-11-25T00:00:00,98.12,100.17,97.71,99.6,2859100.0,normal,2025-12-10T10:50:18.096198Z,2025-11-25
PPG,1d,2025-11-24T00:00:00,98.41,98.71,96.83,97.16,3013400.0,normal,2025-12-10T10:50:18.096198Z,2025-11-24
PPG,1d,2025-11-21T00:00:00,96.42,100.8,95.91,98.7,3808100.0,normal,2025-12-10T10:50:18.096198Z,2025-11-21
PPG,1d,2025-11-20T00:00:00,95.52,96.0,94.46,95.2,2297840.0,normal,2025-12-10T10:50:18.096198Z,2025-11-20
PPG,1d,2025-11-19T00:00:00,94.94,95.56,93.39,94.34,2350048.0,normal,2025-12-10T10:50:18.096198Z,2025-11-19
PPG,1d,2025-11-18T00:00:00,95.0,95.28,93.73,94.82,3052700.0,normal,2025-12-10T10:50:18.096198Z,2025-11-18
PPG,1d,2025-11-17T00:00:00,96.72,97.11,95.26,95.36,2168246.0,normal,2025-12-10T10:50:18.096198Z,2025-11-17
PPG,1d,2025-11-14T00:00:00,97.45,97.77,96.58,97.03,1601100.0,normal,2025-12-10T10:50:18.096198Z,2025-11-14
PPG,1d,2025-11-13T00:00:00,97.62,98.77,97.62,98.11,1809138.0,normal,2025-12-10T10:50:18.096198Z,2025-11-13
PPG,1d,2025-11-12T00:00:00,96.25,98.03,96.0,97.49,1565105.0,normal,2025-12-10T10:50:18.096198Z,2025-11-12
PPG,1d,2025-11-11T00:00:00,95.99,96.25,95.25,95.91,1057127.0,normal,2025-12-10T10:50:18.096198Z,2025-11-11
PPG,1d,2025-11-10T00:00:00,95.73,96.22,94.34,95.93,1699910.0,normal,2025-12-10T10:50:18.096198Z,2025-11-10
PPG,1d,2025-11-07T00:00:00,95.11,96.51,94.89,96.25,1847200.0,normal,2025-12-10T10:50:18.096198Z,2025-11-07
PPG,1d,2025-11-06T00:00:00,96.25,97.0,95.11,95.17,3974535.0,normal,2025-12-10T10:50:18.096198Z,2025-11-06
PPG,1d,2025-11-05T00:00:00,94.52,96.55,94.06,96.25,2602500.0,normal,2025-12-10T10:50:18.096198Z,2025-11-05
PPG,1d,2025-11-04T00:00:00,94.33,95.02,93.74,94.92,2327400.0,normal,2025-12-10T10:50:18.096198Z,2025-11-04
PPG,1d,2025-11-03T00:00:00,96.67,97.57,94.32,94.96,2955400.0,normal,2025-12-10T10:50:18.096198Z,2025-11-03
PPG,1d,2025-10-31T00:00:00,96.94,98.17,96.5,97.75,3132500.0,normal,2025-12-10T10:50:18.096198Z,2025-10-31
PPG,1d,2025-10-30T00:00:00,98.0,100.79,97.18,97.45,2748962.0,normal,2025-12-10T10:50:18.096198Z,2025-10-30
PPG,1d,2025-10-29T00:00:00,103.95,104.0,99.04,99.13,3446514.0,normal,2025-12-10T10:50:18.096198Z,2025-10-29
PPG,1d,2025-10-28T00:00:00,106.09,106.71,104.95,105.31,2967211.0,normal,2025-12-10T10:50:18.096198Z,2025-10-28
PPG,1d,2025-10-27T00:00:00,104.0,105.78,103.55,105.45,2210000.0,normal,2025-12-10T10:50:18.096198Z,2025-10-27
PPG,1d,2025-10-24T00:00:00,104.43,104.6,103.08,103.5,1228400.0,normal,2025-12-10T10:50:18.096198Z,2025-10-24
PPG,1d,2025-10-23T00:00:00,102.87,103.62,101.88,103.5,1265300.0,normal,2025-12-10T10:50:18.096198Z,2025-10-23
PPG,1d,2025-10-22T00:00:00,103.63,104.29,102.0,102.16,1443741.0,normal,2025-12-10T10:50:18.096198Z,2025-10-22
PPG,1d,2025-10-21T00:00:00,102.17,104.84,101.9,104.38,1790722.0,normal,2025-12-10T10:50:18.096198Z,2025-10-21
PPG,1d,2025-10-20T00:00:00,102.0,102.54,101.53,102.17,1033614.0,normal,2025-12-10T10:50:18.096198Z,2025-10-20
PPG,1d,2025-10-17T00:00:00,101.02,101.76,100.24,101.57,1196000.0,normal,2025-12-10T10:50:18.096198Z,2025-10-17
PPG,1d,2025-10-16T00:00:00,101.51,101.84,100.04,101.01,1859007.0,normal,2025-12-10T10:50:18.096198Z,2025-10-16
PPG,1d,2025-10-15T00:00:00,100.68,101.36,98.86,99.56,1517800.0,normal,2025-12-10T10:50:18.096198Z,2025-10-15
PPG,1d,2025-10-14T00:00:00,98.0,101.34,97.99,100.5,1362500.0,normal,2025-12-10T10:50:18.096198Z,2025-10-14
PPG,1d,2025-10-13T00:00:00,99.24,99.89,98.16,98.86,1420800.0,normal,2025-12-10T10:50:18.096198Z,2025-10-13
PPG,1d,2025-10-10T00:00:00,100.47,101.79,98.44,98.48,1772700.0,normal,2025-12-10T10:50:18.096198Z,2025-10-10
PPG,1d,2025-10-09T00:00:00,101.85,102.04,99.49,99.6,1650616.0,normal,2025-12-10T10:50:18.096198Z,2025-10-09
PPG,1d,2025-10-08T00:00:00,101.89,102.05,101.0,101.59,1519027.0,normal,2025-12-10T10:50:18.096198Z,2025-10-08
PPG,1d,2025-10-07T00:00:00,103.99,104.27,101.51,101.7,1412518.0,normal,2025-12-10T10:50:18.096198Z,2025-10-07
PPG,1d,2025-10-06T00:00:00,105.13,105.13,103.51,103.52,1466612.0,normal,2025-12-10T10:50:18.096198Z,2025-10-06
PPG,1d,2025-10-03T00:00:00,104.35,105.38,104.01,104.43,1160214.0,normal,2025-12-10T10:50:18.096198Z,2025-10-03
PPG,1d,2025-10-02T00:00:00,103.98,105.32,103.74,104.52,1333554.0,normal,2025-12-10T10:50:18.096198Z,2025-10-02
PPG,1d,2025-10-01T00:00:00,104.96,105.51,103.71,104.09,1588900.0,normal,2025-12-10T10:50:18.096198Z,2025-10-01
PPG,1d,2025-09-30T00:00:00,104.15,105.2,103.52,105.11,1723300.0,normal,2025-12-10T10:50:18.096198Z,2025-09-30
PPG,1d,2025-09-29T00:00:00,104.44,105.28,102.9,104.02,2244900.0,normal,2025-12-10T10:50:18.096198Z,2025-09-29
PPG,1d,2025-09-26T00:00:00,104.58,105.02,103.29,103.65,1859013.0,normal,2025-12-10T10:50:18.096198Z,2025-09-26
PPG,1d,2025-09-25T00:00:00,105.26,105.44,103.64,103.92,1955057.0,normal,2025-12-10T10:50:18.096198Z,2025-09-25
PPG,1d,2025-09-24T00:00:00,105.33,106.63,105.04,105.48,1686816.0,normal,2025-12-10T10:50:18.096198Z,2025-09-24
PPG,1d,2025-09-23T00:00:00,109.36,109.72,105.71,106.24,2150600.0,normal,2025-12-10T10:50:18.096198Z,2025-09-23
PPG,1d,2025-09-22T00:00:00,108.66,109.83,107.85,109.49,2348926.0,normal,2025-12-10T10:50:18.096198Z,2025-09-22
PPG,1d,2025-09-19T00:00:00,110.38,110.48,108.31,109.42,3617802.0,normal,2025-12-10T10:50:18.096198Z,2025-09-19
PPG,1d,2025-09-18T00:00:00,108.46,109.26,107.99,109.02,1715200.0,normal,2025-12-10T10:50:18.096198Z,2025-09-18
PPG,1d,2025-09-17T00:00:00,108.88,111.58,107.62,108.1,1492830.0,normal,2025-12-10T10:50:18.096198Z,2025-09-17
PPG,1d,2025-09-16T00:00:00,109.42,109.91,107.92,108.36,1220500.0,normal,2025-12-10T10:50:18.096198Z,2025-09-16
PPG,1d,2025-09-15T00:00:00,111.33,111.47,109.11,109.45,1281541.0,normal,2025-12-10T10:50:18.096198Z,2025-09-15
PPG,1d,2025-09-12T00:00:00,111.13,111.8,110.36,110.72,1552318.0,normal,2025-12-10T10:50:18.096198Z,2025-09-12
PPG,1d,2025-09-11T00:00:00,109.08,112.15,109.0,111.83,1505903.0,normal,2025-12-10T10:50:18.096198Z,2025-09-11
PPG,1d,2025-09-10T00:00:00,108.44,109.56,108.19,108.78,1423600.0,normal,2025-12-10T10:50:18.096198Z,2025-09-10
PPG,1d,2025-09-09T00:00:00,110.7,110.77,108.76,109.38,2041002.0,normal,2025-12-10T10:50:18.096198Z,2025-09-09
PPG,1d,2025-09-08T00:00:00,109.65,111.6,108.35,111.53,3265000.0,normal,2025-12-10T10:50:18.096198Z,2025-09-08
PPG,1d,2025-09-05T00:00:00,110.43,112.01,109.11,109.98,2222300.0,normal,2025-12-10T10:50:18.096198Z,2025-09-05
PPG,1d,2025-09-04T00:00:00,109.77,109.86,108.46,109.64,1642900.0,normal,2025-12-10T10:50:18.096198Z,2025-09-04
PPG,1d,2025-09-03T00:00:00,109.32,109.97,108.61,109.19,1161011.0,normal,2025-12-10T10:50:18.096198Z,2025-09-03
PPG,1d,2025-09-02T00:00:00,109.24,109.91,108.83,109.59,1788100.0,normal,2025-12-10T10:50:18.096198Z,2025-09-02
PPG,1d,2025-08-29T00:00:00,111.42,112.08,110.85,111.23,906817.0,normal,2025-12-10T10:50:18.096198Z,2025-08-29
PPG,1d,2025-08-28T00:00:00,112.55,112.59,110.48,111.22,1278201.0,normal,2025-12-10T10:50:18.096198Z,2025-08-28
PPG,1d,2025-08-27T00:00:00,112.28,113.37,111.83,112.13,796330.0,normal,2025-12-10T10:50:18.096198Z,2025-08-27
PPG,1d,2025-08-26T00:00:00,112.0,113.05,111.79,112.57,1566049.0,normal,2025-12-10T10:50:18.096198Z,2025-08-26
PPG,1d,2025-08-25T00:00:00,113.66,113.88,111.99,112.14,1161618.0,normal,2025-12-10T10:50:18.096198Z,2025-08-25
PPG,1d,2025-08-22T00:00:00,112.16,115.5,111.76,114.27,1594300.0,normal,2025-12-10T10:50:18.096198Z,2025-08-22
PPG,1d,2025-08-21T00:00:00,111.19,112.07,110.77,111.57,1214300.0,normal,2025-12-10T10:50:18.096198Z,2025-08-21
PPG,1d,2025-08-20T00:00:00,112.48,113.35,111.66,112.06,1091509.0,normal,2025-12-10T10:50:18.096198Z,2025-08-20
PPG,1d,2025-08-19T00:00:00,111.52,113.84,111.25,112.86,1355265.0,normal,2025-12-10T10:50:18.096198Z,2025-08-19
PPG,1d,2025-08-18T00:00:00,111.79,111.96,110.86,110.97,1335300.0,normal,2025-12-10T10:50:18.096198Z,2025-08-18
PPG,1d,2025-08-15T00:00:00,112.49,112.55,111.16,111.8,1400251.0,normal,2025-12-10T10:50:18.096198Z,2025-08-15
PPG,1d,2025-08-14T00:00:00,110.87,112.07,110.4,111.95,1270064.0,normal,2025-12-10T10:50:18.096198Z,2025-08-14
PPG,1d,2025-08-13T00:00:00,108.93,112.63,108.76,112.62,2048700.0,normal,2025-12-10T10:50:18.096198Z,2025-08-13
PPG,1d,2025-08-12T00:00:00,107.02,109.56,106.5,108.75,1455400.0,normal,2025-12-10T10:50:18.096198Z,2025-08-12
PPG,1d,2025-08-11T00:00:00,106.76,107.2,105.85,106.52,1838148.0,normal,2025-12-10T10:50:18.096198Z,2025-08-11
PPG,1d,2025-08-08T00:00:00,106.14,107.44,105.58,106.95,1207003.0,normal,2025-12-10T10:50:18.096198Z,2025-08-08
PPG,1d,2025-08-07T00:00:00,107.58,108.07,105.79,106.12,1865748.0,normal,2025-12-10T10:50:18.096198Z,2025-08-07
PPG,1d,2025-08-06T00:00:00,106.71,106.71,104.56,105.68,2502201.0,normal,2025-12-10T10:50:18.096198Z,2025-08-06
PPG,1d,2025-08-05T00:00:00,105.95,106.73,105.09,106.02,1398009.0,normal,2025-12-10T10:50:18.096198Z,2025-08-05
PPG,1d,2025-08-04T00:00:00,104.9,105.72,104.55,105.0,2560100.0,normal,2025-12-10T10:50:18.096198Z,2025-08-04
PPG,1d,2025-08-01T00:00:00,104.14,104.71,102.78,104.44,1989158.0,normal,2025-12-10T10:50:18.096198Z,2025-08-01
PPG,1d,2025-07-31T00:00:00,105.36,107.5,105.18,105.5,3895828.0,normal,2025-12-10T10:50:18.096198Z,2025-07-31
PPG,1d,2025-07-30T00:00:00,110.0,110.07,105.3,106.25,6555223.0,normal,2025-12-10T10:50:18.096198Z,2025-07-30
PPG,1d,2025-07-29T00:00:00,114.14,115.08,112.09,112.23,2255900.0,normal,2025-12-10T10:50:18.096198Z,2025-07-29
