ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
PPL,1d,2025-12-10T00:00:00,33.62,33.78,33.17,33.26,6057413.0,normal,2025-12-11T07:49:34.050242Z,2025-12-10
PPL,1d,2025-12-09T00:00:00,34.16,34.24,33.8,33.8,7503500.0,normal,2025-12-11T07:49:34.050242Z,2025-12-09
PPL,1d,2025-12-08T00:00:00,33.84,34.1,33.74,33.93,7739900.0,normal,2025-12-11T07:49:34.050242Z,2025-12-08
PPL,1d,2025-12-05T00:00:00,34.1,34.29,33.78,33.86,9133834.0,normal,2025-12-11T07:49:34.050242Z,2025-12-05
PPL,1d,2025-12-04T00:00:00,34.73,34.91,34.04,34.16,9998500.0,normal,2025-12-11T07:49:34.050242Z,2025-12-04
PPL,1d,2025-12-03T00:00:00,35.37,35.38,34.59,34.81,10193335.0,normal,2025-12-11T07:49:34.050242Z,2025-12-03
PPL,1d,2025-12-02T00:00:00,35.85,35.94,35.14,35.22,7083748.0,normal,2025-12-11T07:49:34.050242Z,2025-12-02
PPL,1d,2025-12-01T00:00:00,36.62,36.74,35.78,35.8,5387017.0,normal,2025-12-11T07:49:34.050242Z,2025-12-01
PPL,1d,2025-11-28T00:00:00,36.69,36.94,36.68,36.9,1638100.0,normal,2025-12-11T07:49:34.050242Z,2025-11-28
PPL,1d,2025-11-26T00:00:00,36.55,36.78,36.45,36.71,5127100.0,normal,2025-12-11T07:49:34.050242Z,2025-11-26
PPL,1d,2025-11-25T00:00:00,36.5,36.67,36.1,36.41,8341700.0,normal,2025-12-11T07:49:34.050242Z,2025-11-25
PPL,1d,2025-11-24T00:00:00,36.1,36.53,35.8,36.48,7658245.0,normal,2025-12-11T07:49:34.050242Z,2025-11-24
PPL,1d,2025-11-21T00:00:00,35.7,36.17,35.56,36.12,8228028.0,normal,2025-12-11T07:49:34.050242Z,2025-11-21
PPL,1d,2025-11-20T00:00:00,35.51,35.68,35.12,35.54,21880708.0,normal,2025-12-11T07:49:34.050242Z,2025-11-20
PPL,1d,2025-11-19T00:00:00,36.25,36.37,35.5,35.55,12889415.0,normal,2025-12-11T07:49:34.050242Z,2025-11-19
PPL,1d,2025-11-18T00:00:00,36.92,37.0,36.47,36.49,6930150.0,normal,2025-12-11T07:49:34.050242Z,2025-11-18
PPL,1d,2025-11-17T00:00:00,36.92,37.04,36.72,36.8,5757500.0,normal,2025-12-11T07:49:34.050242Z,2025-11-17
PPL,1d,2025-11-14T00:00:00,36.57,36.85,36.35,36.76,4538300.0,normal,2025-12-11T07:49:34.050242Z,2025-11-14
PPL,1d,2025-11-13T00:00:00,36.74,36.83,36.19,36.55,6194808.0,normal,2025-12-11T07:49:34.050242Z,2025-11-13
PPL,1d,2025-11-12T00:00:00,36.97,37.03,36.77,36.88,4527022.0,normal,2025-12-11T07:49:34.050242Z,2025-11-12
PPL,1d,2025-11-11T00:00:00,36.95,37.03,36.72,36.86,4820511.0,normal,2025-12-11T07:49:34.050242Z,2025-11-11
PPL,1d,2025-11-10T00:00:00,36.52,36.9,36.3,36.84,3605800.0,normal,2025-12-11T07:49:34.050242Z,2025-11-10
PPL,1d,2025-11-07T00:00:00,36.57,36.74,36.35,36.58,4770543.0,normal,2025-12-11T07:49:34.050242Z,2025-11-07
PPL,1d,2025-11-06T00:00:00,36.52,36.99,36.49,36.5,4855835.0,normal,2025-12-11T07:49:34.050242Z,2025-11-06
PPL,1d,2025-11-05T00:00:00,36.77,37.0,36.02,36.37,7226447.0,normal,2025-12-11T07:49:34.050242Z,2025-11-05
PPL,1d,2025-11-04T00:00:00,36.52,36.56,36.11,36.25,9326943.0,normal,2025-12-11T07:49:34.050242Z,2025-11-04
PPL,1d,2025-11-03T00:00:00,36.4,36.45,35.82,36.41,4870064.0,normal,2025-12-11T07:49:34.050242Z,2025-11-03
PPL,1d,2025-10-31T00:00:00,36.66,36.72,36.39,36.52,3599515.0,normal,2025-12-11T07:49:34.050242Z,2025-10-31
