ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
PTC,1d,2025-12-15T00:00:00,177.34,177.34,173.86,175.07,1558600.0,normal,2026-01-01T03:37:03.346206Z,2025-12-15
PTC,1d,2025-12-12T00:00:00,179.0,179.0,175.0,176.0,1177414.0,normal,2026-01-01T03:37:03.346206Z,2025-12-12
PTC,1d,2025-12-11T00:00:00,175.26,180.66,173.83,178.0,848126.0,normal,2026-01-01T03:37:03.346206Z,2025-12-11
PTC,1d,2025-12-10T00:00:00,173.1,176.23,172.61,175.66,666226.0,normal,2026-01-01T03:37:03.346206Z,2025-12-10
PTC,1d,2025-12-09T00:00:00,174.1,175.0,172.4,173.17,915100.0,normal,2026-01-01T03:37:03.346206Z,2025-12-09
PTC,1d,2025-12-08T00:00:00,173.87,175.78,173.3,174.41,763148.0,normal,2026-01-01T03:37:03.346206Z,2025-12-08
PTC,1d,2025-12-05T00:00:00,176.02,176.55,171.31,173.52,1367300.0,normal,2026-01-01T03:37:03.346206Z,2025-12-05
PTC,1d,2025-12-04T00:00:00,177.77,179.32,176.86,178.5,753528.0,normal,2026-01-01T03:37:03.346206Z,2025-12-04
PTC,1d,2025-12-03T00:00:00,176.01,177.74,175.1,177.37,507800.0,normal,2026-01-01T03:37:03.346206Z,2025-12-03
PTC,1d,2025-12-02T00:00:00,175.52,177.71,174.63,176.48,626700.0,normal,2026-01-01T03:37:03.346206Z,2025-12-02
PTC,1d,2025-12-01T00:00:00,173.57,177.38,173.14,174.88,831700.0,normal,2026-01-01T03:37:03.346206Z,2025-12-01
PTC,1d,2025-11-28T00:00:00,173.46,176.61,172.65,175.43,479409.0,normal,2026-01-01T03:37:03.346206Z,2025-11-28
PTC,1d,2025-11-26T00:00:00,174.25,174.38,172.85,173.46,739200.0,normal,2026-01-01T03:37:03.346206Z,2025-11-26
PTC,1d,2025-11-25T00:00:00,170.99,174.13,170.01,173.44,761300.0,normal,2026-01-01T03:37:03.346206Z,2025-11-25
PTC,1d,2025-11-24T00:00:00,173.26,173.26,169.39,170.16,1595825.0,normal,2026-01-01T03:37:03.346206Z,2025-11-24
PTC,1d,2025-11-21T00:00:00,170.5,174.17,169.76,172.12,865500.0,normal,2026-01-01T03:37:03.346206Z,2025-11-21
PTC,1d,2025-11-20T00:00:00,174.84,175.48,170.01,170.43,770976.0,normal,2026-01-01T03:37:03.346206Z,2025-11-20
PTC,1d,2025-11-19T00:00:00,172.56,173.41,170.52,171.94,701042.0,normal,2026-01-01T03:37:03.346206Z,2025-11-19
PTC,1d,2025-11-18T00:00:00,174.21,175.66,172.1,173.07,927635.0,normal,2026-01-01T03:37:03.346206Z,2025-11-18
PTC,1d,2025-11-17T00:00:00,179.01,179.01,173.63,174.21,847726.0,normal,2026-01-01T03:37:03.346206Z,2025-11-17
PTC,1d,2025-11-14T00:00:00,174.0,180.19,173.95,179.61,1406403.0,normal,2026-01-01T03:37:03.346206Z,2025-11-14
PTC,1d,2025-11-13T00:00:00,177.01,179.22,174.16,174.57,1113040.0,normal,2026-01-01T03:37:03.346206Z,2025-11-13
PTC,1d,2025-11-12T00:00:00,177.97,180.17,177.43,178.16,1038700.0,normal,2026-01-01T03:37:03.346206Z,2025-11-12
PTC,1d,2025-11-11T00:00:00,177.27,179.42,176.4,178.0,995342.0,normal,2026-01-01T03:37:03.346206Z,2025-11-11
PTC,1d,2025-11-10T00:00:00,177.21,178.68,175.21,177.49,719700.0,normal,2026-01-01T03:37:03.346206Z,2025-11-10
PTC,1d,2025-11-07T00:00:00,173.21,176.77,172.03,176.11,1198208.0,normal,2026-01-01T03:37:03.346206Z,2025-11-07
PTC,1d,2025-11-06T00:00:00,184.83,184.96,170.97,173.93,2327600.0,normal,2026-01-01T03:37:03.346206Z,2025-11-06
PTC,1d,2025-11-05T00:00:00,192.07,192.32,188.67,189.97,1390404.0,normal,2026-01-01T03:37:03.346206Z,2025-11-05
PTC,1d,2025-11-04T00:00:00,195.02,195.36,190.05,192.03,1117200.0,normal,2026-01-01T03:37:03.346206Z,2025-11-04
PTC,1d,2025-11-03T00:00:00,198.56,198.76,194.7,196.36,1251300.0,normal,2026-01-01T03:37:03.346206Z,2025-11-03
PTC,1d,2025-10-31T00:00:00,197.86,199.51,196.95,198.54,882825.0,normal,2026-01-01T03:37:03.346206Z,2025-10-31
PTC,1d,2025-10-30T00:00:00,196.78,200.13,196.03,197.38,770621.0,normal,2026-01-01T03:37:03.346206Z,2025-10-30
PTC,1d,2025-10-29T00:00:00,201.49,201.92,197.52,197.86,540013.0,normal,2026-01-01T03:37:03.346206Z,2025-10-29
PTC,1d,2025-10-28T00:00:00,203.26,203.91,201.86,202.46,546217.0,normal,2026-01-01T03:37:03.346206Z,2025-10-28
PTC,1d,2025-10-27T00:00:00,206.49,206.67,202.96,203.28,593815.0,normal,2026-01-01T03:37:03.346206Z,2025-10-27
PTC,1d,2025-10-24T00:00:00,206.15,206.57,204.61,204.81,534074.0,normal,2026-01-01T03:37:03.346206Z,2025-10-24
PTC,1d,2025-10-23T00:00:00,204.1,204.86,202.88,204.67,638618.0,normal,2026-01-01T03:37:03.346206Z,2025-10-23
PTC,1d,2025-10-22T00:00:00,205.83,205.83,202.14,203.03,628597.0,normal,2026-01-01T03:37:03.346206Z,2025-10-22
PTC,1d,2025-10-21T00:00:00,204.84,206.82,203.59,204.55,623700.0,normal,2026-01-01T03:37:03.346206Z,2025-10-21
PTC,1d,2025-10-20T00:00:00,204.68,206.78,201.89,205.87,667500.0,normal,2026-01-01T03:37:03.346206Z,2025-10-20
PTC,1d,2025-10-17T00:00:00,201.85,203.92,201.49,202.86,673136.0,normal,2026-01-01T03:37:03.346206Z,2025-10-17
PTC,1d,2025-10-16T00:00:00,203.61,203.63,200.09,201.99,589989.0,normal,2026-01-01T03:37:03.346206Z,2025-10-16
PTC,1d,2025-10-15T00:00:00,202.82,204.61,199.87,202.8,861606.0,normal,2026-01-01T03:37:03.346206Z,2025-10-15
PTC,1d,2025-10-14T00:00:00,199.81,203.08,199.67,202.06,534708.0,normal,2026-01-01T03:37:03.346206Z,2025-10-14
PTC,1d,2025-10-13T00:00:00,200.37,203.05,198.55,202.48,687200.0,normal,2026-01-01T03:37:03.346206Z,2025-10-13
PTC,1d,2025-10-10T00:00:00,201.72,203.0,196.61,196.9,585166.0,normal,2026-01-01T03:37:03.346206Z,2025-10-10
PTC,1d,2025-10-09T00:00:00,203.44,203.44,200.39,201.72,627300.0,normal,2026-01-01T03:37:03.346206Z,2025-10-09
PTC,1d,2025-10-08T00:00:00,202.56,204.16,202.04,203.43,569800.0,normal,2026-01-01T03:37:03.346206Z,2025-10-08
PTC,1d,2025-10-07T00:00:00,205.31,206.3,200.69,202.26,566018.0,normal,2026-01-01T03:37:03.346206Z,2025-10-07
PTC,1d,2025-10-06T00:00:00,204.04,205.51,203.14,205.0,811045.0,normal,2026-01-01T03:37:03.346206Z,2025-10-06
PTC,1d,2025-10-03T00:00:00,203.2,204.54,202.57,203.0,588401.0,normal,2026-01-01T03:37:03.346206Z,2025-10-03
PTC,1d,2025-10-02T00:00:00,202.49,203.61,201.45,203.02,587009.0,normal,2026-01-01T03:37:03.346206Z,2025-10-02
PTC,1d,2025-10-01T00:00:00,201.89,204.0,199.16,202.42,775600.0,normal,2026-01-01T03:37:03.346206Z,2025-10-01
PTC,1d,2025-09-30T00:00:00,203.63,204.29,201.81,203.02,1167404.0,normal,2026-01-01T03:37:03.346206Z,2025-09-30
PTC,1d,2025-09-29T00:00:00,203.65,204.51,200.83,203.84,569400.0,normal,2026-01-01T03:37:03.346206Z,2025-09-29
PTC,1d,2025-09-26T00:00:00,202.46,204.09,202.34,202.96,529331.0,normal,2026-01-01T03:37:03.346206Z,2025-09-26
PTC,1d,2025-09-25T00:00:00,202.4,202.93,200.32,202.71,490817.0,normal,2026-01-01T03:37:03.346206Z,2025-09-25
PTC,1d,2025-09-24T00:00:00,204.32,204.56,202.34,203.6,764600.0,normal,2026-01-01T03:37:03.346206Z,2025-09-24
PTC,1d,2025-09-23T00:00:00,206.27,207.49,203.16,204.03,838400.0,normal,2026-01-01T03:37:03.346206Z,2025-09-23
PTC,1d,2025-09-22T00:00:00,204.77,206.4,204.3,205.93,920305.0,normal,2026-01-01T03:37:03.346206Z,2025-09-22
PTC,1d,2025-09-19T00:00:00,207.87,208.0,205.12,205.95,1638300.0,normal,2026-01-01T03:37:03.346206Z,2025-09-19
PTC,1d,2025-09-18T00:00:00,205.01,207.28,205.01,206.19,917100.0,normal,2026-01-01T03:37:03.346206Z,2025-09-18
PTC,1d,2025-09-17T00:00:00,206.02,206.64,202.55,203.98,738259.0,normal,2026-01-01T03:37:03.346206Z,2025-09-17
PTC,1d,2025-09-16T00:00:00,204.15,205.87,202.93,204.95,956000.0,normal,2026-01-01T03:37:03.346206Z,2025-09-16
PTC,1d,2025-09-15T00:00:00,205.12,208.56,204.02,204.15,630347.0,normal,2026-01-01T03:37:03.346206Z,2025-09-15
PTC,1d,2025-09-12T00:00:00,206.1,206.73,204.34,205.11,520517.0,normal,2026-01-01T03:37:03.346206Z,2025-09-12
PTC,1d,2025-09-11T00:00:00,205.77,207.26,204.48,207.03,778822.0,normal,2026-01-01T03:37:03.346206Z,2025-09-11
PTC,1d,2025-09-10T00:00:00,204.16,206.39,202.4,204.5,1136035.0,normal,2026-01-01T03:37:03.346206Z,2025-09-10
PTC,1d,2025-09-09T00:00:00,213.48,213.48,202.26,204.03,1474639.0,normal,2026-01-01T03:37:03.346206Z,2025-09-09
PTC,1d,2025-09-08T00:00:00,215.22,215.22,209.9,212.73,1279800.0,normal,2026-01-01T03:37:03.346206Z,2025-09-08
PTC,1d,2025-09-05T00:00:00,213.5,215.49,211.42,213.9,632646.0,normal,2026-01-01T03:37:03.346206Z,2025-09-05
PTC,1d,2025-09-04T00:00:00,211.27,213.59,210.29,213.25,639174.0,normal,2026-01-01T03:37:03.346206Z,2025-09-04
PTC,1d,2025-09-03T00:00:00,212.13,213.54,211.29,212.24,506944.0,normal,2026-01-01T03:37:03.346206Z,2025-09-03
PTC,1d,2025-09-02T00:00:00,210.39,213.0,208.85,212.64,809600.0,normal,2026-01-01T03:37:03.346206Z,2025-09-02
PTC,1d,2025-08-29T00:00:00,215.52,215.81,213.03,213.5,1098700.0,normal,2026-01-01T03:37:03.346206Z,2025-08-29
PTC,1d,2025-08-28T00:00:00,216.52,217.64,214.93,215.03,526324.0,normal,2026-01-01T03:37:03.346206Z,2025-08-28
PTC,1d,2025-08-27T00:00:00,212.89,217.08,210.0,216.53,705953.0,normal,2026-01-01T03:37:03.346206Z,2025-08-27
PTC,1d,2025-08-26T00:00:00,213.61,215.35,212.12,212.58,737200.0,normal,2026-01-01T03:37:03.346206Z,2025-08-26
PTC,1d,2025-08-25T00:00:00,215.1,216.48,213.7,214.35,873446.0,normal,2026-01-01T03:37:03.346206Z,2025-08-25
PTC,1d,2025-08-22T00:00:00,212.43,217.0,211.55,215.05,668613.0,normal,2026-01-01T03:37:03.346206Z,2025-08-22
PTC,1d,2025-08-21T00:00:00,210.25,213.01,208.17,211.95,863600.0,normal,2026-01-01T03:37:03.346206Z,2025-08-21
PTC,1d,2025-08-20T00:00:00,209.03,211.25,208.84,210.89,824283.0,normal,2026-01-01T03:37:03.346206Z,2025-08-20
PTC,1d,2025-08-19T00:00:00,209.16,210.62,208.11,209.87,606443.0,normal,2026-01-01T03:37:03.346206Z,2025-08-19
PTC,1d,2025-08-18T00:00:00,205.82,208.83,205.0,208.31,941040.0,normal,2026-01-01T03:37:03.346206Z,2025-08-18
PTC,1d,2025-08-15T00:00:00,208.75,208.99,205.5,205.84,1366200.0,normal,2026-01-01T03:37:03.346206Z,2025-08-15
PTC,1d,2025-08-14T00:00:00,208.22,208.77,206.95,208.01,609573.0,normal,2026-01-01T03:37:03.346206Z,2025-08-14
PTC,1d,2025-08-13T00:00:00,205.8,208.94,205.43,208.37,601073.0,normal,2026-01-01T03:37:03.346206Z,2025-08-13
PTC,1d,2025-08-12T00:00:00,203.82,205.04,201.46,204.55,628657.0,normal,2026-01-01T03:37:03.346206Z,2025-08-12
PTC,1d,2025-08-11T00:00:00,205.59,208.51,202.39,203.29,729340.0,normal,2026-01-01T03:37:03.346206Z,2025-08-11
PTC,1d,2025-08-08T00:00:00,207.0,208.05,205.01,205.42,756400.0,normal,2026-01-01T03:37:03.346206Z,2025-08-08
PTC,1d,2025-08-07T00:00:00,216.85,217.3,203.97,206.15,1279454.0,normal,2026-01-01T03:37:03.346206Z,2025-08-07
PTC,1d,2025-08-06T00:00:00,215.68,217.2,214.8,215.71,710600.0,normal,2026-01-01T03:37:03.346206Z,2025-08-06
PTC,1d,2025-08-05T00:00:00,217.19,217.2,213.65,214.79,1054906.0,normal,2026-01-01T03:37:03.346206Z,2025-08-05
PTC,1d,2025-08-04T00:00:00,212.97,218.0,211.39,216.41,975800.0,normal,2026-01-01T03:37:03.346206Z,2025-08-04
PTC,1d,2025-08-01T00:00:00,212.2,213.88,207.3,212.11,1598400.0,normal,2026-01-01T03:37:03.346206Z,2025-08-01
PTC,1d,2025-07-31T00:00:00,212.5,219.69,208.0,214.81,2618200.0,normal,2026-01-01T03:37:03.346206Z,2025-07-31
PTC,1d,2025-07-30T00:00:00,204.35,204.81,199.74,202.51,1243800.0,normal,2026-01-01T03:37:03.346206Z,2025-07-30
PTC,1d,2025-07-29T00:00:00,205.36,205.85,202.46,204.19,739432.0,normal,2026-01-01T03:37:03.346206Z,2025-07-29
PTC,1d,2025-07-28T00:00:00,204.55,204.89,202.59,204.0,697900.0,normal,2026-01-01T03:37:03.346206Z,2025-07-28
PTC,1d,2025-07-25T00:00:00,203.0,205.47,201.85,204.51,550807.0,normal,2026-01-01T03:37:03.346206Z,2025-07-25
PTC,1d,2025-07-24T00:00:00,200.8,202.73,199.88,202.06,965337.0,normal,2026-01-01T03:37:03.346206Z,2025-07-24
PTC,1d,2025-07-23T00:00:00,203.38,203.38,199.87,201.36,1166200.0,normal,2026-01-01T03:37:03.346206Z,2025-07-23
PTC,1d,2025-07-22T00:00:00,199.82,203.6,198.64,202.87,792604.0,normal,2026-01-01T03:37:03.346206Z,2025-07-22
PTC,1d,2025-07-21T00:00:00,200.27,200.62,197.99,198.82,728843.0,normal,2026-01-01T03:37:03.346206Z,2025-07-21
PTC,1d,2025-07-18T00:00:00,197.65,199.78,195.71,199.61,880148.0,normal,2026-01-01T03:37:03.346206Z,2025-07-18
PTC,1d,2025-07-17T00:00:00,193.65,199.49,192.29,197.0,1279100.0,normal,2026-01-01T03:37:03.346206Z,2025-07-17
PTC,1d,2025-07-16T00:00:00,192.37,194.66,191.09,194.19,910622.0,normal,2026-01-01T03:37:03.346206Z,2025-07-16
PTC,1d,2025-07-15T00:00:00,191.17,194.06,190.55,192.22,1045900.0,normal,2026-01-01T03:37:03.346206Z,2025-07-15
PTC,1d,2025-07-14T00:00:00,183.0,192.75,183.0,191.08,2121200.0,normal,2026-01-01T03:37:03.346206Z,2025-07-14
PTC,1d,2025-07-11T00:00:00,194.01,197.33,191.47,193.51,2370000.0,normal,2026-01-01T03:37:03.346206Z,2025-07-11
PTC,1d,2025-07-10T00:00:00,198.35,200.23,187.0,194.59,7018030.0,normal,2026-01-01T03:37:03.346206Z,2025-07-10
PTC,1d,2025-07-09T00:00:00,179.27,213.14,176.78,210.47,4183900.0,normal,2026-01-01T03:37:03.346206Z,2025-07-09
PTC,1d,2025-07-08T00:00:00,175.42,179.21,175.15,178.9,917536.0,normal,2026-01-01T03:37:03.346206Z,2025-07-08
PTC,1d,2025-07-07T00:00:00,175.1,176.16,173.91,174.82,711800.0,normal,2026-01-01T03:37:03.346206Z,2025-07-07
PTC,1d,2025-07-03T00:00:00,173.85,176.98,173.85,175.98,468442.0,normal,2026-01-01T03:37:03.346206Z,2025-07-03
PTC,1d,2025-07-02T00:00:00,172.9,173.75,171.65,173.31,629200.0,normal,2026-01-01T03:37:03.346206Z,2025-07-02
PTC,1d,2025-07-01T00:00:00,171.74,173.91,170.14,173.07,1271130.0,normal,2026-01-01T03:37:03.346206Z,2025-07-01
PTC,1d,2025-06-30T00:00:00,170.47,172.94,168.23,172.34,874837.0,normal,2026-01-01T03:37:03.346206Z,2025-06-30
PTC,1d,2025-06-27T00:00:00,169.62,171.51,167.84,169.3,2037900.0,normal,2026-01-01T03:37:03.346206Z,2025-06-27
PTC,1d,2025-06-26T00:00:00,169.36,172.28,168.14,169.54,843113.0,normal,2026-01-01T03:37:03.346206Z,2025-06-26
PTC,1d,2025-06-25T00:00:00,169.93,170.22,166.82,168.6,664600.0,normal,2026-01-01T03:37:03.346206Z,2025-06-25
PTC,1d,2025-06-24T00:00:00,167.5,170.14,166.22,169.93,704412.0,normal,2026-01-01T03:37:03.346206Z,2025-06-24
PTC,1d,2025-06-23T00:00:00,166.82,167.0,163.74,166.46,797950.0,normal,2026-01-01T03:37:03.346206Z,2025-06-23
PTC,1d,2025-06-20T00:00:00,166.57,168.63,165.8,166.97,1617047.0,normal,2026-01-01T03:37:03.346206Z,2025-06-20
PTC,1d,2025-06-18T00:00:00,166.92,168.11,165.99,166.57,728221.0,normal,2026-01-01T03:37:03.346206Z,2025-06-18
PTC,1d,2025-06-17T00:00:00,171.75,172.32,167.31,167.53,878917.0,normal,2026-01-01T03:37:03.346206Z,2025-06-17
PTC,1d,2025-06-16T00:00:00,170.24,173.12,170.24,172.61,1011034.0,normal,2026-01-01T03:37:03.346206Z,2025-06-16
PTC,1d,2025-06-13T00:00:00,169.04,170.99,168.1,169.34,1143604.0,normal,2026-01-01T03:37:03.346206Z,2025-06-13
PTC,1d,2025-06-12T00:00:00,170.44,171.47,169.7,171.02,568130.0,normal,2026-01-01T03:37:03.346206Z,2025-06-12
PTC,1d,2025-06-11T00:00:00,171.45,172.2,170.05,171.0,746239.0,normal,2026-01-01T03:37:03.346206Z,2025-06-11
PTC,1d,2025-06-10T00:00:00,170.31,171.46,169.17,170.92,1065600.0,normal,2026-01-01T03:37:03.346206Z,2025-06-10
PTC,1d,2025-06-09T00:00:00,170.85,171.64,169.84,170.19,740009.0,normal,2026-01-01T03:37:03.346206Z,2025-06-09
PTC,1d,2025-06-06T00:00:00,168.92,170.51,168.79,170.34,545521.0,normal,2026-01-01T03:37:03.346206Z,2025-06-06
PTC,1d,2025-06-05T00:00:00,168.2,169.82,167.6,167.81,635720.0,normal,2026-01-01T03:37:03.346206Z,2025-06-05
PTC,1d,2025-06-04T00:00:00,168.5,169.0,167.46,168.17,682946.0,normal,2026-01-01T03:37:03.346206Z,2025-06-04
PTC,1d,2025-06-03T00:00:00,166.63,168.25,165.5,168.12,523400.0,normal,2026-01-01T03:37:03.346206Z,2025-06-03
PTC,1d,2025-06-02T00:00:00,166.87,167.72,164.66,166.75,749500.0,normal,2026-01-01T03:37:03.346206Z,2025-06-02
