ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
REG,1d,2025-12-10T00:00:00,67.9,68.195,67.1,67.21,1251905.0,normal,2025-12-11T07:49:55.724103Z,2025-12-10
REG,1d,2025-12-09T00:00:00,68.24,68.95,67.62,67.79,848300.0,normal,2025-12-11T07:49:55.724103Z,2025-12-09
REG,1d,2025-12-08T00:00:00,68.64,68.69,67.79,67.87,971900.0,normal,2025-12-11T07:49:55.724103Z,2025-12-08
REG,1d,2025-12-05T00:00:00,69.03,69.27,68.62,68.7,1007600.0,normal,2025-12-11T07:49:55.724103Z,2025-12-05
REG,1d,2025-12-04T00:00:00,68.94,69.75,68.92,69.07,1381628.0,normal,2025-12-11T07:49:55.724103Z,2025-12-04
REG,1d,2025-12-03T00:00:00,70.11,70.36,69.43,69.94,762910.0,normal,2025-12-11T07:49:55.724103Z,2025-12-03
REG,1d,2025-12-02T00:00:00,70.9,71.18,69.61,70.03,742900.0,normal,2025-12-11T07:49:55.724103Z,2025-12-02
REG,1d,2025-12-01T00:00:00,70.73,71.32,70.7,70.84,882621.0,normal,2025-12-11T07:49:55.724103Z,2025-12-01
REG,1d,2025-11-28T00:00:00,71.26,71.75,71.0,71.16,576633.0,normal,2025-12-11T07:49:55.724103Z,2025-11-28
REG,1d,2025-11-26T00:00:00,70.83,71.57,70.64,71.26,1488000.0,normal,2025-12-11T07:49:55.724103Z,2025-11-26
REG,1d,2025-11-25T00:00:00,71.31,71.88,70.98,71.07,1187300.0,normal,2025-12-11T07:49:55.724103Z,2025-11-25
REG,1d,2025-11-24T00:00:00,70.89,71.35,70.32,71.17,2346800.0,normal,2025-12-11T07:49:55.724103Z,2025-11-24
REG,1d,2025-11-21T00:00:00,69.41,71.14,69.22,70.87,1184012.0,normal,2025-12-11T07:49:55.724103Z,2025-11-21
REG,1d,2025-11-20T00:00:00,69.75,70.34,69.16,69.41,1062415.0,normal,2025-12-11T07:49:55.724103Z,2025-11-20
REG,1d,2025-11-19T00:00:00,69.53,69.88,68.97,69.09,797012.0,normal,2025-12-11T07:49:55.724103Z,2025-11-19
REG,1d,2025-11-18T00:00:00,69.49,69.82,69.09,69.49,799351.0,normal,2025-12-11T07:49:55.724103Z,2025-11-18
REG,1d,2025-11-17T00:00:00,69.78,70.15,68.86,69.13,709700.0,normal,2025-12-11T07:49:55.724103Z,2025-11-17
REG,1d,2025-11-14T00:00:00,69.94,70.19,69.25,69.59,1012200.0,normal,2025-12-11T07:49:55.724103Z,2025-11-14
REG,1d,2025-11-13T00:00:00,69.64,70.32,69.64,69.82,963350.0,normal,2025-12-11T07:49:55.724103Z,2025-11-13
REG,1d,2025-11-12T00:00:00,70.98,71.24,69.96,70.0,1203300.0,normal,2025-12-11T07:49:55.724103Z,2025-11-12
REG,1d,2025-11-11T00:00:00,70.33,71.44,69.7,71.26,979801.0,normal,2025-12-11T07:49:55.724103Z,2025-11-11
REG,1d,2025-11-10T00:00:00,69.77,70.46,69.42,70.09,1097900.0,normal,2025-12-11T07:49:55.724103Z,2025-11-10
REG,1d,2025-11-07T00:00:00,69.03,69.79,68.52,69.77,941530.0,normal,2025-12-11T07:49:55.724103Z,2025-11-07
REG,1d,2025-11-06T00:00:00,69.21,69.44,68.62,68.72,951608.0,normal,2025-12-11T07:49:55.724103Z,2025-11-06
REG,1d,2025-11-05T00:00:00,69.38,69.84,68.72,69.42,1784648.0,normal,2025-12-11T07:49:55.724103Z,2025-11-05
REG,1d,2025-11-04T00:00:00,69.3,69.92,68.67,69.12,1699300.0,normal,2025-12-11T07:49:55.724103Z,2025-11-04
REG,1d,2025-11-03T00:00:00,68.36,69.33,67.27,68.91,1564930.0,normal,2025-12-11T07:49:55.724103Z,2025-11-03
REG,1d,2025-10-31T00:00:00,69.1,69.87,68.66,68.95,1099000.0,normal,2025-12-11T07:49:55.724103Z,2025-10-31
REG,1d,2025-10-30T00:00:00,69.35,73.69,69.24,69.39,2045800.0,normal,2025-12-11T07:49:55.724103Z,2025-10-30
REG,1d,2025-10-29T00:00:00,70.53,71.68,69.1,69.35,1313525.0,normal,2025-12-11T07:49:55.724103Z,2025-10-29
REG,1d,2025-10-28T00:00:00,72.94,73.11,71.22,71.54,1464000.0,normal,2025-12-11T07:49:55.724103Z,2025-10-28
REG,1d,2025-10-27T00:00:00,73.08,73.36,72.52,73.18,1187401.0,normal,2025-12-11T07:49:55.724103Z,2025-10-27
REG,1d,2025-10-24T00:00:00,72.48,73.12,72.48,72.64,728200.0,normal,2025-12-11T07:49:55.724103Z,2025-10-24
REG,1d,2025-10-23T00:00:00,72.73,72.85,71.75,72.48,1013000.0,normal,2025-12-11T07:49:55.724103Z,2025-10-23
REG,1d,2025-10-22T00:00:00,72.34,72.79,72.11,72.6,1128200.0,normal,2025-12-11T07:49:55.724103Z,2025-10-22
REG,1d,2025-10-21T00:00:00,72.22,72.83,71.94,72.16,853472.0,normal,2025-12-11T07:49:55.724103Z,2025-10-21
REG,1d,2025-10-20T00:00:00,72.31,72.89,71.52,72.21,697729.0,normal,2025-12-11T07:49:55.724103Z,2025-10-20
REG,1d,2025-10-17T00:00:00,71.95,72.54,71.75,72.24,989408.0,normal,2025-12-11T07:49:55.724103Z,2025-10-17
REG,1d,2025-10-16T00:00:00,72.6,72.6,71.44,71.72,716300.0,normal,2025-12-11T07:49:55.724103Z,2025-10-16
REG,1d,2025-10-15T00:00:00,71.7,72.98,71.61,72.43,814500.0,normal,2025-12-11T07:49:55.724103Z,2025-10-15
REG,1d,2025-10-14T00:00:00,71.35,72.09,71.19,71.81,966400.0,normal,2025-12-11T07:49:55.724103Z,2025-10-14
REG,1d,2025-10-13T00:00:00,70.37,71.64,69.81,71.48,873500.0,normal,2025-12-11T07:49:55.724103Z,2025-10-13
REG,1d,2025-10-10T00:00:00,71.42,71.69,70.25,70.37,669849.0,normal,2025-12-11T07:49:55.724103Z,2025-10-10
REG,1d,2025-10-09T00:00:00,71.49,71.71,70.89,71.33,701530.0,normal,2025-12-11T07:49:55.724103Z,2025-10-09
REG,1d,2025-10-08T00:00:00,71.19,71.36,70.72,71.26,650431.0,normal,2025-12-11T07:49:55.724103Z,2025-10-08
REG,1d,2025-10-07T00:00:00,71.05,71.7,70.8,71.48,916300.0,normal,2025-12-11T07:49:55.724103Z,2025-10-07
REG,1d,2025-10-06T00:00:00,72.32,72.32,71.04,71.14,1104400.0,normal,2025-12-11T07:49:55.724103Z,2025-10-06
REG,1d,2025-10-03T00:00:00,71.89,72.76,71.63,71.68,999326.0,normal,2025-12-11T07:49:55.724103Z,2025-10-03
REG,1d,2025-10-02T00:00:00,71.85,72.05,71.12,71.88,912400.0,normal,2025-12-11T07:49:55.724103Z,2025-10-02
REG,1d,2025-10-01T00:00:00,73.1,73.45,71.94,72.09,1250833.0,normal,2025-12-11T07:49:55.724103Z,2025-10-01
REG,1d,2025-09-30T00:00:00,72.05,73.0,71.57,72.9,1308900.0,normal,2025-12-11T07:49:55.724103Z,2025-09-30
REG,1d,2025-09-29T00:00:00,71.57,72.36,71.21,72.22,1060800.0,normal,2025-12-11T07:49:55.724103Z,2025-09-29
REG,1d,2025-09-26T00:00:00,71.41,71.9,71.09,71.52,678033.0,normal,2025-12-11T07:49:55.724103Z,2025-09-26
REG,1d,2025-09-25T00:00:00,71.63,71.85,70.95,71.07,962345.0,normal,2025-12-11T07:49:55.724103Z,2025-09-25
REG,1d,2025-09-24T00:00:00,71.45,71.74,70.87,71.38,1259500.0,normal,2025-12-11T07:49:55.724103Z,2025-09-24
REG,1d,2025-09-23T00:00:00,70.78,71.66,70.76,71.48,1077417.0,normal,2025-12-11T07:49:55.724103Z,2025-09-23
REG,1d,2025-09-22T00:00:00,70.44,70.95,69.68,70.73,1132700.0,normal,2025-12-11T07:49:55.724103Z,2025-09-22
REG,1d,2025-09-19T00:00:00,70.56,70.67,69.8,70.27,2344501.0,normal,2025-12-11T07:49:55.724103Z,2025-09-19
REG,1d,2025-09-18T00:00:00,69.61,70.53,69.45,70.33,1067200.0,normal,2025-12-11T07:49:55.724103Z,2025-09-18
REG,1d,2025-09-17T00:00:00,70.37,71.14,69.63,69.76,986500.0,normal,2025-12-11T07:49:55.724103Z,2025-09-17
REG,1d,2025-09-16T00:00:00,70.73,71.1,70.23,70.38,1129745.0,normal,2025-12-11T07:49:55.724103Z,2025-09-16
REG,1d,2025-09-15T00:00:00,71.44,71.48,70.58,70.97,1210511.0,normal,2025-12-11T07:49:55.724103Z,2025-09-15
REG,1d,2025-09-12T00:00:00,71.91,72.29,71.3,71.34,1193500.0,normal,2025-12-11T07:49:55.724103Z,2025-09-12
REG,1d,2025-09-11T00:00:00,71.63,72.46,71.44,72.24,1291445.0,normal,2025-12-11T07:49:55.724103Z,2025-09-11
REG,1d,2025-09-10T00:00:00,72.11,72.36,71.75,72.09,1202505.0,normal,2025-12-11T07:49:55.724103Z,2025-09-10
REG,1d,2025-09-09T00:00:00,72.79,73.08,72.26,72.39,899062.0,normal,2025-12-11T07:49:55.724103Z,2025-09-09
REG,1d,2025-09-08T00:00:00,73.44,73.58,72.43,73.08,1097800.0,normal,2025-12-11T07:49:55.724103Z,2025-09-08
REG,1d,2025-09-05T00:00:00,73.7,74.44,72.71,73.68,848800.0,normal,2025-12-11T07:49:55.724103Z,2025-09-05
REG,1d,2025-09-04T00:00:00,72.55,73.6,72.08,73.56,1220000.0,normal,2025-12-11T07:49:55.724103Z,2025-09-04
REG,1d,2025-09-03T00:00:00,71.95,72.53,71.84,72.23,771228.0,normal,2025-12-11T07:49:55.724103Z,2025-09-03
REG,1d,2025-09-02T00:00:00,72.3,73.0,71.93,72.33,1744524.0,normal,2025-12-11T07:49:55.724103Z,2025-09-02
REG,1d,2025-08-29T00:00:00,72.34,72.68,72.23,72.5,1029800.0,normal,2025-12-11T07:49:55.724103Z,2025-08-29
REG,1d,2025-08-28T00:00:00,72.47,72.54,71.49,72.21,876329.0,normal,2025-12-11T07:49:55.724103Z,2025-08-28
REG,1d,2025-08-27T00:00:00,72.1,72.54,71.97,72.47,1003035.0,normal,2025-12-11T07:49:55.724103Z,2025-08-27
REG,1d,2025-08-26T00:00:00,71.9,72.45,71.67,72.07,1406000.0,normal,2025-12-11T07:49:55.724103Z,2025-08-26
REG,1d,2025-08-25T00:00:00,72.16,72.44,71.75,71.92,1113445.0,normal,2025-12-11T07:49:55.724103Z,2025-08-25
REG,1d,2025-08-22T00:00:00,71.66,72.79,71.66,72.35,1314938.0,normal,2025-12-11T07:49:55.724103Z,2025-08-22
REG,1d,2025-08-21T00:00:00,71.32,71.91,71.1,71.22,977600.0,normal,2025-12-11T07:49:55.724103Z,2025-08-21
REG,1d,2025-08-20T00:00:00,72.08,72.63,71.48,71.73,1261849.0,normal,2025-12-11T07:49:55.724103Z,2025-08-20
REG,1d,2025-08-19T00:00:00,70.34,71.84,70.34,71.78,1244100.0,normal,2025-12-11T07:49:55.724103Z,2025-08-19
REG,1d,2025-08-18T00:00:00,71.13,71.39,70.3,70.34,755441.0,normal,2025-12-11T07:49:55.724103Z,2025-08-18
REG,1d,2025-08-15T00:00:00,71.25,71.36,70.92,71.02,1118802.0,normal,2025-12-11T07:49:55.724103Z,2025-08-15
REG,1d,2025-08-14T00:00:00,71.62,71.62,70.66,71.11,921008.0,normal,2025-12-11T07:49:55.724103Z,2025-08-14
REG,1d,2025-08-13T00:00:00,72.01,72.21,70.93,72.02,1592600.0,normal,2025-12-11T07:49:55.724103Z,2025-08-13
REG,1d,2025-08-12T00:00:00,71.57,71.94,71.03,71.88,1205719.0,normal,2025-12-11T07:49:55.724103Z,2025-08-12
REG,1d,2025-08-11T00:00:00,71.91,72.53,71.51,71.54,1058516.0,normal,2025-12-11T07:49:55.724103Z,2025-08-11
